None,ticker,date,close,adj_close
0,A,2018-03-27,67.0,67.0
1,A,2018-03-26,68.2,68.2
2,A,2018-03-23,66.06,66.06
3,A,2018-03-22,67.47,67.47
4,A,2018-03-21,69.4,69.4
5,A,2018-03-20,69.85,69.85
6,A,2018-03-19,69.34,69.34
7,A,2018-03-16,69.9,69.9
8,A,2018-03-15,70.18,70.18
9,A,2018-03-14,69.92,69.92
10,A,2018-03-13,70.68,70.68
11,A,2018-03-12,70.71,70.71
12,A,2018-03-09,71.13,71.13
13,A,2018-03-08,69.85,69.85
14,A,2018-03-07,69.7,69.7
15,A,2018-03-06,68.11,68.11
16,A,2018-03-05,67.55,67.55
17,A,2018-03-02,67.51,67.51
18,A,2018-03-01,67.38,67.38
19,A,2018-02-28,68.59,68.59
20,A,2018-02-27,69.0,69.0
21,A,2018-02-26,70.58,70.58
22,A,2018-02-23,70.7,70.7
23,A,2018-02-22,70.68,70.68
24,A,2018-02-21,71.25,71.25
25,A,2018-02-20,71.08,71.08
26,A,2018-02-16,71.97,71.97
27,A,2018-02-15,72.02,72.02
28,A,2018-02-14,69.7,69.7
29,A,2018-02-13,68.34,68.34
30,A,2018-02-12,68.43,68.43
31,A,2018-02-09,66.98,66.98
32,A,2018-02-08,65.05,65.05
33,A,2018-02-07,68.06,68.06
34,A,2018-02-06,68.45,68.45
35,A,2018-02-05,68.22,68.22
36,A,2018-02-02,71.25,71.25
37,A,2018-02-01,72.83,72.83
38,A,2018-01-31,73.43,73.43
39,A,2018-01-30,72.99,72.99
40,A,2018-01-29,74.53,74.53
41,A,2018-01-26,74.82,74.82
42,A,2018-01-25,73.86,73.86
43,A,2018-01-24,73.58,73.58
44,A,2018-01-23,73.44,73.44
45,A,2018-01-22,73.48,73.48
46,A,2018-01-19,73.07,73.07
47,A,2018-01-18,72.19,72.19
48,A,2018-01-17,72.06,72.06
49,A,2018-01-16,71.23,71.23
50,A,2018-01-12,71.73,71.73
51,A,2018-01-11,70.8,70.8
52,A,2018-01-10,70.79,70.79
53,A,2018-01-09,71.77,71.77
54,A,2018-01-08,70.05,70.05
55,A,2018-01-05,69.9,69.9
56,A,2018-01-04,68.8,68.8
57,A,2018-01-03,69.32,69.32
58,A,2018-01-02,67.6,67.6
59,A,2017-12-29,66.97,66.97
60,A,2017-12-28,67.45,67.45
61,A,2017-12-27,67.3,67.3
62,A,2017-12-26,67.25,67.25
63,A,2017-12-22,67.35,67.35
64,A,2017-12-21,67.52,67.52
65,A,2017-12-20,67.4,67.4
66,A,2017-12-19,67.75,67.75
67,A,2017-12-18,67.66,67.66
68,A,2017-12-15,67.61,67.61
69,A,2017-12-14,66.51,66.51
70,A,2017-12-13,66.68,66.68
71,A,2017-12-12,67.06,67.06
72,A,2017-12-11,67.0,67.0
73,A,2017-12-08,67.38,67.38
74,A,2017-12-07,66.71,66.71
75,A,2017-12-06,65.89,65.89
76,A,2017-12-05,65.83,65.83
77,A,2017-12-04,66.24,66.24
78,A,2017-12-01,68.69,68.69
79,A,2017-11-30,69.24,69.24
80,A,2017-11-29,68.69,68.69
81,A,2017-11-28,70.59,70.59
82,A,2017-11-27,69.31,69.31
83,A,2017-11-24,69.36,69.36
84,A,2017-11-22,68.69,68.69
85,A,2017-11-21,69.91,69.91
86,A,2017-11-20,69.96,69.96
