None,ticker,date,close,adj_close
0,AAPL,2018-03-27,168.34,168.34
1,AAPL,2018-03-26,172.77,172.77
2,AAPL,2018-03-23,164.94,164.94
3,AAPL,2018-03-22,168.845,168.845
4,AAPL,2018-03-21,171.27,171.27
5,AAPL,2018-03-20,175.24,175.24
6,AAPL,2018-03-19,175.3,175.3
7,AAPL,2018-03-16,178.02,178.02
8,AAPL,2018-03-15,178.65,178.65
9,AAPL,2018-03-14,178.44,178.44
10,AAPL,2018-03-13,179.97,179.97
11,AAPL,2018-03-12,181.72,181.72
12,AAPL,2018-03-09,179.98,179.98
13,AAPL,2018-03-08,176.94,176.94
14,AAPL,2018-03-07,175.03,175.03
15,AAPL,2018-03-06,176.67,176.67
16,AAPL,2018-03-05,176.82,176.82
17,AAPL,2018-03-02,176.21,176.21
18,AAPL,2018-03-01,175.0,175.0
19,AAPL,2018-02-28,178.12,178.12
20,AAPL,2018-02-27,178.39,178.39
21,AAPL,2018-02-26,178.97,178.97
22,AAPL,2018-02-23,175.555,175.555
23,AAPL,2018-02-22,172.6,172.6
24,AAPL,2018-02-21,171.07,171.07
25,AAPL,2018-02-20,171.85,171.85
26,AAPL,2018-02-16,172.43,172.43
27,AAPL,2018-02-15,172.99,172.99
28,AAPL,2018-02-14,167.37,167.37
29,AAPL,2018-02-13,164.34,164.34
30,AAPL,2018-02-12,162.71,162.71
31,AAPL,2018-02-09,155.97,155.97
32,AAPL,2018-02-08,155.32,155.32
33,AAPL,2018-02-07,159.54,159.54
34,AAPL,2018-02-06,163.03,163.03
35,AAPL,2018-02-05,157.49,157.49
36,AAPL,2018-02-02,160.37,160.37
37,AAPL,2018-02-01,167.78,167.78
38,AAPL,2018-01-31,167.43,167.43
39,AAPL,2018-01-30,166.97,166.97
40,AAPL,2018-01-29,167.96,167.96
41,AAPL,2018-01-26,171.51,171.51
42,AAPL,2018-01-25,171.11,171.11
43,AAPL,2018-01-24,174.22,174.22
44,AAPL,2018-01-23,177.04,177.04
45,AAPL,2018-01-22,177.0,177.0
46,AAPL,2018-01-19,178.46,178.46
47,AAPL,2018-01-18,179.26,179.26
48,AAPL,2018-01-17,179.1,179.1
49,AAPL,2018-01-16,176.19,176.19
50,AAPL,2018-01-12,177.09,177.09
51,AAPL,2018-01-11,175.28,175.28
52,AAPL,2018-01-10,174.29,174.29
53,AAPL,2018-01-09,174.33,174.33
54,AAPL,2018-01-08,174.35,174.35
55,AAPL,2018-01-05,175.0,175.0
56,AAPL,2018-01-04,173.03,173.03
57,AAPL,2018-01-03,172.23,172.23
58,AAPL,2018-01-02,172.26,172.26
59,AAPL,2017-12-29,169.23,169.23
60,AAPL,2017-12-28,171.08,171.08
61,AAPL,2017-12-27,170.6,170.6
62,AAPL,2017-12-26,170.57,170.57
63,AAPL,2017-12-22,175.01,175.01
64,AAPL,2017-12-21,175.01,175.01
65,AAPL,2017-12-20,174.35,174.35
66,AAPL,2017-12-19,174.54,174.54
67,AAPL,2017-12-18,176.42,176.42
68,AAPL,2017-12-15,173.87,173.87
69,AAPL,2017-12-14,172.22,172.22
70,AAPL,2017-12-13,172.27,172.27
71,AAPL,2017-12-12,171.7,171.7
72,AAPL,2017-12-11,172.67,172.67
73,AAPL,2017-12-08,169.37,169.37
74,AAPL,2017-12-07,169.452,169.452
75,AAPL,2017-12-06,169.01,169.01
76,AAPL,2017-12-05,169.64,169.64
77,AAPL,2017-12-04,169.8,169.8
78,AAPL,2017-12-01,171.05,171.05
79,AAPL,2017-11-30,171.85,171.85
80,AAPL,2017-11-29,169.48,169.48
81,AAPL,2017-11-28,173.07,173.07
82,AAPL,2017-11-27,174.09,174.09
83,AAPL,2017-11-24,174.97,174.97
84,AAPL,2017-11-22,174.96,174.96
85,AAPL,2017-11-21,173.14,173.14
86,AAPL,2017-11-20,169.98,169.98
87,AAPL,2017-11-17,170.15,170.15
88,AAPL,2017-11-16,171.1,171.1
89,AAPL,2017-11-15,169.08,169.08
90,AAPL,2017-11-14,171.34,171.34
91,AAPL,2017-11-13,173.97,173.97
92,AAPL,2017-11-10,174.67,174.67
93,AAPL,2017-11-09,175.88,175.88
94,AAPL,2017-11-07,174.81,174.81
95,AAPL,2017-11-06,174.25,174.25
96,AAPL,2017-11-03,172.5,172.5
97,AAPL,2017-11-02,168.11,168.11
98,AAPL,2017-11-01,166.89,166.89
99,AAPL,2017-10-31,169.04,169.04
100,AAPL,2017-10-30,166.72,166.72
101,AAPL,2017-10-27,163.05,163.05
102,AAPL,2017-10-26,157.41,157.41
103,AAPL,2017-10-25,156.405,156.405
104,AAPL,2017-10-24,157.1,157.1
105,AAPL,2017-10-23,156.17,156.17
106,AAPL,2017-10-20,156.16,156.16
107,AAPL,2017-10-19,155.98,155.98
108,AAPL,2017-10-18,159.76,159.76
109,AAPL,2017-10-17,160.47,160.47
110,AAPL,2017-10-16,159.88,159.88
111,AAPL,2017-10-13,156.99,156.99
112,AAPL,2017-10-12,156.0,156.0
113,AAPL,2017-10-11,156.55,156.55
114,AAPL,2017-10-10,155.9,155.9
115,AAPL,2017-10-09,155.84,155.84
116,AAPL,2017-10-06,155.3,155.3
117,AAPL,2017-10-05,155.39,155.39
118,AAPL,2017-10-04,153.4508,153.4508
119,AAPL,2017-10-03,154.48,154.48
120,AAPL,2017-10-02,153.81,153.81
121,AAPL,2017-09-29,154.12,154.12
122,AAPL,2017-09-28,153.28,153.28
123,AAPL,2017-09-27,154.23,154.23
124,AAPL,2017-09-26,153.14,153.14
125,AAPL,2017-09-25,150.55,150.55
126,AAPL,2017-09-22,151.89,151.89
127,AAPL,2017-09-21,153.39,153.39
128,AAPL,2017-09-20,156.07,156.07
129,AAPL,2017-09-19,158.73,158.73
130,AAPL,2017-09-18,158.67,158.67
131,AAPL,2017-09-15,159.88,159.88
132,AAPL,2017-09-14,158.28,158.28
133,AAPL,2017-09-13,159.65,159.65
134,AAPL,2017-09-12,160.82,160.82
135,AAPL,2017-09-11,161.5,161.5
136,AAPL,2017-09-08,158.63,158.63
137,AAPL,2017-09-07,161.26,161.26
138,AAPL,2017-09-06,161.91,161.91
139,AAPL,2017-09-05,162.08,162.08
140,AAPL,2017-09-01,164.05,164.05
141,AAPL,2017-08-31,164.0,164.0
142,AAPL,2017-08-30,163.35,163.35
143,AAPL,2017-08-29,162.91,162.91
144,AAPL,2017-08-28,161.47,161.47
145,AAPL,2017-08-25,159.86,159.86
146,AAPL,2017-08-24,159.27,159.27
147,AAPL,2017-08-23,159.98,159.98
148,AAPL,2017-08-22,159.78,159.78
149,AAPL,2017-08-21,157.21,157.21
150,AAPL,2017-08-18,157.5,157.5
151,AAPL,2017-08-17,157.87,157.87
152,AAPL,2017-08-16,160.95,160.95
153,AAPL,2017-08-15,161.6,161.6
154,AAPL,2017-08-14,159.85,159.85
155,AAPL,2017-08-11,157.48,157.48
156,AAPL,2017-08-10,155.27,155.27
157,AAPL,2017-08-09,161.06,160.40914817191
158,AAPL,2017-08-08,160.08,159.43310840282
159,AAPL,2017-08-04,156.39,155.75801988454
160,AAPL,2017-08-03,155.57,154.94133354715
161,AAPL,2017-08-02,157.14,156.50498909557
162,AAPL,2017-08-01,150.05,149.44364015394
163,AAPL,2017-07-31,148.85,148.24848941629
164,AAPL,2017-07-28,149.5,148.89586273252
165,AAPL,2017-07-27,150.56,149.95157921745
166,AAPL,2017-07-26,153.46,152.83986016677
167,AAPL,2017-07-25,152.74,152.12276972418
168,AAPL,2017-07-24,152.09,151.47539640795
169,AAPL,2017-07-21,150.27,149.66275112251
170,AAPL,2017-07-20,150.34,149.73246824888
171,AAPL,2017-07-19,151.02,150.40972033355
172,AAPL,2017-07-18,150.08,149.47351892239
173,AAPL,2017-07-17,149.56,148.9556202694
174,AAPL,2017-07-14,149.04,148.43772161642
175,AAPL,2017-07-13,147.77,147.17285375241
176,AAPL,2017-07-12,145.74,145.15105708788
177,AAPL,2017-07-11,145.53,144.94190570879
178,AAPL,2017-07-10,145.06,144.47380500321
179,AAPL,2017-07-07,144.18,143.59736112893
180,AAPL,2017-07-06,142.73,142.15322065427
181,AAPL,2017-07-05,144.09,143.5077248236
182,AAPL,2017-07-03,143.5,142.92010904426
183,AAPL,2017-06-30,144.02,143.43800769724
184,AAPL,2017-06-29,143.68,143.09938165491
185,AAPL,2017-06-28,145.83,145.2406933932
186,AAPL,2017-06-27,143.74,143.15913919179
187,AAPL,2017-06-26,145.82,145.23073380372
188,AAPL,2017-06-23,146.35,145.75859204618
189,AAPL,2017-06-22,145.63,145.04150160359
190,AAPL,2017-06-21,145.87,145.28053175112
191,AAPL,2017-06-20,145.01,144.4240070558
192,AAPL,2017-06-19,146.34,145.7486324567
193,AAPL,2017-06-16,142.27,141.69507953817
194,AAPL,2017-06-15,144.29,143.70691661321
195,AAPL,2017-06-14,145.16,144.57340089801
196,AAPL,2017-06-13,146.59,145.99762219371
197,AAPL,2017-06-12,145.32,144.7327543297
198,AAPL,2017-06-09,148.98,148.37796407954
199,AAPL,2017-06-08,154.99,154.36367735728
200,AAPL,2017-06-07,155.37,154.74214175754
201,AAPL,2017-06-06,154.45,153.82585952534
202,AAPL,2017-06-05,153.93,153.30796087235
203,AAPL,2017-06-02,155.45,154.82181847338
204,AAPL,2017-06-01,153.18,152.56099166132
205,AAPL,2017-05-31,152.76,152.14268890314
206,AAPL,2017-05-30,153.67,153.04901154586
207,AAPL,2017-05-26,153.61,152.98925400898
208,AAPL,2017-05-25,153.87,153.24820333547
209,AAPL,2017-05-24,153.34,152.72034509301
210,AAPL,2017-05-23,153.8,153.17848620911
211,AAPL,2017-05-22,153.99,153.36771840924
212,AAPL,2017-05-19,152.96,152.34188069275
213,AAPL,2017-05-18,152.54,151.92357793457
214,AAPL,2017-05-17,150.25,149.64283194355
215,AAPL,2017-05-16,155.47,154.84173765234
216,AAPL,2017-05-15,155.7,155.07080821039
217,AAPL,2017-05-12,156.1,155.46919178961
218,AAPL,2017-05-11,153.95,153.32788005131
219,AAPL,2017-05-10,153.26,152.01857223874
220,AAPL,2017-05-09,153.96,152.71290213935
221,AAPL,2017-05-08,153.0,151.76067827566
222,AAPL,2017-05-05,148.96,147.75340284929
223,AAPL,2017-05-04,146.53,145.34308619433
224,AAPL,2017-05-03,147.06,145.86879311907
225,AAPL,2017-05-02,147.51,146.31514805518
226,AAPL,2017-05-01,146.6,145.41251918439
227,AAPL,2017-04-28,143.65,142.48641460326
228,AAPL,2017-04-27,143.79,142.62528058338
229,AAPL,2017-04-26,143.6508,142.48720812314
230,AAPL,2017-04-25,144.54,143.36920547689
231,AAPL,2017-04-24,143.64,142.47649560468
232,AAPL,2017-04-21,142.27,141.1175927992
233,AAPL,2017-04-20,142.44,141.28621577506
234,AAPL,2017-04-19,140.68,139.54047202496
235,AAPL,2017-04-18,141.2,140.05625995113
236,AAPL,2017-04-17,141.83,140.68115686168
237,AAPL,2017-04-13,141.05,139.90747497243
238,AAPL,2017-04-12,141.8,140.65139986594
239,AAPL,2017-04-11,141.63,140.48277689007
240,AAPL,2017-04-10,143.17,142.01030267141
241,AAPL,2017-04-07,143.34,142.17892564727
242,AAPL,2017-04-06,143.66,142.49633360184
243,AAPL,2017-04-05,144.02,142.85341755072
244,AAPL,2017-04-04,144.77,143.59734244423
245,AAPL,2017-04-03,143.7,142.53600959616
246,AAPL,2017-03-31,143.66,142.49633360184
247,AAPL,2017-03-30,143.93,142.7641465635
248,AAPL,2017-03-29,144.12,142.95260753652
249,AAPL,2017-03-28,143.8,142.63519958196
250,AAPL,2017-03-27,140.88,139.73885199657
251,AAPL,2017-03-24,140.64,139.50079603064
252,AAPL,2017-03-23,140.92,139.77852799089
253,AAPL,2017-03-22,141.42,140.27447791989
254,AAPL,2017-03-21,139.84,138.70727614424
255,AAPL,2017-03-20,141.46,140.31415391421
256,AAPL,2017-03-17,139.99,138.85606112294
257,AAPL,2017-03-16,140.69,139.55039102354
258,AAPL,2017-03-15,140.46,139.3222540562
259,AAPL,2017-03-14,138.99,137.86416126493
260,AAPL,2017-03-13,139.2,138.07246023511
261,AAPL,2017-03-10,139.14,138.01294624363
262,AAPL,2017-03-09,138.68,137.55667230894
263,AAPL,2017-03-08,139.0,137.87408026351
264,AAPL,2017-03-07,139.52,138.38986818967
265,AAPL,2017-03-06,139.34,138.21132621523
266,AAPL,2017-03-03,139.78,138.64776215275
267,AAPL,2017-03-02,138.96,137.83440426919
268,AAPL,2017-03-01,139.79,138.65768115133
269,AAPL,2017-02-28,136.99,135.8803615489
270,AAPL,2017-02-27,136.93,135.82084755742
271,AAPL,2017-02-24,136.66,135.55303459576
272,AAPL,2017-02-23,136.53,135.42408761422
273,AAPL,2017-02-22,137.11,135.99938953187
274,AAPL,2017-02-21,136.7,135.59271059008
275,AAPL,2017-02-17,135.72,134.62064872923
276,AAPL,2017-02-16,135.345,134.24868628248
277,AAPL,2017-02-15,135.51,134.41234975905
278,AAPL,2017-02-14,135.02,133.92631882862
279,AAPL,2017-02-13,133.29,132.21033207426
280,AAPL,2017-02-10,132.12,131.04980924039
281,AAPL,2017-02-09,132.42,131.34737919779
282,AAPL,2017-02-08,132.04,130.40911308577
283,AAPL,2017-02-07,131.53,129.9054123309
284,AAPL,2017-02-06,130.29,128.68072814257
285,AAPL,2017-02-03,129.08,127.48567341042
286,AAPL,2017-02-02,128.53,126.94246671398
287,AAPL,2017-02-01,128.75,127.15974939256
288,AAPL,2017-01-31,121.35,119.85115020417
289,AAPL,2017-01-30,121.63,120.12769179508
290,AAPL,2017-01-27,121.95,120.44373932755
291,AAPL,2017-01-26,121.94,120.43386284216
292,AAPL,2017-01-25,121.88,120.37460392982
293,AAPL,2017-01-24,119.97,118.48819522039
294,AAPL,2017-01-23,120.08,118.59683655968
295,AAPL,2017-01-20,120.0,118.51782467656
296,AAPL,2017-01-19,119.78,118.30054199798
297,AAPL,2017-01-18,119.99,118.50794819117
298,AAPL,2017-01-17,120.0,118.51782467656
299,AAPL,2017-01-13,119.04,117.56968207915
300,AAPL,2017-01-12,119.25,117.77708827233
301,AAPL,2017-01-11,119.75,118.27091254181
302,AAPL,2017-01-10,119.11,117.63881747687
303,AAPL,2017-01-09,118.99,117.5202996522
304,AAPL,2017-01-06,117.91,116.45363923011
305,AAPL,2017-01-05,116.61,115.16969612944
306,AAPL,2017-01-04,116.02,114.58698349145
307,AAPL,2017-01-03,116.15,114.71537780152
