None,ticker,date,close,adj_close
0,ABBV,2018-03-27,92.01,92.01
1,ABBV,2018-03-26,95.28,95.28
2,ABBV,2018-03-23,97.46,97.46
3,ABBV,2018-03-22,98.1,98.1
4,ABBV,2018-03-21,112.45,112.45
5,ABBV,2018-03-20,112.65,112.65
6,ABBV,2018-03-19,112.03,112.03
7,ABBV,2018-03-16,113.71,113.71
8,ABBV,2018-03-15,114.93,114.93
9,ABBV,2018-03-14,118.94,118.94
10,ABBV,2018-03-13,119.75,119.75
11,ABBV,2018-03-12,118.3,118.3
12,ABBV,2018-03-09,119.29,119.29
13,ABBV,2018-03-08,117.01,117.01
14,ABBV,2018-03-07,114.72,114.72
15,ABBV,2018-03-06,114.56,114.56
16,ABBV,2018-03-05,115.66,115.66
17,ABBV,2018-03-02,115.04,115.04
18,ABBV,2018-03-01,113.84,113.84
19,ABBV,2018-02-28,115.83,115.83
20,ABBV,2018-02-27,118.26,118.26
21,ABBV,2018-02-26,121.54,121.54
22,ABBV,2018-02-23,118.75,118.75
23,ABBV,2018-02-22,117.56,117.56
24,ABBV,2018-02-21,117.91,117.91
25,ABBV,2018-02-20,117.98,117.98
26,ABBV,2018-02-16,118.6,118.6
27,ABBV,2018-02-15,114.9,114.9
28,ABBV,2018-02-14,113.08,113.08
29,ABBV,2018-02-13,111.86,111.86
30,ABBV,2018-02-12,111.93,111.93
31,ABBV,2018-02-09,111.3,111.3
32,ABBV,2018-02-08,108.48,108.48
33,ABBV,2018-02-07,113.62,113.62
34,ABBV,2018-02-06,111.2,111.2
35,ABBV,2018-02-05,109.51,109.51
36,ABBV,2018-02-02,115.17,115.17
37,ABBV,2018-02-01,116.34,116.34
38,ABBV,2018-01-31,112.22,112.22
39,ABBV,2018-01-30,115.88,115.88
40,ABBV,2018-01-29,122.31,122.31
41,ABBV,2018-01-26,123.21,123.21
42,ABBV,2018-01-25,108.3,108.3
43,ABBV,2018-01-24,105.51,105.51
44,ABBV,2018-01-23,105.38,105.38
45,ABBV,2018-01-22,106.49,106.49
46,ABBV,2018-01-19,104.64,104.64
47,ABBV,2018-01-18,103.81,103.81
48,ABBV,2018-01-17,104.36,104.36
49,ABBV,2018-01-16,102.49,102.49
50,ABBV,2018-01-12,100.34,100.34
51,ABBV,2018-01-11,99.27,99.27
52,ABBV,2018-01-10,99.69,99.69
53,ABBV,2018-01-09,100.24,100.24
54,ABBV,2018-01-08,99.49,99.49
