None,ticker,date,close,adj_close
0,ABMD,2018-03-27,286.43,286.43
1,ABMD,2018-03-26,295.4,295.4
2,ABMD,2018-03-23,283.99,283.99
3,ABMD,2018-03-22,286.39,286.39
4,ABMD,2018-03-21,292.31,292.31
5,ABMD,2018-03-20,294.01,294.01
6,ABMD,2018-03-19,287.98,287.98
7,ABMD,2018-03-16,293.05,293.05
8,ABMD,2018-03-15,294.57,294.57
9,ABMD,2018-03-14,295.85,295.85
10,ABMD,2018-03-13,293.17,293.17
11,ABMD,2018-03-12,294.74,294.74
12,ABMD,2018-03-09,294.52,294.52
13,ABMD,2018-03-08,288.6,288.6
14,ABMD,2018-03-07,285.38,285.38
15,ABMD,2018-03-06,281.54,281.54
16,ABMD,2018-03-05,279.27,279.27
17,ABMD,2018-03-02,275.13,275.13
18,ABMD,2018-03-01,265.71,265.71
19,ABMD,2018-02-28,268.18,268.18
20,ABMD,2018-02-27,271.25,271.25
21,ABMD,2018-02-26,273.18,273.18
22,ABMD,2018-02-23,268.45,268.45
23,ABMD,2018-02-22,263.97,263.97
24,ABMD,2018-02-21,268.25,268.25
25,ABMD,2018-02-20,270.48,270.48
26,ABMD,2018-02-16,267.74,267.74
27,ABMD,2018-02-15,261.04,261.04
28,ABMD,2018-02-14,255.47,255.47
29,ABMD,2018-02-13,233.99,233.99
30,ABMD,2018-02-12,233.72,233.72
31,ABMD,2018-02-09,229.54,229.54
32,ABMD,2018-02-08,229.53,229.53
33,ABMD,2018-02-07,239.02,239.02
34,ABMD,2018-02-06,232.11,232.11
35,ABMD,2018-02-05,240.0,240.0
36,ABMD,2018-02-02,248.2,248.2
37,ABMD,2018-02-01,253.13,253.13
38,ABMD,2018-01-31,235.0,235.0
39,ABMD,2018-01-30,235.06,235.06
40,ABMD,2018-01-29,236.65,236.65
41,ABMD,2018-01-26,238.89,238.89
42,ABMD,2018-01-25,236.32,236.32
43,ABMD,2018-01-24,233.33,233.33
44,ABMD,2018-01-23,230.27,230.27
45,ABMD,2018-01-22,228.18,228.18
46,ABMD,2018-01-19,228.29,228.29
47,ABMD,2018-01-18,225.89,225.89
48,ABMD,2018-01-17,224.13,224.13
49,ABMD,2018-01-16,218.09,218.09
50,ABMD,2018-01-12,215.11,215.11
51,ABMD,2018-01-11,210.15,210.15
52,ABMD,2018-01-10,208.14,208.14
53,ABMD,2018-01-09,209.76,209.76
54,ABMD,2018-01-08,207.8,207.8
55,ABMD,2018-01-05,202.32,202.32
56,ABMD,2018-01-04,199.25,199.25
57,ABMD,2018-01-03,195.82,195.82
58,ABMD,2018-01-02,192.49,192.49
59,ABMD,2017-12-29,187.41,187.41
