None,ticker,date,close,adj_close
0,ACN,2018-03-27,148.86,148.86
1,ACN,2018-03-26,152.85,152.85
2,ACN,2018-03-23,147.35,147.35
3,ACN,2018-03-22,150.23,150.23
4,ACN,2018-03-21,162.03,162.03
5,ACN,2018-03-20,162.88,162.88
6,ACN,2018-03-19,160.62,160.62
7,ACN,2018-03-16,160.89,160.89
8,ACN,2018-03-15,162.86,162.86
9,ACN,2018-03-14,161.0,161.0
10,ACN,2018-03-13,162.49,162.49
11,ACN,2018-03-12,161.69,161.69
12,ACN,2018-03-09,161.51,161.51
13,ACN,2018-03-08,158.5,158.5
14,ACN,2018-03-07,158.55,158.55
15,ACN,2018-03-06,158.03,158.03
16,ACN,2018-03-05,158.85,158.85
17,ACN,2018-03-02,157.5,157.5
18,ACN,2018-03-01,156.15,156.15
19,ACN,2018-02-28,161.01,161.01
20,ACN,2018-02-27,162.55,162.55
21,ACN,2018-02-26,164.74,164.74
22,ACN,2018-02-23,162.95,162.95
23,ACN,2018-02-22,160.32,160.32
24,ACN,2018-02-21,160.46,160.46
25,ACN,2018-02-20,161.44,161.44
26,ACN,2018-02-16,162.66,162.66
27,ACN,2018-02-15,161.06,161.06
28,ACN,2018-02-14,159.79,159.79
29,ACN,2018-02-13,156.84,156.84
30,ACN,2018-02-12,154.95,154.95
31,ACN,2018-02-09,153.84,153.84
32,ACN,2018-02-08,150.51,150.51
33,ACN,2018-02-07,155.15,155.15
34,ACN,2018-02-06,154.69,154.69
35,ACN,2018-02-05,151.83,151.83
36,ACN,2018-02-02,156.9,156.9
37,ACN,2018-02-01,160.46,160.46
38,ACN,2018-01-31,160.7,160.7
39,ACN,2018-01-30,159.7,159.7
40,ACN,2018-01-29,161.19,161.19
41,ACN,2018-01-26,162.55,162.55
42,ACN,2018-01-25,160.79,160.79
43,ACN,2018-01-24,160.6,160.6
44,ACN,2018-01-23,160.88,160.88
45,ACN,2018-01-22,161.43,161.43
46,ACN,2018-01-19,161.75,161.75
47,ACN,2018-01-18,160.94,160.94
48,ACN,2018-01-17,160.21,160.21
49,ACN,2018-01-16,157.96,157.96
50,ACN,2018-01-12,160.11,160.11
51,ACN,2018-01-11,159.11,159.11
52,ACN,2018-01-10,158.9,158.9
53,ACN,2018-01-09,159.46,159.46
54,ACN,2018-01-08,158.93,158.93
55,ACN,2018-01-05,157.67,157.67
56,ACN,2018-01-04,156.38,156.38
57,ACN,2018-01-03,154.55,154.55
58,ACN,2018-01-02,153.84,153.84
59,ACN,2017-12-29,153.09,153.09
60,ACN,2017-12-28,153.57,153.57
61,ACN,2017-12-27,153.32,153.32
62,ACN,2017-12-26,152.99,152.99
63,ACN,2017-12-22,153.89,153.89
64,ACN,2017-12-21,154.2,154.2
65,ACN,2017-12-20,151.75,151.75
66,ACN,2017-12-19,152.22,152.22
67,ACN,2017-12-18,151.72,151.72
68,ACN,2017-12-15,152.66,152.66
69,ACN,2017-12-14,151.21,151.21
70,ACN,2017-12-13,151.42,151.42
71,ACN,2017-12-12,152.1,152.1
72,ACN,2017-12-11,150.69,150.69
73,ACN,2017-12-08,150.53,150.53
74,ACN,2017-12-07,148.6,148.6
75,ACN,2017-12-06,148.27,148.27
76,ACN,2017-12-05,147.67,147.67
77,ACN,2017-12-04,147.15,147.15
78,ACN,2017-12-01,146.57,146.57
79,ACN,2017-11-30,148.01,148.01
80,ACN,2017-11-29,146.95,146.95
81,ACN,2017-11-28,148.04,148.04
82,ACN,2017-11-27,147.5,147.5
83,ACN,2017-11-24,147.63,147.63
84,ACN,2017-11-22,147.11,147.11
85,ACN,2017-11-21,148.01,148.01
86,ACN,2017-11-20,146.57,146.57
87,ACN,2017-11-17,145.45,145.45
88,ACN,2017-11-16,147.04,147.04
89,ACN,2017-11-15,144.26,144.26
90,ACN,2017-11-14,144.96,144.96
91,ACN,2017-11-13,143.92,143.92
92,ACN,2017-11-10,143.89,143.89
93,ACN,2017-11-09,143.83,143.83
94,ACN,2017-11-07,143.5,143.5
95,ACN,2017-11-06,143.93,143.93
96,ACN,2017-11-03,144.04,144.04
97,ACN,2017-11-02,143.43,143.43
98,ACN,2017-11-01,142.96,142.96
99,ACN,2017-10-31,142.36,142.36
100,ACN,2017-10-30,143.29,143.29
101,ACN,2017-10-27,143.28,143.28
102,ACN,2017-10-26,141.97,141.97
103,ACN,2017-10-25,141.22,141.22
104,ACN,2017-10-24,138.91,138.91
105,ACN,2017-10-23,139.33,139.33
106,ACN,2017-10-20,139.49,139.49
107,ACN,2017-10-19,138.62,138.62
108,ACN,2017-10-18,137.42,137.42
109,ACN,2017-10-17,138.65,137.32095855856
110,ACN,2017-10-16,139.09,137.7567409009
111,ACN,2017-10-13,139.2,137.86568648649
112,ACN,2017-10-12,139.2,137.86568648649
113,ACN,2017-10-11,136.91,135.59763747748
114,ACN,2017-10-10,137.52,136.20179027027
115,ACN,2017-10-09,136.99,135.67687063063
116,ACN,2017-10-06,136.25,134.94396396396
117,ACN,2017-10-05,136.22,134.91425153153
118,ACN,2017-10-04,135.16,133.86441225225
119,ACN,2017-10-03,134.25,132.96313513514
120,ACN,2017-10-02,135.44,134.14172828829
121,ACN,2017-09-29,135.07,133.77527495495
122,ACN,2017-09-28,136.32,135.01329297297
123,ACN,2017-09-27,136.64,135.33022558559
124,ACN,2017-09-26,136.84,135.52830846847
125,ACN,2017-09-25,138.16,136.8356554955
126,ACN,2017-09-22,137.9,136.57814774775
127,ACN,2017-09-21,136.66,135.35003387387
128,ACN,2017-09-20,138.01,136.68709333333
129,ACN,2017-09-19,136.71,135.39955459459
130,ACN,2017-09-18,136.94,135.62734990991
131,ACN,2017-09-15,135.35,134.05259099099
132,ACN,2017-09-14,134.86,133.56728792793
133,ACN,2017-09-13,134.78,133.48805477477
134,ACN,2017-09-12,136.22,134.91425153153
135,ACN,2017-09-11,136.23,134.92415567568
136,ACN,2017-09-08,133.72,132.4382154955
137,ACN,2017-09-07,134.24,132.95323099099
138,ACN,2017-09-06,131.12,129.86313801802
139,ACN,2017-09-05,129.77,128.52607855856
140,ACN,2017-09-01,130.1,128.85291531532
141,ACN,2017-08-31,130.76,129.50658882883
142,ACN,2017-08-30,129.79,128.54588684685
143,ACN,2017-08-29,129.66,128.41713297297
144,ACN,2017-08-28,129.24,128.00115891892
145,ACN,2017-08-25,129.39,128.14972108108
146,ACN,2017-08-24,128.67,127.4366227027
147,ACN,2017-08-23,128.36,127.12959423423
148,ACN,2017-08-22,129.31,128.07048792793
149,ACN,2017-08-21,128.17,126.9414154955
150,ACN,2017-08-18,127.44,126.21841297297
151,ACN,2017-08-17,127.59,126.36697513514
152,ACN,2017-08-16,130.03,128.78358630631
