None,ticker,date,close,adj_close
0,ADI,2018-03-27,91.05,91.05
1,ADI,2018-03-26,93.11,93.11
2,ADI,2018-03-23,87.7,87.7
3,ADI,2018-03-22,90.54,90.54
4,ADI,2018-03-21,92.8,92.8
5,ADI,2018-03-20,92.71,92.71
6,ADI,2018-03-19,93.5,93.5
7,ADI,2018-03-16,94.15,94.15
8,ADI,2018-03-15,93.94,93.94
9,ADI,2018-03-14,94.09,94.09
10,ADI,2018-03-13,94.66,94.66
11,ADI,2018-03-12,95.53,95.53
12,ADI,2018-03-09,94.73,94.73
13,ADI,2018-03-08,92.72,92.72
14,ADI,2018-03-07,92.74,92.74
15,ADI,2018-03-06,91.93,91.93
16,ADI,2018-03-05,91.14,91.14
17,ADI,2018-03-02,89.53,89.53
18,ADI,2018-03-01,88.31,88.31
19,ADI,2018-02-28,90.15,90.15
20,ADI,2018-02-27,92.26,92.26
21,ADI,2018-02-26,92.36,92.36
22,ADI,2018-02-23,90.37,90.37
23,ADI,2018-02-22,88.56,88.56
24,ADI,2018-02-21,88.41,88.41
25,ADI,2018-02-20,88.41,88.41
26,ADI,2018-02-16,86.09,86.09
27,ADI,2018-02-15,85.4,85.4
28,ADI,2018-02-14,85.13,85.13
29,ADI,2018-02-13,84.34,84.34
30,ADI,2018-02-12,85.05,85.05
31,ADI,2018-02-09,83.86,83.86
32,ADI,2018-02-08,82.66,82.66
33,ADI,2018-02-07,85.35,85.35
34,ADI,2018-02-06,88.54,88.54
35,ADI,2018-02-05,85.91,85.91
36,ADI,2018-02-02,89.11,89.11
37,ADI,2018-02-01,91.65,91.65
38,ADI,2018-01-31,91.89,91.89
39,ADI,2018-01-30,91.55,91.55
40,ADI,2018-01-29,93.78,93.78
41,ADI,2018-01-26,93.84,93.84
42,ADI,2018-01-25,91.98,91.98
43,ADI,2018-01-24,95.34,95.34
44,ADI,2018-01-23,96.47,96.47
45,ADI,2018-01-22,96.65,96.65
46,ADI,2018-01-19,96.14,96.14
47,ADI,2018-01-18,97.24,97.24
48,ADI,2018-01-17,95.57,95.57
49,ADI,2018-01-16,93.1,93.1
50,ADI,2018-01-12,92.02,92.02
51,ADI,2018-01-11,91.19,91.19
52,ADI,2018-01-10,90.11,90.11
53,ADI,2018-01-09,91.64,91.64
54,ADI,2018-01-08,91.83,91.83
55,ADI,2018-01-05,91.67,91.67
56,ADI,2018-01-04,91.3,91.3
57,ADI,2018-01-03,91.4,91.4
58,ADI,2018-01-02,90.28,90.28
59,ADI,2017-12-29,89.03,89.03
60,ADI,2017-12-28,89.38,89.38
61,ADI,2017-12-27,89.1,89.1
62,ADI,2017-12-26,88.63,88.63
63,ADI,2017-12-22,88.85,88.85
64,ADI,2017-12-21,88.65,88.65
65,ADI,2017-12-20,88.65,88.65
66,ADI,2017-12-19,87.95,87.95
67,ADI,2017-12-18,88.09,88.09
68,ADI,2017-12-15,86.69,86.69
69,ADI,2017-12-14,85.44,85.44
70,ADI,2017-12-13,85.18,85.18
71,ADI,2017-12-12,85.48,85.48
72,ADI,2017-12-11,85.8,85.8
73,ADI,2017-12-08,85.52,85.52
74,ADI,2017-12-07,86.11,86.11
75,ADI,2017-12-06,85.41,85.41
76,ADI,2017-12-05,84.83,84.83
77,ADI,2017-12-04,84.79,84.79
78,ADI,2017-12-01,85.41,85.41
