None,ticker,date,close,adj_close
0,ADM,2018-03-27,42.87,42.87
1,ADM,2018-03-26,42.83,42.83
2,ADM,2018-03-23,42.05,42.05
3,ADM,2018-03-22,41.94,41.94
4,ADM,2018-03-21,42.62,42.62
5,ADM,2018-03-20,42.97,42.97
6,ADM,2018-03-19,43.06,43.06
7,ADM,2018-03-16,43.5,43.5
8,ADM,2018-03-15,43.26,43.26
9,ADM,2018-03-14,43.77,43.77
10,ADM,2018-03-13,44.24,44.24
11,ADM,2018-03-12,44.53,44.53
12,ADM,2018-03-09,43.3,43.3
13,ADM,2018-03-08,43.29,43.29
14,ADM,2018-03-07,43.03,43.03
15,ADM,2018-03-06,43.12,43.12
16,ADM,2018-03-05,42.72,42.72
17,ADM,2018-03-02,42.2,42.2
18,ADM,2018-03-01,41.25,41.25
19,ADM,2018-02-28,41.52,41.52
20,ADM,2018-02-27,41.64,41.64
21,ADM,2018-02-26,42.17,42.17
22,ADM,2018-02-23,42.57,42.57
23,ADM,2018-02-22,41.76,41.76
24,ADM,2018-02-21,42.12,42.12
25,ADM,2018-02-20,42.57,42.57
26,ADM,2018-02-16,43.13,43.13
27,ADM,2018-02-15,43.2,43.2
28,ADM,2018-02-14,41.82,41.82
29,ADM,2018-02-13,41.34,41.34
30,ADM,2018-02-12,41.27,41.27
31,ADM,2018-02-09,41.49,41.49
32,ADM,2018-02-08,41.35,41.35
33,ADM,2018-02-07,42.19,42.19
34,ADM,2018-02-06,42.0,42.0
35,ADM,2018-02-05,40.6,40.6
36,ADM,2018-02-02,41.43,41.43
37,ADM,2018-02-01,42.46,42.46
38,ADM,2018-01-31,42.95,42.95
39,ADM,2018-01-30,42.48,42.48
40,ADM,2018-01-29,43.11,43.11
41,ADM,2018-01-26,43.59,43.59
42,ADM,2018-01-25,42.89,42.89
43,ADM,2018-01-24,42.84,42.84
44,ADM,2018-01-23,42.61,42.61
45,ADM,2018-01-22,42.75,42.75
46,ADM,2018-01-19,40.96,40.96
47,ADM,2018-01-18,40.48,40.48
48,ADM,2018-01-17,40.91,40.91
49,ADM,2018-01-16,40.78,40.78
50,ADM,2018-01-12,40.5,40.5
51,ADM,2018-01-11,40.56,40.56
52,ADM,2018-01-10,39.91,39.91
53,ADM,2018-01-09,40.22,40.22
54,ADM,2018-01-08,40.09,40.09
55,ADM,2018-01-05,40.18,40.18
56,ADM,2018-01-04,40.45,40.45
57,ADM,2018-01-03,39.78,39.78
58,ADM,2018-01-02,40.09,40.09
59,ADM,2017-12-29,40.08,40.08
60,ADM,2017-12-28,40.27,40.27
61,ADM,2017-12-27,40.24,40.24
62,ADM,2017-12-26,40.26,40.26
63,ADM,2017-12-22,40.19,40.19
64,ADM,2017-12-21,40.09,40.09
65,ADM,2017-12-20,39.87,39.87
66,ADM,2017-12-19,40.13,40.13
67,ADM,2017-12-18,40.22,40.22
68,ADM,2017-12-15,40.56,40.56
69,ADM,2017-12-14,39.57,39.57
70,ADM,2017-12-13,40.05,40.05
71,ADM,2017-12-12,41.77,41.77
72,ADM,2017-12-11,41.9,41.9
73,ADM,2017-12-08,41.51,41.51
74,ADM,2017-12-07,41.31,41.31
75,ADM,2017-12-06,41.22,41.22
76,ADM,2017-12-05,40.84,40.84
77,ADM,2017-12-04,41.2,41.2
78,ADM,2017-12-01,40.83,40.83
79,ADM,2017-11-30,39.88,39.88
