None,ticker,date,close,adj_close
0,ADSK,2018-03-27,128.31,128.31
1,ADSK,2018-03-26,134.22,134.22
2,ADSK,2018-03-23,128.02,128.02
3,ADSK,2018-03-22,131.41,131.41
4,ADSK,2018-03-21,135.54,135.54
5,ADSK,2018-03-20,134.6,134.6
6,ADSK,2018-03-19,134.31,134.31
7,ADSK,2018-03-16,135.75,135.75
8,ADSK,2018-03-15,136.74,136.74
9,ADSK,2018-03-14,136.19,136.19
10,ADSK,2018-03-13,136.0,136.0
11,ADSK,2018-03-12,138.37,138.37
12,ADSK,2018-03-09,139.36,139.36
13,ADSK,2018-03-08,137.29,137.29
14,ADSK,2018-03-07,137.7,137.7
15,ADSK,2018-03-06,119.87,119.87
16,ADSK,2018-03-05,118.87,118.87
17,ADSK,2018-03-02,116.28,116.28
18,ADSK,2018-03-01,114.74,114.74
19,ADSK,2018-02-28,117.47,117.47
20,ADSK,2018-02-27,116.12,116.12
21,ADSK,2018-02-26,116.92,116.92
22,ADSK,2018-02-23,115.03,115.03
23,ADSK,2018-02-22,112.39,112.39
24,ADSK,2018-02-21,112.37,112.37
25,ADSK,2018-02-20,114.27,114.27
26,ADSK,2018-02-16,112.95,112.95
27,ADSK,2018-02-15,113.52,113.52
28,ADSK,2018-02-14,109.92,109.92
29,ADSK,2018-02-13,109.79,109.79
30,ADSK,2018-02-12,108.38,108.38
31,ADSK,2018-02-09,105.94,105.94
32,ADSK,2018-02-08,104.88,104.88
33,ADSK,2018-02-07,110.54,110.54
34,ADSK,2018-02-06,112.62,112.62
35,ADSK,2018-02-05,109.84,109.84
36,ADSK,2018-02-02,111.64,111.64
37,ADSK,2018-02-01,115.57,115.57
38,ADSK,2018-01-31,115.62,115.62
39,ADSK,2018-01-30,114.99,114.99
40,ADSK,2018-01-29,116.38,116.38
41,ADSK,2018-01-26,117.78,117.78
42,ADSK,2018-01-25,116.87,116.87
43,ADSK,2018-01-24,116.72,116.72
44,ADSK,2018-01-23,118.73,118.73
45,ADSK,2018-01-22,117.37,117.37
46,ADSK,2018-01-19,115.29,115.29
47,ADSK,2018-01-18,112.55,112.55
48,ADSK,2018-01-17,113.0,113.0
49,ADSK,2018-01-16,111.98,111.98
50,ADSK,2018-01-12,115.91,115.91
51,ADSK,2018-01-11,113.26,113.26
52,ADSK,2018-01-10,111.47,111.47
53,ADSK,2018-01-09,112.11,112.11
54,ADSK,2018-01-08,111.42,111.42
55,ADSK,2018-01-05,110.84,110.84
56,ADSK,2018-01-04,112.07,112.07
57,ADSK,2018-01-03,109.38,109.38
58,ADSK,2018-01-02,107.12,107.12
59,ADSK,2017-12-29,104.83,104.83
60,ADSK,2017-12-28,105.07,105.07
61,ADSK,2017-12-27,104.58,104.58
62,ADSK,2017-12-26,103.8,103.8
63,ADSK,2017-12-22,103.89,103.89
64,ADSK,2017-12-21,104.43,104.43
65,ADSK,2017-12-20,105.03,105.03
66,ADSK,2017-12-19,105.39,105.39
67,ADSK,2017-12-18,107.48,107.48
68,ADSK,2017-12-15,108.4,108.4
69,ADSK,2017-12-14,106.25,106.25
70,ADSK,2017-12-13,106.02,106.02
71,ADSK,2017-12-12,106.33,106.33
72,ADSK,2017-12-11,106.83,106.83
73,ADSK,2017-12-08,107.16,107.16
74,ADSK,2017-12-07,109.61,109.61
75,ADSK,2017-12-06,106.92,106.92
76,ADSK,2017-12-05,106.59,106.59
77,ADSK,2017-12-04,107.95,107.95
78,ADSK,2017-12-01,107.06,107.06
79,ADSK,2017-11-30,109.7,109.7
80,ADSK,2017-11-29,109.34,109.34
81,ADSK,2017-11-28,129.95,129.95
82,ADSK,2017-11-27,130.24,130.24
83,ADSK,2017-11-24,129.5,129.5
84,ADSK,2017-11-22,127.77,127.77
85,ADSK,2017-11-21,127.71,127.71
86,ADSK,2017-11-20,126.28,126.28
87,ADSK,2017-11-17,127.49,127.49
88,ADSK,2017-11-16,127.0,127.0
89,ADSK,2017-11-15,124.02,124.02
90,ADSK,2017-11-14,123.87,123.87
91,ADSK,2017-11-13,124.64,124.64
92,ADSK,2017-11-10,123.11,123.11
93,ADSK,2017-11-09,122.4,122.4
94,ADSK,2017-11-07,123.4,123.4
95,ADSK,2017-11-06,123.82,123.82
96,ADSK,2017-11-03,124.85,124.85
97,ADSK,2017-11-02,124.72,124.72
98,ADSK,2017-11-01,124.78,124.78
99,ADSK,2017-10-31,124.96,124.96
100,ADSK,2017-10-30,123.91,123.91
101,ADSK,2017-10-27,123.58,123.58
102,ADSK,2017-10-26,121.35,121.35
103,ADSK,2017-10-25,119.94,119.94
104,ADSK,2017-10-24,119.29,119.29
105,ADSK,2017-10-23,118.99,118.99
106,ADSK,2017-10-20,120.81,120.81
107,ADSK,2017-10-19,119.29,119.29
108,ADSK,2017-10-18,118.54,118.54
109,ADSK,2017-10-17,118.72,118.72
110,ADSK,2017-10-16,119.2,119.2
111,ADSK,2017-10-13,119.63,119.63
112,ADSK,2017-10-12,118.99,118.99
113,ADSK,2017-10-11,118.57,118.57
114,ADSK,2017-10-10,117.05,117.05
115,ADSK,2017-10-09,117.14,117.14
116,ADSK,2017-10-06,116.96,116.96
117,ADSK,2017-10-05,116.54,116.54
118,ADSK,2017-10-04,114.05,114.05
119,ADSK,2017-10-03,113.63,113.63
120,ADSK,2017-10-02,112.47,112.47
121,ADSK,2017-09-29,112.26,112.26
122,ADSK,2017-09-28,111.45,111.45
123,ADSK,2017-09-27,111.96,111.96
124,ADSK,2017-09-26,110.61,110.61
125,ADSK,2017-09-25,109.82,109.82
126,ADSK,2017-09-22,111.78,111.78
127,ADSK,2017-09-21,112.29,112.29
128,ADSK,2017-09-20,112.73,112.73
129,ADSK,2017-09-19,113.08,113.08
130,ADSK,2017-09-18,113.84,113.84
131,ADSK,2017-09-15,114.3,114.3
132,ADSK,2017-09-14,115.48,115.48
133,ADSK,2017-09-13,116.18,116.18
134,ADSK,2017-09-12,116.16,116.16
135,ADSK,2017-09-11,116.48,116.48
136,ADSK,2017-09-08,114.44,114.44
137,ADSK,2017-09-07,114.05,114.05
138,ADSK,2017-09-06,113.79,113.79
139,ADSK,2017-09-05,113.77,113.77
140,ADSK,2017-09-01,113.71,113.71
141,ADSK,2017-08-31,114.46,114.46
142,ADSK,2017-08-30,113.29,113.29
