None,ticker,date,close,adj_close
0,AEP,2018-03-27,68.43,68.43
1,AEP,2018-03-26,67.31,67.31
2,AEP,2018-03-23,66.39,66.39
3,AEP,2018-03-22,67.36,67.36
4,AEP,2018-03-21,66.91,66.91
5,AEP,2018-03-20,67.45,67.45
6,AEP,2018-03-19,67.45,67.45
7,AEP,2018-03-16,67.81,67.81
8,AEP,2018-03-15,66.99,66.99
9,AEP,2018-03-14,66.59,66.59
10,AEP,2018-03-13,66.04,66.04
11,AEP,2018-03-12,65.87,65.87
12,AEP,2018-03-09,65.65,65.65
13,AEP,2018-03-08,65.3,65.3
14,AEP,2018-03-07,64.92,64.92
15,AEP,2018-03-06,65.5,65.5
16,AEP,2018-03-05,66.49,66.49
17,AEP,2018-03-02,65.18,65.18
18,AEP,2018-03-01,65.62,65.62
19,AEP,2018-02-28,65.58,65.58
20,AEP,2018-02-27,65.95,65.95
21,AEP,2018-02-26,66.97,66.97
22,AEP,2018-02-23,67.37,67.37
23,AEP,2018-02-22,65.68,65.68
24,AEP,2018-02-21,65.58,65.58
25,AEP,2018-02-20,66.37,66.37
26,AEP,2018-02-16,67.26,67.26
27,AEP,2018-02-15,66.68,66.68
28,AEP,2018-02-14,65.3,65.3
29,AEP,2018-02-13,65.58,65.58
30,AEP,2018-02-12,64.8,64.8
31,AEP,2018-02-09,64.72,64.72
32,AEP,2018-02-08,63.38,63.38
33,AEP,2018-02-07,64.45,64.45
34,AEP,2018-02-06,64.91,64.91
35,AEP,2018-02-05,66.48,66.48
36,AEP,2018-02-02,67.75,67.75
37,AEP,2018-02-01,67.84,67.84
38,AEP,2018-01-31,68.78,68.78
39,AEP,2018-01-30,68.35,68.35
40,AEP,2018-01-29,67.9,67.9
41,AEP,2018-01-26,68.75,68.75
42,AEP,2018-01-25,69.7,69.7
43,AEP,2018-01-24,68.48,68.48
44,AEP,2018-01-23,68.77,68.77
45,AEP,2018-01-22,68.13,68.13
46,AEP,2018-01-19,67.76,67.76
47,AEP,2018-01-18,67.8,67.8
48,AEP,2018-01-17,68.25,68.25
49,AEP,2018-01-16,67.5,67.5
