None,ticker,date,close,adj_close
0,AES,2018-03-27,10.95,10.95
1,AES,2018-03-26,10.84,10.84
2,AES,2018-03-23,10.72,10.72
3,AES,2018-03-22,10.82,10.82
4,AES,2018-03-21,10.8,10.8
5,AES,2018-03-20,10.71,10.71
6,AES,2018-03-19,10.77,10.77
7,AES,2018-03-16,10.84,10.84
8,AES,2018-03-15,10.69,10.69
9,AES,2018-03-14,10.7,10.7
10,AES,2018-03-13,10.67,10.67
11,AES,2018-03-12,10.74,10.74
12,AES,2018-03-09,10.85,10.85
13,AES,2018-03-08,10.84,10.84
14,AES,2018-03-07,10.8,10.8
15,AES,2018-03-06,10.93,10.93
16,AES,2018-03-05,10.98,10.98
17,AES,2018-03-02,10.86,10.86
18,AES,2018-03-01,10.96,10.96
19,AES,2018-02-28,10.87,10.87
20,AES,2018-02-27,11.22,11.22
21,AES,2018-02-26,10.45,10.45
22,AES,2018-02-23,10.49,10.49
23,AES,2018-02-22,10.3,10.3
24,AES,2018-02-21,10.23,10.23
25,AES,2018-02-20,10.4,10.4
26,AES,2018-02-16,10.45,10.45
27,AES,2018-02-15,10.52,10.52
28,AES,2018-02-14,10.27,10.27
29,AES,2018-02-13,10.32,10.32
30,AES,2018-02-12,10.27,10.27
31,AES,2018-02-09,10.2,10.2
32,AES,2018-02-08,10.06,10.06
33,AES,2018-02-07,10.48,10.48
34,AES,2018-02-06,10.58,10.58
35,AES,2018-02-05,10.6,10.6
36,AES,2018-02-02,11.12,11.12
37,AES,2018-02-01,11.51,11.51
38,AES,2018-01-31,11.56,11.56
39,AES,2018-01-30,11.61,11.61
40,AES,2018-01-29,11.81,11.81
41,AES,2018-01-26,11.72,11.72
42,AES,2018-01-25,11.49,11.49
43,AES,2018-01-24,11.16,11.16
44,AES,2018-01-23,11.42,11.42
45,AES,2018-01-22,11.38,11.38
46,AES,2018-01-19,11.75,11.75
47,AES,2018-01-18,11.53,11.53
48,AES,2018-01-17,10.72,10.72
49,AES,2018-01-16,10.68,10.68
50,AES,2018-01-12,11.04,11.04
51,AES,2018-01-11,10.96,10.96
52,AES,2018-01-10,10.78,10.78
53,AES,2018-01-09,10.76,10.76
54,AES,2018-01-08,10.87,10.87
55,AES,2018-01-05,10.87,10.87
56,AES,2018-01-04,10.83,10.83
57,AES,2018-01-03,10.87,10.87
58,AES,2018-01-02,10.88,10.88
59,AES,2017-12-29,10.83,10.83
60,AES,2017-12-28,10.76,10.76
61,AES,2017-12-27,10.67,10.67
62,AES,2017-12-26,10.64,10.64
63,AES,2017-12-22,10.71,10.71
64,AES,2017-12-21,10.62,10.62
65,AES,2017-12-20,10.58,10.58
66,AES,2017-12-19,10.65,10.65
67,AES,2017-12-18,10.95,10.95
68,AES,2017-12-15,10.8,10.8
69,AES,2017-12-14,10.63,10.63
70,AES,2017-12-13,10.65,10.65
71,AES,2017-12-12,10.72,10.72
72,AES,2017-12-11,10.86,10.86
73,AES,2017-12-08,10.76,10.76
74,AES,2017-12-07,10.7,10.7
75,AES,2017-12-06,10.83,10.83
76,AES,2017-12-05,10.72,10.72
77,AES,2017-12-04,10.77,10.77
78,AES,2017-12-01,10.67,10.67
79,AES,2017-11-30,10.58,10.58
80,AES,2017-11-29,10.61,10.61
81,AES,2017-11-28,10.57,10.57
82,AES,2017-11-27,10.74,10.74
83,AES,2017-11-24,10.69,10.69
84,AES,2017-11-22,10.68,10.68
85,AES,2017-11-21,10.63,10.63
86,AES,2017-11-20,10.6,10.6
87,AES,2017-11-17,10.61,10.61
88,AES,2017-11-16,10.77,10.77
89,AES,2017-11-15,10.87,10.87
90,AES,2017-11-14,10.84,10.84
91,AES,2017-11-13,10.82,10.82
92,AES,2017-11-10,10.23,10.23
93,AES,2017-11-09,10.3,10.3
94,AES,2017-11-07,10.51,10.51
95,AES,2017-11-06,10.35,10.35
96,AES,2017-11-03,10.49,10.49
97,AES,2017-11-02,10.79,10.79
