None,ticker,date,close,adj_close
0,AIG,2018-03-27,53.78,53.78
1,AIG,2018-03-26,54.21,54.21
2,AIG,2018-03-23,53.41,53.41
3,AIG,2018-03-22,54.81,54.81
4,AIG,2018-03-21,55.84,55.84
5,AIG,2018-03-20,55.63,55.63
6,AIG,2018-03-19,54.45,54.45
7,AIG,2018-03-16,54.3,54.3
8,AIG,2018-03-15,54.66,54.66
9,AIG,2018-03-14,54.93,54.93
10,AIG,2018-03-13,55.94,55.94
11,AIG,2018-03-12,56.61,56.61
12,AIG,2018-03-09,56.57,56.57
13,AIG,2018-03-08,56.27,56.27
14,AIG,2018-03-07,57.31,57.31
15,AIG,2018-03-06,58.03,58.03
16,AIG,2018-03-05,57.62,57.62
17,AIG,2018-03-02,56.51,56.51
18,AIG,2018-03-01,56.47,56.47
19,AIG,2018-02-28,57.34,57.34
20,AIG,2018-02-27,58.23,58.23
21,AIG,2018-02-26,59.01,59.01
22,AIG,2018-02-23,60.07,60.07
23,AIG,2018-02-22,59.96,59.96
24,AIG,2018-02-21,60.18,60.18
25,AIG,2018-02-20,60.04,60.04
26,AIG,2018-02-16,59.47,59.47
27,AIG,2018-02-15,59.23,59.23
28,AIG,2018-02-14,59.41,59.41
29,AIG,2018-02-13,59.43,59.43
30,AIG,2018-02-12,59.61,59.61
31,AIG,2018-02-09,60.22,60.22
32,AIG,2018-02-08,58.28,58.28
33,AIG,2018-02-07,60.47,60.47
34,AIG,2018-02-06,60.26,60.26
35,AIG,2018-02-05,60.63,60.63
36,AIG,2018-02-02,63.04,63.04
37,AIG,2018-02-01,64.17,64.17
38,AIG,2018-01-31,63.92,63.92
39,AIG,2018-01-30,63.35,63.35
40,AIG,2018-01-29,64.26,64.26
41,AIG,2018-01-26,64.68,64.68
42,AIG,2018-01-25,64.8,64.8
43,AIG,2018-01-24,64.32,64.32
44,AIG,2018-01-23,62.34,62.34
45,AIG,2018-01-22,61.0,61.0
46,AIG,2018-01-19,61.55,61.55
