None,ticker,date,close,adj_close
0,AIV,2018-03-27,39.55,39.55
1,AIV,2018-03-26,39.1,39.1
2,AIV,2018-03-23,38.62,38.62
3,AIV,2018-03-22,39.11,39.11
4,AIV,2018-03-21,39.79,39.79
5,AIV,2018-03-20,40.11,40.11
6,AIV,2018-03-19,40.46,40.46
7,AIV,2018-03-16,40.69,40.69
8,AIV,2018-03-15,40.26,40.26
9,AIV,2018-03-14,40.3,40.3
10,AIV,2018-03-13,40.05,40.05
11,AIV,2018-03-12,40.04,40.04
12,AIV,2018-03-09,39.99,39.99
13,AIV,2018-03-08,39.0,39.0
14,AIV,2018-03-07,38.82,38.82
15,AIV,2018-03-06,38.62,38.62
16,AIV,2018-03-05,38.76,38.76
17,AIV,2018-03-02,38.41,38.41
18,AIV,2018-03-01,38.48,38.48
19,AIV,2018-02-28,38.66,38.66
20,AIV,2018-02-27,38.43,38.43
21,AIV,2018-02-26,39.01,39.01
22,AIV,2018-02-23,38.88,38.88
23,AIV,2018-02-22,38.28,38.28
24,AIV,2018-02-21,38.0,38.0
25,AIV,2018-02-20,39.11,39.11
26,AIV,2018-02-16,39.69,39.69
27,AIV,2018-02-15,39.37,39.37
28,AIV,2018-02-14,38.7,38.7
29,AIV,2018-02-13,39.28,39.28
30,AIV,2018-02-12,39.27,39.27
31,AIV,2018-02-09,39.34,39.34
32,AIV,2018-02-08,38.21,38.21
33,AIV,2018-02-07,39.21,39.21
34,AIV,2018-02-06,39.62,39.62
35,AIV,2018-02-05,39.67,39.67
36,AIV,2018-02-02,40.55,40.55
37,AIV,2018-02-01,40.8,40.8
38,AIV,2018-01-31,41.84,41.84
39,AIV,2018-01-30,40.95,40.95
40,AIV,2018-01-29,41.45,41.45
41,AIV,2018-01-26,42.1,42.1
42,AIV,2018-01-25,42.27,42.27
43,AIV,2018-01-24,42.09,42.09
44,AIV,2018-01-23,42.34,42.34
45,AIV,2018-01-22,41.39,41.39
46,AIV,2018-01-19,40.6,40.6
47,AIV,2018-01-18,40.58,40.58
48,AIV,2018-01-17,40.96,40.96
49,AIV,2018-01-16,40.71,40.71
50,AIV,2018-01-12,40.62,40.62
51,AIV,2018-01-11,40.95,40.95
52,AIV,2018-01-10,41.46,41.46
53,AIV,2018-01-09,41.98,41.98
54,AIV,2018-01-08,42.89,42.89
55,AIV,2018-01-05,42.56,42.56
56,AIV,2018-01-04,42.82,42.82
57,AIV,2018-01-03,43.51,43.51
58,AIV,2018-01-02,43.45,43.45
59,AIV,2017-12-29,43.71,43.71
60,AIV,2017-12-28,43.59,43.59
61,AIV,2017-12-27,43.36,43.36
62,AIV,2017-12-26,43.33,43.33
63,AIV,2017-12-22,43.19,43.19
64,AIV,2017-12-21,43.15,43.15
65,AIV,2017-12-20,43.26,43.26
66,AIV,2017-12-19,43.24,43.24
67,AIV,2017-12-18,44.22,44.22
