None,ticker,date,close,adj_close
0,AJG,2018-03-27,67.53,67.53
1,AJG,2018-03-26,68.23,68.23
2,AJG,2018-03-23,66.69,66.69
3,AJG,2018-03-22,68.57,68.57
4,AJG,2018-03-21,70.27,70.27
5,AJG,2018-03-20,70.85,70.85
6,AJG,2018-03-19,70.52,70.52
7,AJG,2018-03-16,71.01,71.01
8,AJG,2018-03-15,70.74,70.74
9,AJG,2018-03-14,70.74,70.74
10,AJG,2018-03-13,71.27,71.27
11,AJG,2018-03-12,71.71,71.71
12,AJG,2018-03-09,72.63,72.63
13,AJG,2018-03-08,70.05,70.05
14,AJG,2018-03-07,69.55,69.55
15,AJG,2018-03-06,69.61,69.61
16,AJG,2018-03-05,69.66,69.66
17,AJG,2018-03-02,68.66,68.66
18,AJG,2018-03-01,68.37,68.37
19,AJG,2018-02-28,69.11,69.11
20,AJG,2018-02-27,69.98,69.98
21,AJG,2018-02-26,69.76,69.76
22,AJG,2018-02-23,68.99,68.99
23,AJG,2018-02-22,68.13,68.13
24,AJG,2018-02-21,68.91,68.91
25,AJG,2018-02-20,69.31,69.31
26,AJG,2018-02-16,68.97,68.97
27,AJG,2018-02-15,69.05,69.05
28,AJG,2018-02-14,68.2,68.2
29,AJG,2018-02-13,66.98,66.98
30,AJG,2018-02-12,66.21,66.21
31,AJG,2018-02-09,64.94,64.94
32,AJG,2018-02-08,64.4,64.4
33,AJG,2018-02-07,66.11,66.11
34,AJG,2018-02-06,65.4,65.4
35,AJG,2018-02-05,66.27,66.27
36,AJG,2018-02-02,68.57,68.57
37,AJG,2018-02-01,69.19,69.19
38,AJG,2018-01-31,68.32,68.32
39,AJG,2018-01-30,69.33,69.33
40,AJG,2018-01-29,69.77,69.77
41,AJG,2018-01-26,70.49,70.49
42,AJG,2018-01-25,65.65,65.65
43,AJG,2018-01-24,65.12,65.12
44,AJG,2018-01-23,64.56,64.56
45,AJG,2018-01-22,64.75,64.75
46,AJG,2018-01-19,64.29,64.29
47,AJG,2018-01-18,64.03,64.03
48,AJG,2018-01-17,64.05,64.05
49,AJG,2018-01-16,63.42,63.42
50,AJG,2018-01-12,63.88,63.88
51,AJG,2018-01-11,63.4,63.4
52,AJG,2018-01-10,63.57,63.57
53,AJG,2018-01-09,63.63,63.63
54,AJG,2018-01-08,63.55,63.55
55,AJG,2018-01-05,63.51,63.51
56,AJG,2018-01-04,63.22,63.22
57,AJG,2018-01-03,62.64,62.64
58,AJG,2018-01-02,62.17,62.17
59,AJG,2017-12-29,63.28,63.28
60,AJG,2017-12-28,63.63,63.63
61,AJG,2017-12-27,63.22,63.22
62,AJG,2017-12-26,62.91,62.91
63,AJG,2017-12-22,62.6,62.6
64,AJG,2017-12-21,62.98,62.98
65,AJG,2017-12-20,64.21,64.21
66,AJG,2017-12-19,64.4,64.4
67,AJG,2017-12-18,63.85,63.85
68,AJG,2017-12-15,63.98,63.98
69,AJG,2017-12-14,63.69,63.69
70,AJG,2017-12-13,64.21,64.21
71,AJG,2017-12-12,64.79,64.79
72,AJG,2017-12-11,65.48,65.48
73,AJG,2017-12-08,65.69,65.69
74,AJG,2017-12-07,65.27,65.27
75,AJG,2017-12-06,65.83,65.83
76,AJG,2017-12-05,65.82,65.82
77,AJG,2017-12-04,66.58,66.58
78,AJG,2017-12-01,66.57,66.57
79,AJG,2017-11-30,65.83,65.83
80,AJG,2017-11-29,66.42,66.42
81,AJG,2017-11-28,66.63,66.63
82,AJG,2017-11-27,65.71,65.71
83,AJG,2017-11-24,65.39,65.39
84,AJG,2017-11-22,66.62,66.62
85,AJG,2017-11-21,66.96,66.96
86,AJG,2017-11-20,66.01,66.01
87,AJG,2017-11-17,65.97,65.97
88,AJG,2017-11-16,65.83,65.83
89,AJG,2017-11-15,65.33,65.33
90,AJG,2017-11-14,65.1,65.1
91,AJG,2017-11-13,63.94,63.94
92,AJG,2017-11-10,64.08,64.08
93,AJG,2017-11-09,63.65,63.65
94,AJG,2017-11-07,63.71,63.71
95,AJG,2017-11-06,64.14,64.14
96,AJG,2017-11-03,63.69,63.69
97,AJG,2017-11-02,63.88,63.88
98,AJG,2017-11-01,63.6,63.6
99,AJG,2017-10-31,63.33,63.33
100,AJG,2017-10-30,62.74,62.74
101,AJG,2017-10-27,62.54,62.54
102,AJG,2017-10-26,62.25,62.25
103,AJG,2017-10-25,62.53,62.53
104,AJG,2017-10-24,62.83,62.83
105,AJG,2017-10-23,62.96,62.96
106,AJG,2017-10-20,62.92,62.92
107,AJG,2017-10-19,62.64,62.64
108,AJG,2017-10-18,62.13,62.13
109,AJG,2017-10-17,61.88,61.88
110,AJG,2017-10-16,62.12,62.12
111,AJG,2017-10-13,62.02,62.02
112,AJG,2017-10-12,62.04,62.04
113,AJG,2017-10-11,61.72,61.72
114,AJG,2017-10-10,61.87,61.87
115,AJG,2017-10-09,61.6,61.6
116,AJG,2017-10-06,61.76,61.76
117,AJG,2017-10-05,61.8,61.8
118,AJG,2017-10-04,61.6,61.6
119,AJG,2017-10-03,62.0,62.0
120,AJG,2017-10-02,61.69,61.69
121,AJG,2017-09-29,61.55,61.55
122,AJG,2017-09-28,61.51,61.51
123,AJG,2017-09-27,61.63,61.63
124,AJG,2017-09-26,61.48,61.48
125,AJG,2017-09-25,60.88,60.88
126,AJG,2017-09-22,60.99,60.99
127,AJG,2017-09-21,60.67,60.67
128,AJG,2017-09-20,60.72,60.72
129,AJG,2017-09-19,60.37,60.37
130,AJG,2017-09-18,60.4,60.4
131,AJG,2017-09-15,60.38,60.38
132,AJG,2017-09-14,60.0,60.0
133,AJG,2017-09-13,59.96,59.96
134,AJG,2017-09-12,60.32,60.32
135,AJG,2017-09-11,60.04,60.04
136,AJG,2017-09-08,59.69,59.69
137,AJG,2017-09-07,57.68,57.68
138,AJG,2017-09-06,58.18,58.18
139,AJG,2017-09-05,57.71,57.71
140,AJG,2017-09-01,57.92,57.92
141,AJG,2017-08-31,57.9,57.9
142,AJG,2017-08-30,57.82,57.82
143,AJG,2017-08-29,58.04,57.651138979557
144,AJG,2017-08-28,58.3,57.909397010823
145,AJG,2017-08-25,58.38,57.988861020443
146,AJG,2017-08-24,58.31,57.919330012025
147,AJG,2017-08-23,58.21,57.82
148,AJG,2017-08-22,58.62,58.227253049304
149,AJG,2017-08-21,58.13,57.74053599038
150,AJG,2017-08-18,57.94,57.551808967531
151,AJG,2017-08-17,57.85,57.462411956708
152,AJG,2017-08-16,58.91,58.515310084178
153,AJG,2017-08-15,58.72,58.32658306133
154,AJG,2017-08-14,58.86,58.465645078165
155,AJG,2017-08-11,58.42,58.028593025253
156,AJG,2017-08-10,58.61,58.217320048102
157,AJG,2017-08-09,58.9,58.505377082975
158,AJG,2017-08-08,58.81,58.415980072153
159,AJG,2017-08-07,58.91,58.515310084178
160,AJG,2017-08-04,59.02,58.624573097406
161,AJG,2017-08-03,58.65,58.257052052912
162,AJG,2017-08-02,59.02,58.624573097406
163,AJG,2017-08-01,59.19,58.793434117849
164,AJG,2017-07-31,58.79,58.396114069747
165,AJG,2017-07-28,59.41,59.011960144305
166,AJG,2017-07-27,58.03,57.641205978354
167,AJG,2017-07-26,58.67,58.276918055317
168,AJG,2017-07-25,59.1,58.704037107026
169,AJG,2017-07-24,58.83,58.435846074558
170,AJG,2017-07-21,58.65,58.257052052912
171,AJG,2017-07-20,58.27,57.879598007215
172,AJG,2017-07-19,57.69,57.303483937468
173,AJG,2017-07-18,57.56,57.174354921835
174,AJG,2017-07-17,57.5,57.114756914619
175,AJG,2017-07-14,57.61,57.224019927847
176,AJG,2017-07-13,57.56,57.174354921835
177,AJG,2017-07-12,56.87,56.488977838859
178,AJG,2017-07-11,56.76,56.379714825631
179,AJG,2017-07-10,57.46,57.075024909809
180,AJG,2017-07-07,57.71,57.323349939873
181,AJG,2017-07-06,57.16,56.777034873733
182,AJG,2017-07-05,57.49,57.104823913417
183,AJG,2017-07-03,57.53,57.144555918227
184,AJG,2017-06-30,57.25,56.866431884556
185,AJG,2017-06-29,57.02,56.637972856897
186,AJG,2017-06-28,57.39,57.005493901392
187,AJG,2017-06-27,56.51,56.131389795568
188,AJG,2017-06-26,56.86,56.479044837657
189,AJG,2017-06-23,56.71,56.330049819619
190,AJG,2017-06-22,57.1,56.717436866518
191,AJG,2017-06-21,57.9,57.512076962721
192,AJG,2017-06-20,58.66,58.266985054114
193,AJG,2017-06-19,59.01,58.614640096203
194,AJG,2017-06-16,58.97,58.574908091393
195,AJG,2017-06-15,58.81,58.415980072153
196,AJG,2017-06-14,57.97,57.581607971139
197,AJG,2017-06-13,58.13,57.74053599038
198,AJG,2017-06-12,58.05,57.661071980759
199,AJG,2017-06-09,57.88,57.492210960316
200,AJG,2017-06-08,57.39,57.005493901392
201,AJG,2017-06-07,56.93,56.548575846075
202,AJG,2017-06-06,56.25,55.873131764302
203,AJG,2017-06-05,56.91,56.528709843669
204,AJG,2017-06-02,57.35,56.965761896581
205,AJG,2017-06-01,57.46,57.075024909809
206,AJG,2017-05-31,56.73,56.349915822024
207,AJG,2017-05-30,56.97,56.201938101903
208,AJG,2017-05-26,57.12,56.349915822024
209,AJG,2017-05-25,57.55,56.774118619704
210,AJG,2017-05-24,56.84,56.073690744465
211,AJG,2017-05-23,56.69,55.925713024344
212,AJG,2017-05-22,56.27,55.511375408005
213,AJG,2017-05-19,55.76,55.008251159595
214,AJG,2017-05-18,55.38,54.633374268622
215,AJG,2017-05-17,54.96,54.219036652283
216,AJG,2017-05-16,55.31,54.564317999232
217,AJG,2017-05-15,55.19,54.445935823135
218,AJG,2017-05-12,54.73,53.992137481431
219,AJG,2017-05-11,55.13,54.386744735087
220,AJG,2017-05-10,55.48,54.732026082036
221,AJG,2017-05-09,55.22,54.475531367159
222,AJG,2017-05-08,55.48,54.732026082036
223,AJG,2017-05-05,55.71,54.958925252888
224,AJG,2017-05-04,55.36,54.613643905939
225,AJG,2017-05-03,55.01,54.26836255899
226,AJG,2017-05-02,55.07,54.327553647039
227,AJG,2017-05-01,55.94,55.18582442374
228,AJG,2017-04-28,55.81,55.057577066302
229,AJG,2017-04-27,56.73,55.965173749709
230,AJG,2017-04-26,56.35,55.590296858737
231,AJG,2017-04-25,56.43,55.669218309468
232,AJG,2017-04-24,56.05,55.294341418495
233,AJG,2017-04-21,55.61,54.860273439474
234,AJG,2017-04-20,56.25,55.491645045323
235,AJG,2017-04-19,55.82,55.067442247643
236,AJG,2017-04-18,56.04,55.284476237154
237,AJG,2017-04-17,56.28,55.521240589347
238,AJG,2017-04-13,55.51,54.76162162606
239,AJG,2017-04-12,55.79,55.037846703619
240,AJG,2017-04-11,56.3,55.54097095203
241,AJG,2017-04-10,56.34,55.580431677395
242,AJG,2017-04-07,56.33,55.570566496054
243,AJG,2017-04-06,56.4,55.639622765444
244,AJG,2017-04-05,56.0,55.245015511788
245,AJG,2017-04-04,56.38,55.619892402761
246,AJG,2017-04-03,56.02,55.264745874471
247,AJG,2017-03-31,56.54,55.777735304223
248,AJG,2017-03-30,56.77,56.004634475075
