None,ticker,date,close,adj_close
0,AKAM,2018-03-27,70.75,70.75
1,AKAM,2018-03-26,72.18,72.18
2,AKAM,2018-03-23,70.19,70.19
3,AKAM,2018-03-22,71.65,71.65
4,AKAM,2018-03-21,73.39,73.39
5,AKAM,2018-03-20,73.68,73.68
6,AKAM,2018-03-19,72.49,72.49
7,AKAM,2018-03-16,74.02,74.02
8,AKAM,2018-03-15,74.71,74.71
9,AKAM,2018-03-14,73.25,73.25
10,AKAM,2018-03-13,73.3,73.3
11,AKAM,2018-03-12,74.97,74.97
12,AKAM,2018-03-09,76.07,76.07
13,AKAM,2018-03-08,75.08,75.08
14,AKAM,2018-03-07,69.99,69.99
15,AKAM,2018-03-06,69.94,69.94
16,AKAM,2018-03-05,69.81,69.81
17,AKAM,2018-03-02,69.43,69.43
18,AKAM,2018-03-01,67.92,67.92
19,AKAM,2018-02-28,67.46,67.46
20,AKAM,2018-02-27,68.24,68.24
21,AKAM,2018-02-26,68.6,68.6
22,AKAM,2018-02-23,67.36,67.36
23,AKAM,2018-02-22,66.28,66.28
24,AKAM,2018-02-21,66.32,66.32
25,AKAM,2018-02-20,66.77,66.77
26,AKAM,2018-02-16,66.89,66.89
27,AKAM,2018-02-15,67.4,67.4
28,AKAM,2018-02-14,66.87,66.87
29,AKAM,2018-02-13,64.49,64.49
30,AKAM,2018-02-12,64.93,64.93
31,AKAM,2018-02-09,64.14,64.14
32,AKAM,2018-02-08,62.46,62.46
33,AKAM,2018-02-07,64.48,64.48
34,AKAM,2018-02-06,63.67,63.67
35,AKAM,2018-02-05,63.33,63.33
36,AKAM,2018-02-02,65.72,65.72
37,AKAM,2018-02-01,67.56,67.56
38,AKAM,2018-01-31,66.99,66.99
39,AKAM,2018-01-30,66.56,66.56
40,AKAM,2018-01-29,67.25,67.25
41,AKAM,2018-01-26,67.62,67.62
42,AKAM,2018-01-25,66.87,66.87
43,AKAM,2018-01-24,66.02,66.02
44,AKAM,2018-01-23,66.0,66.0
45,AKAM,2018-01-22,65.65,65.65
46,AKAM,2018-01-19,65.63,65.63
47,AKAM,2018-01-18,65.08,65.08
48,AKAM,2018-01-17,65.4,65.4
49,AKAM,2018-01-16,64.5,64.5
50,AKAM,2018-01-12,65.52,65.52
51,AKAM,2018-01-11,65.21,65.21
52,AKAM,2018-01-10,66.34,66.34
53,AKAM,2018-01-09,67.49,67.49
54,AKAM,2018-01-08,65.88,65.88
55,AKAM,2018-01-05,65.83,65.83
56,AKAM,2018-01-04,65.6,65.6
57,AKAM,2018-01-03,65.94,65.94
58,AKAM,2018-01-02,65.56,65.56
59,AKAM,2017-12-29,65.04,65.04
60,AKAM,2017-12-28,65.43,65.43
61,AKAM,2017-12-27,65.19,65.19
62,AKAM,2017-12-26,65.42,65.42
63,AKAM,2017-12-22,65.45,65.45
64,AKAM,2017-12-21,65.84,65.84
65,AKAM,2017-12-20,66.63,66.63
66,AKAM,2017-12-19,66.82,66.82
67,AKAM,2017-12-18,65.67,65.67
68,AKAM,2017-12-15,57.76,57.76
69,AKAM,2017-12-14,56.76,56.76
70,AKAM,2017-12-13,56.66,56.66
71,AKAM,2017-12-12,57.02,57.02
72,AKAM,2017-12-11,56.55,56.55
73,AKAM,2017-12-08,56.5,56.5
74,AKAM,2017-12-07,56.44,56.44
75,AKAM,2017-12-06,55.77,55.77
76,AKAM,2017-12-05,56.44,56.44
77,AKAM,2017-12-04,56.44,56.44
78,AKAM,2017-12-01,55.79,55.79
79,AKAM,2017-11-30,55.78,55.78
80,AKAM,2017-11-29,55.34,55.34
81,AKAM,2017-11-28,55.36,55.36
82,AKAM,2017-11-27,55.35,55.35
83,AKAM,2017-11-24,55.79,55.79
84,AKAM,2017-11-22,55.69,55.69
85,AKAM,2017-11-21,55.68,55.68
86,AKAM,2017-11-20,55.38,55.38
87,AKAM,2017-11-17,55.44,55.44
88,AKAM,2017-11-16,55.26,55.26
89,AKAM,2017-11-15,54.01,54.01
90,AKAM,2017-11-14,53.75,53.75
91,AKAM,2017-11-13,53.52,53.52
92,AKAM,2017-11-10,54.26,54.26
93,AKAM,2017-11-09,53.85,53.85
94,AKAM,2017-11-07,53.76,53.76
95,AKAM,2017-11-06,53.74,53.74
96,AKAM,2017-11-03,53.01,53.01
97,AKAM,2017-11-02,52.29,52.29
