None,ticker,date,close,adj_close
0,ALGN,2018-03-27,248.3,248.3
1,ALGN,2018-03-26,261.52,261.52
2,ALGN,2018-03-23,250.92,250.92
3,ALGN,2018-03-22,260.13,260.13
4,ALGN,2018-03-21,270.14,270.14
5,ALGN,2018-03-20,270.4,270.4
6,ALGN,2018-03-19,265.39,265.39
7,ALGN,2018-03-16,270.41,270.41
8,ALGN,2018-03-15,272.87,272.87
9,ALGN,2018-03-14,272.48,272.48
10,ALGN,2018-03-13,269.71,269.71
11,ALGN,2018-03-12,275.61,275.61
12,ALGN,2018-03-09,271.74,271.74
13,ALGN,2018-03-08,268.18,268.18
14,ALGN,2018-03-07,262.9,262.9
15,ALGN,2018-03-06,255.97,255.97
16,ALGN,2018-03-05,255.49,255.49
17,ALGN,2018-03-02,253.71,253.71
18,ALGN,2018-03-01,245.55,245.55
19,ALGN,2018-02-28,262.52,262.52
20,ALGN,2018-02-27,263.87,263.87
21,ALGN,2018-02-26,266.58,266.58
22,ALGN,2018-02-23,265.07,265.07
23,ALGN,2018-02-22,259.68,259.68
24,ALGN,2018-02-21,252.14,252.14
25,ALGN,2018-02-20,255.45,255.45
26,ALGN,2018-02-16,251.5,251.5
27,ALGN,2018-02-15,252.77,252.77
28,ALGN,2018-02-14,246.34,246.34
29,ALGN,2018-02-13,233.73,233.73
30,ALGN,2018-02-12,233.13,233.13
31,ALGN,2018-02-09,229.28,229.28
32,ALGN,2018-02-08,220.77,220.77
33,ALGN,2018-02-07,234.33,234.33
34,ALGN,2018-02-06,241.45,241.45
35,ALGN,2018-02-05,243.8,243.8
36,ALGN,2018-02-02,257.38,257.38
37,ALGN,2018-02-01,255.57,255.57
38,ALGN,2018-01-31,262.0,262.0
39,ALGN,2018-01-30,270.08,270.08
40,ALGN,2018-01-29,276.77,276.77
41,ALGN,2018-01-26,283.97,283.97
42,ALGN,2018-01-25,273.56,273.56
43,ALGN,2018-01-24,272.28,272.28
44,ALGN,2018-01-23,272.16,272.16
45,ALGN,2018-01-22,267.1,267.1
46,ALGN,2018-01-19,269.46,269.46
47,ALGN,2018-01-18,270.7,270.7
48,ALGN,2018-01-17,272.25,272.25
49,ALGN,2018-01-16,263.88,263.88
50,ALGN,2018-01-12,258.43,258.43
51,ALGN,2018-01-11,252.91,252.91
52,ALGN,2018-01-10,248.31,248.31
53,ALGN,2018-01-09,251.44,251.44
54,ALGN,2018-01-08,248.9,248.9
55,ALGN,2018-01-05,241.07,241.07
56,ALGN,2018-01-04,233.3,233.3
57,ALGN,2018-01-03,231.2,231.2
58,ALGN,2018-01-02,224.62,224.62
59,ALGN,2017-12-29,222.19,222.19
60,ALGN,2017-12-28,226.48,226.48
61,ALGN,2017-12-27,226.45,226.45
62,ALGN,2017-12-26,223.54,223.54
63,ALGN,2017-12-22,223.12,223.12
64,ALGN,2017-12-21,218.76,218.76
65,ALGN,2017-12-20,233.65,233.65
66,ALGN,2017-12-19,235.05,235.05
67,ALGN,2017-12-18,235.47,235.47
68,ALGN,2017-12-15,233.55,233.55
69,ALGN,2017-12-14,233.8,233.8
70,ALGN,2017-12-13,235.63,235.63
71,ALGN,2017-12-12,234.37,234.37
72,ALGN,2017-12-11,233.66,233.66
73,ALGN,2017-12-08,238.43,238.43
74,ALGN,2017-12-07,241.38,241.38
75,ALGN,2017-12-06,233.01,233.01
76,ALGN,2017-12-05,227.36,227.36
77,ALGN,2017-12-04,225.8,225.8
78,ALGN,2017-12-01,254.07,254.07
79,ALGN,2017-11-30,260.88,260.88
80,ALGN,2017-11-29,258.37,258.37
81,ALGN,2017-11-28,264.23,264.23
82,ALGN,2017-11-27,262.42,262.42
83,ALGN,2017-11-24,254.76,254.76
84,ALGN,2017-11-22,254.38,254.38
85,ALGN,2017-11-21,256.43,256.43
86,ALGN,2017-11-20,255.51,255.51
87,ALGN,2017-11-17,253.89,253.89
88,ALGN,2017-11-16,254.92,254.92
89,ALGN,2017-11-15,249.19,249.19
90,ALGN,2017-11-14,254.02,254.02
91,ALGN,2017-11-13,253.73,253.73
92,ALGN,2017-11-10,249.46,249.46
93,ALGN,2017-11-09,249.63,249.63
94,ALGN,2017-11-07,246.46,246.46
95,ALGN,2017-11-06,244.5,244.5
96,ALGN,2017-11-03,241.35,241.35
97,ALGN,2017-11-02,233.47,233.47
98,ALGN,2017-11-01,234.95,234.95
99,ALGN,2017-10-31,238.98,238.98
100,ALGN,2017-10-30,235.57,235.57
101,ALGN,2017-10-27,235.94,235.94
102,ALGN,2017-10-26,202.98,202.98
103,ALGN,2017-10-25,201.71,201.71
104,ALGN,2017-10-24,203.72,203.72
105,ALGN,2017-10-23,202.76,202.76
106,ALGN,2017-10-20,200.85,200.85
107,ALGN,2017-10-19,196.85,196.85
108,ALGN,2017-10-18,194.23,194.23
109,ALGN,2017-10-17,194.27,194.27
110,ALGN,2017-10-16,193.37,193.37
111,ALGN,2017-10-13,192.81,192.81
112,ALGN,2017-10-12,192.38,192.38
113,ALGN,2017-10-11,192.46,192.46
114,ALGN,2017-10-10,188.67,188.67
115,ALGN,2017-10-09,188.13,188.13
116,ALGN,2017-10-06,187.04,187.04
117,ALGN,2017-10-05,186.61,186.61
118,ALGN,2017-10-04,185.98,185.98
119,ALGN,2017-10-03,186.45,186.45
120,ALGN,2017-10-02,187.22,187.22
121,ALGN,2017-09-29,186.27,186.27
122,ALGN,2017-09-28,183.04,183.04
123,ALGN,2017-09-27,184.78,184.78
124,ALGN,2017-09-26,184.2,184.2
125,ALGN,2017-09-25,184.89,184.89
126,ALGN,2017-09-22,188.0,188.0
127,ALGN,2017-09-21,186.32,186.32
128,ALGN,2017-09-20,188.78,188.78
129,ALGN,2017-09-19,187.18,187.18
130,ALGN,2017-09-18,188.34,188.34
131,ALGN,2017-09-15,184.5,184.5
132,ALGN,2017-09-14,184.86,184.86
133,ALGN,2017-09-13,183.57,183.57
134,ALGN,2017-09-12,185.66,185.66
135,ALGN,2017-09-11,184.12,184.12
136,ALGN,2017-09-08,181.44,181.44
137,ALGN,2017-09-07,179.99,179.99
138,ALGN,2017-09-06,176.63,176.63
139,ALGN,2017-09-05,179.33,179.33
140,ALGN,2017-09-01,176.355,176.355
141,ALGN,2017-08-31,176.74,176.74
142,ALGN,2017-08-30,174.88,174.88
143,ALGN,2017-08-29,173.99,173.99
144,ALGN,2017-08-28,175.11,175.11
145,ALGN,2017-08-25,172.55,172.55
146,ALGN,2017-08-24,175.31,175.31
147,ALGN,2017-08-23,172.85,172.85
148,ALGN,2017-08-22,172.55,172.55
149,ALGN,2017-08-21,167.98,167.98
150,ALGN,2017-08-18,168.61,168.61
151,ALGN,2017-08-17,169.36,169.36
152,ALGN,2017-08-16,178.46,178.46
153,ALGN,2017-08-15,177.97,177.97
154,ALGN,2017-08-14,174.16,174.16
155,ALGN,2017-08-11,173.56,173.56
156,ALGN,2017-08-10,171.23,171.23
157,ALGN,2017-08-09,175.77,175.77
158,ALGN,2017-08-08,173.62,173.62
159,ALGN,2017-08-07,174.01,174.01
160,ALGN,2017-08-04,169.3,169.3
161,ALGN,2017-08-03,170.46,170.46
162,ALGN,2017-08-02,167.99,167.99
163,ALGN,2017-08-01,169.43,169.43
164,ALGN,2017-07-31,167.23,167.23
165,ALGN,2017-07-28,173.06,173.06
166,ALGN,2017-07-27,157.26,157.26
167,ALGN,2017-07-26,158.69,158.69
168,ALGN,2017-07-25,158.56,158.56
169,ALGN,2017-07-24,161.19,161.19
170,ALGN,2017-07-21,158.87,158.87
171,ALGN,2017-07-20,160.17,160.17
172,ALGN,2017-07-19,159.28,159.28
173,ALGN,2017-07-18,156.02,156.02
174,ALGN,2017-07-17,156.21,156.21
175,ALGN,2017-07-14,154.3,154.3
176,ALGN,2017-07-13,152.19,152.19
177,ALGN,2017-07-12,152.51,152.51
178,ALGN,2017-07-11,151.59,151.59
179,ALGN,2017-07-10,151.58,151.58
180,ALGN,2017-07-07,151.95,151.95
181,ALGN,2017-07-06,149.74,149.74
182,ALGN,2017-07-05,151.94,151.94
183,ALGN,2017-07-03,149.03,149.03
184,ALGN,2017-06-30,150.12,150.12
185,ALGN,2017-06-29,148.62,148.62
186,ALGN,2017-06-28,152.24,152.24
187,ALGN,2017-06-27,149.34,149.34
188,ALGN,2017-06-26,151.67,151.67
189,ALGN,2017-06-23,153.5,153.5
190,ALGN,2017-06-22,149.69,149.69
191,ALGN,2017-06-21,149.42,149.42
192,ALGN,2017-06-20,146.99,146.99
193,ALGN,2017-06-19,149.7,149.7
194,ALGN,2017-06-16,145.26,145.26
195,ALGN,2017-06-15,144.02,144.02
196,ALGN,2017-06-14,144.3,144.3
197,ALGN,2017-06-13,144.38,144.38
198,ALGN,2017-06-12,143.41,143.41
199,ALGN,2017-06-09,148.85,148.85
200,ALGN,2017-06-08,151.82,151.82
201,ALGN,2017-06-07,149.13,149.13
202,ALGN,2017-06-06,148.62,148.62
203,ALGN,2017-06-05,148.83,148.83
204,ALGN,2017-06-02,149.7,149.7
205,ALGN,2017-06-01,145.91,145.91
206,ALGN,2017-05-31,145.2,145.2
207,ALGN,2017-05-30,143.33,143.33
208,ALGN,2017-05-26,142.1,142.1
209,ALGN,2017-05-25,141.39,141.39
210,ALGN,2017-05-24,138.65,138.65
211,ALGN,2017-05-23,138.22,138.22
212,ALGN,2017-05-22,138.1,138.1
213,ALGN,2017-05-19,138.43,138.43
214,ALGN,2017-05-18,137.69,137.69
215,ALGN,2017-05-17,136.08,136.08
216,ALGN,2017-05-16,138.61,138.61
217,ALGN,2017-05-15,138.46,138.46
218,ALGN,2017-05-12,138.67,138.67
219,ALGN,2017-05-11,137.46,137.46
220,ALGN,2017-05-10,137.01,137.01
221,ALGN,2017-05-09,138.17,138.17
