None,ticker,date,close,adj_close
0,ALK,2018-03-27,61.49,61.49
1,ALK,2018-03-26,62.16,62.16
2,ALK,2018-03-23,61.88,61.88
3,ALK,2018-03-22,62.82,62.82
4,ALK,2018-03-21,64.21,64.21
5,ALK,2018-03-20,65.19,65.19
6,ALK,2018-03-19,65.1,65.1
7,ALK,2018-03-16,66.51,66.51
8,ALK,2018-03-15,65.92,65.92
9,ALK,2018-03-14,65.67,65.67
10,ALK,2018-03-13,68.79,68.79
11,ALK,2018-03-12,65.78,65.78
12,ALK,2018-03-09,64.8,64.8
13,ALK,2018-03-08,64.8,64.8
14,ALK,2018-03-07,64.0,64.0
15,ALK,2018-03-06,64.3,64.3
16,ALK,2018-03-05,63.62,63.62
17,ALK,2018-03-02,63.38,63.38
18,ALK,2018-03-01,64.65,64.65
19,ALK,2018-02-28,64.5,64.5
20,ALK,2018-02-27,64.89,64.89
21,ALK,2018-02-26,66.15,66.15
22,ALK,2018-02-23,64.98,64.98
23,ALK,2018-02-22,64.17,64.17
24,ALK,2018-02-21,64.69,64.69
25,ALK,2018-02-20,64.39,64.39
26,ALK,2018-02-16,64.97,64.97
27,ALK,2018-02-15,66.17,66.17
28,ALK,2018-02-14,66.76,66.76
29,ALK,2018-02-13,66.89,66.89
30,ALK,2018-02-12,66.01,66.01
31,ALK,2018-02-09,64.72,64.72
32,ALK,2018-02-08,64.04,64.04
33,ALK,2018-02-07,64.23,64.23
34,ALK,2018-02-06,63.19,63.19
35,ALK,2018-02-05,62.74,62.74
36,ALK,2018-02-02,64.56,64.56
37,ALK,2018-02-01,64.08,64.08
38,ALK,2018-01-31,65.73,65.73
39,ALK,2018-01-30,64.2,64.2
40,ALK,2018-01-29,65.48,65.48
41,ALK,2018-01-26,64.54,64.54
42,ALK,2018-01-25,62.07,62.07
43,ALK,2018-01-24,64.69,64.69
44,ALK,2018-01-23,69.47,69.47
45,ALK,2018-01-22,68.55,68.55
46,ALK,2018-01-19,68.88,68.88
47,ALK,2018-01-18,69.79,69.79
48,ALK,2018-01-17,70.82,70.82
49,ALK,2018-01-16,71.28,71.28
50,ALK,2018-01-12,73.52,73.52
51,ALK,2018-01-11,74.81,74.81
52,ALK,2018-01-10,72.05,72.05
53,ALK,2018-01-09,71.29,71.29
54,ALK,2018-01-08,72.75,72.75
55,ALK,2018-01-05,73.74,73.74
56,ALK,2018-01-04,73.85,73.85
57,ALK,2018-01-03,74.66,74.66
