None,ticker,date,close,adj_close
0,ALLE,2018-03-27,84.0,84.0
1,ALLE,2018-03-26,84.56,84.56
2,ALLE,2018-03-23,82.96,82.96
3,ALLE,2018-03-22,84.6,84.6
4,ALLE,2018-03-21,85.94,85.94
5,ALLE,2018-03-20,85.63,85.63
6,ALLE,2018-03-19,85.25,85.25
7,ALLE,2018-03-16,85.88,85.88
8,ALLE,2018-03-15,85.48,85.48
9,ALLE,2018-03-14,85.36,85.36
10,ALLE,2018-03-13,86.09,86.09
11,ALLE,2018-03-12,87.4,87.4
12,ALLE,2018-03-09,87.21,87.21
13,ALLE,2018-03-08,84.76,84.76
14,ALLE,2018-03-07,83.93,83.93
15,ALLE,2018-03-06,83.92,83.92
16,ALLE,2018-03-05,83.01,83.01
17,ALLE,2018-03-02,82.23,82.23
18,ALLE,2018-03-01,82.07,82.07
19,ALLE,2018-02-28,84.11,84.11
20,ALLE,2018-02-27,86.97,86.97
21,ALLE,2018-02-26,87.85,87.85
22,ALLE,2018-02-23,86.17,86.17
23,ALLE,2018-02-22,86.04,86.04
24,ALLE,2018-02-21,86.72,86.72
25,ALLE,2018-02-20,85.66,85.66
26,ALLE,2018-02-16,82.72,82.72
27,ALLE,2018-02-15,82.26,82.26
28,ALLE,2018-02-14,79.97,79.97
29,ALLE,2018-02-13,79.65,79.65
30,ALLE,2018-02-12,79.75,79.75
31,ALLE,2018-02-09,78.49,78.49
32,ALLE,2018-02-08,77.32,77.32
33,ALLE,2018-02-07,79.96,79.96
34,ALLE,2018-02-06,80.11,80.11
35,ALLE,2018-02-05,79.11,79.11
36,ALLE,2018-02-02,81.85,81.85
37,ALLE,2018-02-01,85.17,85.17
38,ALLE,2018-01-31,86.11,86.11
39,ALLE,2018-01-30,85.44,85.44
40,ALLE,2018-01-29,86.68,86.68
41,ALLE,2018-01-26,86.37,86.37
42,ALLE,2018-01-25,85.35,85.35
43,ALLE,2018-01-24,85.58,85.58
44,ALLE,2018-01-23,85.35,85.35
45,ALLE,2018-01-22,85.8,85.8
46,ALLE,2018-01-19,86.23,86.23
47,ALLE,2018-01-18,84.05,84.05
48,ALLE,2018-01-17,84.21,84.21
49,ALLE,2018-01-16,84.07,84.07
50,ALLE,2018-01-12,85.04,85.04
51,ALLE,2018-01-11,84.38,84.38
52,ALLE,2018-01-10,82.6,82.6
53,ALLE,2018-01-09,82.93,82.93
54,ALLE,2018-01-08,81.24,81.24
55,ALLE,2018-01-05,81.57,81.57
56,ALLE,2018-01-04,81.37,81.37
57,ALLE,2018-01-03,80.25,80.25
58,ALLE,2018-01-02,79.91,79.91
59,ALLE,2017-12-29,79.56,79.56
60,ALLE,2017-12-28,79.56,79.56
61,ALLE,2017-12-27,80.0,80.0
62,ALLE,2017-12-26,80.39,80.39
63,ALLE,2017-12-22,80.34,80.34
64,ALLE,2017-12-21,81.0,81.0
65,ALLE,2017-12-20,81.0,81.0
66,ALLE,2017-12-19,80.07,80.07
67,ALLE,2017-12-18,82.56,82.56
68,ALLE,2017-12-15,82.28,82.28
69,ALLE,2017-12-14,81.68,81.68
70,ALLE,2017-12-13,82.64,82.64
71,ALLE,2017-12-12,82.15,82.15
72,ALLE,2017-12-11,82.17,82.17
73,ALLE,2017-12-08,82.46,82.46
74,ALLE,2017-12-07,83.11,83.11
75,ALLE,2017-12-06,81.79,81.79
76,ALLE,2017-12-05,82.0,82.0
77,ALLE,2017-12-04,83.43,83.43
78,ALLE,2017-12-01,84.58,84.58
79,ALLE,2017-11-30,84.14,84.14
80,ALLE,2017-11-29,82.94,82.94
81,ALLE,2017-11-28,83.33,83.33
82,ALLE,2017-11-27,83.1,83.1
83,ALLE,2017-11-24,82.92,82.92
84,ALLE,2017-11-22,83.16,83.16
85,ALLE,2017-11-21,83.4,83.4
86,ALLE,2017-11-20,83.24,83.24
87,ALLE,2017-11-17,82.65,82.65
88,ALLE,2017-11-16,82.41,82.41
89,ALLE,2017-11-15,82.03,82.03
90,ALLE,2017-11-14,82.9,82.9
91,ALLE,2017-11-13,83.94,83.94
92,ALLE,2017-11-10,83.13,83.13
93,ALLE,2017-11-09,82.08,82.08
94,ALLE,2017-11-07,83.53,83.53
95,ALLE,2017-11-06,83.09,83.09
96,ALLE,2017-11-03,82.02,82.02
97,ALLE,2017-11-02,82.23,82.23
98,ALLE,2017-11-01,82.73,82.73
99,ALLE,2017-10-31,83.39,83.39
100,ALLE,2017-10-30,81.97,81.97
101,ALLE,2017-10-27,80.29,80.29
102,ALLE,2017-10-26,80.7,80.7
103,ALLE,2017-10-25,86.5,86.5
104,ALLE,2017-10-24,88.48,88.48
105,ALLE,2017-10-23,87.31,87.31
106,ALLE,2017-10-20,88.02,88.02
107,ALLE,2017-10-19,87.74,87.74
108,ALLE,2017-10-18,87.6,87.6
109,ALLE,2017-10-17,87.0,87.0
110,ALLE,2017-10-16,88.14,88.14
111,ALLE,2017-10-13,88.3,88.3
112,ALLE,2017-10-12,89.56,89.56
113,ALLE,2017-10-11,88.15,88.15
114,ALLE,2017-10-10,87.81,87.81
115,ALLE,2017-10-09,87.62,87.62
116,ALLE,2017-10-06,87.19,87.19
117,ALLE,2017-10-05,87.07,87.07
118,ALLE,2017-10-04,86.73,86.73
119,ALLE,2017-10-03,87.47,87.47
120,ALLE,2017-10-02,86.53,86.53
121,ALLE,2017-09-29,86.47,86.47
122,ALLE,2017-09-28,85.76,85.76
123,ALLE,2017-09-27,85.33,85.33
124,ALLE,2017-09-26,85.35,85.35
125,ALLE,2017-09-25,84.5,84.5
126,ALLE,2017-09-22,84.55,84.55
127,ALLE,2017-09-21,83.47,83.47
128,ALLE,2017-09-20,83.57,83.57
129,ALLE,2017-09-19,82.85,82.85
130,ALLE,2017-09-18,82.65,82.65
131,ALLE,2017-09-15,82.77,82.77
132,ALLE,2017-09-14,82.62,82.460598094779
133,ALLE,2017-09-13,81.81,81.652160858555
134,ALLE,2017-09-12,81.0,80.843723622332
135,ALLE,2017-09-11,81.07,80.913588568672
136,ALLE,2017-09-08,80.81,80.654090196551
137,ALLE,2017-09-07,80.22,80.065228505969
138,ALLE,2017-09-06,80.26,80.105151332449
139,ALLE,2017-09-05,79.4,79.246810563126
140,ALLE,2017-09-01,79.15,78.997292897625
141,ALLE,2017-08-31,78.71,78.558141806343
142,ALLE,2017-08-30,78.3,78.148932834921
143,ALLE,2017-08-29,77.77,77.619955384059
144,ALLE,2017-08-28,78.05,77.89941516942
145,ALLE,2017-08-25,77.62,77.470244784758
146,ALLE,2017-08-24,77.15,77.001151573616
147,ALLE,2017-08-23,77.09,76.941267333896
148,ALLE,2017-08-22,78.08,77.92935728928
149,ALLE,2017-08-21,77.48,77.330514892078
150,ALLE,2017-08-18,78.17,78.01918364886
151,ALLE,2017-08-17,78.83,78.677910285783
152,ALLE,2017-08-16,79.29,79.137022790305
153,ALLE,2017-08-15,78.95,78.797678765224
154,ALLE,2017-08-14,79.47,79.316675509466
155,ALLE,2017-08-11,79.28,79.127042083685
156,ALLE,2017-08-10,78.92,78.767736645364
157,ALLE,2017-08-09,80.59,80.43451465091
158,ALLE,2017-08-08,81.37,81.213009767274
159,ALLE,2017-08-07,81.99,81.831813577716
160,ALLE,2017-08-04,81.32,81.163106234173
161,ALLE,2017-08-03,80.76,80.604186663451
162,ALLE,2017-08-02,80.85,80.694013023031
163,ALLE,2017-08-01,81.47,81.312816833474
164,ALLE,2017-07-31,81.24,81.083260581213
165,ALLE,2017-07-28,81.4,81.242951887134
166,ALLE,2017-07-27,81.2,81.043337754733
167,ALLE,2017-07-26,78.49,78.338566260702
168,ALLE,2017-07-25,79.1,78.947389364524
169,ALLE,2017-07-24,80.31,80.155054865549
170,ALLE,2017-07-21,80.41,80.25486193175
171,ALLE,2017-07-20,81.09,80.933549981912
172,ALLE,2017-07-19,80.7,80.544302423731
173,ALLE,2017-07-18,80.6,80.44449535753
174,ALLE,2017-07-17,80.83,80.674051609791
175,ALLE,2017-07-14,80.77,80.614167370071
176,ALLE,2017-07-13,80.79,80.634128783311
177,ALLE,2017-07-12,81.99,81.831813577716
178,ALLE,2017-07-11,81.47,81.312816833474
179,ALLE,2017-07-10,81.53,81.372701073194
180,ALLE,2017-07-07,81.22,81.063299167973
181,ALLE,2017-07-06,80.66,80.504379597251
182,ALLE,2017-07-05,82.14,81.981524177017
183,ALLE,2017-07-03,81.37,81.213009767274
184,ALLE,2017-06-30,81.12,80.963492101773
185,ALLE,2017-06-29,79.82,79.666000241167
186,ALLE,2017-06-28,81.24,81.083260581213
187,ALLE,2017-06-27,80.59,80.43451465091
188,ALLE,2017-06-26,81.41,81.252932593754
189,ALLE,2017-06-23,81.45,81.292855420234
190,ALLE,2017-06-22,81.19,81.033357048113
