None,ticker,date,close,adj_close
0,ALXN,2018-03-27,108.33,108.33
1,ALXN,2018-03-26,111.55,111.55
2,ALXN,2018-03-23,110.79,110.79
3,ALXN,2018-03-22,114.23,114.23
4,ALXN,2018-03-21,117.89,117.89
5,ALXN,2018-03-20,120.22,120.22
6,ALXN,2018-03-19,122.03,122.03
7,ALXN,2018-03-16,126.75,126.75
8,ALXN,2018-03-15,126.83,126.83
9,ALXN,2018-03-14,122.68,122.68
10,ALXN,2018-03-13,121.08,121.08
11,ALXN,2018-03-12,127.08,127.08
12,ALXN,2018-03-09,125.68,125.68
13,ALXN,2018-03-08,120.01,120.01
14,ALXN,2018-03-07,118.38,118.38
15,ALXN,2018-03-06,118.13,118.13
16,ALXN,2018-03-05,119.5,119.5
17,ALXN,2018-03-02,117.92,117.92
18,ALXN,2018-03-01,115.11,115.11
19,ALXN,2018-02-28,117.45,117.45
20,ALXN,2018-02-27,118.34,118.34
21,ALXN,2018-02-26,121.33,121.33
22,ALXN,2018-02-23,118.93,118.93
23,ALXN,2018-02-22,114.59,114.59
24,ALXN,2018-02-21,117.1,117.1
25,ALXN,2018-02-20,118.85,118.85
26,ALXN,2018-02-16,120.47,120.47
27,ALXN,2018-02-15,122.71,122.71
28,ALXN,2018-02-14,123.2,123.2
29,ALXN,2018-02-13,113.97,113.97
30,ALXN,2018-02-12,115.43,115.43
31,ALXN,2018-02-09,108.38,108.38
32,ALXN,2018-02-08,108.5,108.5
33,ALXN,2018-02-07,117.15,117.15
34,ALXN,2018-02-06,114.91,114.91
35,ALXN,2018-02-05,113.3,113.3
36,ALXN,2018-02-02,116.15,116.15
37,ALXN,2018-02-01,118.09,118.09
38,ALXN,2018-01-31,119.32,119.32
39,ALXN,2018-01-30,122.36,122.36
40,ALXN,2018-01-29,126.79,126.79
41,ALXN,2018-01-26,128.09,128.09
42,ALXN,2018-01-25,124.95,124.95
43,ALXN,2018-01-24,125.01,125.01
44,ALXN,2018-01-23,125.59,125.59
45,ALXN,2018-01-22,123.67,123.67
46,ALXN,2018-01-19,121.05,121.05
47,ALXN,2018-01-18,120.35,120.35
48,ALXN,2018-01-17,122.12,122.12
49,ALXN,2018-01-16,124.48,124.48
50,ALXN,2018-01-12,122.71,122.71
51,ALXN,2018-01-11,122.48,122.48
52,ALXN,2018-01-10,121.46,121.46
53,ALXN,2018-01-09,121.8,121.8
54,ALXN,2018-01-08,119.7,119.7
55,ALXN,2018-01-05,122.8,122.8
56,ALXN,2018-01-04,122.69,122.69
57,ALXN,2018-01-03,124.95,124.95
58,ALXN,2018-01-02,124.05,124.05
59,ALXN,2017-12-29,119.59,119.59
60,ALXN,2017-12-28,120.26,120.26
61,ALXN,2017-12-27,119.8,119.8
62,ALXN,2017-12-26,119.22,119.22
63,ALXN,2017-12-22,118.78,118.78
64,ALXN,2017-12-21,118.24,118.24
65,ALXN,2017-12-20,118.35,118.35
66,ALXN,2017-12-19,115.72,115.72
67,ALXN,2017-12-18,116.09,116.09
68,ALXN,2017-12-15,115.76,115.76
69,ALXN,2017-12-14,113.09,113.09
70,ALXN,2017-12-13,113.54,113.54
71,ALXN,2017-12-12,113.6,113.6
72,ALXN,2017-12-11,111.9,111.9
73,ALXN,2017-12-08,114.46,114.46
74,ALXN,2017-12-07,106.78,106.78
75,ALXN,2017-12-06,109.42,109.42
76,ALXN,2017-12-05,108.9,108.9
77,ALXN,2017-12-04,111.75,111.75
78,ALXN,2017-12-01,108.96,108.96
79,ALXN,2017-11-30,109.81,109.81
80,ALXN,2017-11-29,107.37,107.37
81,ALXN,2017-11-28,108.1,108.1
82,ALXN,2017-11-27,107.75,107.75
83,ALXN,2017-11-24,108.61,108.61
84,ALXN,2017-11-22,107.6,107.6
85,ALXN,2017-11-21,108.0595,108.0595
86,ALXN,2017-11-20,108.49,108.49
87,ALXN,2017-11-17,110.87,110.87
88,ALXN,2017-11-16,110.33,110.33
89,ALXN,2017-11-15,110.34,110.34
90,ALXN,2017-11-14,109.98,109.98
91,ALXN,2017-11-13,113.45,113.45
92,ALXN,2017-11-10,115.17,115.17
93,ALXN,2017-11-09,116.37,116.37
94,ALXN,2017-11-07,117.42,117.42
95,ALXN,2017-11-06,115.94,115.94
96,ALXN,2017-11-03,117.95,117.95
97,ALXN,2017-11-02,115.63,115.63
98,ALXN,2017-11-01,116.06,116.06
99,ALXN,2017-10-31,119.66,119.66
100,ALXN,2017-10-30,127.81,127.81
101,ALXN,2017-10-27,128.62,128.62
102,ALXN,2017-10-26,126.04,126.04
103,ALXN,2017-10-25,132.01,132.01
104,ALXN,2017-10-24,136.66,136.66
105,ALXN,2017-10-23,135.2,135.2
106,ALXN,2017-10-20,138.94,138.94
107,ALXN,2017-10-19,140.46,140.46
108,ALXN,2017-10-18,140.24,140.24
109,ALXN,2017-10-17,143.16,143.16
110,ALXN,2017-10-16,140.84,140.84
111,ALXN,2017-10-13,140.61,140.61
112,ALXN,2017-10-12,141.46,141.46
113,ALXN,2017-10-11,141.23,141.23
114,ALXN,2017-10-10,143.84,143.84
115,ALXN,2017-10-09,141.14,141.14
116,ALXN,2017-10-06,141.3,141.3
117,ALXN,2017-10-05,143.79,143.79
118,ALXN,2017-10-04,141.93,141.93
119,ALXN,2017-10-03,141.48,141.48
120,ALXN,2017-10-02,140.92,140.92
121,ALXN,2017-09-29,140.29,140.29
122,ALXN,2017-09-28,138.34,138.34
123,ALXN,2017-09-27,139.45,139.45
124,ALXN,2017-09-26,139.7,139.7
125,ALXN,2017-09-25,143.96,143.96
126,ALXN,2017-09-22,142.82,142.82
127,ALXN,2017-09-21,142.92,142.92
128,ALXN,2017-09-20,142.92,142.92
129,ALXN,2017-09-19,142.83,142.83
130,ALXN,2017-09-18,143.64,143.64
131,ALXN,2017-09-15,146.69,146.69
132,ALXN,2017-09-14,144.61,144.61
133,ALXN,2017-09-13,146.46,146.46
134,ALXN,2017-09-12,144.07,144.07
135,ALXN,2017-09-11,142.93,142.93
136,ALXN,2017-09-08,141.19,141.19
137,ALXN,2017-09-07,143.5,143.5
138,ALXN,2017-09-06,145.12,145.12
139,ALXN,2017-09-05,144.72,144.72
140,ALXN,2017-09-01,144.08,144.08
141,ALXN,2017-08-31,142.41,142.41
142,ALXN,2017-08-30,138.45,138.45
143,ALXN,2017-08-29,138.38,138.38
144,ALXN,2017-08-28,139.02,139.02
145,ALXN,2017-08-25,137.54,137.54
146,ALXN,2017-08-24,137.78,137.78
147,ALXN,2017-08-23,135.67,135.67
148,ALXN,2017-08-22,138.2,138.2
149,ALXN,2017-08-21,133.43,133.43
150,ALXN,2017-08-18,133.4,133.4
151,ALXN,2017-08-17,134.63,134.63
152,ALXN,2017-08-16,136.55,136.55
153,ALXN,2017-08-15,135.21,135.21
154,ALXN,2017-08-14,133.96,133.96
155,ALXN,2017-08-11,132.93,132.93
156,ALXN,2017-08-10,132.3,132.3
157,ALXN,2017-08-09,136.85,136.85
158,ALXN,2017-08-08,136.04,136.04
159,ALXN,2017-08-07,138.33,138.33
160,ALXN,2017-08-04,136.64,136.64
161,ALXN,2017-08-03,136.72,136.72
162,ALXN,2017-08-02,137.97,137.97
163,ALXN,2017-08-01,137.79,137.79
164,ALXN,2017-07-31,137.34,137.34
165,ALXN,2017-07-28,137.99,137.99
166,ALXN,2017-07-27,133.92,133.92
167,ALXN,2017-07-26,131.07,131.07
168,ALXN,2017-07-25,129.35,129.35
169,ALXN,2017-07-24,130.74,130.74
170,ALXN,2017-07-21,131.79,131.79
171,ALXN,2017-07-20,129.81,129.81
172,ALXN,2017-07-19,127.3,127.3
173,ALXN,2017-07-18,126.77,126.77
174,ALXN,2017-07-17,125.78,125.78
175,ALXN,2017-07-14,126.71,126.71
176,ALXN,2017-07-13,126.91,126.91
177,ALXN,2017-07-12,124.94,124.94
178,ALXN,2017-07-11,124.32,124.32
179,ALXN,2017-07-10,123.76,123.76
180,ALXN,2017-07-07,123.06,123.06
181,ALXN,2017-07-06,121.09,121.09
182,ALXN,2017-07-05,125.05,125.05
183,ALXN,2017-07-03,121.08,121.08
184,ALXN,2017-06-30,121.67,121.67
185,ALXN,2017-06-29,122.43,122.43
186,ALXN,2017-06-28,125.81,125.81
187,ALXN,2017-06-27,122.11,122.11
188,ALXN,2017-06-26,125.09,125.09
189,ALXN,2017-06-23,126.07,126.07
190,ALXN,2017-06-22,126.23,126.23
191,ALXN,2017-06-21,123.58,123.58
192,ALXN,2017-06-20,119.05,119.05
193,ALXN,2017-06-19,116.16,116.16
194,ALXN,2017-06-16,113.95,113.95
195,ALXN,2017-06-15,117.98,117.98
196,ALXN,2017-06-14,118.0,118.0
197,ALXN,2017-06-13,108.0,108.0
198,ALXN,2017-06-12,106.88,106.88
199,ALXN,2017-06-09,105.38,105.38
200,ALXN,2017-06-08,102.92,102.92
201,ALXN,2017-06-07,100.14,100.14
202,ALXN,2017-06-06,101.47,101.47
203,ALXN,2017-06-05,101.61,101.61
204,ALXN,2017-06-02,101.83,101.83
205,ALXN,2017-06-01,100.58,100.58
206,ALXN,2017-05-31,98.03,98.03
207,ALXN,2017-05-30,97.78,97.78
208,ALXN,2017-05-26,97.7,97.7
209,ALXN,2017-05-25,98.5,98.5
210,ALXN,2017-05-24,101.08,101.08
211,ALXN,2017-05-23,104.64,104.64
212,ALXN,2017-05-22,115.42,115.42
213,ALXN,2017-05-19,113.84,113.84
214,ALXN,2017-05-18,116.67,116.67
215,ALXN,2017-05-17,116.15,116.15
216,ALXN,2017-05-16,120.3,120.3
217,ALXN,2017-05-15,120.93,120.93
218,ALXN,2017-05-12,120.08,120.08
219,ALXN,2017-05-11,119.04,119.04
220,ALXN,2017-05-10,120.95,120.95
221,ALXN,2017-05-09,124.665,124.665
222,ALXN,2017-05-08,124.48,124.48
223,ALXN,2017-05-05,128.82,128.82
224,ALXN,2017-05-04,130.18,130.18
225,ALXN,2017-05-03,130.43,130.43
226,ALXN,2017-05-02,133.41,133.41
227,ALXN,2017-05-01,131.59,131.59
228,ALXN,2017-04-28,127.78,127.78
229,ALXN,2017-04-27,126.83,126.83
230,ALXN,2017-04-26,120.73,120.73
231,ALXN,2017-04-25,120.55,120.55
232,ALXN,2017-04-24,119.54,119.54
233,ALXN,2017-04-21,116.82,116.82
234,ALXN,2017-04-20,118.72,118.72
235,ALXN,2017-04-19,120.49,120.49
236,ALXN,2017-04-18,118.22,118.22
237,ALXN,2017-04-17,118.83,118.83
238,ALXN,2017-04-13,118.35,118.35
239,ALXN,2017-04-12,114.57,114.57
240,ALXN,2017-04-11,116.89,116.89
241,ALXN,2017-04-10,117.41,117.41
242,ALXN,2017-04-07,115.62,115.62
243,ALXN,2017-04-06,115.49,115.49
244,ALXN,2017-04-05,116.21,116.21
245,ALXN,2017-04-04,118.3,118.3
246,ALXN,2017-04-03,119.29,119.29
247,ALXN,2017-03-31,121.24,121.24
248,ALXN,2017-03-30,122.08,122.08
249,ALXN,2017-03-29,120.72,120.72
250,ALXN,2017-03-28,118.53,118.53
251,ALXN,2017-03-27,118.83,118.83
252,ALXN,2017-03-24,119.26,119.26
253,ALXN,2017-03-23,120.26,120.26
254,ALXN,2017-03-22,120.08,120.08
255,ALXN,2017-03-21,118.7,118.7
256,ALXN,2017-03-20,120.2,120.2
257,ALXN,2017-03-17,122.08,122.08
258,ALXN,2017-03-16,122.41,122.41
259,ALXN,2017-03-15,122.12,122.12
260,ALXN,2017-03-14,121.6,121.6
261,ALXN,2017-03-13,124.74,124.74
262,ALXN,2017-03-10,127.31,127.31
263,ALXN,2017-03-09,126.55,126.55
264,ALXN,2017-03-08,127.41,127.41
265,ALXN,2017-03-07,129.18,129.18
266,ALXN,2017-03-06,133.33,133.33
267,ALXN,2017-03-03,134.99,134.99
268,ALXN,2017-03-02,132.94,132.94
269,ALXN,2017-03-01,134.21,134.21
270,ALXN,2017-02-28,131.25,131.25
271,ALXN,2017-02-27,132.2,132.2
272,ALXN,2017-02-24,131.54,131.54
273,ALXN,2017-02-23,130.44,130.44
274,ALXN,2017-02-22,130.83,130.83
275,ALXN,2017-02-21,129.89,129.89
276,ALXN,2017-02-17,128.82,128.82
277,ALXN,2017-02-16,130.39,130.39
278,ALXN,2017-02-15,132.0,132.0
279,ALXN,2017-02-14,129.5,129.5
280,ALXN,2017-02-13,127.77,127.77
281,ALXN,2017-02-10,126.51,126.51
282,ALXN,2017-02-09,127.08,127.08
283,ALXN,2017-02-08,126.37,126.37
284,ALXN,2017-02-07,127.72,127.72
285,ALXN,2017-02-06,128.19,128.19
286,ALXN,2017-02-03,126.98,126.98
287,ALXN,2017-02-02,128.38,128.38
288,ALXN,2017-02-01,132.32,132.32
289,ALXN,2017-01-31,130.68,130.68
290,ALXN,2017-01-30,128.05,128.05
291,ALXN,2017-01-27,129.23,129.23
292,ALXN,2017-01-26,128.2,128.2
293,ALXN,2017-01-25,129.46,129.46
294,ALXN,2017-01-24,129.87,129.87
295,ALXN,2017-01-23,131.49,131.49
296,ALXN,2017-01-20,131.97,131.97
297,ALXN,2017-01-19,134.35,134.35
298,ALXN,2017-01-18,135.87,135.87
299,ALXN,2017-01-17,135.3,135.3
300,ALXN,2017-01-13,136.93,136.93
301,ALXN,2017-01-12,137.35,137.35
302,ALXN,2017-01-11,136.66,136.66
303,ALXN,2017-01-10,143.67,143.67
304,ALXN,2017-01-09,144.77,144.77
305,ALXN,2017-01-06,143.61,143.61
306,ALXN,2017-01-05,139.18,139.18
307,ALXN,2017-01-04,127.11,127.11
308,ALXN,2017-01-03,122.63,122.63
