None,ticker,date,close,adj_close
0,AMAT,2018-03-27,55.44,55.44
1,AMAT,2018-03-26,58.47,58.47
2,AMAT,2018-03-23,55.38,55.38
3,AMAT,2018-03-22,58.92,58.92
4,AMAT,2018-03-21,60.78,60.78
5,AMAT,2018-03-20,59.23,59.23
6,AMAT,2018-03-19,58.5,58.5
7,AMAT,2018-03-16,59.44,59.44
8,AMAT,2018-03-15,60.28,60.28
9,AMAT,2018-03-14,60.23,60.23
10,AMAT,2018-03-13,59.69,59.69
11,AMAT,2018-03-12,60.97,60.97
12,AMAT,2018-03-09,61.61,61.61
13,AMAT,2018-03-08,59.37,59.37
14,AMAT,2018-03-07,59.42,59.42
15,AMAT,2018-03-06,59.99,59.99
16,AMAT,2018-03-05,57.63,57.63
17,AMAT,2018-03-02,58.03,58.03
18,AMAT,2018-03-01,57.07,57.07
19,AMAT,2018-02-28,57.59,57.59
20,AMAT,2018-02-27,57.64,57.64
21,AMAT,2018-02-26,58.81,58.81
22,AMAT,2018-02-23,57.01,57.01
23,AMAT,2018-02-22,56.07,56.07
24,AMAT,2018-02-21,56.13,56.13
25,AMAT,2018-02-20,56.66,56.66
26,AMAT,2018-02-16,55.03,55.03
27,AMAT,2018-02-15,53.99,53.99
28,AMAT,2018-02-14,51.96,51.96
29,AMAT,2018-02-13,49.55,49.55
30,AMAT,2018-02-12,49.5,49.5
31,AMAT,2018-02-09,47.99,47.99
32,AMAT,2018-02-08,45.75,45.75
33,AMAT,2018-02-07,48.69,48.69
34,AMAT,2018-02-06,50.25,50.25
35,AMAT,2018-02-05,48.635,48.635
36,AMAT,2018-02-02,50.68,50.68
37,AMAT,2018-02-01,53.28,53.28
38,AMAT,2018-01-31,53.63,53.63
39,AMAT,2018-01-30,53.38,53.38
40,AMAT,2018-01-29,55.33,55.33
41,AMAT,2018-01-26,57.12,57.12
42,AMAT,2018-01-25,55.755,55.755
43,AMAT,2018-01-24,56.91,56.91
44,AMAT,2018-01-23,57.7904,57.7904
45,AMAT,2018-01-22,57.46,57.46
46,AMAT,2018-01-19,57.4,57.4
47,AMAT,2018-01-18,57.4,57.4
48,AMAT,2018-01-17,57.34,57.34
49,AMAT,2018-01-16,54.5,54.5
50,AMAT,2018-01-12,53.45,53.45
51,AMAT,2018-01-11,53.2,53.2
52,AMAT,2018-01-10,53.3,53.3
53,AMAT,2018-01-09,54.86,54.86
54,AMAT,2018-01-08,55.92,55.92
55,AMAT,2018-01-05,54.6,54.6
56,AMAT,2018-01-04,54.29,54.29
57,AMAT,2018-01-03,53.98,53.98
58,AMAT,2018-01-02,53.05,53.05
59,AMAT,2017-12-29,51.12,51.12
60,AMAT,2017-12-28,51.72,51.72
61,AMAT,2017-12-27,51.68,51.68
62,AMAT,2017-12-26,51.05,51.05
63,AMAT,2017-12-22,52.06,52.06
64,AMAT,2017-12-21,51.89,51.89
65,AMAT,2017-12-20,53.29,53.29
66,AMAT,2017-12-19,52.96,52.96
67,AMAT,2017-12-18,53.4,53.4
