None,ticker,date,close,adj_close
0,AMD,2018-03-27,10.0,10.0
1,AMD,2018-03-26,10.44,10.44
2,AMD,2018-03-23,10.63,10.63
3,AMD,2018-03-22,10.91,10.91
4,AMD,2018-03-21,11.26,11.26
5,AMD,2018-03-20,11.11,11.11
6,AMD,2018-03-19,11.43,11.43
7,AMD,2018-03-16,11.47,11.47
8,AMD,2018-03-15,11.46,11.46
9,AMD,2018-03-14,11.36,11.36
10,AMD,2018-03-13,11.635,11.635
11,AMD,2018-03-12,11.52,11.52
12,AMD,2018-03-09,11.7,11.7
13,AMD,2018-03-08,11.97,11.97
14,AMD,2018-03-07,12.24,12.24
15,AMD,2018-03-06,11.76,11.76
16,AMD,2018-03-05,11.91,11.91
17,AMD,2018-03-02,11.81,11.81
18,AMD,2018-03-01,11.9,11.9
19,AMD,2018-02-28,12.11,12.11
20,AMD,2018-02-27,12.53,12.53
21,AMD,2018-02-26,12.42,12.42
22,AMD,2018-02-23,12.07,12.07
23,AMD,2018-02-22,11.84,11.84
24,AMD,2018-02-21,11.72,11.72
25,AMD,2018-02-20,12.02,12.02
26,AMD,2018-02-16,11.82,11.82
27,AMD,2018-02-15,12.181,12.181
28,AMD,2018-02-14,12.2,12.2
29,AMD,2018-02-13,11.78,11.78
30,AMD,2018-02-12,11.68,11.68
31,AMD,2018-02-09,11.305,11.305
32,AMD,2018-02-08,11.215,11.215
33,AMD,2018-02-07,11.6,11.6
34,AMD,2018-02-06,11.64,11.64
35,AMD,2018-02-05,11.53,11.53
36,AMD,2018-02-02,12.45,12.45
37,AMD,2018-02-01,13.25,13.25
38,AMD,2018-01-31,13.735,13.735
39,AMD,2018-01-30,12.865,12.865
40,AMD,2018-01-29,13.32,13.32
41,AMD,2018-01-26,12.95,12.95
42,AMD,2018-01-25,12.41,12.41
43,AMD,2018-01-24,12.71,12.71
44,AMD,2018-01-23,12.94,12.94
45,AMD,2018-01-22,12.64,12.64
46,AMD,2018-01-19,12.59,12.59
47,AMD,2018-01-18,12.47,12.47
48,AMD,2018-01-17,12.18,12.18
49,AMD,2018-01-16,11.91,11.91
50,AMD,2018-01-12,12.02,12.02
51,AMD,2018-01-11,12.1404,12.1404
