None,ticker,date,close,adj_close
0,AMG,2018-03-27,185.23,185.23
1,AMG,2018-03-26,188.6,188.6
2,AMG,2018-03-23,180.92,180.92
3,AMG,2018-03-22,185.17,185.17
4,AMG,2018-03-21,192.26,192.26
5,AMG,2018-03-20,189.25,189.25
6,AMG,2018-03-19,190.66,190.66
7,AMG,2018-03-16,192.4,192.4
8,AMG,2018-03-15,190.46,190.46
9,AMG,2018-03-14,193.46,193.46
10,AMG,2018-03-13,194.95,194.95
11,AMG,2018-03-12,194.73,194.73
12,AMG,2018-03-09,196.11,196.11
13,AMG,2018-03-08,191.54,191.54
14,AMG,2018-03-07,190.1,190.1
15,AMG,2018-03-06,191.8,191.8
16,AMG,2018-03-05,188.16,188.16
17,AMG,2018-03-02,187.48,187.48
18,AMG,2018-03-01,185.37,185.37
19,AMG,2018-02-28,189.36,189.36
20,AMG,2018-02-27,190.25,190.25
21,AMG,2018-02-26,194.86,194.86
22,AMG,2018-02-23,190.01,190.01
23,AMG,2018-02-22,186.83,186.83
24,AMG,2018-02-21,189.03,189.03
25,AMG,2018-02-20,187.3,187.3
26,AMG,2018-02-16,191.79,191.79
27,AMG,2018-02-15,190.29,190.29
28,AMG,2018-02-14,189.45,189.45
29,AMG,2018-02-13,181.93,181.93
30,AMG,2018-02-12,181.19,181.19
31,AMG,2018-02-09,180.24,180.24
32,AMG,2018-02-08,179.11,179.11
33,AMG,2018-02-07,187.87,187.87
34,AMG,2018-02-06,190.7,190.7
35,AMG,2018-02-05,188.5,188.5
36,AMG,2018-02-02,197.11,197.11
37,AMG,2018-02-01,201.76,201.76
38,AMG,2018-01-31,199.63,199.63
39,AMG,2018-01-30,203.22,203.22
40,AMG,2018-01-29,209.21,209.21
41,AMG,2018-01-26,215.76,215.76
42,AMG,2018-01-25,211.0,211.0
43,AMG,2018-01-24,211.45,211.45
44,AMG,2018-01-23,212.92,212.92
45,AMG,2018-01-22,213.97,213.97
46,AMG,2018-01-19,212.0,212.0
47,AMG,2018-01-18,205.32,205.32
48,AMG,2018-01-17,207.68,207.68
49,AMG,2018-01-16,203.01,203.01
50,AMG,2018-01-12,202.8,202.8
51,AMG,2018-01-11,200.72,200.72
52,AMG,2018-01-10,198.38,198.38
53,AMG,2018-01-09,200.27,200.27
54,AMG,2018-01-08,200.53,200.53
55,AMG,2018-01-05,199.47,199.47
56,AMG,2018-01-04,198.54,198.54
57,AMG,2018-01-03,202.12,202.12
58,AMG,2018-01-02,203.04,203.04
59,AMG,2017-12-29,205.25,205.25
60,AMG,2017-12-28,206.51,206.51
61,AMG,2017-12-27,204.67,204.67
62,AMG,2017-12-26,204.06,204.06
63,AMG,2017-12-22,204.2,204.2
64,AMG,2017-12-21,201.88,201.88
65,AMG,2017-12-20,202.59,202.59
66,AMG,2017-12-19,202.2,202.2
67,AMG,2017-12-18,201.37,201.37
68,AMG,2017-12-15,198.64,198.64
69,AMG,2017-12-14,194.19,194.19
70,AMG,2017-12-13,195.72,195.72
71,AMG,2017-12-12,196.75,196.75
72,AMG,2017-12-11,198.0,198.0
73,AMG,2017-12-08,200.43,200.43
74,AMG,2017-12-07,198.21,198.21
75,AMG,2017-12-06,197.99,197.99
76,AMG,2017-12-05,197.01,197.01
77,AMG,2017-12-04,197.36,197.36
78,AMG,2017-12-01,197.85,197.85
79,AMG,2017-11-30,198.67,198.67
80,AMG,2017-11-29,198.63,198.63
81,AMG,2017-11-28,196.63,196.63
82,AMG,2017-11-27,192.68,192.68
83,AMG,2017-11-24,190.37,190.37
84,AMG,2017-11-22,189.99,189.99
85,AMG,2017-11-21,190.33,190.33
86,AMG,2017-11-20,186.68,186.68
87,AMG,2017-11-17,186.09,186.09
88,AMG,2017-11-16,185.49,185.49
89,AMG,2017-11-15,184.77,184.77
90,AMG,2017-11-14,183.15,183.15
91,AMG,2017-11-13,182.86,182.86
92,AMG,2017-11-10,184.36,184.36
93,AMG,2017-11-09,185.11,185.11
94,AMG,2017-11-07,185.54,185.54
95,AMG,2017-11-06,186.06,186.06
96,AMG,2017-11-03,185.35,185.35
97,AMG,2017-11-02,185.34,185.34
98,AMG,2017-11-01,186.11,186.11
99,AMG,2017-10-31,186.5,186.5
100,AMG,2017-10-30,185.5,185.5
101,AMG,2017-10-27,190.68,190.68
102,AMG,2017-10-26,190.99,190.99
103,AMG,2017-10-25,189.13,189.13
104,AMG,2017-10-24,195.59,195.59
105,AMG,2017-10-23,195.85,195.85
106,AMG,2017-10-20,197.54,197.54
107,AMG,2017-10-19,195.72,195.72
108,AMG,2017-10-18,195.46,195.46
109,AMG,2017-10-17,193.79,193.79
110,AMG,2017-10-16,195.3,195.3
111,AMG,2017-10-13,193.55,193.55
112,AMG,2017-10-12,193.76,193.76
113,AMG,2017-10-11,194.56,194.56
114,AMG,2017-10-10,195.22,195.22
115,AMG,2017-10-09,194.12,194.12
116,AMG,2017-10-06,194.62,194.62
117,AMG,2017-10-05,195.22,195.22
118,AMG,2017-10-04,195.08,195.08
119,AMG,2017-10-03,192.87,192.87
120,AMG,2017-10-02,192.6,192.6
121,AMG,2017-09-29,189.83,189.83
122,AMG,2017-09-28,189.39,189.39
123,AMG,2017-09-27,188.45,188.45
124,AMG,2017-09-26,185.79,185.79
125,AMG,2017-09-25,186.79,186.79
126,AMG,2017-09-22,184.97,184.97
127,AMG,2017-09-21,184.18,184.18
128,AMG,2017-09-20,183.16,183.16
129,AMG,2017-09-19,182.4,182.4
130,AMG,2017-09-18,182.61,182.61
131,AMG,2017-09-15,179.87,179.87
132,AMG,2017-09-14,178.57,178.57
133,AMG,2017-09-13,177.25,177.25
134,AMG,2017-09-12,178.83,178.83
135,AMG,2017-09-11,177.25,177.25
136,AMG,2017-09-08,173.31,173.31
137,AMG,2017-09-07,172.69,172.69
138,AMG,2017-09-06,172.99,172.99
139,AMG,2017-09-05,174.41,174.41
140,AMG,2017-09-01,177.11,177.11
141,AMG,2017-08-31,176.69,176.69
142,AMG,2017-08-30,174.04,174.04
143,AMG,2017-08-29,173.88,173.88
144,AMG,2017-08-28,173.99,173.99
145,AMG,2017-08-25,174.88,174.88
146,AMG,2017-08-24,174.73,174.73
147,AMG,2017-08-23,174.19,174.19
148,AMG,2017-08-22,175.4,175.4
149,AMG,2017-08-21,172.05,172.05
150,AMG,2017-08-18,172.84,172.84
151,AMG,2017-08-17,173.0,173.0
152,AMG,2017-08-16,178.39,178.39
153,AMG,2017-08-15,178.9,178.9
154,AMG,2017-08-14,178.39,178.39
155,AMG,2017-08-11,175.23,175.23
156,AMG,2017-08-10,175.42,175.42
157,AMG,2017-08-09,180.53,180.53
158,AMG,2017-08-08,181.56,181.56
159,AMG,2017-08-07,180.63,180.43124339789
160,AMG,2017-08-04,180.64,180.44123239437
161,AMG,2017-08-03,180.18,179.98173855634
162,AMG,2017-08-02,180.67,180.4711993838
163,AMG,2017-08-01,185.98,185.77535651408
164,AMG,2017-07-31,185.83,185.6255215669
165,AMG,2017-07-28,178.65,178.45342209507
166,AMG,2017-07-27,178.84,178.64321302817
167,AMG,2017-07-26,181.59,181.39018705986
168,AMG,2017-07-25,181.46,181.26033010563
169,AMG,2017-07-24,179.05,178.85298195423
170,AMG,2017-07-21,178.35,178.1537522007
171,AMG,2017-07-20,177.91,177.71423635563
172,AMG,2017-07-19,176.99,176.79524867958
173,AMG,2017-07-18,176.99,176.79524867958
174,AMG,2017-07-17,176.3,176.10600792254
175,AMG,2017-07-14,175.53,175.33685519366
176,AMG,2017-07-13,175.15,174.95727332746
177,AMG,2017-07-12,174.03,173.83850572183
178,AMG,2017-07-11,171.65,171.46112455986
179,AMG,2017-07-10,172.71,172.51995818662
180,AMG,2017-07-07,169.87,169.68308318662
181,AMG,2017-07-06,166.18,165.99714348592
182,AMG,2017-07-05,170.29,170.10262103873
183,AMG,2017-07-03,168.32,168.13478873239
184,AMG,2017-06-30,165.86,165.67749559859
185,AMG,2017-06-29,165.01,164.82843089789
186,AMG,2017-06-28,165.94,165.75740757042
187,AMG,2017-06-27,162.71,162.53096170775
188,AMG,2017-06-26,162.36,162.18134683099
189,AMG,2017-06-23,161.27,161.09254621479
190,AMG,2017-06-22,162.05,161.87168794014
191,AMG,2017-06-21,161.86,161.68189700704
192,AMG,2017-06-20,165.62,165.4377596831
193,AMG,2017-06-19,166.37,166.18693441901
194,AMG,2017-06-16,164.25,164.06926716549
195,AMG,2017-06-15,163.0,162.82064260563
196,AMG,2017-06-14,163.25,163.07036751761
197,AMG,2017-06-13,161.85,161.67190801056
198,AMG,2017-06-12,162.15,161.97157790493
199,AMG,2017-06-09,162.49,162.31120378521
200,AMG,2017-06-08,159.77,159.59419674296
201,AMG,2017-06-07,160.51,160.33338248239
202,AMG,2017-06-06,159.85,159.67410871479
203,AMG,2017-06-05,161.99,161.81175396127
204,AMG,2017-06-02,161.0,160.82284330986
205,AMG,2017-06-01,160.34,160.16356954225
206,AMG,2017-05-31,153.85,153.68071082746
207,AMG,2017-05-30,153.02,152.85162411972
208,AMG,2017-05-26,153.92,153.75063380282
209,AMG,2017-05-25,154.0,153.83054577465
210,AMG,2017-05-24,152.5,152.33219630282
211,AMG,2017-05-23,152.66,152.49202024648
212,AMG,2017-05-22,153.98,153.81056778169
213,AMG,2017-05-19,152.69,152.52198723592
214,AMG,2017-05-18,149.51,149.34548635563
215,AMG,2017-05-17,151.08,150.91375880282
216,AMG,2017-05-16,154.55,154.37994058099
217,AMG,2017-05-15,154.75,154.57972051056
218,AMG,2017-05-12,153.58,153.41100792254
219,AMG,2017-05-11,152.42,152.25228433099
220,AMG,2017-05-10,154.04,153.87050176056
221,AMG,2017-05-09,154.0,153.83054577465
222,AMG,2017-05-08,154.04,153.67092912534
223,AMG,2017-05-05,154.71,154.33932384433
224,AMG,2017-05-04,155.43,155.05759876624
225,AMG,2017-05-03,155.31,154.93788627925
226,AMG,2017-05-02,154.79,154.41913216899
227,AMG,2017-05-01,155.84,155.4666164301
228,AMG,2017-04-28,165.59,165.19325599756
229,AMG,2017-04-27,165.67,165.27306432222
230,AMG,2017-04-26,165.93,165.53244137735
231,AMG,2017-04-25,166.08,165.68208198608
232,AMG,2017-04-24,166.45,166.05119548761
233,AMG,2017-04-21,163.31,162.91871874486
234,AMG,2017-04-20,164.58,164.18567589878
235,AMG,2017-04-19,162.77,162.38001255343
236,AMG,2017-04-18,161.79,161.4023605764
237,AMG,2017-04-17,163.94,163.54720930153
238,AMG,2017-04-13,161.28,160.89358250671
239,AMG,2017-04-12,162.25,161.86125844317
240,AMG,2017-04-11,162.62,162.2303719447
241,AMG,2017-04-10,161.19,160.80379814148
242,AMG,2017-04-07,160.81,160.42470859936
243,AMG,2017-04-06,160.63,160.24513986888
244,AMG,2017-04-05,159.2,158.81856606565
245,AMG,2017-04-04,160.09,159.70643367745
246,AMG,2017-04-03,162.97,162.57953336507
247,AMG,2017-03-31,163.94,163.54720930153
248,AMG,2017-03-30,163.94,163.54720930153
249,AMG,2017-03-29,162.87,162.47977295925
250,AMG,2017-03-28,163.7,163.30778432756
251,AMG,2017-03-27,159.0,158.61904525401
252,AMG,2017-03-24,158.86,158.47938068587
253,AMG,2017-03-23,158.89,158.50930880761
254,AMG,2017-03-22,159.22,158.83851814682
255,AMG,2017-03-21,159.29,158.90835043089
256,AMG,2017-03-20,162.03,161.64178555036
257,AMG,2017-03-17,162.81,162.41991671576
258,AMG,2017-03-16,166.0,165.60227366142
259,AMG,2017-03-15,165.86,165.46260909328
260,AMG,2017-03-14,164.29,163.8963707219
261,AMG,2017-03-13,163.8,163.40754473338
262,AMG,2017-03-10,163.9,163.5073051392
263,AMG,2017-03-09,165.3,164.90395082068
264,AMG,2017-03-08,166.35,165.95143508179
265,AMG,2017-03-07,166.56,166.16093193402
266,AMG,2017-03-06,167.19,166.78942249068
267,AMG,2017-03-03,168.75,168.34568482148
268,AMG,2017-03-02,168.2,167.79700258947
269,AMG,2017-03-01,169.31,168.90434309407
270,AMG,2017-02-28,167.93,167.52764949375
271,AMG,2017-02-27,168.96,168.5551816737
272,AMG,2017-02-24,168.03,167.62740989957
273,AMG,2017-02-23,169.26,168.85446289116
274,AMG,2017-02-22,169.42,169.01407954047
275,AMG,2017-02-21,170.91,170.50050958719
276,AMG,2017-02-17,168.42,168.01647548227
277,AMG,2017-02-16,167.9,167.49772137201
278,AMG,2017-02-15,170.33,169.92189923344
279,AMG,2017-02-14,167.68,167.2782484792
280,AMG,2017-02-13,167.32,166.91911101825
281,AMG,2017-02-10,167.62,167.21839223571
282,AMG,2017-02-09,163.86,163.46740097687
