None,ticker,date,close,adj_close
0,AMT,2018-03-27,144.46,144.46
1,AMT,2018-03-26,145.21,145.21
2,AMT,2018-03-23,142.27,142.27
3,AMT,2018-03-22,143.01,143.01
4,AMT,2018-03-21,142.33,142.33
5,AMT,2018-03-20,146.31,146.31
6,AMT,2018-03-19,145.12,145.12
7,AMT,2018-03-16,146.55,146.55
8,AMT,2018-03-15,146.65,146.65
9,AMT,2018-03-14,146.46,146.46
10,AMT,2018-03-13,146.25,146.25
11,AMT,2018-03-12,145.08,145.08
12,AMT,2018-03-09,143.58,143.58
13,AMT,2018-03-08,142.74,142.74
14,AMT,2018-03-07,140.0,140.0
15,AMT,2018-03-06,138.88,138.88
16,AMT,2018-03-05,136.81,136.81
17,AMT,2018-03-02,134.0,134.0
18,AMT,2018-03-01,135.37,135.37
19,AMT,2018-02-28,139.33,139.33
20,AMT,2018-02-27,140.7,140.7
21,AMT,2018-02-26,142.74,142.74
22,AMT,2018-02-23,141.87,141.87
23,AMT,2018-02-22,138.98,138.98
24,AMT,2018-02-21,137.44,137.44
25,AMT,2018-02-20,139.24,139.24
26,AMT,2018-02-16,140.02,140.02
27,AMT,2018-02-15,136.22,136.22
28,AMT,2018-02-14,135.48,135.48
29,AMT,2018-02-13,136.31,136.31
30,AMT,2018-02-12,136.23,136.23
31,AMT,2018-02-09,136.05,136.05
32,AMT,2018-02-08,133.57,133.57
33,AMT,2018-02-07,140.0,140.0
34,AMT,2018-02-06,140.17,140.17
35,AMT,2018-02-05,142.04,142.04
36,AMT,2018-02-02,145.22,145.22
37,AMT,2018-02-01,147.06,147.06
38,AMT,2018-01-31,147.7,147.7
39,AMT,2018-01-30,145.15,145.15
40,AMT,2018-01-29,144.33,144.33
41,AMT,2018-01-26,145.13,145.13
42,AMT,2018-01-25,142.96,142.96
43,AMT,2018-01-24,141.76,141.76
44,AMT,2018-01-23,141.2,141.2
45,AMT,2018-01-22,139.24,139.24
46,AMT,2018-01-19,137.62,137.62
47,AMT,2018-01-18,135.19,135.19
48,AMT,2018-01-17,136.64,136.64
49,AMT,2018-01-16,135.63,135.63
