None,ticker,date,close,adj_close
0,ANSS,2018-03-27,157.05,157.05
1,ANSS,2018-03-26,161.01,161.01
2,ANSS,2018-03-23,157.74,157.74
3,ANSS,2018-03-22,162.41,162.41
4,ANSS,2018-03-21,166.41,166.41
5,ANSS,2018-03-20,165.49,165.49
6,ANSS,2018-03-19,164.96,164.96
7,ANSS,2018-03-16,166.31,166.31
8,ANSS,2018-03-15,167.36,167.36
9,ANSS,2018-03-14,166.95,166.95
10,ANSS,2018-03-13,167.75,167.75
11,ANSS,2018-03-12,169.94,169.94
12,ANSS,2018-03-09,171.18,171.18
13,ANSS,2018-03-08,168.0,168.0
14,ANSS,2018-03-07,165.37,165.37
15,ANSS,2018-03-06,163.77,163.77
16,ANSS,2018-03-05,163.21,163.21
17,ANSS,2018-03-02,162.63,162.63
18,ANSS,2018-03-01,158.74,158.74
19,ANSS,2018-02-28,159.94,159.94
20,ANSS,2018-02-27,161.34,161.34
21,ANSS,2018-02-26,161.67,161.67
22,ANSS,2018-02-23,160.89,160.89
23,ANSS,2018-02-22,160.94,160.94
24,ANSS,2018-02-21,163.54,163.54
25,ANSS,2018-02-20,167.81,167.81
26,ANSS,2018-02-16,164.14,164.14
27,ANSS,2018-02-15,162.41,162.41
28,ANSS,2018-02-14,157.7,157.7
29,ANSS,2018-02-13,154.2,154.2
30,ANSS,2018-02-12,153.74,153.74
31,ANSS,2018-02-09,150.3,150.3
32,ANSS,2018-02-08,148.8,148.8
33,ANSS,2018-02-07,155.03,155.03
34,ANSS,2018-02-06,157.1,157.1
35,ANSS,2018-02-05,156.67,156.67
36,ANSS,2018-02-02,160.29,160.29
37,ANSS,2018-02-01,163.4,163.4
38,ANSS,2018-01-31,161.66,161.66
39,ANSS,2018-01-30,161.68,161.68
40,ANSS,2018-01-29,162.75,162.75
41,ANSS,2018-01-26,163.96,163.96
42,ANSS,2018-01-25,159.93,159.93
43,ANSS,2018-01-24,161.54,161.54
44,ANSS,2018-01-23,161.85,161.85
45,ANSS,2018-01-22,163.13,163.13
46,ANSS,2018-01-19,161.54,161.54
47,ANSS,2018-01-18,158.34,158.34
48,ANSS,2018-01-17,155.75,155.75
49,ANSS,2018-01-16,153.39,153.39
50,ANSS,2018-01-12,154.22,154.22
51,ANSS,2018-01-11,152.16,152.16
52,ANSS,2018-01-10,152.01,152.01
53,ANSS,2018-01-09,155.14,155.14
54,ANSS,2018-01-08,153.71,153.71
55,ANSS,2018-01-05,152.45,152.45
56,ANSS,2018-01-04,151.82,151.82
57,ANSS,2018-01-03,151.42,151.42
58,ANSS,2018-01-02,148.55,148.55
59,ANSS,2017-12-29,147.59,147.59
60,ANSS,2017-12-28,147.65,147.65
61,ANSS,2017-12-27,146.66,146.66
62,ANSS,2017-12-26,146.39,146.39
63,ANSS,2017-12-22,146.66,146.66
64,ANSS,2017-12-21,147.23,147.23
65,ANSS,2017-12-20,147.35,147.35
66,ANSS,2017-12-19,147.63,147.63
67,ANSS,2017-12-18,147.59,147.59
68,ANSS,2017-12-15,148.03,148.03
69,ANSS,2017-12-14,144.51,144.51
70,ANSS,2017-12-13,144.76,144.76
71,ANSS,2017-12-12,145.33,145.33
72,ANSS,2017-12-11,146.39,146.39
73,ANSS,2017-12-08,146.13,146.13
74,ANSS,2017-12-07,146.31,146.31
75,ANSS,2017-12-06,144.72,144.72
76,ANSS,2017-12-05,143.44,143.44
77,ANSS,2017-12-04,142.01,142.01
78,ANSS,2017-12-01,146.54,146.54
79,ANSS,2017-11-30,148.19,148.19
80,ANSS,2017-11-29,146.58,146.58
81,ANSS,2017-11-28,150.27,150.27
82,ANSS,2017-11-27,150.88,150.88
83,ANSS,2017-11-24,151.91,151.91
84,ANSS,2017-11-22,150.48,150.48
85,ANSS,2017-11-21,153.4,153.4
86,ANSS,2017-11-20,151.21,151.21
87,ANSS,2017-11-17,150.57,150.57
88,ANSS,2017-11-16,151.46,151.46
89,ANSS,2017-11-15,149.32,149.32
90,ANSS,2017-11-14,149.43,149.43
91,ANSS,2017-11-13,150.87,150.87
92,ANSS,2017-11-10,150.28,150.28
93,ANSS,2017-11-09,150.47,150.47
94,ANSS,2017-11-07,151.93,151.93
95,ANSS,2017-11-06,151.2,151.2
96,ANSS,2017-11-03,149.1,149.1
