None,ticker,date,close,adj_close
0,ANTM,2018-03-27,219.44,219.44
1,ANTM,2018-03-26,221.08,221.08
2,ANTM,2018-03-23,215.63,215.63
3,ANTM,2018-03-22,218.85,218.85
4,ANTM,2018-03-21,225.99,225.99
5,ANTM,2018-03-20,229.98,229.98
6,ANTM,2018-03-19,227.99,227.99
7,ANTM,2018-03-16,228.11,228.11
8,ANTM,2018-03-15,230.0,230.0
9,ANTM,2018-03-14,229.03,229.03
10,ANTM,2018-03-13,230.22,230.22
11,ANTM,2018-03-12,229.86,229.86
12,ANTM,2018-03-09,232.8,232.8
13,ANTM,2018-03-08,228.79,228.79
14,ANTM,2018-03-07,231.86,231.102419622
15,ANTM,2018-03-06,232.75,231.989511632
16,ANTM,2018-03-05,232.04,231.281831489
17,ANTM,2018-03-02,233.08,232.318433389
18,ANTM,2018-03-01,232.04,231.281831489
19,ANTM,2018-02-28,235.38,235.38
20,ANTM,2018-02-27,237.21,237.21
21,ANTM,2018-02-26,238.22,238.22
22,ANTM,2018-02-23,235.24,235.24
23,ANTM,2018-02-22,233.68,233.68
24,ANTM,2018-02-21,232.03,232.03
25,ANTM,2018-02-20,232.22,232.22
26,ANTM,2018-02-16,235.02,235.02
27,ANTM,2018-02-15,232.06,232.06
28,ANTM,2018-02-14,235.02,235.02
29,ANTM,2018-02-13,233.45,233.45
30,ANTM,2018-02-12,232.77,232.77
31,ANTM,2018-02-09,231.71,231.71
32,ANTM,2018-02-08,230.57,230.57
33,ANTM,2018-02-07,238.44,238.44
34,ANTM,2018-02-06,234.83,234.83
35,ANTM,2018-02-05,230.45,230.45
36,ANTM,2018-02-02,239.18,239.18
37,ANTM,2018-02-01,243.93,243.93
38,ANTM,2018-01-31,247.85,247.85
39,ANTM,2018-01-30,243.44,243.44
40,ANTM,2018-01-29,257.02,257.02
41,ANTM,2018-01-26,258.19,258.19
42,ANTM,2018-01-25,251.35,251.35
43,ANTM,2018-01-24,252.99,252.99
44,ANTM,2018-01-23,250.5,250.5
45,ANTM,2018-01-22,250.5,250.5
46,ANTM,2018-01-19,250.06,250.06
47,ANTM,2018-01-18,249.65,249.65
48,ANTM,2018-01-17,249.15,249.15
49,ANTM,2018-01-16,241.75,241.75
50,ANTM,2018-01-12,239.82,239.82
51,ANTM,2018-01-11,235.0,235.0
52,ANTM,2018-01-10,233.89,233.89
53,ANTM,2018-01-09,234.66,234.66
54,ANTM,2018-01-08,231.82,231.82
55,ANTM,2018-01-05,234.34,234.34
56,ANTM,2018-01-04,230.21,230.21
57,ANTM,2018-01-03,229.15,229.15
58,ANTM,2018-01-02,226.0,226.0
59,ANTM,2017-12-29,225.01,225.01
60,ANTM,2017-12-28,227.04,227.04
61,ANTM,2017-12-27,225.24,225.24
62,ANTM,2017-12-26,225.43,225.43
63,ANTM,2017-12-22,225.6,225.6
64,ANTM,2017-12-21,225.08,225.08
65,ANTM,2017-12-20,227.92,227.92
66,ANTM,2017-12-19,227.99,227.99
67,ANTM,2017-12-18,227.02,227.02
68,ANTM,2017-12-15,226.21,226.21
69,ANTM,2017-12-14,227.12,227.12
70,ANTM,2017-12-13,232.06,232.06
71,ANTM,2017-12-12,228.75,228.75
72,ANTM,2017-12-11,226.02,226.02
73,ANTM,2017-12-08,224.85,224.85
74,ANTM,2017-12-07,223.64,223.64
75,ANTM,2017-12-06,222.71,222.71
76,ANTM,2017-12-05,223.49,223.49
77,ANTM,2017-12-04,224.95,224.95
78,ANTM,2017-12-01,232.34,232.34
79,ANTM,2017-11-30,234.96,234.96
80,ANTM,2017-11-29,227.31,227.31
81,ANTM,2017-11-28,222.28,222.28
82,ANTM,2017-11-27,220.03,220.03
83,ANTM,2017-11-24,220.39,220.39
84,ANTM,2017-11-22,220.42,220.42
85,ANTM,2017-11-21,220.02,220.02
86,ANTM,2017-11-20,219.5,219.5
87,ANTM,2017-11-17,220.83,220.83
88,ANTM,2017-11-16,220.89,220.89
89,ANTM,2017-11-15,218.2,218.2
90,ANTM,2017-11-14,218.45,218.45
91,ANTM,2017-11-13,218.46,218.46
92,ANTM,2017-11-10,218.27,218.27
93,ANTM,2017-11-09,215.98,215.98
94,ANTM,2017-11-07,217.47,217.47
95,ANTM,2017-11-06,216.3,216.3
96,ANTM,2017-11-03,211.8,211.8
97,ANTM,2017-11-02,210.59,210.59
98,ANTM,2017-11-01,209.53,209.53
99,ANTM,2017-10-31,209.21,209.21
100,ANTM,2017-10-30,209.46,209.46
101,ANTM,2017-10-27,211.34,211.34
102,ANTM,2017-10-26,206.91,206.91
103,ANTM,2017-10-25,205.71,205.71
104,ANTM,2017-10-24,195.25,195.25
105,ANTM,2017-10-23,195.64,195.64
106,ANTM,2017-10-20,194.69,194.69
107,ANTM,2017-10-19,193.2,193.2
108,ANTM,2017-10-18,191.79,191.79
109,ANTM,2017-10-17,187.26,187.26
110,ANTM,2017-10-16,183.76,183.76
111,ANTM,2017-10-13,183.83,183.83
112,ANTM,2017-10-12,189.74,189.74
113,ANTM,2017-10-11,189.89,189.89
114,ANTM,2017-10-10,188.64,188.64
115,ANTM,2017-10-09,190.74,190.74
116,ANTM,2017-10-06,193.22,193.22
117,ANTM,2017-10-05,192.92,192.92
118,ANTM,2017-10-04,193.42,193.42
119,ANTM,2017-10-03,193.23,193.23
120,ANTM,2017-10-02,191.11,191.11
121,ANTM,2017-09-29,189.88,189.88
122,ANTM,2017-09-28,189.78,189.78
123,ANTM,2017-09-27,186.45,186.45
124,ANTM,2017-09-26,184.28,184.28
125,ANTM,2017-09-25,181.5,181.5
126,ANTM,2017-09-22,182.86,182.86
127,ANTM,2017-09-21,183.5,183.5
128,ANTM,2017-09-20,183.49,183.49
129,ANTM,2017-09-19,181.44,181.44
130,ANTM,2017-09-18,185.0,185.0
131,ANTM,2017-09-15,186.59,186.59
132,ANTM,2017-09-14,186.75,186.75
133,ANTM,2017-09-13,189.72,189.72
134,ANTM,2017-09-12,189.24,189.24
135,ANTM,2017-09-11,195.95,195.95
136,ANTM,2017-09-08,193.85,193.85
137,ANTM,2017-09-07,192.64,192.64
138,ANTM,2017-09-06,193.65,192.94887762491
139,ANTM,2017-09-05,197.18,196.46609703114
140,ANTM,2017-09-01,197.43,196.71519188993
141,ANTM,2017-08-31,196.04,195.33022447502
142,ANTM,2017-08-30,191.5,190.80666183925
143,ANTM,2017-08-29,193.83,193.12822592324
144,ANTM,2017-08-28,193.48,192.77949312093
145,ANTM,2017-08-25,192.68,191.98238957277
146,ANTM,2017-08-24,192.9,192.20159304852
147,ANTM,2017-08-23,195.23,194.52315713251
148,ANTM,2017-08-22,194.95,194.24417089066
149,ANTM,2017-08-21,192.97,192.27133960898
150,ANTM,2017-08-18,191.02,190.32839971035
151,ANTM,2017-08-17,191.96,191.26499637944
152,ANTM,2017-08-16,193.35,192.64996379435
153,ANTM,2017-08-15,192.99,192.29126719768
154,ANTM,2017-08-14,191.31,190.61734974656
155,ANTM,2017-08-11,189.43,188.7441564084
156,ANTM,2017-08-10,189.72,189.03310644461
157,ANTM,2017-08-09,192.85,192.15177407676
158,ANTM,2017-08-08,191.98,191.28492396814
159,ANTM,2017-08-07,190.61,189.91988414193
160,ANTM,2017-08-04,190.48,189.79035481535
161,ANTM,2017-08-03,191.44,190.74687907314
162,ANTM,2017-08-02,188.95,188.26589427951
163,ANTM,2017-08-01,186.67,185.99414916727
164,ANTM,2017-07-31,186.21,185.53581462708
165,ANTM,2017-07-28,187.79,187.11009413468
166,ANTM,2017-07-27,183.52,182.85555394642
167,ANTM,2017-07-26,184.99,184.32023171615
168,ANTM,2017-07-25,190.58,189.88999275887
169,ANTM,2017-07-24,191.0,190.30847212165
170,ANTM,2017-07-21,190.65,189.95973931933
171,ANTM,2017-07-20,190.69,189.99959449674
172,ANTM,2017-07-19,190.29,189.60104272266
173,ANTM,2017-07-18,189.45,188.7640839971
174,ANTM,2017-07-17,192.09,191.39452570601
175,ANTM,2017-07-14,192.56,191.86282404055
176,ANTM,2017-07-13,192.55,191.8528602462
177,ANTM,2017-07-12,193.54,192.83927588704
178,ANTM,2017-07-11,192.1,191.40448950036
179,ANTM,2017-07-10,192.12,191.42441708907
180,ANTM,2017-07-07,191.61,190.91626357712
181,ANTM,2017-07-06,190.28,189.59107892831
182,ANTM,2017-07-05,191.25,190.55756698045
183,ANTM,2017-07-03,189.6,188.91354091238
184,ANTM,2017-06-30,188.13,187.44886314265
185,ANTM,2017-06-29,187.17,186.49233888487
186,ANTM,2017-06-28,187.92,187.23962346126
187,ANTM,2017-06-27,187.41,186.73146994931
188,ANTM,2017-06-26,188.15,187.46879073135
189,ANTM,2017-06-23,190.17,189.48147719044
190,ANTM,2017-06-22,193.36,192.6599275887
191,ANTM,2017-06-21,192.07,191.37459811731
192,ANTM,2017-06-20,192.0,191.30485155684
193,ANTM,2017-06-19,192.74,192.04217233888
194,ANTM,2017-06-16,189.96,189.27223750905
195,ANTM,2017-06-15,188.75,188.06661839247
196,ANTM,2017-06-14,188.77,188.08654598117
197,ANTM,2017-06-13,187.16,186.48237509051
198,ANTM,2017-06-12,186.74,186.06389572773
