None,ticker,date,close,adj_close
0,AOS,2018-03-27,62.48,62.48
1,AOS,2018-03-26,64.23,64.23
2,AOS,2018-03-23,62.45,62.45
3,AOS,2018-03-22,64.48,64.48
4,AOS,2018-03-21,65.65,65.65
5,AOS,2018-03-20,65.71,65.71
6,AOS,2018-03-19,65.2,65.2
7,AOS,2018-03-16,65.64,65.64
8,AOS,2018-03-15,65.24,65.24
9,AOS,2018-03-14,65.3,65.3
10,AOS,2018-03-13,65.88,65.88
11,AOS,2018-03-12,66.28,66.28
12,AOS,2018-03-09,66.49,66.49
13,AOS,2018-03-08,64.54,64.54
14,AOS,2018-03-07,64.02,64.02
15,AOS,2018-03-06,63.28,63.28
16,AOS,2018-03-05,62.81,62.81
17,AOS,2018-03-02,61.88,61.88
18,AOS,2018-03-01,62.06,62.06
19,AOS,2018-02-28,64.19,64.19
20,AOS,2018-02-27,65.39,65.39
21,AOS,2018-02-26,66.23,66.23
22,AOS,2018-02-23,66.41,66.41
23,AOS,2018-02-22,65.56,65.56
24,AOS,2018-02-21,65.38,65.38
25,AOS,2018-02-20,65.44,65.44
26,AOS,2018-02-16,65.54,65.54
27,AOS,2018-02-15,65.23,65.23
28,AOS,2018-02-14,64.06,64.06
29,AOS,2018-02-13,62.73,62.73
30,AOS,2018-02-12,61.98,61.98
31,AOS,2018-02-09,60.96,60.96
32,AOS,2018-02-08,60.24,60.24
33,AOS,2018-02-07,62.72,62.72
34,AOS,2018-02-06,62.32,62.32
35,AOS,2018-02-05,61.56,61.56
36,AOS,2018-02-02,64.64,64.64
37,AOS,2018-02-01,66.79,66.79
38,AOS,2018-01-31,66.78,66.78
39,AOS,2018-01-30,66.42,66.42
40,AOS,2018-01-29,66.82,66.82
41,AOS,2018-01-26,67.84,67.84
42,AOS,2018-01-25,67.4,67.4
43,AOS,2018-01-24,66.8,66.8
44,AOS,2018-01-23,66.8,66.8
45,AOS,2018-01-22,67.0,67.0
46,AOS,2018-01-19,67.04,67.04
47,AOS,2018-01-18,65.91,65.91
48,AOS,2018-01-17,65.59,65.59
49,AOS,2018-01-16,65.07,65.07
50,AOS,2018-01-12,65.32,65.32
51,AOS,2018-01-11,64.75,64.75
52,AOS,2018-01-10,63.41,63.41
53,AOS,2018-01-09,63.24,63.24
54,AOS,2018-01-08,63.29,63.29
55,AOS,2018-01-05,62.99,62.99
56,AOS,2018-01-04,62.19,62.19
57,AOS,2018-01-03,61.9,61.9
58,AOS,2018-01-02,61.53,61.53
59,AOS,2017-12-29,61.28,61.28
60,AOS,2017-12-28,61.61,61.61
61,AOS,2017-12-27,61.88,61.88
62,AOS,2017-12-26,61.66,61.66
63,AOS,2017-12-22,61.26,61.26
64,AOS,2017-12-21,61.71,61.71
65,AOS,2017-12-20,61.48,61.48
66,AOS,2017-12-19,61.29,61.29
67,AOS,2017-12-18,61.28,61.28
68,AOS,2017-12-15,60.73,60.73
69,AOS,2017-12-14,60.04,60.04
70,AOS,2017-12-13,60.97,60.97
71,AOS,2017-12-12,61.06,61.06
72,AOS,2017-12-11,61.36,61.36
73,AOS,2017-12-08,62.22,62.22
74,AOS,2017-12-07,61.59,61.59
75,AOS,2017-12-06,61.4,61.4
76,AOS,2017-12-05,61.58,61.58
77,AOS,2017-12-04,62.2,62.2
78,AOS,2017-12-01,62.81,62.81
79,AOS,2017-11-30,63.42,63.42
80,AOS,2017-11-29,62.5,62.5
81,AOS,2017-11-28,62.26,62.26
82,AOS,2017-11-27,61.37,61.37
83,AOS,2017-11-24,60.58,60.58
84,AOS,2017-11-22,60.86,60.86
85,AOS,2017-11-21,60.77,60.77
