None,ticker,date,close,adj_close
0,APA,2018-03-27,37.48,37.48
1,APA,2018-03-26,37.28,37.28
2,APA,2018-03-23,37.01,37.01
3,APA,2018-03-22,37.28,37.28
4,APA,2018-03-21,38.1,38.1
5,APA,2018-03-20,36.27,36.27
6,APA,2018-03-19,35.57,35.57
7,APA,2018-03-16,36.14,36.14
8,APA,2018-03-15,35.34,35.34
9,APA,2018-03-14,35.65,35.65
10,APA,2018-03-13,35.46,35.46
11,APA,2018-03-12,35.41,35.41
12,APA,2018-03-09,35.32,35.32
13,APA,2018-03-08,34.97,34.97
14,APA,2018-03-07,34.65,34.65
15,APA,2018-03-06,35.36,35.36
16,APA,2018-03-05,35.21,35.21
17,APA,2018-03-02,34.78,34.78
18,APA,2018-03-01,34.27,34.27
19,APA,2018-02-28,34.15,34.15
20,APA,2018-02-27,34.8,34.8
21,APA,2018-02-26,35.98,35.98
22,APA,2018-02-23,36.13,36.13
23,APA,2018-02-22,34.85,34.85
24,APA,2018-02-21,37.2,37.2
25,APA,2018-02-20,38.3,38.3
26,APA,2018-02-16,38.11,38.11
27,APA,2018-02-15,38.1,38.1
28,APA,2018-02-14,38.2,38.2
29,APA,2018-02-13,37.7,37.7
30,APA,2018-02-12,38.11,38.11
31,APA,2018-02-09,37.23,37.23
32,APA,2018-02-08,37.73,37.73
33,APA,2018-02-07,39.55,39.55
34,APA,2018-02-06,41.12,41.12
35,APA,2018-02-05,40.93,40.93
36,APA,2018-02-02,42.82,42.82
37,APA,2018-02-01,44.69,44.69
38,APA,2018-01-31,44.87,44.87
39,APA,2018-01-30,44.57,44.57
40,APA,2018-01-29,46.65,46.65
41,APA,2018-01-26,48.08,48.08
42,APA,2018-01-25,47.45,47.45
43,APA,2018-01-24,48.12,48.12
44,APA,2018-01-23,47.77,47.77
45,APA,2018-01-22,47.66,47.66
46,APA,2018-01-19,46.05,46.05
47,APA,2018-01-18,46.7,46.7
48,APA,2018-01-17,46.53,46.53
49,APA,2018-01-16,46.27,46.27
50,APA,2018-01-12,47.16,47.16
51,APA,2018-01-11,46.0,46.0
52,APA,2018-01-10,43.99,43.99
53,APA,2018-01-09,44.55,44.55
54,APA,2018-01-08,45.92,45.92
55,APA,2018-01-05,46.39,46.39
56,APA,2018-01-04,46.84,46.84
57,APA,2018-01-03,45.33,45.33
58,APA,2018-01-02,44.3,44.3
59,APA,2017-12-29,42.22,42.22
60,APA,2017-12-28,42.87,42.87
61,APA,2017-12-27,42.89,42.89
62,APA,2017-12-26,43.36,43.36
63,APA,2017-12-22,42.91,42.91
64,APA,2017-12-21,43.31,43.31
65,APA,2017-12-20,41.26,41.26
66,APA,2017-12-19,40.25,40.25
67,APA,2017-12-18,39.92,39.92
68,APA,2017-12-15,39.47,39.47
69,APA,2017-12-14,39.42,39.42
70,APA,2017-12-13,39.8,39.8
71,APA,2017-12-12,39.72,39.72
72,APA,2017-12-11,40.19,40.19
73,APA,2017-12-08,40.7,40.7
74,APA,2017-12-07,40.63,40.63
75,APA,2017-12-06,40.57,40.57
76,APA,2017-12-05,42.15,42.15
77,APA,2017-12-04,43.21,43.21
78,APA,2017-12-01,44.22,44.22
79,APA,2017-11-30,41.83,41.83
80,APA,2017-11-29,40.74,40.74
81,APA,2017-11-28,40.27,40.27
82,APA,2017-11-27,39.86,39.86
83,APA,2017-11-24,41.14,41.14
84,APA,2017-11-22,41.54,41.54
85,APA,2017-11-21,41.44,41.44
86,APA,2017-11-20,41.07,41.07
87,APA,2017-11-17,41.18,41.18
88,APA,2017-11-16,40.49,40.49
89,APA,2017-11-15,41.03,41.03
90,APA,2017-11-14,41.88,41.88
91,APA,2017-11-13,43.49,43.49
92,APA,2017-11-10,44.13,44.13
93,APA,2017-11-09,45.24,45.24
94,APA,2017-11-07,45.19,45.19
95,APA,2017-11-06,45.74,45.74
96,APA,2017-11-03,42.75,42.75
97,APA,2017-11-02,41.68,41.68
98,APA,2017-11-01,42.23,42.23
99,APA,2017-10-31,41.37,41.37
100,APA,2017-10-30,40.81,40.81
101,APA,2017-10-27,40.74,40.74
102,APA,2017-10-26,39.59,39.59
103,APA,2017-10-25,39.505,39.505
104,APA,2017-10-24,40.14,40.14
105,APA,2017-10-23,40.3,40.3
106,APA,2017-10-20,41.53,41.53
107,APA,2017-10-19,42.15,42.15
108,APA,2017-10-18,42.65,42.65
109,APA,2017-10-17,42.76,42.76
110,APA,2017-10-16,42.73,42.73
111,APA,2017-10-13,41.6,41.6
112,APA,2017-10-12,41.41,41.41
113,APA,2017-10-11,41.96,41.96
114,APA,2017-10-10,42.46,42.46
115,APA,2017-10-09,45.85,45.85
116,APA,2017-10-06,45.17,45.17
117,APA,2017-10-05,45.82,45.82
118,APA,2017-10-04,45.14,45.14
119,APA,2017-10-03,45.44,45.44
120,APA,2017-10-02,45.72,45.72
121,APA,2017-09-29,45.8,45.8
122,APA,2017-09-28,45.8,45.8
123,APA,2017-09-27,46.26,46.26
124,APA,2017-09-26,45.96,45.96
125,APA,2017-09-25,45.06,45.06
126,APA,2017-09-22,43.57,43.57
127,APA,2017-09-21,43.36,43.36
128,APA,2017-09-20,43.05,43.05
129,APA,2017-09-19,41.75,41.75
130,APA,2017-09-18,42.3,42.3
131,APA,2017-09-15,42.52,42.52
132,APA,2017-09-14,42.22,42.22
133,APA,2017-09-13,42.34,42.34
134,APA,2017-09-12,40.52,40.52
135,APA,2017-09-11,39.76,39.76
136,APA,2017-09-08,39.3,39.3
137,APA,2017-09-07,40.73,40.73
138,APA,2017-09-06,40.13,40.13
139,APA,2017-09-05,39.42,39.42
140,APA,2017-09-01,39.48,39.48
141,APA,2017-08-31,38.84,38.84
142,APA,2017-08-30,38.37,38.37
143,APA,2017-08-29,38.87,38.87
144,APA,2017-08-28,39.35,39.35
145,APA,2017-08-25,40.06,40.06
146,APA,2017-08-24,40.03,40.03
147,APA,2017-08-23,40.24,40.24
148,APA,2017-08-22,39.89,39.89
149,APA,2017-08-21,39.52,39.52
150,APA,2017-08-18,40.31,40.31
151,APA,2017-08-17,39.89,39.89
152,APA,2017-08-16,40.63,40.63
153,APA,2017-08-15,41.54,41.54
154,APA,2017-08-14,41.57,41.57
155,APA,2017-08-11,42.39,42.39
156,APA,2017-08-10,42.61,42.61
157,APA,2017-08-09,43.58,43.58
158,APA,2017-08-08,44.12,44.12
159,APA,2017-08-07,44.39,44.39
160,APA,2017-08-04,45.22,45.22
161,APA,2017-08-03,44.06,44.06
162,APA,2017-08-02,47.91,47.91
163,APA,2017-08-01,48.66,48.66
164,APA,2017-07-31,49.48,49.48
165,APA,2017-07-28,50.01,50.01
166,APA,2017-07-27,50.22,50.22
167,APA,2017-07-26,48.86,48.86
168,APA,2017-07-25,48.86,48.86
169,APA,2017-07-24,47.96,47.96
170,APA,2017-07-21,48.41,48.41
171,APA,2017-07-20,49.35,49.35
172,APA,2017-07-19,49.86,49.86
173,APA,2017-07-18,47.73,47.73
174,APA,2017-07-17,48.68,48.68
175,APA,2017-07-14,48.56,48.56
176,APA,2017-07-13,48.24,48.24
177,APA,2017-07-12,47.58,47.58
178,APA,2017-07-11,47.2,47.2
179,APA,2017-07-10,47.11,47.11
180,APA,2017-07-07,45.11,45.11
181,APA,2017-07-06,45.77,45.77
182,APA,2017-07-05,47.65,47.65
183,APA,2017-07-03,49.33,49.33
184,APA,2017-06-30,47.93,47.93
185,APA,2017-06-29,47.45,47.45
