None,ticker,date,close,adj_close
0,APD,2018-03-27,158.63,158.63
1,APD,2018-03-26,160.94,160.94
2,APD,2018-03-23,158.04,158.04
3,APD,2018-03-22,161.19,161.19
4,APD,2018-03-21,166.24,166.24
5,APD,2018-03-20,165.66,165.66
6,APD,2018-03-19,166.68,166.68
7,APD,2018-03-16,169.56,169.56
8,APD,2018-03-15,169.08,169.08
9,APD,2018-03-14,168.98,168.98
10,APD,2018-03-13,170.93,170.93
11,APD,2018-03-12,170.88,170.88
12,APD,2018-03-09,171.1,171.1
13,APD,2018-03-08,167.08,167.08
14,APD,2018-03-07,164.53,164.53
15,APD,2018-03-06,164.2,164.2
16,APD,2018-03-05,163.28,163.28
17,APD,2018-03-02,159.77,159.77
18,APD,2018-03-01,160.83,160.83
19,APD,2018-02-28,160.79,160.79
20,APD,2018-02-27,163.61,163.61
21,APD,2018-02-26,165.44,165.44
22,APD,2018-02-23,164.27,164.27
23,APD,2018-02-22,162.57,162.57
24,APD,2018-02-21,160.76,160.76
25,APD,2018-02-20,162.91,162.91
26,APD,2018-02-16,163.63,163.63
27,APD,2018-02-15,163.6,163.6
28,APD,2018-02-14,161.27,161.27
29,APD,2018-02-13,159.44,159.44
30,APD,2018-02-12,159.68,159.68
31,APD,2018-02-09,158.09,158.09
32,APD,2018-02-08,152.8,152.8
33,APD,2018-02-07,158.21,158.21
34,APD,2018-02-06,160.22,160.22
35,APD,2018-02-05,156.33,156.33
36,APD,2018-02-02,162.84,162.84
37,APD,2018-02-01,166.79,166.79
38,APD,2018-01-31,168.37,168.37
39,APD,2018-01-30,168.3,168.3
40,APD,2018-01-29,166.67,166.67
41,APD,2018-01-26,169.85,169.85
42,APD,2018-01-25,174.0,174.0
43,APD,2018-01-24,170.81,170.81
44,APD,2018-01-23,169.6,169.6
45,APD,2018-01-22,168.6,168.6
46,APD,2018-01-19,167.8,167.8
47,APD,2018-01-18,166.9,166.9
48,APD,2018-01-17,168.56,168.56
49,APD,2018-01-16,166.75,166.75
50,APD,2018-01-12,170.15,170.15
51,APD,2018-01-11,169.97,169.97
52,APD,2018-01-10,168.35,168.35
53,APD,2018-01-09,169.06,169.06
54,APD,2018-01-08,168.63,168.63
55,APD,2018-01-05,168.45,168.45
56,APD,2018-01-04,167.05,167.05
57,APD,2018-01-03,166.41,166.41
58,APD,2018-01-02,165.51,165.51
59,APD,2017-12-29,164.08,164.08
60,APD,2017-12-28,164.62,164.62
61,APD,2017-12-27,163.67,163.67
62,APD,2017-12-26,163.0,163.0
63,APD,2017-12-22,163.42,163.42
64,APD,2017-12-21,163.16,163.16
