None,ticker,date,close,adj_close
0,APTV,2018-03-27,84.33,84.33
1,APTV,2018-03-26,85.04,85.04
2,APTV,2018-03-23,81.21,81.21
3,APTV,2018-03-22,83.79,83.79
4,APTV,2018-03-21,88.14,88.14
5,APTV,2018-03-20,87.85,87.85
6,APTV,2018-03-19,87.89,87.89
7,APTV,2018-03-16,89.32,89.32
8,APTV,2018-03-15,88.96,88.96
9,APTV,2018-03-14,89.3,89.3
10,APTV,2018-03-13,90.9,90.9
11,APTV,2018-03-12,91.45,91.45
12,APTV,2018-03-09,92.27,92.27
13,APTV,2018-03-08,89.7,89.7
14,APTV,2018-03-07,89.42,89.42
15,APTV,2018-03-06,89.95,89.95
16,APTV,2018-03-05,88.82,88.82
17,APTV,2018-03-02,88.61,88.61
18,APTV,2018-03-01,87.77,87.77
19,APTV,2018-02-28,91.33,91.33
20,APTV,2018-02-27,92.62,92.62
21,APTV,2018-02-26,94.72,94.72
22,APTV,2018-02-23,93.06,93.06
23,APTV,2018-02-22,92.94,92.94
24,APTV,2018-02-21,92.55,92.55
25,APTV,2018-02-20,92.34,92.34
26,APTV,2018-02-16,92.4,92.4
27,APTV,2018-02-15,93.33,93.33
28,APTV,2018-02-14,92.69,92.69
29,APTV,2018-02-13,90.77,90.77
30,APTV,2018-02-12,91.44,91.44
31,APTV,2018-02-09,88.56,88.56
32,APTV,2018-02-08,89.27,89.27
33,APTV,2018-02-07,93.69,93.69
34,APTV,2018-02-06,92.6,92.6
35,APTV,2018-02-05,91.14,91.14
36,APTV,2018-02-02,94.21,94.21
37,APTV,2018-02-01,96.02,96.02
38,APTV,2018-01-31,94.88,94.88
39,APTV,2018-01-30,94.63,94.63
40,APTV,2018-01-29,94.89,94.89
41,APTV,2018-01-26,94.48,94.48
42,APTV,2018-01-25,92.49,92.49
43,APTV,2018-01-24,93.54,93.54
44,APTV,2018-01-23,92.83,92.83
45,APTV,2018-01-22,93.55,93.55
46,APTV,2018-01-19,93.52,93.52
47,APTV,2018-01-18,93.1,93.1
48,APTV,2018-01-17,93.56,93.56
49,APTV,2018-01-16,92.56,92.56
50,APTV,2018-01-12,92.91,92.91
51,APTV,2018-01-11,92.06,92.06
52,APTV,2018-01-10,90.46,90.46
53,APTV,2018-01-09,92.75,92.75
54,APTV,2018-01-08,91.93,91.93
55,APTV,2018-01-05,91.57,91.57
56,APTV,2018-01-04,88.91,88.91
57,APTV,2018-01-03,87.54,87.54
58,APTV,2018-01-02,86.11,86.11
59,APTV,2017-12-29,84.83,84.83
60,APTV,2017-12-28,85.56,85.56
61,APTV,2017-12-27,84.73,84.73
62,APTV,2017-12-26,84.88,84.88
63,APTV,2017-12-22,84.79,84.79
64,APTV,2017-12-21,84.98,84.98
65,APTV,2017-12-20,85.87,85.87
66,APTV,2017-12-19,85.62,85.62
67,APTV,2017-12-18,84.24,84.24
68,APTV,2017-12-15,84.4,84.4
69,APTV,2017-12-14,83.05,83.05
70,APTV,2017-12-13,83.56,83.56
71,APTV,2017-12-12,85.67,85.67
72,APTV,2017-12-11,85.89,85.89
73,APTV,2017-12-08,85.22,85.22
