None,ticker,date,close,adj_close
0,ATO,2018-03-27,83.13,83.13
1,ATO,2018-03-26,81.69,81.69
2,ATO,2018-03-23,80.03,80.03
3,ATO,2018-03-22,81.17,81.17
4,ATO,2018-03-21,81.38,81.38
5,ATO,2018-03-20,81.27,81.27
6,ATO,2018-03-19,81.7,81.7
7,ATO,2018-03-16,82.86,82.86
8,ATO,2018-03-15,81.47,81.47
9,ATO,2018-03-14,81.34,81.34
10,ATO,2018-03-13,81.02,81.02
11,ATO,2018-03-12,81.13,81.13
12,ATO,2018-03-09,80.23,80.23
13,ATO,2018-03-08,79.82,79.82
14,ATO,2018-03-07,79.46,79.46
15,ATO,2018-03-06,80.04,80.04
16,ATO,2018-03-05,80.61,80.61
17,ATO,2018-03-02,79.19,79.19
18,ATO,2018-03-01,80.15,80.15
19,ATO,2018-02-28,80.49,80.49
20,ATO,2018-02-27,81.05,81.05
21,ATO,2018-02-26,82.19,82.19
22,ATO,2018-02-23,82.59,82.59
23,ATO,2018-02-22,80.86,80.86
24,ATO,2018-02-21,81.04,81.04
25,ATO,2018-02-20,82.07,82.07
26,ATO,2018-02-16,82.96,82.96
27,ATO,2018-02-15,81.92,81.92
28,ATO,2018-02-14,80.24,80.24
29,ATO,2018-02-13,80.42,80.42
30,ATO,2018-02-12,80.39,80.39
31,ATO,2018-02-09,81.11,81.11
32,ATO,2018-02-08,78.95,78.95
33,ATO,2018-02-07,78.48,78.48
34,ATO,2018-02-06,78.03,78.03
35,ATO,2018-02-05,79.31,79.31
36,ATO,2018-02-02,81.5,81.5
37,ATO,2018-02-01,82.29,82.29
38,ATO,2018-01-31,82.9,82.9
39,ATO,2018-01-30,82.48,82.48
40,ATO,2018-01-29,82.37,82.37
41,ATO,2018-01-26,83.02,83.02
42,ATO,2018-01-25,82.91,82.91
43,ATO,2018-01-24,82.25,82.25
44,ATO,2018-01-23,82.26,82.26
45,ATO,2018-01-22,81.4,81.4
46,ATO,2018-01-19,80.83,80.83
47,ATO,2018-01-18,80.69,80.69
48,ATO,2018-01-17,80.82,80.82
49,ATO,2018-01-16,80.1,80.1
50,ATO,2018-01-12,79.84,79.84
51,ATO,2018-01-11,80.0,80.0
52,ATO,2018-01-10,80.8,80.8
53,ATO,2018-01-09,82.59,82.59
54,ATO,2018-01-08,83.45,83.45
