None,ticker,date,close,adj_close
0,ATVI,2018-03-27,66.29,66.29
1,ATVI,2018-03-26,70.08,70.08
2,ATVI,2018-03-23,68.04,68.04
3,ATVI,2018-03-22,69.76,69.76
4,ATVI,2018-03-21,71.61,71.61
5,ATVI,2018-03-20,71.37,71.37
6,ATVI,2018-03-19,71.05,71.05
7,ATVI,2018-03-16,71.68,71.68
8,ATVI,2018-03-15,73.38,73.38
9,ATVI,2018-03-14,74.22,74.22
10,ATVI,2018-03-13,75.93,75.93
11,ATVI,2018-03-12,76.86,76.86
12,ATVI,2018-03-09,78.22,78.22
13,ATVI,2018-03-08,76.81,76.81
14,ATVI,2018-03-07,74.07,74.07
15,ATVI,2018-03-06,73.92,73.92
16,ATVI,2018-03-05,75.1,75.1
17,ATVI,2018-03-02,74.01,74.01
18,ATVI,2018-03-01,72.01,72.01
19,ATVI,2018-02-28,73.13,73.13
20,ATVI,2018-02-27,72.61,72.61
21,ATVI,2018-02-26,73.16,73.16
22,ATVI,2018-02-23,72.07,72.07
23,ATVI,2018-02-22,69.49,69.49
24,ATVI,2018-02-21,70.22,70.22
25,ATVI,2018-02-20,70.84,70.84
26,ATVI,2018-02-16,70.19,70.19
27,ATVI,2018-02-15,71.99,71.99
28,ATVI,2018-02-14,69.65,69.65
29,ATVI,2018-02-13,68.07,68.07
30,ATVI,2018-02-12,68.32,68.32
31,ATVI,2018-02-09,66.78,66.78
32,ATVI,2018-02-08,65.83,65.83
33,ATVI,2018-02-07,69.46,69.46
34,ATVI,2018-02-06,69.7,69.7
35,ATVI,2018-02-05,68.4,68.4
36,ATVI,2018-02-02,71.42,71.42
37,ATVI,2018-02-01,73.35,73.35
38,ATVI,2018-01-31,74.13,74.13
39,ATVI,2018-01-30,71.61,71.61
40,ATVI,2018-01-29,72.45,72.45
41,ATVI,2018-01-26,72.52,72.52
42,ATVI,2018-01-25,70.82,70.82
43,ATVI,2018-01-24,70.08,70.08
44,ATVI,2018-01-23,71.55,71.55
45,ATVI,2018-01-22,71.3,71.3
46,ATVI,2018-01-19,70.57,70.57
47,ATVI,2018-01-18,69.8,69.8
48,ATVI,2018-01-17,70.36,70.36
49,ATVI,2018-01-16,68.7,68.7
50,ATVI,2018-01-12,70.36,70.36
51,ATVI,2018-01-11,69.24,69.24
52,ATVI,2018-01-10,66.83,66.83
53,ATVI,2018-01-09,66.19,66.19
54,ATVI,2018-01-08,66.63,66.63
55,ATVI,2018-01-05,66.37,66.37
56,ATVI,2018-01-04,64.66,64.66
57,ATVI,2018-01-03,65.31,65.31
58,ATVI,2018-01-02,64.31,64.31
59,ATVI,2017-12-29,63.32,63.32
60,ATVI,2017-12-28,63.4,63.4
61,ATVI,2017-12-27,63.34,63.34
62,ATVI,2017-12-26,63.45,63.45
63,ATVI,2017-12-22,64.51,64.51
64,ATVI,2017-12-21,65.08,65.08
65,ATVI,2017-12-20,64.38,64.38
66,ATVI,2017-12-19,64.9,64.9
67,ATVI,2017-12-18,66.01,66.01
68,ATVI,2017-12-15,66.73,66.73
69,ATVI,2017-12-14,65.03,65.03
70,ATVI,2017-12-13,64.6,64.6
71,ATVI,2017-12-12,64.4,64.4
72,ATVI,2017-12-11,63.17,63.17
73,ATVI,2017-12-08,62.43,62.43
74,ATVI,2017-12-07,61.57,61.57
75,ATVI,2017-12-06,60.75,60.75
76,ATVI,2017-12-05,59.55,59.55
77,ATVI,2017-12-04,58.6,58.6
78,ATVI,2017-12-01,61.96,61.96
79,ATVI,2017-11-30,62.4,62.4
80,ATVI,2017-11-29,62.01,62.01
81,ATVI,2017-11-28,65.97,65.97
82,ATVI,2017-11-27,65.74,65.74
83,ATVI,2017-11-24,66.03,66.03
84,ATVI,2017-11-22,65.14,65.14
85,ATVI,2017-11-21,64.5,64.5
86,ATVI,2017-11-20,63.93,63.93
87,ATVI,2017-11-17,64.1,64.1
88,ATVI,2017-11-16,64.13,64.13
89,ATVI,2017-11-15,62.89,62.89
90,ATVI,2017-11-14,64.03,64.03
91,ATVI,2017-11-13,63.62,63.62
92,ATVI,2017-11-10,63.0,63.0
93,ATVI,2017-11-09,63.31,63.31
94,ATVI,2017-11-07,60.96,60.96
95,ATVI,2017-11-06,60.87,60.87
96,ATVI,2017-11-03,63.2,63.2
97,ATVI,2017-11-02,65.45,65.45
98,ATVI,2017-11-01,65.33,65.33
99,ATVI,2017-10-31,65.49,65.49
100,ATVI,2017-10-30,65.3,65.3
101,ATVI,2017-10-27,64.14,64.14
102,ATVI,2017-10-26,62.06,62.06
103,ATVI,2017-10-25,61.81,61.81
104,ATVI,2017-10-24,62.73,62.73
105,ATVI,2017-10-23,61.46,61.46
106,ATVI,2017-10-20,62.63,62.63
107,ATVI,2017-10-19,61.99,61.99
108,ATVI,2017-10-18,61.5,61.5
109,ATVI,2017-10-17,61.66,61.66
110,ATVI,2017-10-16,61.48,61.48
111,ATVI,2017-10-13,61.08,61.08
112,ATVI,2017-10-12,62.05,62.05
113,ATVI,2017-10-11,61.36,61.36
114,ATVI,2017-10-10,61.45,61.45
115,ATVI,2017-10-09,61.18,61.18
116,ATVI,2017-10-06,63.25,63.25
117,ATVI,2017-10-05,63.09,63.09
118,ATVI,2017-10-04,62.63,62.63
119,ATVI,2017-10-03,63.45,63.45
120,ATVI,2017-10-02,63.39,63.39
121,ATVI,2017-09-29,64.49,64.49
122,ATVI,2017-09-28,63.54,63.54
123,ATVI,2017-09-27,63.09,63.09
124,ATVI,2017-09-26,61.76,61.76
125,ATVI,2017-09-25,62.14,62.14
126,ATVI,2017-09-22,63.9,63.9
127,ATVI,2017-09-21,64.11,64.11
128,ATVI,2017-09-20,65.0,65.0
129,ATVI,2017-09-19,64.31,64.31
130,ATVI,2017-09-18,64.2,64.2
131,ATVI,2017-09-15,65.0,65.0
132,ATVI,2017-09-14,65.17,65.17
133,ATVI,2017-09-13,65.4,65.4
134,ATVI,2017-09-12,66.09,66.09
135,ATVI,2017-09-11,66.16,66.16
136,ATVI,2017-09-08,64.93,64.93
137,ATVI,2017-09-07,65.83,65.83
138,ATVI,2017-09-06,64.0,64.0
139,ATVI,2017-09-05,65.05,65.05
140,ATVI,2017-09-01,65.12,65.12
141,ATVI,2017-08-31,65.56,65.56
142,ATVI,2017-08-30,65.68,65.68
143,ATVI,2017-08-29,63.48,63.48
144,ATVI,2017-08-28,62.75,62.75
145,ATVI,2017-08-25,62.58,62.58
146,ATVI,2017-08-24,63.43,63.43
147,ATVI,2017-08-23,64.01,64.01
148,ATVI,2017-08-22,64.26,64.26
149,ATVI,2017-08-21,61.78,61.78
150,ATVI,2017-08-18,62.01,62.01
151,ATVI,2017-08-17,61.37,61.37
152,ATVI,2017-08-16,62.89,62.89
153,ATVI,2017-08-15,61.97,61.97
154,ATVI,2017-08-14,61.89,61.89
155,ATVI,2017-08-11,60.74,60.74
156,ATVI,2017-08-10,60.21,60.21
157,ATVI,2017-08-09,61.38,61.38
158,ATVI,2017-08-08,61.33,61.33
159,ATVI,2017-08-04,62.01,62.01
160,ATVI,2017-08-03,63.97,63.97
161,ATVI,2017-08-02,61.45,61.45
162,ATVI,2017-08-01,62.4,62.4
163,ATVI,2017-07-31,61.81,61.81
164,ATVI,2017-07-28,61.45,61.45
165,ATVI,2017-07-27,61.17,61.17
166,ATVI,2017-07-26,62.64,62.64
167,ATVI,2017-07-25,60.95,60.95
168,ATVI,2017-07-24,61.44,61.44
169,ATVI,2017-07-21,60.93,60.93
170,ATVI,2017-07-20,61.08,61.08
171,ATVI,2017-07-19,61.33,61.33
172,ATVI,2017-07-18,61.33,61.33
173,ATVI,2017-07-17,60.5,60.5
174,ATVI,2017-07-14,60.75,60.75
175,ATVI,2017-07-13,60.5,60.5
176,ATVI,2017-07-12,61.02,61.02
177,ATVI,2017-07-11,57.98,57.98
178,ATVI,2017-07-10,58.51,58.51
179,ATVI,2017-07-07,58.09,58.09
180,ATVI,2017-07-06,56.6399,56.6399
181,ATVI,2017-07-05,57.16,57.16
182,ATVI,2017-07-03,56.26,56.26
183,ATVI,2017-06-30,57.57,57.57
184,ATVI,2017-06-29,57.58,57.58
185,ATVI,2017-06-28,58.81,58.81
186,ATVI,2017-06-27,58.29,58.29
187,ATVI,2017-06-26,60.22,60.22
188,ATVI,2017-06-23,60.38,60.38
189,ATVI,2017-06-22,61.16,61.16
190,ATVI,2017-06-21,60.68,60.68
191,ATVI,2017-06-20,60.15,60.15
192,ATVI,2017-06-19,60.32,60.32
193,ATVI,2017-06-16,58.8,58.8
194,ATVI,2017-06-15,58.91,58.91
195,ATVI,2017-06-14,58.45,58.45
196,ATVI,2017-06-13,57.9,57.9
197,ATVI,2017-06-12,56.76,56.76
198,ATVI,2017-06-09,58.03,58.03
199,ATVI,2017-06-08,60.54,60.54
200,ATVI,2017-06-07,60.54,60.54
201,ATVI,2017-06-06,59.85,59.85
202,ATVI,2017-06-05,59.8,59.8
203,ATVI,2017-06-02,59.65,59.65
204,ATVI,2017-06-01,59.56,59.56
205,ATVI,2017-05-31,58.58,58.58
206,ATVI,2017-05-30,58.58,58.58
207,ATVI,2017-05-26,58.28,58.28
208,ATVI,2017-05-25,59.22,59.22
209,ATVI,2017-05-24,58.51,58.51
210,ATVI,2017-05-23,57.8,57.8
211,ATVI,2017-05-22,57.12,57.12
212,ATVI,2017-05-19,55.88,55.88
213,ATVI,2017-05-18,55.15,55.15
214,ATVI,2017-05-17,54.25,54.25
215,ATVI,2017-05-16,56.78,56.78
216,ATVI,2017-05-15,56.41,56.41
217,ATVI,2017-05-12,56.01,56.01
218,ATVI,2017-05-11,55.75,55.75
219,ATVI,2017-05-10,55.99,55.99
220,ATVI,2017-05-09,54.62,54.62
221,ATVI,2017-05-08,53.99,53.99
222,ATVI,2017-05-05,53.83,53.83
223,ATVI,2017-05-04,53.1,53.1
224,ATVI,2017-05-03,52.84,52.84
225,ATVI,2017-05-02,53.04,53.04
226,ATVI,2017-05-01,52.7,52.7
227,ATVI,2017-04-28,52.25,52.25
228,ATVI,2017-04-27,51.91,51.91
229,ATVI,2017-04-26,51.36,51.36
230,ATVI,2017-04-25,51.36,51.36
231,ATVI,2017-04-24,50.88,50.88
232,ATVI,2017-04-21,49.87,49.87
233,ATVI,2017-04-20,49.95,49.95
234,ATVI,2017-04-19,49.35,49.35
235,ATVI,2017-04-18,49.17,49.17
236,ATVI,2017-04-17,48.8,48.8
237,ATVI,2017-04-13,48.42,48.42
238,ATVI,2017-04-12,48.64,48.64
239,ATVI,2017-04-11,49.08,49.08
240,ATVI,2017-04-10,49.04,49.04
241,ATVI,2017-04-07,49.61,49.61
242,ATVI,2017-04-06,49.36,49.36
243,ATVI,2017-04-05,49.2,49.2
244,ATVI,2017-04-04,49.04,49.04
245,ATVI,2017-04-03,49.53,49.53
246,ATVI,2017-03-31,49.86,49.86
247,ATVI,2017-03-30,50.19,50.19
248,ATVI,2017-03-29,50.14,50.14
249,ATVI,2017-03-28,49.76,49.76
250,ATVI,2017-03-27,49.3,49.00455453455853
251,ATVI,2017-03-24,49.12,48.82563324011187
252,ATVI,2017-03-23,48.78,48.48767079504595
253,ATVI,2017-03-22,48.68,48.38827007590891
254,ATVI,2017-03-21,48.22,47.93102676787855
255,ATVI,2017-03-20,48.96,48.66659208949261
256,ATVI,2017-03-17,49.13,48.83557331202557
257,ATVI,2017-03-16,49.1,48.80575309628446
258,ATVI,2017-03-15,49.22,48.92503395924891
259,ATVI,2017-03-14,49.08,48.785872952457055
260,ATVI,2017-03-13,49.5,49.203355972832604
261,ATVI,2017-03-10,49.2,48.9051538154215
262,ATVI,2017-03-09,49.02,48.72623252097484
263,ATVI,2017-03-08,48.58,48.288869356771876
264,ATVI,2017-03-07,48.06,47.7719856172593
265,ATVI,2017-03-06,47.81,47.523483819416704
266,ATVI,2017-03-03,47.07,46.78791849780264
267,ATVI,2017-03-02,46.68,46.4002556931682
268,ATVI,2017-03-01,47.14,46.85749900119857
269,ATVI,2017-02-28,45.13,44.85954454654415
270,ATVI,2017-02-27,45.69,45.416188573711544
271,ATVI,2017-02-24,45.55,45.2770275669197
272,ATVI,2017-02-23,45.08,44.80984418697563
273,ATVI,2017-02-22,45.23,44.95894526568118
274,ATVI,2017-02-21,45.34,45.06828605673193
275,ATVI,2017-02-17,45.33,45.05834598481822
276,ATVI,2017-02-16,45.39,45.11798641630045
277,ATVI,2017-02-15,45.48,45.20744706352377
278,ATVI,2017-02-14,44.98,44.710443467838594
279,ATVI,2017-02-13,45.7,45.426128645625255
280,ATVI,2017-02-10,47.23,46.946959648421895
281,ATVI,2017-02-09,39.73,39.49190571314423
282,ATVI,2017-02-08,39.19,38.955141829804234
283,ATVI,2017-02-07,40.05,39.80998801438274
284,ATVI,2017-02-06,40.19,39.94914902117459
285,ATVI,2017-02-03,40.01,39.770227726727924
286,ATVI,2017-02-02,40.47,40.227471034758295
