None,ticker,date,close,adj_close
0,AVB,2018-03-27,160.64,160.64
1,AVB,2018-03-26,158.83,158.83
2,AVB,2018-03-23,158.01,158.01
3,AVB,2018-03-22,160.26,160.26
4,AVB,2018-03-21,163.24,163.24
5,AVB,2018-03-20,164.31,164.31
6,AVB,2018-03-19,165.09,165.09
7,AVB,2018-03-16,165.75,165.75
8,AVB,2018-03-15,163.67,163.67
9,AVB,2018-03-14,163.47,163.47
10,AVB,2018-03-13,161.52,161.52
11,AVB,2018-03-12,161.54,161.54
12,AVB,2018-03-09,161.42,161.42
13,AVB,2018-03-08,159.5,159.5
14,AVB,2018-03-07,158.11,158.11
15,AVB,2018-03-06,155.96,155.96
16,AVB,2018-03-05,156.08,156.08
17,AVB,2018-03-02,153.9,153.9
18,AVB,2018-03-01,155.05,155.05
19,AVB,2018-02-28,156.02,156.02
20,AVB,2018-02-27,156.08,156.08
21,AVB,2018-02-26,160.15,160.15
22,AVB,2018-02-23,160.01,160.01
23,AVB,2018-02-22,157.12,157.12
24,AVB,2018-02-21,156.02,156.02
25,AVB,2018-02-20,160.42,160.42
26,AVB,2018-02-16,162.57,162.57
27,AVB,2018-02-15,161.1,161.1
28,AVB,2018-02-14,158.92,158.92
29,AVB,2018-02-13,159.4,159.4
30,AVB,2018-02-12,158.75,158.75
31,AVB,2018-02-09,159.61,159.61
32,AVB,2018-02-08,154.94,154.94
33,AVB,2018-02-07,158.28,158.28
34,AVB,2018-02-06,160.25,160.25
35,AVB,2018-02-05,159.02,159.02
36,AVB,2018-02-02,163.96,163.96
37,AVB,2018-02-01,164.11,164.11
38,AVB,2018-01-31,170.4,170.4
39,AVB,2018-01-30,166.87,166.87
40,AVB,2018-01-29,168.25,168.25
41,AVB,2018-01-26,170.09,170.09
42,AVB,2018-01-25,170.18,170.18
43,AVB,2018-01-24,171.8,171.8
44,AVB,2018-01-23,172.69,172.69
45,AVB,2018-01-22,170.1,170.1
46,AVB,2018-01-19,168.7,168.7
47,AVB,2018-01-18,167.79,167.79
48,AVB,2018-01-17,169.91,169.91
49,AVB,2018-01-16,169.03,169.03
50,AVB,2018-01-12,168.23,168.23
51,AVB,2018-01-11,169.77,169.77
52,AVB,2018-01-10,170.96,170.96
53,AVB,2018-01-09,173.07,173.07
54,AVB,2018-01-08,174.39,174.39
55,AVB,2018-01-05,174.26,174.26
56,AVB,2018-01-04,174.61,174.61
57,AVB,2018-01-03,177.79,177.79
58,AVB,2018-01-02,177.24,177.24
59,AVB,2017-12-29,178.41,178.41
60,AVB,2017-12-28,178.58,178.58
61,AVB,2017-12-27,178.57,178.57
62,AVB,2017-12-26,178.99,178.99
63,AVB,2017-12-22,178.12,178.12
64,AVB,2017-12-21,175.55,175.55
65,AVB,2017-12-20,177.62,177.62
66,AVB,2017-12-19,177.72,177.72
67,AVB,2017-12-18,182.46,182.46
68,AVB,2017-12-15,181.66,181.66
69,AVB,2017-12-14,182.37,182.37
70,AVB,2017-12-13,182.31,182.31
71,AVB,2017-12-12,183.64,183.64
72,AVB,2017-12-11,182.81,182.81
73,AVB,2017-12-08,182.22,182.22
74,AVB,2017-12-07,179.96,179.96
75,AVB,2017-12-06,179.38,179.38
76,AVB,2017-12-05,178.81,178.81
77,AVB,2017-12-04,181.12,181.12
78,AVB,2017-12-01,181.33,181.33
79,AVB,2017-11-30,181.33,181.33
80,AVB,2017-11-29,182.04,182.04
81,AVB,2017-11-28,181.27,181.27
82,AVB,2017-11-27,182.84,182.84
83,AVB,2017-11-24,184.63,184.63
84,AVB,2017-11-22,184.6,184.6
85,AVB,2017-11-21,185.02,185.02
86,AVB,2017-11-20,183.94,183.94
87,AVB,2017-11-17,184.37,184.37
88,AVB,2017-11-16,186.09,186.09
89,AVB,2017-11-15,184.69,184.69
90,AVB,2017-11-14,187.51,187.51
91,AVB,2017-11-13,188.11,188.11
92,AVB,2017-11-10,187.16,187.16
93,AVB,2017-11-09,187.47,187.47
94,AVB,2017-11-07,183.76,183.76
95,AVB,2017-11-06,183.39,183.39
96,AVB,2017-11-03,181.97,181.97
97,AVB,2017-11-02,180.35,180.35
98,AVB,2017-11-01,183.4,183.4
99,AVB,2017-10-31,181.33,181.33
100,AVB,2017-10-30,181.89,181.89
101,AVB,2017-10-27,181.65,181.65
102,AVB,2017-10-26,180.66,180.66
103,AVB,2017-10-25,180.49,180.49
104,AVB,2017-10-24,179.51,179.51
105,AVB,2017-10-23,181.98,181.98
106,AVB,2017-10-20,181.19,181.19
107,AVB,2017-10-19,180.6,180.6
108,AVB,2017-10-18,180.08,180.08
109,AVB,2017-10-17,180.02,180.02
110,AVB,2017-10-16,179.2,179.2
111,AVB,2017-10-13,180.6,180.6
112,AVB,2017-10-12,180.96,180.96
113,AVB,2017-10-11,179.98,179.98
114,AVB,2017-10-10,178.5,178.5
115,AVB,2017-10-09,178.75,178.75
116,AVB,2017-10-06,178.9,178.9
117,AVB,2017-10-05,180.44,180.44
118,AVB,2017-10-04,180.0,180.0
119,AVB,2017-10-03,177.69,177.69
120,AVB,2017-10-02,177.59,177.59
121,AVB,2017-09-29,178.42,178.42
122,AVB,2017-09-28,178.6,178.6
123,AVB,2017-09-27,178.16,176.75467170314
124,AVB,2017-09-26,179.1,177.68725697145
125,AVB,2017-09-25,179.31,177.89560048883
126,AVB,2017-09-22,178.52,177.11183201866
127,AVB,2017-09-21,179.81,178.39165648261
128,AVB,2017-09-20,180.8,179.37384735029
129,AVB,2017-09-19,181.72,180.28659037885
130,AVB,2017-09-18,183.17,181.7251527608
131,AVB,2017-09-15,183.77,182.32041995334
132,AVB,2017-09-14,183.73,182.28073547384
133,AVB,2017-09-13,183.84,182.38986779247
134,AVB,2017-09-12,184.63,183.17363626264
135,AVB,2017-09-11,188.55,187.06271525386
136,AVB,2017-09-08,186.76,185.28683479613
137,AVB,2017-09-07,185.99,184.52290856571
138,AVB,2017-09-06,185.53,184.06653705144
139,AVB,2017-09-05,186.68,185.20746583713
140,AVB,2017-09-01,188.0,186.5170536607
141,AVB,2017-08-31,187.73,186.24918342406
142,AVB,2017-08-30,186.92,185.44557271414
143,AVB,2017-08-29,187.28,185.80273302966
144,AVB,2017-08-28,188.33,186.8444506166
145,AVB,2017-08-25,188.99,187.49924452839
146,AVB,2017-08-24,189.34,187.84648372403
147,AVB,2017-08-23,189.78,188.28301299856
148,AVB,2017-08-22,189.08,187.58853460727
149,AVB,2017-08-21,190.31,188.80883235196
150,AVB,2017-08-18,188.99,187.49924452839
151,AVB,2017-08-17,190.38,188.87828019109
152,AVB,2017-08-16,191.2,189.69181202089
153,AVB,2017-08-15,192.07,190.55494945006
154,AVB,2017-08-14,191.57,190.05889345628
155,AVB,2017-08-11,188.51,187.02303077436
156,AVB,2017-08-10,189.05,187.55877124764
157,AVB,2017-08-09,189.27,187.7770358849
158,AVB,2017-08-08,188.55,187.06271525386
159,AVB,2017-08-07,188.44,186.95358293523
160,AVB,2017-08-04,187.87,186.38807910232
161,AVB,2017-08-03,187.81,186.32855238307
162,AVB,2017-08-02,191.29,189.78110209977
163,AVB,2017-08-01,192.12,190.60455504944
164,AVB,2017-07-31,192.35,190.83274080658
165,AVB,2017-07-28,192.5,190.98155760471
166,AVB,2017-07-27,190.55,189.04693922897
167,AVB,2017-07-26,191.12,189.61244306188
168,AVB,2017-07-25,187.84,186.3583157427
169,AVB,2017-07-24,189.16,187.66790356627
170,AVB,2017-07-21,191.15,189.64220642151
171,AVB,2017-07-20,190.12,188.62033107433
172,AVB,2017-07-19,190.17,188.6699366737
173,AVB,2017-07-18,188.4,186.91389845573
174,AVB,2017-07-17,190.04,188.54096211532
175,AVB,2017-07-14,187.71,186.22934118431
176,AVB,2017-07-13,186.95,185.47533607377
