None,ticker,date,close,adj_close
0,AVGO,2018-03-27,244.37,244.37
1,AVGO,2018-03-26,247.73,247.73
2,AVGO,2018-03-23,242.48,242.48
3,AVGO,2018-03-22,243.57,243.57
4,AVGO,2018-03-21,246.0,246.0
5,AVGO,2018-03-20,242.36,242.36
6,AVGO,2018-03-19,244.95,244.95
7,AVGO,2018-03-16,254.87,254.87
8,AVGO,2018-03-15,267.76,267.76
9,AVGO,2018-03-14,260.59,260.59
10,AVGO,2018-03-13,261.22,261.22
11,AVGO,2018-03-12,262.84,262.84
12,AVGO,2018-03-09,253.78,253.78
13,AVGO,2018-03-08,246.95,246.95
14,AVGO,2018-03-07,247.05,247.05
15,AVGO,2018-03-06,250.96,250.96
16,AVGO,2018-03-05,246.98,246.98
17,AVGO,2018-03-02,250.87,250.87
18,AVGO,2018-03-01,243.31,243.31
19,AVGO,2018-02-28,246.46,246.46
20,AVGO,2018-02-27,251.81,251.81
21,AVGO,2018-02-26,252.95,252.95
22,AVGO,2018-02-23,253.71,253.71
23,AVGO,2018-02-22,249.35,249.35
24,AVGO,2018-02-21,248.62,248.62
25,AVGO,2018-02-20,249.62,249.62
26,AVGO,2018-02-16,248.89,248.89
27,AVGO,2018-02-15,251.83,251.83
28,AVGO,2018-02-14,247.66,247.66
29,AVGO,2018-02-13,245.86,245.86
30,AVGO,2018-02-12,244.4,244.4
31,AVGO,2018-02-09,235.28,235.28
32,AVGO,2018-02-08,229.53,229.53
33,AVGO,2018-02-07,237.38,237.38
34,AVGO,2018-02-06,240.38,240.38
35,AVGO,2018-02-05,230.05,230.05
36,AVGO,2018-02-02,235.48,235.48
37,AVGO,2018-02-01,238.79,238.79
38,AVGO,2018-01-31,248.03,248.03
39,AVGO,2018-01-30,240.98,240.98
40,AVGO,2018-01-29,245.47,245.47
41,AVGO,2018-01-26,250.79,250.79
42,AVGO,2018-01-25,247.29,247.29
43,AVGO,2018-01-24,256.86,256.86
44,AVGO,2018-01-23,262.9,262.9
