None,ticker,date,close,adj_close
0,AVY,2018-03-27,104.45,104.45
1,AVY,2018-03-26,105.76,105.76
2,AVY,2018-03-23,103.06,103.06
3,AVY,2018-03-22,105.92,105.92
4,AVY,2018-03-21,110.14,110.14
5,AVY,2018-03-20,110.76,110.76
6,AVY,2018-03-19,110.82,110.82
7,AVY,2018-03-16,111.63,111.63
8,AVY,2018-03-15,114.15,114.15
9,AVY,2018-03-14,114.83,114.83
10,AVY,2018-03-13,115.91,115.91
11,AVY,2018-03-12,116.52,116.52
12,AVY,2018-03-09,117.33,117.33
13,AVY,2018-03-08,115.5,115.5
14,AVY,2018-03-07,115.79,115.79
15,AVY,2018-03-06,114.52,114.52
16,AVY,2018-03-05,114.79,114.340704532
17,AVY,2018-03-02,115.16,114.709256328
18,AVY,2018-03-01,115.94,115.486203357
19,AVY,2018-02-28,118.15,118.15
20,AVY,2018-02-27,118.91,118.91
21,AVY,2018-02-26,120.11,120.11
22,AVY,2018-02-23,119.13,119.13
23,AVY,2018-02-22,118.24,118.24
24,AVY,2018-02-21,116.92,116.92
25,AVY,2018-02-20,117.08,117.08
26,AVY,2018-02-16,118.8,118.8
27,AVY,2018-02-15,119.53,119.53
28,AVY,2018-02-14,118.12,118.12
29,AVY,2018-02-13,116.88,116.88
30,AVY,2018-02-12,115.65,115.65
31,AVY,2018-02-09,111.46,111.46
32,AVY,2018-02-08,110.77,110.77
33,AVY,2018-02-07,114.78,114.78
34,AVY,2018-02-06,114.24,114.24
35,AVY,2018-02-05,113.81,113.81
36,AVY,2018-02-02,117.63,117.63
37,AVY,2018-02-01,120.36,120.36
38,AVY,2018-01-31,122.68,122.68
39,AVY,2018-01-30,117.33,117.33
40,AVY,2018-01-29,118.67,118.67
41,AVY,2018-01-26,121.02,121.02
42,AVY,2018-01-25,120.96,120.96
43,AVY,2018-01-24,120.06,120.06
44,AVY,2018-01-23,119.74,119.74
45,AVY,2018-01-22,120.73,120.73
46,AVY,2018-01-19,121.34,121.34
47,AVY,2018-01-18,120.63,120.63
48,AVY,2018-01-17,118.88,118.88
49,AVY,2018-01-16,117.38,117.38
50,AVY,2018-01-12,119.35,119.35
51,AVY,2018-01-11,119.57,119.57
52,AVY,2018-01-10,118.59,118.59
53,AVY,2018-01-09,118.91,118.91
54,AVY,2018-01-08,118.6,118.6
55,AVY,2018-01-05,118.16,118.16
56,AVY,2018-01-04,116.78,116.78
57,AVY,2018-01-03,116.01,116.01
58,AVY,2018-01-02,115.68,115.68
59,AVY,2017-12-29,114.86,114.86
60,AVY,2017-12-28,115.57,115.57
61,AVY,2017-12-27,115.14,115.14
62,AVY,2017-12-26,114.82,114.82
63,AVY,2017-12-22,114.17,114.17
64,AVY,2017-12-21,114.02,114.02
65,AVY,2017-12-20,116.68,116.68
66,AVY,2017-12-19,117.1,117.1
67,AVY,2017-12-18,116.12,116.12
68,AVY,2017-12-15,115.91,115.91
69,AVY,2017-12-14,114.28,114.28
70,AVY,2017-12-13,114.37,114.37
71,AVY,2017-12-12,114.46,114.46
72,AVY,2017-12-11,114.98,114.98
73,AVY,2017-12-08,113.73,113.73
74,AVY,2017-12-07,112.35,112.35
75,AVY,2017-12-06,111.51,111.51
76,AVY,2017-12-05,113.21,113.21
77,AVY,2017-12-04,112.02,111.57649304945
78,AVY,2017-12-01,112.63,112.18407795179
79,AVY,2017-11-30,114.12,113.66817877881
80,AVY,2017-11-29,111.88,111.43704733415
81,AVY,2017-11-28,112.0,111.55657223298
82,AVY,2017-11-27,111.92,111.47688896709
83,AVY,2017-11-24,111.7,111.25775998592
84,AVY,2017-11-22,111.1,110.66013549182
85,AVY,2017-11-21,110.42,109.98282773183
86,AVY,2017-11-20,110.7,110.26171916241
87,AVY,2017-11-17,108.29,107.86126077776
88,AVY,2017-11-16,108.25,107.82141914482
89,AVY,2017-11-15,107.7,107.27359669189
90,AVY,2017-11-14,108.17,107.74173587894
91,AVY,2017-11-13,107.94,107.51264648953
92,AVY,2017-11-10,105.19,104.77353422488
93,AVY,2017-11-09,105.76,105.34127749428
94,AVY,2017-11-07,107.04,106.61620974837
95,AVY,2017-11-06,107.07,106.64609097308
96,AVY,2017-11-03,108.09,107.66205261306
97,AVY,2017-11-02,108.44,108.01066690128
98,AVY,2017-11-01,107.03,106.60624934014
99,AVY,2017-10-31,106.17,105.74965423192
100,AVY,2017-10-30,105.32,104.90301953194
101,AVY,2017-10-27,106.11,105.68989178251
102,AVY,2017-10-26,104.86,104.44484075312
103,AVY,2017-10-25,104.06,103.64800809432
104,AVY,2017-10-24,98.91,98.518397853247
105,AVY,2017-10-23,99.01,98.618001935597
106,AVY,2017-10-20,99.71,99.315230512053
107,AVY,2017-10-19,98.79,98.398872954425
108,AVY,2017-10-18,100.51,100.11206317086
109,AVY,2017-10-17,101.58,101.17782685201
110,AVY,2017-10-16,102.18,101.77545134612
111,AVY,2017-10-13,101.94,101.53640154848
112,AVY,2017-10-12,100.8,100.40091500968
113,AVY,2017-10-11,101.21,100.80929174732
114,AVY,2017-10-10,100.79,100.39095460144
115,AVY,2017-10-09,100.71,100.31127133556
116,AVY,2017-10-06,100.34,99.942736230864
117,AVY,2017-10-05,99.89,99.494517860285
118,AVY,2017-10-04,99.71,99.315230512053
119,AVY,2017-10-03,99.26,98.867012141475
120,AVY,2017-10-02,99.42,99.026378673236
121,AVY,2017-09-29,98.34,97.950654583847
122,AVY,2017-09-28,99.93,99.534359493225
123,AVY,2017-09-27,99.4,99.006457856766
124,AVY,2017-09-26,98.61,98.219585606194
125,AVY,2017-09-25,98.89,98.498477036776
126,AVY,2017-09-22,98.76,98.36899172972
127,AVY,2017-09-21,98.82,98.428754179131
128,AVY,2017-09-20,98.88,98.488516628541
129,AVY,2017-09-19,98.5,98.110021115608
130,AVY,2017-09-18,98.91,98.518397853247
131,AVY,2017-09-15,96.83,96.446632940348
132,AVY,2017-09-14,95.76,95.380869259194
133,AVY,2017-09-13,95.01,94.633838641563
134,AVY,2017-09-12,95.23,94.852967622734
135,AVY,2017-09-11,94.18,93.80712475805
136,AVY,2017-09-08,93.19,92.821044342777
137,AVY,2017-09-07,92.67,92.303103114552
138,AVY,2017-09-06,93.09,92.721440260426
139,AVY,2017-09-05,94.8,94.424670068626
140,AVY,2017-09-01,95.01,94.186749640106
141,AVY,2017-08-31,94.26,93.00275530145
142,AVY,2017-08-30,94.03,92.775823053208
143,AVY,2017-08-29,93.45,92.203559122857
144,AVY,2017-08-28,93.3,92.055559830525
145,AVY,2017-08-25,93.67,92.420624751611
146,AVY,2017-08-24,92.96,91.720094767906
147,AVY,2017-08-23,93.04,91.799027723816
148,AVY,2017-08-22,93.19,91.947027016148
149,AVY,2017-08-21,92.81,91.572095475574
150,AVY,2017-08-18,93.04,91.799027723816
151,AVY,2017-08-17,93.16,91.917427157682
152,AVY,2017-08-16,94.65,93.387553461513
153,AVY,2017-08-15,93.52,92.272625459279
154,AVY,2017-08-14,93.68,92.4304913711
155,AVY,2017-08-11,93.02,91.779294484839
156,AVY,2017-08-10,91.93,90.703832960559
157,AVY,2017-08-09,92.89,91.651028431484
158,AVY,2017-08-08,93.4,92.154226025413
159,AVY,2017-08-07,93.54,92.292358698256
160,AVY,2017-08-04,93.05,91.808894343305
161,AVY,2017-08-03,93.27,92.025959972059
162,AVY,2017-08-02,94.08,92.825156150652
163,AVY,2017-08-01,93.44,92.193692503368
164,AVY,2017-07-31,92.93,91.690494909439
165,AVY,2017-07-28,92.03,90.802499155447
166,AVY,2017-07-27,91.82,90.595300146182
167,AVY,2017-07-26,92.34,91.1083643596
168,AVY,2017-07-25,91.27,90.052636074298
169,AVY,2017-07-24,93.96,92.706756716786
170,AVY,2017-07-21,93.89,92.637690380364
171,AVY,2017-07-20,94.06,92.805422911674
172,AVY,2017-07-19,94.07,92.815289531163
173,AVY,2017-07-18,93.4,92.154226025413
174,AVY,2017-07-17,93.98,92.726489955764
175,AVY,2017-07-14,94.02,92.765956433719
176,AVY,2017-07-13,93.08,91.838494201771
177,AVY,2017-07-12,93.22,91.976626874615
178,AVY,2017-07-11,91.75,90.526233809761
179,AVY,2017-07-10,91.43,90.210501986119
180,AVY,2017-07-07,90.78,89.569171719347
181,AVY,2017-07-06,89.18,87.990512601139
182,AVY,2017-07-05,88.82,87.635314299542
183,AVY,2017-07-03,88.87,87.684647396986
184,AVY,2017-06-30,88.37,87.191316422546
185,AVY,2017-06-29,88.14,86.964384174303
186,AVY,2017-06-28,88.78,87.595847821586
187,AVY,2017-06-27,88.07,86.895317837881
188,AVY,2017-06-26,88.17,86.99398403277
189,AVY,2017-06-23,88.05,86.875584598904
190,AVY,2017-06-22,87.55,86.382253624464
191,AVY,2017-06-21,87.73,86.559852775262
192,AVY,2017-06-20,87.92,86.747318545549
193,AVY,2017-06-19,86.67,85.513991109449
