None,ticker,date,close,adj_close
0,AWK,2018-03-27,80.69,80.69
1,AWK,2018-03-26,79.87,79.87
2,AWK,2018-03-23,79.23,79.23
3,AWK,2018-03-22,80.15,80.15
4,AWK,2018-03-21,80.85,80.85
5,AWK,2018-03-20,81.42,81.42
6,AWK,2018-03-19,81.52,81.52
7,AWK,2018-03-16,82.16,82.16
8,AWK,2018-03-15,81.47,81.47
9,AWK,2018-03-14,81.2,81.2
10,AWK,2018-03-13,80.75,80.75
11,AWK,2018-03-12,82.2,82.2
12,AWK,2018-03-09,81.36,81.36
13,AWK,2018-03-08,80.8,80.8
14,AWK,2018-03-07,80.18,80.18
15,AWK,2018-03-06,79.69,79.69
16,AWK,2018-03-05,80.19,80.19
17,AWK,2018-03-02,78.88,78.88
18,AWK,2018-03-01,79.15,79.15
19,AWK,2018-02-28,79.36,79.36
20,AWK,2018-02-27,79.96,79.96
21,AWK,2018-02-26,80.8,80.8
22,AWK,2018-02-23,80.63,80.63
23,AWK,2018-02-22,78.74,78.74
24,AWK,2018-02-21,78.85,78.85
25,AWK,2018-02-20,79.85,79.85
26,AWK,2018-02-16,80.5,80.5
27,AWK,2018-02-15,79.71,79.71
28,AWK,2018-02-14,78.33,78.33
29,AWK,2018-02-13,78.77,78.77
30,AWK,2018-02-12,77.92,77.92
31,AWK,2018-02-09,77.94,77.94
32,AWK,2018-02-08,76.06,76.06
33,AWK,2018-02-07,77.96,77.96
34,AWK,2018-02-06,78.96,78.96
35,AWK,2018-02-05,78.82,78.82
36,AWK,2018-02-02,81.22,81.22
37,AWK,2018-02-01,81.84,81.84
38,AWK,2018-01-31,83.17,83.17
39,AWK,2018-01-30,83.11,83.11
40,AWK,2018-01-29,83.74,83.74
41,AWK,2018-01-26,84.94,84.94
42,AWK,2018-01-25,84.53,84.53
43,AWK,2018-01-24,83.75,83.75
44,AWK,2018-01-23,84.2,84.2
45,AWK,2018-01-22,82.96,82.96
46,AWK,2018-01-19,83.01,83.01
47,AWK,2018-01-18,82.41,82.41
48,AWK,2018-01-17,82.51,82.51
49,AWK,2018-01-16,82.22,82.22
50,AWK,2018-01-12,80.83,80.83
51,AWK,2018-01-11,84.74,84.74
52,AWK,2018-01-10,85.7,85.7
53,AWK,2018-01-09,86.71,86.71
54,AWK,2018-01-08,87.5,87.5
55,AWK,2018-01-05,86.75,86.75
56,AWK,2018-01-04,87.61,87.61
57,AWK,2018-01-03,88.45,88.45
58,AWK,2018-01-02,89.08,89.08
59,AWK,2017-12-29,91.49,91.49
60,AWK,2017-12-28,91.62,91.62
61,AWK,2017-12-27,90.84,90.84
62,AWK,2017-12-26,90.42,90.42
63,AWK,2017-12-22,90.51,90.51
64,AWK,2017-12-21,89.7,89.7
65,AWK,2017-12-20,89.34,89.34
66,AWK,2017-12-19,89.0,89.0
67,AWK,2017-12-18,90.49,90.49
68,AWK,2017-12-15,90.82,90.82
69,AWK,2017-12-14,90.35,90.35
70,AWK,2017-12-13,89.93,89.93
71,AWK,2017-12-12,89.32,89.32
72,AWK,2017-12-11,92.25,92.25
73,AWK,2017-12-08,91.52,91.52
74,AWK,2017-12-07,91.08,91.08
75,AWK,2017-12-06,90.94,90.94
76,AWK,2017-12-05,90.66,90.66
77,AWK,2017-12-04,91.32,91.32
