None,ticker,date,close,adj_close
0,AXP,2018-03-27,91.42,91.42
1,AXP,2018-03-26,92.62,92.62
2,AXP,2018-03-23,90.45,90.45
3,AXP,2018-03-22,91.41,91.41
4,AXP,2018-03-21,94.74,94.74
5,AXP,2018-03-20,94.95,94.95
6,AXP,2018-03-19,94.84,94.84
7,AXP,2018-03-16,95.61,95.61
8,AXP,2018-03-15,94.39,94.39
9,AXP,2018-03-14,94.53,94.53
10,AXP,2018-03-13,95.37,95.37
11,AXP,2018-03-12,97.67,97.67
12,AXP,2018-03-09,99.05,99.05
13,AXP,2018-03-08,96.59,96.59
14,AXP,2018-03-07,95.64,95.64
15,AXP,2018-03-06,96.07,96.07
16,AXP,2018-03-05,96.66,96.66
17,AXP,2018-03-02,95.6,95.6
18,AXP,2018-03-01,95.14,95.14
19,AXP,2018-02-28,97.51,97.51
20,AXP,2018-02-27,99.58,99.58
21,AXP,2018-02-26,101.64,101.64
22,AXP,2018-02-23,98.8,98.8
23,AXP,2018-02-22,97.35,97.35
24,AXP,2018-02-21,97.5,97.5
25,AXP,2018-02-20,97.19,97.19
26,AXP,2018-02-16,96.79,96.79
27,AXP,2018-02-15,96.56,96.56
28,AXP,2018-02-14,96.23,96.23
29,AXP,2018-02-13,94.56,94.56
30,AXP,2018-02-12,94.7,94.7
31,AXP,2018-02-09,91.72,91.72
32,AXP,2018-02-08,88.34,88.34
33,AXP,2018-02-07,93.61,93.61
34,AXP,2018-02-06,94.18,94.18
35,AXP,2018-02-05,92.01,92.01
36,AXP,2018-02-02,96.68,96.68
37,AXP,2018-02-01,100.0,100.0
38,AXP,2018-01-31,99.4,99.4
39,AXP,2018-01-30,98.71,98.71
40,AXP,2018-01-29,99.41,99.41
41,AXP,2018-01-26,99.63,99.63
42,AXP,2018-01-25,99.69,99.69
43,AXP,2018-01-24,99.3,99.3
44,AXP,2018-01-23,97.98,97.98
45,AXP,2018-01-22,98.32,98.32
46,AXP,2018-01-19,98.03,98.03
47,AXP,2018-01-18,99.86,99.86
48,AXP,2018-01-17,100.76,100.76
49,AXP,2018-01-16,100.34,100.34
50,AXP,2018-01-12,100.97,100.97
51,AXP,2018-01-11,100.73,100.73
52,AXP,2018-01-10,101.22,101.22
53,AXP,2018-01-09,100.52,100.52
54,AXP,2018-01-08,100.15,100.15
55,AXP,2018-01-05,101.08,101.08
56,AXP,2018-01-04,100.85,100.85
57,AXP,2018-01-03,99.55,99.55
