None,ticker,date,close,adj_close
0,AZO,2018-03-27,634.52,634.52
1,AZO,2018-03-26,638.46,638.46
2,AZO,2018-03-23,637.02,637.02
3,AZO,2018-03-22,643.37,643.37
4,AZO,2018-03-21,648.12,648.12
5,AZO,2018-03-20,649.01,649.01
6,AZO,2018-03-19,651.48,651.48
7,AZO,2018-03-16,648.49,648.49
8,AZO,2018-03-15,648.93,648.93
9,AZO,2018-03-14,649.3,649.3
10,AZO,2018-03-13,650.09,650.09
11,AZO,2018-03-12,653.26,653.26
12,AZO,2018-03-09,659.4,659.4
13,AZO,2018-03-08,654.6,654.6
14,AZO,2018-03-07,656.77,656.77
15,AZO,2018-03-06,664.72,664.72
16,AZO,2018-03-05,655.75,655.75
17,AZO,2018-03-02,662.86,662.86
18,AZO,2018-03-01,662.0,662.0
19,AZO,2018-02-28,664.72,664.72
20,AZO,2018-02-27,654.47,654.47
21,AZO,2018-02-26,735.9,735.9
22,AZO,2018-02-23,725.0,725.0
23,AZO,2018-02-22,716.88,716.88
24,AZO,2018-02-21,719.49,719.49
25,AZO,2018-02-20,713.23,713.23
26,AZO,2018-02-16,714.05,714.05
27,AZO,2018-02-15,724.6,724.6
28,AZO,2018-02-14,720.84,720.84
29,AZO,2018-02-13,711.88,711.88
30,AZO,2018-02-12,730.2,730.2
31,AZO,2018-02-09,723.5,723.5
32,AZO,2018-02-08,718.57,718.57
33,AZO,2018-02-07,728.33,728.33
34,AZO,2018-02-06,745.07,745.07
35,AZO,2018-02-05,731.59,731.59
36,AZO,2018-02-02,750.58,750.58
37,AZO,2018-02-01,764.38,764.38
38,AZO,2018-01-31,765.44,765.44
39,AZO,2018-01-30,776.67,776.67
40,AZO,2018-01-29,786.71,786.71
41,AZO,2018-01-26,796.95,796.95
42,AZO,2018-01-25,786.3,786.3
43,AZO,2018-01-24,793.36,793.36
44,AZO,2018-01-23,786.37,786.37
45,AZO,2018-01-22,788.7,788.7
46,AZO,2018-01-19,793.8,793.8
47,AZO,2018-01-18,784.79,784.79
48,AZO,2018-01-17,788.06,788.06
49,AZO,2018-01-16,781.02,781.02
50,AZO,2018-01-12,787.93,787.93
51,AZO,2018-01-11,773.31,773.31
52,AZO,2018-01-10,767.78,767.78
53,AZO,2018-01-09,770.95,770.95
54,AZO,2018-01-08,766.48,766.48
55,AZO,2018-01-05,775.5,775.5
56,AZO,2018-01-04,761.26,761.26
57,AZO,2018-01-03,749.43,749.43
58,AZO,2018-01-02,736.54,736.54
59,AZO,2017-12-29,711.37,711.37
60,AZO,2017-12-28,718.38,718.38
61,AZO,2017-12-27,707.0,707.0
62,AZO,2017-12-26,714.48,714.48
63,AZO,2017-12-22,710.09,710.09
64,AZO,2017-12-21,705.91,705.91
65,AZO,2017-12-20,700.9,700.9
66,AZO,2017-12-19,701.01,701.01
67,AZO,2017-12-18,704.4,704.4
