None,ticker,date,close,adj_close
0,BA,2018-03-27,321.12,321.12
1,BA,2018-03-26,328.97,328.97
2,BA,2018-03-23,321.0,321.0
3,BA,2018-03-22,319.61,319.61
4,BA,2018-03-21,337.1,337.1
5,BA,2018-03-20,337.63,337.63
6,BA,2018-03-19,331.76,331.76
7,BA,2018-03-16,330.47,330.47
8,BA,2018-03-15,329.98,329.98
9,BA,2018-03-14,330.26,330.26
10,BA,2018-03-13,338.67,338.67
11,BA,2018-03-12,344.19,344.19
12,BA,2018-03-09,354.52,354.52
13,BA,2018-03-08,348.73,348.73
14,BA,2018-03-07,347.04,347.04
15,BA,2018-03-06,348.92,348.92
16,BA,2018-03-05,352.75,352.75
17,BA,2018-03-02,344.67,344.67
18,BA,2018-03-01,349.69,349.69
19,BA,2018-02-28,362.21,362.21
20,BA,2018-02-27,364.64,364.64
21,BA,2018-02-26,363.48,363.48
22,BA,2018-02-23,356.66,356.66
23,BA,2018-02-22,355.92,355.92
24,BA,2018-02-21,352.37,352.37
25,BA,2018-02-20,353.35,353.35
26,BA,2018-02-16,355.04,355.04
27,BA,2018-02-15,356.46,356.46
28,BA,2018-02-14,344.85,344.85
29,BA,2018-02-13,343.16,343.16
30,BA,2018-02-12,343.8,343.8
31,BA,2018-02-09,332.83,332.83
32,BA,2018-02-08,329.66,329.66
33,BA,2018-02-07,348.12,348.12
34,BA,2018-02-06,340.91,340.91
35,BA,2018-02-05,328.88,328.88
36,BA,2018-02-02,348.91,348.91
37,BA,2018-02-01,356.94,356.94
38,BA,2018-01-31,354.37,354.37
39,BA,2018-01-30,337.71,337.71
40,BA,2018-01-29,340.82,340.82
41,BA,2018-01-26,343.22,343.22
42,BA,2018-01-25,343.11,343.11
43,BA,2018-01-24,334.69,334.69
44,BA,2018-01-23,335.59,335.59
45,BA,2018-01-22,338.0,338.0
46,BA,2018-01-19,337.73,337.73
47,BA,2018-01-18,340.16,340.16
48,BA,2018-01-17,351.01,351.01
49,BA,2018-01-16,335.16,335.16
50,BA,2018-01-12,336.21,336.21
51,BA,2018-01-11,328.12,328.12
52,BA,2018-01-10,320.26,320.26
53,BA,2018-01-09,318.43,318.43
54,BA,2018-01-08,310.15,310.15
55,BA,2018-01-05,308.84,308.84
56,BA,2018-01-04,296.67,296.67
57,BA,2018-01-03,297.8,297.8
58,BA,2018-01-02,296.84,296.84
59,BA,2017-12-29,294.91,294.91
60,BA,2017-12-28,296.35,296.35
61,BA,2017-12-27,295.62,295.62
62,BA,2017-12-26,295.36,295.36
63,BA,2017-12-22,295.1,295.1
64,BA,2017-12-21,295.03,295.03
65,BA,2017-12-20,297.9,297.9
66,BA,2017-12-19,297.25,297.25
67,BA,2017-12-18,296.14,296.14
68,BA,2017-12-15,293.94,293.94
69,BA,2017-12-14,293.88,293.88
70,BA,2017-12-13,291.84,291.84
71,BA,2017-12-12,289.94,289.94
72,BA,2017-12-11,283.16,283.16
73,BA,2017-12-08,285.9,285.9
74,BA,2017-12-07,281.97,281.97
75,BA,2017-12-06,278.27,278.27
76,BA,2017-12-05,275.54,275.54
77,BA,2017-12-04,277.97,277.97
78,BA,2017-12-01,271.38,271.38
79,BA,2017-11-30,276.8,276.8
80,BA,2017-11-29,269.3,269.3
81,BA,2017-11-28,267.99,267.99
82,BA,2017-11-27,265.58,265.58
83,BA,2017-11-24,265.88,265.88
84,BA,2017-11-22,265.15,265.15
85,BA,2017-11-21,266.99,266.99
86,BA,2017-11-20,264.63,264.63
87,BA,2017-11-17,262.26,262.26
88,BA,2017-11-16,263.7,263.7
89,BA,2017-11-15,262.86,262.86
90,BA,2017-11-14,261.76,261.76
91,BA,2017-11-13,262.42,262.42
92,BA,2017-11-10,260.85,260.85
93,BA,2017-11-09,262.7,262.7
94,BA,2017-11-07,266.13,264.69919354839
95,BA,2017-11-06,264.07,262.6502688172
96,BA,2017-11-03,261.75,260.34274193548
97,BA,2017-11-02,262.63,261.21801075269
98,BA,2017-11-01,258.5,257.11021505376
99,BA,2017-10-31,257.98,256.59301075269
100,BA,2017-10-30,259.25,257.8561827957
101,BA,2017-10-27,256.46,255.0811827957
102,BA,2017-10-26,259.27,257.87607526882
103,BA,2017-10-25,258.39,257.00080645161
104,BA,2017-10-24,266.0,264.56989247312
105,BA,2017-10-23,262.32,260.90967741935
106,BA,2017-10-20,264.75,263.32661290323
107,BA,2017-10-19,259.04,257.64731182796
108,BA,2017-10-18,260.04,258.64193548387
109,BA,2017-10-17,258.62,257.22956989247
110,BA,2017-10-16,259.75,258.35349462366
111,BA,2017-10-13,260.74,259.33817204301
112,BA,2017-10-12,261.91,260.50188172043
113,BA,2017-10-11,261.44,260.03440860215
114,BA,2017-10-10,260.93,259.52715053763
115,BA,2017-10-09,258.39,257.00080645161
116,BA,2017-10-06,258.58,257.18978494624
117,BA,2017-10-05,258.89,257.49811827957
118,BA,2017-10-04,255.76,254.38494623656
119,BA,2017-10-03,255.46,254.08655913978
120,BA,2017-10-02,255.99,254.61370967742
121,BA,2017-09-29,254.21,252.84327956989
122,BA,2017-09-28,254.27,252.90295698925
123,BA,2017-09-27,255.28,253.90752688172
124,BA,2017-09-26,253.7,252.33602150538
125,BA,2017-09-25,254.32,252.95268817204
126,BA,2017-09-22,256.45,255.07123655914
127,BA,2017-09-21,256.04,254.66344086022
128,BA,2017-09-20,255.46,254.08655913978
129,BA,2017-09-19,252.46,251.10268817204
130,BA,2017-09-18,253.08,251.71935483871
131,BA,2017-09-15,249.0,247.66129032258
132,BA,2017-09-14,245.23,243.91155913978
133,BA,2017-09-13,241.93,240.62930107527
