None,ticker,date,close,adj_close
0,BAC,2018-03-27,29.52,29.52
1,BAC,2018-03-26,30.44,30.44
2,BAC,2018-03-23,29.17,29.17
3,BAC,2018-03-22,30.55,30.55
4,BAC,2018-03-21,31.87,31.87
5,BAC,2018-03-20,31.98,31.98
6,BAC,2018-03-19,31.98,31.98
7,BAC,2018-03-16,32.17,32.17
8,BAC,2018-03-15,32.1,32.1
9,BAC,2018-03-14,32.14,32.14
10,BAC,2018-03-13,32.36,32.36
11,BAC,2018-03-12,32.84,32.84
12,BAC,2018-03-09,32.72,32.72
13,BAC,2018-03-08,32.2,32.2
14,BAC,2018-03-07,32.18,32.18
15,BAC,2018-03-06,32.11,32.11
16,BAC,2018-03-05,32.13,32.13
17,BAC,2018-03-02,31.63,31.63
18,BAC,2018-03-01,31.48,31.48
19,BAC,2018-02-28,32.1,32.1
20,BAC,2018-02-27,32.33,32.33
21,BAC,2018-02-26,32.42,32.42
22,BAC,2018-02-23,32.03,32.03
23,BAC,2018-02-22,31.69,31.69
24,BAC,2018-02-21,31.87,31.87
25,BAC,2018-02-20,31.93,31.93
26,BAC,2018-02-16,31.97,31.97
27,BAC,2018-02-15,32.21,32.21
28,BAC,2018-02-14,32.0,32.0
29,BAC,2018-02-13,31.18,31.18
30,BAC,2018-02-12,31.12,31.12
31,BAC,2018-02-09,30.33,30.33
32,BAC,2018-02-08,29.74,29.74
33,BAC,2018-02-07,31.25,31.25
34,BAC,2018-02-06,31.2,31.2
35,BAC,2018-02-05,30.26,30.26
36,BAC,2018-02-02,31.95,31.95
37,BAC,2018-02-01,32.5,32.5
38,BAC,2018-01-31,32.0,32.0
39,BAC,2018-01-30,31.88,31.88
40,BAC,2018-01-29,32.28,32.28
41,BAC,2018-01-26,32.2,32.2
42,BAC,2018-01-25,32.09,32.09
43,BAC,2018-01-24,32.09,32.09
44,BAC,2018-01-23,31.92,31.92
45,BAC,2018-01-22,31.94,31.94
46,BAC,2018-01-19,31.72,31.72
47,BAC,2018-01-18,31.48,31.48
48,BAC,2018-01-17,31.18,31.18
49,BAC,2018-01-16,31.24,31.24
50,BAC,2018-01-12,31.19,31.19
51,BAC,2018-01-11,30.66,30.66
52,BAC,2018-01-10,30.55,30.55
53,BAC,2018-01-09,30.27,30.27
54,BAC,2018-01-08,30.12,30.12
55,BAC,2018-01-05,30.33,30.33
56,BAC,2018-01-04,30.19,30.19
57,BAC,2018-01-03,29.8,29.8
58,BAC,2018-01-02,29.9,29.9
59,BAC,2017-12-29,29.52,29.52
60,BAC,2017-12-28,29.8,29.8
61,BAC,2017-12-27,29.73,29.73
62,BAC,2017-12-26,29.78,29.78
63,BAC,2017-12-22,29.88,29.88
64,BAC,2017-12-21,29.82,29.82
65,BAC,2017-12-20,29.48,29.48
66,BAC,2017-12-19,29.45,29.45
67,BAC,2017-12-18,29.48,29.48
68,BAC,2017-12-15,29.04,29.04
69,BAC,2017-12-14,28.73,28.73
70,BAC,2017-12-13,28.84,28.84
71,BAC,2017-12-12,29.32,29.32
72,BAC,2017-12-11,28.94,28.94
73,BAC,2017-12-08,29.05,29.05
74,BAC,2017-12-07,28.78,28.78
75,BAC,2017-12-06,28.64,28.64
76,BAC,2017-12-05,28.93,28.93
77,BAC,2017-12-04,29.06,29.06
78,BAC,2017-12-01,28.1,28.1
79,BAC,2017-11-30,28.17,28.17
80,BAC,2017-11-29,28.28,28.28
81,BAC,2017-11-28,27.64,27.64
82,BAC,2017-11-27,26.59,26.59
83,BAC,2017-11-24,26.59,26.59
84,BAC,2017-11-22,26.66,26.66
85,BAC,2017-11-21,26.73,26.73
86,BAC,2017-11-20,26.74,26.74
87,BAC,2017-11-17,26.62,26.62
88,BAC,2017-11-16,26.76,26.76
89,BAC,2017-11-15,26.79,26.79
90,BAC,2017-11-14,26.24,26.24
91,BAC,2017-11-13,26.4,26.4
92,BAC,2017-11-10,26.51,26.51
93,BAC,2017-11-09,26.49,26.49
94,BAC,2017-11-07,27.18,27.18
95,BAC,2017-11-06,27.75,27.75
96,BAC,2017-11-03,27.82,27.82
97,BAC,2017-11-02,27.87,27.87
98,BAC,2017-11-01,27.53,27.53
99,BAC,2017-10-31,27.39,27.39
100,BAC,2017-10-30,27.6,27.6
101,BAC,2017-10-27,27.8,27.8
102,BAC,2017-10-26,27.74,27.74
