None,ticker,date,close,adj_close
0,BAX,2018-03-27,64.87,64.87
1,BAX,2018-03-26,65.49,65.49
2,BAX,2018-03-23,64.29,64.29
3,BAX,2018-03-22,65.55,65.55
4,BAX,2018-03-21,66.46,66.46
5,BAX,2018-03-20,66.91,66.91
6,BAX,2018-03-19,66.76,66.76
7,BAX,2018-03-16,67.89,67.89
8,BAX,2018-03-15,67.59,67.59
9,BAX,2018-03-14,67.28,67.28
10,BAX,2018-03-13,68.09,68.09
11,BAX,2018-03-12,68.5,68.5
12,BAX,2018-03-09,68.89,68.89
13,BAX,2018-03-08,67.82,67.82
14,BAX,2018-03-07,67.02,67.02
15,BAX,2018-03-06,67.01,67.01
16,BAX,2018-03-05,66.85,66.85
17,BAX,2018-03-02,66.28,66.28
18,BAX,2018-03-01,66.31,66.31
19,BAX,2018-02-28,67.79,67.79
20,BAX,2018-02-27,68.69,68.69
21,BAX,2018-02-26,69.14,69.14
22,BAX,2018-02-23,68.36,68.36
23,BAX,2018-02-22,67.43,67.43
24,BAX,2018-02-21,67.05,67.05
25,BAX,2018-02-20,67.04,67.04
26,BAX,2018-02-16,66.33,66.33
27,BAX,2018-02-15,66.44,66.44
28,BAX,2018-02-14,66.03,66.03
29,BAX,2018-02-13,64.63,64.63
30,BAX,2018-02-12,65.0,65.0
31,BAX,2018-02-09,64.31,64.31
32,BAX,2018-02-08,62.56,62.56
33,BAX,2018-02-07,65.55,65.55
34,BAX,2018-02-06,66.67,66.67
35,BAX,2018-02-05,65.52,65.52
36,BAX,2018-02-02,68.55,68.55
37,BAX,2018-02-01,69.95,69.95
38,BAX,2018-01-31,72.03,72.03
39,BAX,2018-01-30,71.75,71.75
40,BAX,2018-01-29,72.05,72.05
41,BAX,2018-01-26,72.26,72.26
42,BAX,2018-01-25,71.05,71.05
43,BAX,2018-01-24,70.14,70.14
44,BAX,2018-01-23,69.6,69.6
45,BAX,2018-01-22,70.2,70.2
46,BAX,2018-01-19,70.01,70.01
47,BAX,2018-01-18,69.2,69.2
48,BAX,2018-01-17,68.2,68.2
