None,ticker,date,close,adj_close
0,BBY,2018-03-27,67.74,67.74
1,BBY,2018-03-26,69.51,69.51
2,BBY,2018-03-23,66.68,66.68
3,BBY,2018-03-22,67.25,67.25
4,BBY,2018-03-21,68.44,68.44
5,BBY,2018-03-20,70.04,70.04
6,BBY,2018-03-19,68.53,68.53
7,BBY,2018-03-16,69.73,69.73
8,BBY,2018-03-15,68.99,68.99
9,BBY,2018-03-14,69.9,69.9
10,BBY,2018-03-13,71.52,71.52
11,BBY,2018-03-12,72.05,72.05
12,BBY,2018-03-09,73.82,73.82
13,BBY,2018-03-08,73.25,73.25
14,BBY,2018-03-07,73.64,73.64
15,BBY,2018-03-06,76.77,76.77
16,BBY,2018-03-05,75.06,75.06
17,BBY,2018-03-02,73.04,73.04
18,BBY,2018-03-01,75.3,75.3
19,BBY,2018-02-28,72.44,72.44
20,BBY,2018-02-27,71.49,71.49
21,BBY,2018-02-26,72.57,72.57
22,BBY,2018-02-23,73.17,73.17
23,BBY,2018-02-22,71.29,71.29
24,BBY,2018-02-21,70.79,70.79
25,BBY,2018-02-20,71.92,71.92
26,BBY,2018-02-16,73.18,73.18
27,BBY,2018-02-15,73.32,73.32
28,BBY,2018-02-14,72.52,72.52
29,BBY,2018-02-13,70.1,70.1
30,BBY,2018-02-12,70.35,70.35
31,BBY,2018-02-09,70.76,70.76
32,BBY,2018-02-08,68.79,68.79
33,BBY,2018-02-07,71.26,71.26
34,BBY,2018-02-06,70.3,70.3
35,BBY,2018-02-05,68.02,68.02
36,BBY,2018-02-02,71.24,71.24
37,BBY,2018-02-01,73.1,73.1
38,BBY,2018-01-31,73.06,73.06
39,BBY,2018-01-30,76.29,76.29
40,BBY,2018-01-29,76.59,76.59
41,BBY,2018-01-26,77.85,77.85
42,BBY,2018-01-25,76.27,76.27
43,BBY,2018-01-24,76.79,76.79
44,BBY,2018-01-23,77.52,77.52
45,BBY,2018-01-22,78.06,78.06
46,BBY,2018-01-19,76.86,76.86
47,BBY,2018-01-18,74.69,74.69
48,BBY,2018-01-17,74.26,74.26
49,BBY,2018-01-16,72.4,72.4
50,BBY,2018-01-12,73.25,73.25
51,BBY,2018-01-11,71.71,71.71
52,BBY,2018-01-10,70.34,70.34
53,BBY,2018-01-09,69.78,69.78
54,BBY,2018-01-08,69.69,69.69
55,BBY,2018-01-05,68.87,68.87
56,BBY,2018-01-04,67.28,67.28
57,BBY,2018-01-03,68.4,68.4
58,BBY,2018-01-02,69.16,69.16
59,BBY,2017-12-29,68.47,68.47
60,BBY,2017-12-28,68.42,68.42
61,BBY,2017-12-27,68.36,68.36
62,BBY,2017-12-26,68.02,68.02
63,BBY,2017-12-22,67.11,67.11
64,BBY,2017-12-21,67.08,67.08
65,BBY,2017-12-20,66.73,66.73
66,BBY,2017-12-19,65.8,65.8
67,BBY,2017-12-18,67.01,67.01
68,BBY,2017-12-15,65.32,65.32
69,BBY,2017-12-14,63.75,63.75
70,BBY,2017-12-13,64.39,64.39
71,BBY,2017-12-12,63.52,63.52
72,BBY,2017-12-11,63.62,63.62
73,BBY,2017-12-08,63.79,63.79
74,BBY,2017-12-07,61.49,61.49
75,BBY,2017-12-06,60.97,60.97
76,BBY,2017-12-05,61.98,61.98
77,BBY,2017-12-04,62.55,62.55
78,BBY,2017-12-01,60.35,60.35
79,BBY,2017-11-30,59.61,59.61
80,BBY,2017-11-29,58.83,58.83
81,BBY,2017-11-28,58.05,58.05
82,BBY,2017-11-27,57.02,57.02
83,BBY,2017-11-24,57.0,57.0
84,BBY,2017-11-22,56.49,56.49
85,BBY,2017-11-21,56.06,56.06
86,BBY,2017-11-20,56.35,56.35
87,BBY,2017-11-17,55.83,55.83
88,BBY,2017-11-16,55.25,55.25
89,BBY,2017-11-15,57.3,57.3
90,BBY,2017-11-14,57.2,57.2
91,BBY,2017-11-13,56.97,56.97
92,BBY,2017-11-10,56.68,56.68
93,BBY,2017-11-09,55.93,55.93
94,BBY,2017-11-07,55.13,55.13
95,BBY,2017-11-06,56.39,56.39
96,BBY,2017-11-03,56.92,56.92
97,BBY,2017-11-02,57.34,57.34
98,BBY,2017-11-01,56.01,56.01
99,BBY,2017-10-31,55.98,55.98
100,BBY,2017-10-30,55.38,55.38
101,BBY,2017-10-27,55.2,55.2
102,BBY,2017-10-26,55.95,55.95
103,BBY,2017-10-25,55.16,55.16
104,BBY,2017-10-24,56.65,56.65
105,BBY,2017-10-23,56.02,56.02
106,BBY,2017-10-20,55.83,55.83
107,BBY,2017-10-19,55.46,55.46
108,BBY,2017-10-18,55.46,55.46
109,BBY,2017-10-17,54.65,54.65
110,BBY,2017-10-16,54.91,54.91
111,BBY,2017-10-13,55.1,55.1
112,BBY,2017-10-12,55.13,55.13
113,BBY,2017-10-11,55.47,55.47
