None,ticker,date,close,adj_close
0,BIIB,2018-03-27,265.16,265.16
1,BIIB,2018-03-26,268.2,268.2
2,BIIB,2018-03-23,260.13,260.13
3,BIIB,2018-03-22,271.89,271.89
4,BIIB,2018-03-21,277.29,277.29
5,BIIB,2018-03-20,279.68,279.68
6,BIIB,2018-03-19,278.37,278.37
7,BIIB,2018-03-16,287.62,287.62
8,BIIB,2018-03-15,286.7,286.7
9,BIIB,2018-03-14,285.72,285.72
10,BIIB,2018-03-13,283.24,283.24
11,BIIB,2018-03-12,279.9,279.9
12,BIIB,2018-03-09,286.1,286.1
13,BIIB,2018-03-08,284.69,284.69
14,BIIB,2018-03-07,284.54,284.54
15,BIIB,2018-03-06,285.98,285.98
16,BIIB,2018-03-05,286.95,286.95
17,BIIB,2018-03-02,286.96,286.96
18,BIIB,2018-03-01,282.35,282.35
19,BIIB,2018-02-28,288.99,288.99
20,BIIB,2018-02-27,290.1,290.1
21,BIIB,2018-02-26,290.01,290.01
22,BIIB,2018-02-23,292.78,292.78
23,BIIB,2018-02-22,284.81,284.81
24,BIIB,2018-02-21,286.1,286.1
25,BIIB,2018-02-20,287.45,287.45
26,BIIB,2018-02-16,291.87,291.87
27,BIIB,2018-02-15,299.38,299.38
28,BIIB,2018-02-14,296.08,296.08
29,BIIB,2018-02-13,316.99,316.99
30,BIIB,2018-02-12,316.63,316.63
31,BIIB,2018-02-09,316.36,316.36
32,BIIB,2018-02-08,311.63,311.63
33,BIIB,2018-02-07,326.89,326.89
34,BIIB,2018-02-06,332.86,332.86
35,BIIB,2018-02-05,330.25,330.25
36,BIIB,2018-02-02,343.83,343.83
37,BIIB,2018-02-01,346.0,346.0
38,BIIB,2018-01-31,347.76,347.76
39,BIIB,2018-01-30,352.59,352.59
40,BIIB,2018-01-29,358.48,358.48
41,BIIB,2018-01-26,367.91,367.91
42,BIIB,2018-01-25,353.74,353.74
43,BIIB,2018-01-24,346.5,346.5
44,BIIB,2018-01-23,346.75,346.75
45,BIIB,2018-01-22,347.64,347.64
46,BIIB,2018-01-19,342.41,342.41
47,BIIB,2018-01-18,344.44,344.44
48,BIIB,2018-01-17,344.87,344.87
49,BIIB,2018-01-16,338.86,338.86
50,BIIB,2018-01-12,335.95,335.95
51,BIIB,2018-01-11,333.07,333.07
52,BIIB,2018-01-10,336.72,336.72
53,BIIB,2018-01-09,336.36,336.36
54,BIIB,2018-01-08,329.65,329.65
55,BIIB,2018-01-05,342.49,342.49
56,BIIB,2018-01-04,339.99,339.99
57,BIIB,2018-01-03,339.85,339.85
58,BIIB,2018-01-02,334.17,334.17
59,BIIB,2017-12-29,318.57,318.57
60,BIIB,2017-12-28,320.33,320.33
61,BIIB,2017-12-27,320.07,320.07
62,BIIB,2017-12-26,319.78,319.78
63,BIIB,2017-12-22,319.5,319.5
64,BIIB,2017-12-21,322.52,322.52
65,BIIB,2017-12-20,333.47,333.47
66,BIIB,2017-12-19,327.02,327.02
67,BIIB,2017-12-18,325.95,325.95
68,BIIB,2017-12-15,327.94,327.94
69,BIIB,2017-12-14,323.55,323.55
70,BIIB,2017-12-13,330.71,330.71
71,BIIB,2017-12-12,327.75,327.75
72,BIIB,2017-12-11,328.03,328.03
73,BIIB,2017-12-08,325.77,325.77
74,BIIB,2017-12-07,319.57,319.57
75,BIIB,2017-12-06,314.66,314.66
76,BIIB,2017-12-05,319.87,319.87
77,BIIB,2017-12-04,317.4,317.4
78,BIIB,2017-12-01,319.35,319.35
79,BIIB,2017-11-30,322.17,322.17
80,BIIB,2017-11-29,319.96,319.96
81,BIIB,2017-11-28,317.14,317.14
