None,ticker,date,close,adj_close
0,BLK,2018-03-27,532.11,532.11
1,BLK,2018-03-26,540.72,540.72
2,BLK,2018-03-23,521.13,521.13
3,BLK,2018-03-22,539.42,539.42
4,BLK,2018-03-21,564.16,564.16
5,BLK,2018-03-20,557.52,557.52
6,BLK,2018-03-19,553.83,553.83
7,BLK,2018-03-16,563.66,563.66
8,BLK,2018-03-15,557.93,557.93
9,BLK,2018-03-14,558.96,558.96
10,BLK,2018-03-13,564.06,564.06
11,BLK,2018-03-12,571.79,571.79
12,BLK,2018-03-09,577.18,577.18
13,BLK,2018-03-08,553.39,553.39
14,BLK,2018-03-07,547.43,547.43
15,BLK,2018-03-06,548.66,548.66
16,BLK,2018-03-05,545.26,542.412792545
17,BLK,2018-03-02,537.58,534.772895529
18,BLK,2018-03-01,535.58,532.783339014
19,BLK,2018-02-28,549.43,549.43
20,BLK,2018-02-27,552.77,552.77
21,BLK,2018-02-26,563.97,563.97
22,BLK,2018-02-23,549.75,549.75
23,BLK,2018-02-22,539.53,539.53
24,BLK,2018-02-21,543.56,543.56
25,BLK,2018-02-20,542.6,542.6
26,BLK,2018-02-16,541.1,541.1
27,BLK,2018-02-15,540.65,540.65
28,BLK,2018-02-14,539.94,539.94
29,BLK,2018-02-13,521.27,521.27
30,BLK,2018-02-12,525.38,525.38
31,BLK,2018-02-09,521.51,521.51
32,BLK,2018-02-08,509.38,509.38
33,BLK,2018-02-07,532.26,532.26
34,BLK,2018-02-06,535.22,535.22
35,BLK,2018-02-05,524.97,524.97
36,BLK,2018-02-02,548.32,548.32
37,BLK,2018-02-01,565.19,565.19
38,BLK,2018-01-31,561.8,561.8
39,BLK,2018-01-30,562.29,562.29
40,BLK,2018-01-29,574.42,574.42
41,BLK,2018-01-26,586.8,586.8
42,BLK,2018-01-25,575.5,575.5
43,BLK,2018-01-24,587.67,587.67
44,BLK,2018-01-23,589.68,589.68
45,BLK,2018-01-22,593.26,593.26
46,BLK,2018-01-19,590.26,590.26
47,BLK,2018-01-18,579.22,579.22
48,BLK,2018-01-17,576.51,576.51
49,BLK,2018-01-16,563.0,563.0
50,BLK,2018-01-12,555.53,555.53
51,BLK,2018-01-11,537.92,537.92
52,BLK,2018-01-10,531.57,531.57
53,BLK,2018-01-09,533.94,533.94
54,BLK,2018-01-08,529.49,529.49
55,BLK,2018-01-05,525.57,525.57
56,BLK,2018-01-04,521.13,521.13
57,BLK,2018-01-03,514.34,514.34
58,BLK,2018-01-02,508.97,508.97
59,BLK,2017-12-29,513.71,513.71
60,BLK,2017-12-28,517.98,517.98
61,BLK,2017-12-27,514.32,514.32
62,BLK,2017-12-26,513.72,513.72
63,BLK,2017-12-22,512.12,512.12
64,BLK,2017-12-21,513.59,513.59
65,BLK,2017-12-20,514.55,514.55
66,BLK,2017-12-19,515.82,515.82
67,BLK,2017-12-18,518.86,518.86
68,BLK,2017-12-15,511.87,511.87
69,BLK,2017-12-14,506.75,506.75
70,BLK,2017-12-13,512.55,512.55
71,BLK,2017-12-12,517.73,517.73
72,BLK,2017-12-11,512.13,512.13
73,BLK,2017-12-08,515.49,515.49
74,BLK,2017-12-07,512.41,512.41
75,BLK,2017-12-06,511.82,511.82
76,BLK,2017-12-05,512.12,512.12
77,BLK,2017-12-04,513.5,513.5
78,BLK,2017-12-01,502.08,502.08
79,BLK,2017-11-30,501.19,501.19
80,BLK,2017-11-29,500.82,500.82
81,BLK,2017-11-28,493.06,493.06
82,BLK,2017-11-27,481.96,481.96
83,BLK,2017-11-24,479.74,479.74
84,BLK,2017-11-22,478.94,478.94
85,BLK,2017-11-21,481.36,481.36
86,BLK,2017-11-20,474.77,474.77
87,BLK,2017-11-17,473.99,473.99
88,BLK,2017-11-16,474.02,474.02
89,BLK,2017-11-15,470.5,470.5
90,BLK,2017-11-14,470.45,470.45
91,BLK,2017-11-13,465.11,465.11
92,BLK,2017-11-10,465.83,465.83
93,BLK,2017-11-09,466.6,466.6
94,BLK,2017-11-07,473.37,473.37
95,BLK,2017-11-06,475.61,475.61
96,BLK,2017-11-03,479.11,479.11
97,BLK,2017-11-02,474.92,474.92
98,BLK,2017-11-01,469.29,469.29
99,BLK,2017-10-31,470.83,470.83
100,BLK,2017-10-30,472.29,472.29
101,BLK,2017-10-27,475.13,475.13
102,BLK,2017-10-26,473.48,473.48
103,BLK,2017-10-25,469.035,469.035
104,BLK,2017-10-24,473.72,473.72
105,BLK,2017-10-23,474.39,474.39
106,BLK,2017-10-20,476.62,476.62
107,BLK,2017-10-19,476.79,476.79
108,BLK,2017-10-18,477.5,477.5
109,BLK,2017-10-17,475.55,475.55
110,BLK,2017-10-16,477.96,477.96
111,BLK,2017-10-13,475.49,475.49
112,BLK,2017-10-12,480.59,480.59
113,BLK,2017-10-11,473.93,473.93
114,BLK,2017-10-10,465.49,465.49
115,BLK,2017-10-09,462.45,462.45
116,BLK,2017-10-06,463.22,463.22
117,BLK,2017-10-05,464.43,464.43
118,BLK,2017-10-04,457.91,457.91
119,BLK,2017-10-03,450.79,450.79
120,BLK,2017-10-02,449.95,449.95
121,BLK,2017-09-29,447.09,447.09
122,BLK,2017-09-28,446.11,446.11
123,BLK,2017-09-27,438.4,438.4
124,BLK,2017-09-26,434.4,434.4
125,BLK,2017-09-25,437.63,437.63
126,BLK,2017-09-22,435.49,435.49
127,BLK,2017-09-21,433.63,433.63
128,BLK,2017-09-20,434.07,434.07
129,BLK,2017-09-19,432.39,432.39
130,BLK,2017-09-18,429.44,429.44
131,BLK,2017-09-15,428.72,428.72
132,BLK,2017-09-14,425.69,425.69
133,BLK,2017-09-13,425.52,425.52
134,BLK,2017-09-12,428.57,428.57
135,BLK,2017-09-11,424.04,424.04
136,BLK,2017-09-08,415.95,415.95
137,BLK,2017-09-07,414.25,414.25
138,BLK,2017-09-06,412.19,412.19
139,BLK,2017-09-05,413.65,413.65
140,BLK,2017-09-01,421.78,421.78
141,BLK,2017-08-31,419.01,419.01
142,BLK,2017-08-30,416.2,413.73149391474
143,BLK,2017-08-29,414.13,411.67377120353
144,BLK,2017-08-28,414.34,411.88252568148
145,BLK,2017-08-25,416.37,413.90048563498
146,BLK,2017-08-24,415.94,413.47303598966
147,BLK,2017-08-23,418.07,415.59040283742
148,BLK,2017-08-22,421.37,418.87083034803
149,BLK,2017-08-21,415.37,412.90641669237
150,BLK,2017-08-18,416.55,414.07941804465
151,BLK,2017-08-17,419.94,417.4493117601
152,BLK,2017-08-16,427.07,424.53702332092
153,BLK,2017-08-15,428.25,425.7100246732
154,BLK,2017-08-14,428.06,425.5211515741
155,BLK,2017-08-11,424.16,421.64428269792
156,BLK,2017-08-10,422.69,420.18300135228
157,BLK,2017-08-09,431.34,428.78169770587
158,BLK,2017-08-08,428.82,426.27664397049
159,BLK,2017-08-07,427.87,425.33227847501
160,BLK,2017-08-04,426.51,423.98034471306
161,BLK,2017-08-03,426.01,423.48331024175
162,BLK,2017-08-02,425.55,423.02603852815
163,BLK,2017-08-01,429.98,427.42976394392
164,BLK,2017-07-31,426.53,424.00022609191
165,BLK,2017-07-28,424.0,421.4852316671
166,BLK,2017-07-27,425.51,422.98627577044
167,BLK,2017-07-26,432.71,430.14357215724
168,BLK,2017-07-25,431.35,428.79163839529
169,BLK,2017-07-24,428.32,425.77960949918
170,BLK,2017-07-21,428.65,426.10765225024
171,BLK,2017-07-20,427.28,424.74577779887
172,BLK,2017-07-19,426.46,423.93064126592
173,BLK,2017-07-18,426.88,424.34815022182
174,BLK,2017-07-17,424.63,422.11149510095
175,BLK,2017-07-14,438.34,435.74018030414
176,BLK,2017-07-13,437.88,435.28290859054
177,BLK,2017-07-12,435.29,432.70827002918
178,BLK,2017-07-11,431.91,429.34831700316
179,BLK,2017-07-10,436.24,433.65263552466
180,BLK,2017-07-07,432.38,429.81552940618
181,BLK,2017-07-06,425.19,422.66817370881
182,BLK,2017-07-05,428.77,426.22694052336
183,BLK,2017-07-03,428.82,426.27664397049
184,BLK,2017-06-30,422.41,419.90466204835
185,BLK,2017-06-29,423.24,420.72973927072
186,BLK,2017-06-28,426.85,424.31832815354
187,BLK,2017-06-27,422.13,419.62632274442
188,BLK,2017-06-26,424.69,422.1711392375
189,BLK,2017-06-23,421.62,419.11934758369
190,BLK,2017-06-22,423.17,420.66015444473
191,BLK,2017-06-21,420.74,418.24456691419
192,BLK,2017-06-20,424.69,422.1711392375
193,BLK,2017-06-19,428.38,425.83925363574
194,BLK,2017-06-16,420.51,418.01593105739
195,BLK,2017-06-15,422.37,419.86489929065
196,BLK,2017-06-14,421.49,418.99011862115
197,BLK,2017-06-13,419.31,416.82304832626
198,BLK,2017-06-12,418.31,415.82897938364
199,BLK,2017-06-09,418.5,416.01785248274
200,BLK,2017-06-08,415.23,412.7672470404
201,BLK,2017-06-07,413.8,411.34572845247
202,BLK,2017-06-06,413.83,411.37555052075
203,BLK,2017-06-05,414.22,411.76323740837
204,BLK,2017-06-02,414.71,412.25033119024
205,BLK,2017-06-01,413.38,410.92821949657
206,BLK,2017-05-31,409.24,404.36728033754
207,BLK,2017-05-30,406.82,401.97609468019
208,BLK,2017-05-26,407.02,402.17371332955
209,BLK,2017-05-25,406.36,401.52157178664
210,BLK,2017-05-24,396.31,391.59123465588
211,BLK,2017-05-23,395.97,391.25528295195
212,BLK,2017-05-22,396.28,391.56159185847
213,BLK,2017-05-19,393.32,388.63683584782
214,BLK,2017-05-18,388.48,383.85446453311
215,BLK,2017-05-17,383.67,379.1017360158
216,BLK,2017-05-16,391.3,386.6408874892
217,BLK,2017-05-15,389.36,384.72398659033
218,BLK,2017-05-12,385.12,380.53447122372
