None,ticker,date,close,adj_close
0,BLL,2018-03-27,39.19,39.19
1,BLL,2018-03-26,39.31,39.31
2,BLL,2018-03-23,38.77,38.77
3,BLL,2018-03-22,39.14,39.14
4,BLL,2018-03-21,39.82,39.82
5,BLL,2018-03-20,39.89,39.89
6,BLL,2018-03-19,40.23,40.23
7,BLL,2018-03-16,40.6,40.6
8,BLL,2018-03-15,40.97,40.97
9,BLL,2018-03-14,40.94,40.94
10,BLL,2018-03-13,41.62,41.62
11,BLL,2018-03-12,41.65,41.65
12,BLL,2018-03-09,41.81,41.81
13,BLL,2018-03-08,41.02,41.02
14,BLL,2018-03-07,40.74,40.74
15,BLL,2018-03-06,40.56,40.56
16,BLL,2018-03-05,39.93,39.93
17,BLL,2018-03-02,39.4,39.4
18,BLL,2018-03-01,39.5,39.5
19,BLL,2018-02-28,39.95,39.95
20,BLL,2018-02-27,40.01,40.01
21,BLL,2018-02-26,40.08,40.08
22,BLL,2018-02-23,39.73,39.73
23,BLL,2018-02-22,39.55,39.55
24,BLL,2018-02-21,39.14,39.14
25,BLL,2018-02-20,39.21,39.21
26,BLL,2018-02-16,39.62,39.62
27,BLL,2018-02-15,39.12,39.12
28,BLL,2018-02-14,38.12,38.12
29,BLL,2018-02-13,37.76,37.76
30,BLL,2018-02-12,37.53,37.53
31,BLL,2018-02-09,37.87,37.87
32,BLL,2018-02-08,38.44,38.44
33,BLL,2018-02-07,39.33,39.33
34,BLL,2018-02-06,36.93,36.93
35,BLL,2018-02-05,36.51,36.51
36,BLL,2018-02-02,37.46,37.46
37,BLL,2018-02-01,38.35,38.35
38,BLL,2018-01-31,38.28,38.28
39,BLL,2018-01-30,37.57,37.57
40,BLL,2018-01-29,37.63,37.63
41,BLL,2018-01-26,38.12,38.12
42,BLL,2018-01-25,39.21,39.21
43,BLL,2018-01-24,38.84,38.84
44,BLL,2018-01-23,38.4,38.4
45,BLL,2018-01-22,37.76,37.76
46,BLL,2018-01-19,38.72,38.72
47,BLL,2018-01-18,38.79,38.79
48,BLL,2018-01-17,39.04,39.04
49,BLL,2018-01-16,38.39,38.39
50,BLL,2018-01-12,37.9,37.9
51,BLL,2018-01-11,38.38,38.38
52,BLL,2018-01-10,37.85,37.85
53,BLL,2018-01-09,38.5,38.5
54,BLL,2018-01-08,38.62,38.62
55,BLL,2018-01-05,38.59,38.59
56,BLL,2018-01-04,38.35,38.35
57,BLL,2018-01-03,38.53,38.53
58,BLL,2018-01-02,38.63,38.63
59,BLL,2017-12-29,37.85,37.85
60,BLL,2017-12-28,37.92,37.92
61,BLL,2017-12-27,37.56,37.56
62,BLL,2017-12-26,37.6,37.6
63,BLL,2017-12-22,37.97,37.97
64,BLL,2017-12-21,37.63,37.63
65,BLL,2017-12-20,37.99,37.99
66,BLL,2017-12-19,38.26,38.26
67,BLL,2017-12-18,38.53,38.53
68,BLL,2017-12-15,39.4,39.4
69,BLL,2017-12-14,38.29,38.29
70,BLL,2017-12-13,38.64,38.64
71,BLL,2017-12-12,38.89,38.89
72,BLL,2017-12-11,39.6,39.6
73,BLL,2017-12-08,39.6,39.6
74,BLL,2017-12-07,40.81,40.81
75,BLL,2017-12-06,40.8,40.8
76,BLL,2017-12-05,40.79,40.79
77,BLL,2017-12-04,40.65,40.65
78,BLL,2017-12-01,39.74,39.74
79,BLL,2017-11-30,39.91,39.91
80,BLL,2017-11-29,39.56,39.56
81,BLL,2017-11-28,39.58,39.58
82,BLL,2017-11-27,40.04,40.04
83,BLL,2017-11-24,39.94,39.94
84,BLL,2017-11-22,39.52,39.52
85,BLL,2017-11-21,39.6,39.6
86,BLL,2017-11-20,39.74,39.74
87,BLL,2017-11-17,39.98,39.98
88,BLL,2017-11-16,40.52,40.52
89,BLL,2017-11-15,39.38,39.38
