None,ticker,date,close,adj_close
0,BMY,2018-03-27,62.41,62.41
1,BMY,2018-03-26,63.4,63.4
2,BMY,2018-03-23,62.06,62.06
3,BMY,2018-03-22,63.95,63.95
4,BMY,2018-03-21,66.1,66.1
5,BMY,2018-03-20,66.43,66.43
6,BMY,2018-03-19,66.07,66.07
7,BMY,2018-03-16,66.6,66.6
8,BMY,2018-03-15,66.25,66.25
9,BMY,2018-03-14,66.63,66.63
10,BMY,2018-03-13,66.68,66.68
11,BMY,2018-03-12,67.45,67.45
12,BMY,2018-03-09,67.92,67.92
13,BMY,2018-03-08,66.75,66.75
14,BMY,2018-03-07,66.1,66.1
15,BMY,2018-03-06,65.47,65.47
16,BMY,2018-03-05,66.82,66.82
17,BMY,2018-03-02,66.17,66.17
18,BMY,2018-03-01,65.69,65.69
19,BMY,2018-02-28,66.2,66.2
20,BMY,2018-02-27,67.84,67.84
21,BMY,2018-02-26,68.63,68.63
22,BMY,2018-02-23,67.95,67.95
23,BMY,2018-02-22,65.94,65.94
24,BMY,2018-02-21,66.53,66.53
25,BMY,2018-02-20,67.35,67.35
26,BMY,2018-02-16,68.96,68.96
27,BMY,2018-02-15,68.98,68.98
28,BMY,2018-02-14,65.35,65.35
29,BMY,2018-02-13,63.87,63.87
30,BMY,2018-02-12,63.16,63.16
31,BMY,2018-02-09,62.7,62.7
32,BMY,2018-02-08,62.69,62.69
33,BMY,2018-02-07,62.63,62.63
34,BMY,2018-02-06,60.9,60.9
35,BMY,2018-02-05,60.96,60.96
36,BMY,2018-02-02,63.48,63.48
37,BMY,2018-02-01,62.8,62.8
38,BMY,2018-01-31,62.6,62.6
39,BMY,2018-01-30,63.96,63.96
40,BMY,2018-01-29,64.43,64.43
41,BMY,2018-01-26,64.25,64.25
42,BMY,2018-01-25,63.52,63.52
43,BMY,2018-01-24,63.76,63.76
44,BMY,2018-01-23,63.43,63.43
45,BMY,2018-01-22,63.28,63.28
46,BMY,2018-01-19,62.28,62.28
47,BMY,2018-01-18,61.83,61.83
48,BMY,2018-01-17,61.85,61.85
49,BMY,2018-01-16,59.92,59.92
50,BMY,2018-01-12,62.81,62.81
51,BMY,2018-01-11,62.47,62.47
52,BMY,2018-01-10,62.01,62.01
53,BMY,2018-01-09,61.85,61.85
54,BMY,2018-01-08,61.91,61.91
55,BMY,2018-01-05,61.89,61.89
56,BMY,2018-01-04,61.75,61.75
57,BMY,2018-01-03,61.36,61.36
58,BMY,2018-01-02,61.31,61.31
59,BMY,2017-12-29,61.28,61.28
60,BMY,2017-12-28,61.77,61.77
61,BMY,2017-12-27,61.68,61.68
62,BMY,2017-12-26,61.26,61.26
63,BMY,2017-12-22,60.96,60.96
64,BMY,2017-12-21,61.5,61.5
65,BMY,2017-12-20,61.2,61.2
66,BMY,2017-12-19,61.56,61.56
67,BMY,2017-12-18,62.4,62.4
68,BMY,2017-12-15,62.41,62.41
69,BMY,2017-12-14,62.13,62.13
70,BMY,2017-12-13,63.47,63.47
71,BMY,2017-12-12,63.28,63.28
72,BMY,2017-12-11,63.02,63.02
73,BMY,2017-12-08,62.42,62.42
74,BMY,2017-12-07,61.84,61.84
75,BMY,2017-12-06,60.97,60.97
76,BMY,2017-12-05,62.02,62.02
77,BMY,2017-12-04,62.47,62.47
78,BMY,2017-12-01,63.24,63.24
79,BMY,2017-11-30,63.19,63.19
80,BMY,2017-11-29,62.9,62.9
81,BMY,2017-11-28,62.52,62.52
82,BMY,2017-11-27,61.61,61.61
83,BMY,2017-11-24,61.43,61.43
84,BMY,2017-11-22,61.14,61.14
85,BMY,2017-11-21,61.24,61.24
86,BMY,2017-11-20,60.8,60.8
87,BMY,2017-11-17,61.32,61.32
88,BMY,2017-11-16,61.87,61.87
89,BMY,2017-11-15,61.07,61.07
90,BMY,2017-11-14,61.25,61.25
91,BMY,2017-11-13,60.99,60.99
92,BMY,2017-11-10,60.86,60.86
