None,ticker,date,close,adj_close
0,BWA,2018-03-27,49.2,49.2
1,BWA,2018-03-26,50.31,50.31
2,BWA,2018-03-23,48.61,48.61
3,BWA,2018-03-22,49.84,49.84
4,BWA,2018-03-21,51.08,51.08
5,BWA,2018-03-20,50.08,50.08
6,BWA,2018-03-19,50.58,50.58
7,BWA,2018-03-16,51.44,51.44
8,BWA,2018-03-15,50.68,50.68
9,BWA,2018-03-14,50.59,50.59
10,BWA,2018-03-13,50.83,50.83
11,BWA,2018-03-12,50.77,50.77
12,BWA,2018-03-09,51.56,51.56
13,BWA,2018-03-08,49.85,49.85
14,BWA,2018-03-07,48.85,48.85
15,BWA,2018-03-06,48.87,48.87
16,BWA,2018-03-05,48.72,48.72
17,BWA,2018-03-02,48.01,48.01
18,BWA,2018-03-01,48.32,48.32
19,BWA,2018-02-28,49.08,49.08
20,BWA,2018-02-27,50.09,50.09
21,BWA,2018-02-26,51.91,51.91
22,BWA,2018-02-23,52.32,52.32
23,BWA,2018-02-22,52.24,52.24
24,BWA,2018-02-21,52.09,52.09
25,BWA,2018-02-20,52.26,52.26
26,BWA,2018-02-16,52.22,52.22
27,BWA,2018-02-15,52.67,52.67
28,BWA,2018-02-14,53.49,53.49
29,BWA,2018-02-13,52.31,52.31
30,BWA,2018-02-12,52.97,52.97
31,BWA,2018-02-09,52.61,52.61
32,BWA,2018-02-08,51.94,51.94
33,BWA,2018-02-07,55.0,55.0
34,BWA,2018-02-06,54.16,54.16
35,BWA,2018-02-05,52.35,52.35
36,BWA,2018-02-02,54.47,54.47
37,BWA,2018-02-01,56.39,56.39
38,BWA,2018-01-31,56.26,56.26
39,BWA,2018-01-30,56.72,56.72
40,BWA,2018-01-29,56.82,56.82
41,BWA,2018-01-26,57.16,57.16
42,BWA,2018-01-25,56.26,56.26
43,BWA,2018-01-24,56.74,56.74
44,BWA,2018-01-23,56.11,56.11
45,BWA,2018-01-22,56.48,56.48
46,BWA,2018-01-19,56.94,56.94
47,BWA,2018-01-18,57.11,57.11
48,BWA,2018-01-17,57.91,57.91
49,BWA,2018-01-16,56.32,56.32
50,BWA,2018-01-12,57.23,57.23
51,BWA,2018-01-11,55.91,55.91
52,BWA,2018-01-10,54.51,54.51
53,BWA,2018-01-09,55.74,55.74
54,BWA,2018-01-08,55.32,55.32
55,BWA,2018-01-05,55.29,55.29
56,BWA,2018-01-04,53.73,53.73
57,BWA,2018-01-03,52.04,52.04
58,BWA,2018-01-02,51.78,51.78
59,BWA,2017-12-29,51.09,51.09
60,BWA,2017-12-28,52.1,52.1
61,BWA,2017-12-27,51.57,51.57
62,BWA,2017-12-26,51.49,51.49
63,BWA,2017-12-22,51.71,51.71
64,BWA,2017-12-21,52.0,52.0
65,BWA,2017-12-20,53.06,53.06
66,BWA,2017-12-19,52.2,52.2
67,BWA,2017-12-18,52.19,52.19
68,BWA,2017-12-15,51.53,51.53
69,BWA,2017-12-14,51.54,51.54
70,BWA,2017-12-13,52.32,52.32
71,BWA,2017-12-12,53.38,53.38
72,BWA,2017-12-11,53.56,53.56
73,BWA,2017-12-08,53.76,53.76
74,BWA,2017-12-07,53.68,53.68
75,BWA,2017-12-06,53.05,53.05
76,BWA,2017-12-05,54.38,54.38
77,BWA,2017-12-04,54.24,54.24
78,BWA,2017-12-01,55.01,55.01
79,BWA,2017-11-30,55.68,55.68
80,BWA,2017-11-29,54.86,54.86
81,BWA,2017-11-28,54.29,54.29
82,BWA,2017-11-27,53.05,53.05
83,BWA,2017-11-24,52.88,52.88
84,BWA,2017-11-22,52.89,52.89
85,BWA,2017-11-21,52.65,52.65
86,BWA,2017-11-20,52.35,52.35
87,BWA,2017-11-17,51.94,51.94
88,BWA,2017-11-16,52.04,52.04
89,BWA,2017-11-15,51.68,51.68
90,BWA,2017-11-14,52.07,52.07
91,BWA,2017-11-13,52.03,52.03
92,BWA,2017-11-10,52.07,52.07
93,BWA,2017-11-09,52.1,52.1
94,BWA,2017-11-07,52.4,52.4
95,BWA,2017-11-06,52.64,52.64
96,BWA,2017-11-03,52.97,52.97
97,BWA,2017-11-02,52.9,52.9
98,BWA,2017-11-01,52.7,52.7
99,BWA,2017-10-31,52.72,52.72
100,BWA,2017-10-30,52.39,52.39
101,BWA,2017-10-27,52.87,52.87
102,BWA,2017-10-26,53.37,53.37
103,BWA,2017-10-25,51.67,51.67
104,BWA,2017-10-24,52.75,52.75
105,BWA,2017-10-23,52.13,52.13
106,BWA,2017-10-20,52.2,52.2
107,BWA,2017-10-19,52.05,52.05
108,BWA,2017-10-18,52.39,52.39
109,BWA,2017-10-17,52.02,52.02
110,BWA,2017-10-16,52.17,52.17
111,BWA,2017-10-13,51.13,51.13
112,BWA,2017-10-12,50.92,50.92
113,BWA,2017-10-11,52.01,52.01
114,BWA,2017-10-10,51.99,51.99
115,BWA,2017-10-09,52.0,52.0
116,BWA,2017-10-06,51.87,51.87
117,BWA,2017-10-05,52.06,52.06
118,BWA,2017-10-04,52.45,52.45
