None,ticker,date,close,adj_close
0,C,2018-03-27,68.28,68.28
1,C,2018-03-26,69.78,69.78
2,C,2018-03-23,67.9,67.9
3,C,2018-03-22,70.31,70.31
4,C,2018-03-21,73.32,73.32
5,C,2018-03-20,72.92,72.92
6,C,2018-03-19,72.7,72.7
7,C,2018-03-16,73.47,73.47
8,C,2018-03-15,73.34,73.34
9,C,2018-03-14,73.47,73.47
10,C,2018-03-13,74.91,74.91
11,C,2018-03-12,76.02,76.02
12,C,2018-03-09,76.11,76.11
13,C,2018-03-08,74.11,74.11
14,C,2018-03-07,73.92,73.92
15,C,2018-03-06,74.06,74.06
16,C,2018-03-05,74.42,74.42
17,C,2018-03-02,73.68,73.68
18,C,2018-03-01,73.66,73.66
19,C,2018-02-28,75.49,75.49
20,C,2018-02-27,76.38,76.38
21,C,2018-02-26,77.65,77.65
22,C,2018-02-23,77.08,77.08
23,C,2018-02-22,76.27,76.27
24,C,2018-02-21,77.0,77.0
25,C,2018-02-20,76.46,76.46
26,C,2018-02-16,76.82,76.82
27,C,2018-02-15,77.08,77.08
28,C,2018-02-14,76.71,76.71
29,C,2018-02-13,75.18,75.18
30,C,2018-02-12,74.76,74.76
31,C,2018-02-09,73.68,73.68
32,C,2018-02-08,71.87,71.87
33,C,2018-02-07,74.99,74.99
34,C,2018-02-06,74.82,74.82
35,C,2018-02-05,73.27,73.27
36,C,2018-02-02,77.02,77.02
37,C,2018-02-01,79.2,79.2
38,C,2018-01-31,78.48,78.48
39,C,2018-01-30,78.62,78.62
40,C,2018-01-29,79.96,79.96
41,C,2018-01-26,80.08,80.08
42,C,2018-01-25,79.44,79.44
43,C,2018-01-24,79.45,79.45
44,C,2018-01-23,78.55,78.55
45,C,2018-01-22,78.59,78.59
46,C,2018-01-19,78.3,78.3
47,C,2018-01-18,77.39,77.39
48,C,2018-01-17,77.47,77.47
49,C,2018-01-16,77.11,77.11
50,C,2018-01-12,76.84,76.84
51,C,2018-01-11,75.56,75.56
52,C,2018-01-10,75.65,75.65
53,C,2018-01-09,75.31,75.31
54,C,2018-01-08,74.53,74.53
55,C,2018-01-05,75.41,75.41
56,C,2018-01-04,75.51,75.51
57,C,2018-01-03,74.59,74.59
58,C,2018-01-02,74.36,74.36
59,C,2017-12-29,74.41,74.41
60,C,2017-12-28,75.08,75.08
61,C,2017-12-27,74.89,74.89
62,C,2017-12-26,74.78,74.78
63,C,2017-12-22,75.49,75.49
64,C,2017-12-21,75.82,75.82
65,C,2017-12-20,74.66,74.66
66,C,2017-12-19,74.7,74.7
67,C,2017-12-18,75.67,75.67
68,C,2017-12-15,74.77,74.77
69,C,2017-12-14,73.92,73.92
70,C,2017-12-13,75.14,75.14
71,C,2017-12-12,76.15,76.15
72,C,2017-12-11,75.85,75.85
73,C,2017-12-08,75.71,75.71
74,C,2017-12-07,74.98,74.98
75,C,2017-12-06,75.44,75.44
76,C,2017-12-05,76.54,76.54
77,C,2017-12-04,77.1,77.1
78,C,2017-12-01,75.51,75.51
79,C,2017-11-30,75.5,75.5
80,C,2017-11-29,75.04,75.04
81,C,2017-11-28,73.7,73.7
82,C,2017-11-27,71.39,71.39
83,C,2017-11-24,72.02,72.02
84,C,2017-11-22,72.26,72.26
85,C,2017-11-21,72.38,72.38
86,C,2017-11-20,72.05,72.05
87,C,2017-11-17,71.33,71.33
88,C,2017-11-16,71.67,71.67
89,C,2017-11-15,71.73,71.73
90,C,2017-11-14,71.53,71.53
91,C,2017-11-13,71.99,71.99
92,C,2017-11-10,72.25,72.25
93,C,2017-11-09,72.43,72.43
94,C,2017-11-07,72.71,72.71
95,C,2017-11-06,73.8,73.8
96,C,2017-11-03,74.05,74.05
97,C,2017-11-02,74.74,74.418407960199
98,C,2017-11-01,74.03,73.711462955493
99,C,2017-10-31,73.5,73.183743444937
100,C,2017-10-30,73.78,73.462538658061
101,C,2017-10-27,73.87,73.552151405136
102,C,2017-10-26,73.79,73.472495629958
103,C,2017-10-25,73.64,73.323141051499
104,C,2017-10-24,74.24,73.920559365335
105,C,2017-10-23,73.53,73.213614360629
106,C,2017-10-20,73.53,73.213614360629
107,C,2017-10-19,72.88,72.566411187307
108,C,2017-10-18,73.12,72.805378512841
109,C,2017-10-17,72.19,71.879380126395
110,C,2017-10-16,71.77,71.46118730671
111,C,2017-10-13,72.11,71.799724351217
112,C,2017-10-12,72.37,72.058605620546
113,C,2017-10-11,74.94,74.617547398144
114,C,2017-10-10,75.18,74.856514723679
115,C,2017-10-09,75.39,75.065611133522
116,C,2017-10-06,75.64,75.314535430953
117,C,2017-10-05,75.72,75.394191206132
118,C,2017-10-04,74.06,73.741333871185
119,C,2017-10-03,74.13,73.811032674466
120,C,2017-10-02,73.8,73.482452601856
121,C,2017-09-29,72.74,72.427013580745
122,C,2017-09-28,72.65,72.33740083367
123,C,2017-09-27,72.28,71.96899287347
124,C,2017-09-26,70.94,70.634758639236
125,C,2017-09-25,70.84,70.535188920264
126,C,2017-09-22,71.4,71.092779346511
127,C,2017-09-21,71.76,71.451230334812
128,C,2017-09-20,71.46,71.152521177894
129,C,2017-09-19,71.15,70.843855049079
130,C,2017-09-18,70.6,70.296221594729
131,C,2017-09-15,69.04,68.742933978755
132,C,2017-09-14,69.24,68.9420734167
133,C,2017-09-13,69.39,69.091427995159
134,C,2017-09-12,68.79,68.494009681323
135,C,2017-09-11,67.71,67.418656716418
136,C,2017-09-08,66.17,65.885283044238
137,C,2017-09-07,66.06,65.775756353368
138,C,2017-09-06,67.32,67.030334812424
139,C,2017-09-05,67.16,66.871023262068
140,C,2017-09-01,68.58,68.28491327148
141,C,2017-08-31,68.03,67.737279817131
142,C,2017-08-30,68.01,67.717365873336
143,C,2017-08-29,67.48,67.189646362781
144,C,2017-08-28,67.81,67.518226435391
145,C,2017-08-25,67.85,67.55805432298
146,C,2017-08-24,67.69,67.398742772623
147,C,2017-08-23,67.23,66.940722065349
148,C,2017-08-22,66.85,66.562357133253
149,C,2017-08-21,65.95,65.666229662498
150,C,2017-08-18,66.58,66.293518892026
151,C,2017-08-17,66.6,66.313432835821
152,C,2017-08-16,67.71,67.418656716418
153,C,2017-08-15,67.97,67.677537985747
154,C,2017-08-14,67.89,67.597882210569
155,C,2017-08-11,66.8,66.512572273766
156,C,2017-08-10,67.22,66.930765093452
157,C,2017-08-09,68.43,68.135558693021
158,C,2017-08-08,68.88,68.583622428399
159,C,2017-08-07,69.04,68.742933978755
160,C,2017-08-04,68.98,68.683192147371
161,C,2017-08-03,68.13,67.836849536103
162,C,2017-08-02,69.42,68.79816062522
163,C,2017-08-01,69.6,68.976548250004
164,C,2017-07-31,68.45,67.836849536103
165,C,2017-07-28,67.43,66.825986328991
166,C,2017-07-27,67.6,66.994463530177
167,C,2017-07-26,67.98,67.371059626944
168,C,2017-07-25,68.03,67.420611744939
169,C,2017-07-24,66.1,65.507899990306
170,C,2017-07-21,66.0,65.408795754314
171,C,2017-07-20,66.36,65.765571003883
172,C,2017-07-19,66.7,66.102525406254
173,C,2017-07-18,66.89,66.290823454638
174,C,2017-07-17,66.83,66.231360913043
175,C,2017-07-14,66.72,66.122346253452
176,C,2017-07-13,67.02,66.419658961426
177,C,2017-07-12,66.92,66.320554725435
178,C,2017-07-11,66.82,66.221450489444
179,C,2017-07-10,67.65,67.044015648172
180,C,2017-07-07,67.91,67.30168666175
181,C,2017-07-06,67.63,67.024194800974
182,C,2017-07-05,68.45,67.836849536103
183,C,2017-07-03,68.26,67.64855148772
184,C,2017-06-30,66.88,66.280913031039
185,C,2017-06-29,66.98,66.38001726703
186,C,2017-06-28,65.18,64.596141019185
187,C,2017-06-27,64.23,63.654650777267
188,C,2017-06-26,63.78,63.208681715306
189,C,2017-06-23,63.41,62.841996042137
190,C,2017-06-22,63.62,63.050114937719
191,C,2017-06-21,63.83,63.258233833301
192,C,2017-06-20,63.91,63.337517222094
193,C,2017-06-19,64.48,63.902411367245
194,C,2017-06-16,63.89,63.317696374896
195,C,2017-06-15,64.1,63.525815270478
196,C,2017-06-14,64.72,64.140261533625
197,C,2017-06-13,64.69,64.110530262827
198,C,2017-06-12,64.32,63.743844589659
199,C,2017-06-09,64.45,63.872680096448
200,C,2017-06-08,63.21,62.643787570155
201,C,2017-06-07,61.88,61.325701231469
202,C,2017-06-06,61.01,60.463494378344
203,C,2017-06-05,61.25,60.701344544724
