None,ticker,date,close,adj_close
0,CAG,2018-03-27,36.3,36.3
1,CAG,2018-03-26,36.36,36.36
2,CAG,2018-03-23,35.5,35.5
3,CAG,2018-03-22,35.45,35.45
4,CAG,2018-03-21,35.34,35.34
5,CAG,2018-03-20,36.41,36.41
6,CAG,2018-03-19,36.34,36.34
7,CAG,2018-03-16,36.61,36.61
8,CAG,2018-03-15,36.38,36.38
9,CAG,2018-03-14,37.46,37.46
10,CAG,2018-03-13,38.03,38.03
11,CAG,2018-03-12,38.05,38.05
12,CAG,2018-03-09,38.06,38.06
13,CAG,2018-03-08,37.98,37.98
14,CAG,2018-03-07,37.77,37.77
15,CAG,2018-03-06,38.29,38.29
16,CAG,2018-03-05,37.79,37.79
17,CAG,2018-03-02,36.87,36.87
18,CAG,2018-03-01,36.4,36.4
19,CAG,2018-02-28,36.13,36.13
20,CAG,2018-02-27,36.2,36.2
21,CAG,2018-02-26,36.53,36.53
22,CAG,2018-02-23,36.28,36.28
23,CAG,2018-02-22,35.94,35.94
24,CAG,2018-02-21,35.69,35.69
25,CAG,2018-02-20,36.08,36.08
26,CAG,2018-02-16,36.25,36.25
27,CAG,2018-02-15,36.36,36.36
28,CAG,2018-02-14,35.54,35.54
29,CAG,2018-02-13,35.47,35.47
30,CAG,2018-02-12,35.7,35.7
31,CAG,2018-02-09,35.56,35.56
32,CAG,2018-02-08,35.49,35.49
33,CAG,2018-02-07,35.89,35.89
34,CAG,2018-02-06,35.71,35.71
35,CAG,2018-02-05,35.65,35.65
36,CAG,2018-02-02,36.71,36.71
37,CAG,2018-02-01,37.61,37.61
38,CAG,2018-01-31,38.0,38.0
39,CAG,2018-01-30,37.86,37.86
40,CAG,2018-01-29,38.21,38.21
41,CAG,2018-01-26,38.5,38.5
42,CAG,2018-01-25,38.04,38.04
43,CAG,2018-01-24,37.6,37.6
44,CAG,2018-01-23,37.72,37.72
45,CAG,2018-01-22,37.77,37.77
46,CAG,2018-01-19,37.77,37.77
47,CAG,2018-01-18,37.16,37.16
48,CAG,2018-01-17,37.26,37.26
49,CAG,2018-01-16,36.77,36.77
50,CAG,2018-01-12,36.71,36.71
51,CAG,2018-01-11,36.76,36.76
52,CAG,2018-01-10,36.83,36.83
53,CAG,2018-01-09,37.39,37.39
54,CAG,2018-01-08,37.52,37.52
55,CAG,2018-01-05,38.06,38.06
56,CAG,2018-01-04,37.94,37.94
57,CAG,2018-01-03,37.33,37.33
58,CAG,2018-01-02,37.52,37.52
59,CAG,2017-12-29,37.67,37.67
60,CAG,2017-12-28,38.05,38.05
61,CAG,2017-12-27,38.07,38.07
62,CAG,2017-12-26,38.21,38.21
63,CAG,2017-12-22,38.08,38.08
64,CAG,2017-12-21,37.85,37.85
65,CAG,2017-12-20,38.14,38.14
66,CAG,2017-12-19,37.98,37.98
67,CAG,2017-12-18,37.77,37.77
68,CAG,2017-12-15,37.76,37.76
69,CAG,2017-12-14,37.01,37.01
70,CAG,2017-12-13,37.34,37.34
71,CAG,2017-12-12,37.55,37.55
72,CAG,2017-12-11,37.24,37.24
73,CAG,2017-12-08,37.25,37.25
74,CAG,2017-12-07,37.25,37.25
75,CAG,2017-12-06,37.08,37.08
76,CAG,2017-12-05,37.17,37.17
77,CAG,2017-12-04,37.93,37.93
78,CAG,2017-12-01,37.47,37.47
79,CAG,2017-11-30,37.33,37.33
80,CAG,2017-11-29,37.2,37.2
81,CAG,2017-11-28,36.44,36.44
82,CAG,2017-11-27,35.94,35.94
83,CAG,2017-11-24,35.46,35.46
84,CAG,2017-11-22,35.51,35.51
85,CAG,2017-11-21,35.54,35.54
86,CAG,2017-11-20,35.77,35.77
87,CAG,2017-11-17,35.71,35.71
88,CAG,2017-11-16,35.62,35.62
89,CAG,2017-11-15,35.18,35.18
90,CAG,2017-11-14,35.87,35.87
91,CAG,2017-11-13,34.84,34.84
92,CAG,2017-11-10,34.8,34.8
93,CAG,2017-11-09,33.96,33.96
94,CAG,2017-11-07,33.76,33.76
95,CAG,2017-11-06,33.32,33.32
96,CAG,2017-11-03,33.91,33.91
97,CAG,2017-11-02,33.86,33.86
98,CAG,2017-11-01,34.13,34.13
99,CAG,2017-10-31,34.16,34.16
100,CAG,2017-10-30,33.53,33.53
101,CAG,2017-10-27,33.69,33.477334558279
102,CAG,2017-10-26,33.38,33.169291408588
103,CAG,2017-10-25,33.935,33.720788015292
104,CAG,2017-10-24,34.17,33.954304596509
105,CAG,2017-10-23,34.21,33.994052099695
106,CAG,2017-10-20,33.91,33.695945825801
107,CAG,2017-10-19,33.76,33.546892688854
108,CAG,2017-10-18,34.1,33.884746465934
109,CAG,2017-10-17,34.21,33.994052099695
110,CAG,2017-10-16,34.5,34.282221497792
111,CAG,2017-10-13,34.33,34.113294609252
112,CAG,2017-10-12,34.59,34.37165337996
113,CAG,2017-10-11,33.79,33.576703316243
114,CAG,2017-10-10,33.72,33.507145185668
115,CAG,2017-10-09,33.46,33.24878641496
116,CAG,2017-10-06,34.08,33.864872714341
117,CAG,2017-10-05,34.1,33.884746465934
118,CAG,2017-10-04,33.96,33.745630204783
119,CAG,2017-10-03,33.41,33.199102035978
120,CAG,2017-10-02,33.34,33.129543905403
121,CAG,2017-09-29,33.74,33.527018937261
122,CAG,2017-09-28,33.95,33.735693328987
123,CAG,2017-09-27,33.34,33.129543905403
124,CAG,2017-09-26,33.36,33.149417656996
125,CAG,2017-09-25,33.47,33.258723290757
126,CAG,2017-09-22,33.15,32.94074326527
127,CAG,2017-09-21,33.42,33.209038911774
128,CAG,2017-09-20,33.7,33.487271434075
129,CAG,2017-09-19,34.17,33.954304596509
130,CAG,2017-09-18,34.89,34.669759653854
131,CAG,2017-09-15,35.01,34.789002163412
132,CAG,2017-09-14,34.48,34.262347746199
133,CAG,2017-09-13,34.73,34.510769641111
134,CAG,2017-09-12,34.82,34.600201523279
135,CAG,2017-09-11,34.75,34.530643392704
136,CAG,2017-09-08,34.5,34.282221497792
137,CAG,2017-09-07,34.38,34.162978988235
138,CAG,2017-09-06,34.24,34.023862727084
139,CAG,2017-09-05,33.69,33.477334558279
140,CAG,2017-09-01,32.88,32.672447618765
141,CAG,2017-08-31,32.46,32.255098835314
142,CAG,2017-08-30,32.74,32.533331357615
143,CAG,2017-08-29,32.43,32.225288207925
144,CAG,2017-08-28,32.53,32.324656965889
145,CAG,2017-08-25,33.14,32.930806389473
146,CAG,2017-08-24,33.23,33.020238271642
147,CAG,2017-08-23,34.22,34.003988975491
148,CAG,2017-08-22,34.51,34.292158373589
149,CAG,2017-08-21,34.5,34.282221497792
150,CAG,2017-08-18,34.46,34.242473994606
151,CAG,2017-08-17,34.72,34.500832765314
152,CAG,2017-08-16,35.14,34.918181548766
153,CAG,2017-08-15,34.9,34.679696529651
154,CAG,2017-08-14,34.89,34.669759653854
155,CAG,2017-08-11,34.8,34.580327771686
156,CAG,2017-08-10,34.06,33.844998962748
157,CAG,2017-08-09,34.39,34.172915864031
158,CAG,2017-08-08,34.19,33.974178348102
159,CAG,2017-08-07,34.17,33.954304596509
160,CAG,2017-08-04,33.98,33.765503956376
161,CAG,2017-08-03,34.31,34.093420857659
162,CAG,2017-08-02,34.21,33.994052099695
163,CAG,2017-08-01,33.83,33.616450819429
164,CAG,2017-07-31,34.24,34.023862727084
165,CAG,2017-07-28,34.24,34.023862727084
166,CAG,2017-07-27,34.35,34.133168360845
167,CAG,2017-07-26,33.83,33.409284079721
168,CAG,2017-07-25,34.16,33.7351801408
169,CAG,2017-07-24,33.84,33.419159717935
170,CAG,2017-07-21,33.88,33.458662270794
171,CAG,2017-07-20,33.75,33.330278974005
172,CAG,2017-07-19,33.85,33.42903535615
173,CAG,2017-07-18,33.32,32.90562653078
174,CAG,2017-07-17,33.48,33.063636742213
175,CAG,2017-07-14,33.58,33.162393124358
176,CAG,2017-07-13,33.52,33.103139295071
177,CAG,2017-07-12,33.38,32.964880360068
178,CAG,2017-07-11,33.07,32.658735575417
179,CAG,2017-07-10,33.23,32.81674578685
180,CAG,2017-07-07,33.42,33.004382912926
181,CAG,2017-07-06,34.13,33.705553226157
182,CAG,2017-07-05,34.91,34.475853006889
183,CAG,2017-07-03,35.5,35.058515661546
184,CAG,2017-06-30,35.76,35.315282255123
185,CAG,2017-06-29,36.08,35.631302677988
186,CAG,2017-06-28,37.37,36.905260007661
187,CAG,2017-06-27,37.0,36.539861393724
188,CAG,2017-06-26,37.65,37.181777877668
189,CAG,2017-06-23,37.23,36.767001072658
190,CAG,2017-06-22,37.09,36.628742137654
191,CAG,2017-06-21,37.68,37.211404792311
192,CAG,2017-06-20,37.77,37.300285536242
193,CAG,2017-06-19,37.52,37.053394580879
194,CAG,2017-06-16,38.01,37.53730085339
195,CAG,2017-06-15,39.26,38.771755630205
196,CAG,2017-06-14,38.96,38.47548648377
197,CAG,2017-06-13,38.98,38.495237760199
198,CAG,2017-06-12,38.7,38.218719890192
199,CAG,2017-06-09,38.76,38.277973719479
200,CAG,2017-06-08,39.11,38.623621056987
201,CAG,2017-06-07,39.43,38.939641479852
202,CAG,2017-06-06,39.44,38.949517118067
203,CAG,2017-06-05,39.79,39.295164455575
204,CAG,2017-06-02,39.59,39.097651691284
205,CAG,2017-06-01,39.95,39.453174667007
206,CAG,2017-05-31,38.54,38.06070967876
207,CAG,2017-05-30,38.52,38.040958402331
208,CAG,2017-05-26,39.03,38.544615951271
209,CAG,2017-05-25,38.82,38.337227548766
210,CAG,2017-05-24,38.54,38.06070967876
211,CAG,2017-05-23,38.38,37.902699467327
212,CAG,2017-05-22,38.06,37.586679044463
213,CAG,2017-05-19,37.72,37.250907345169
214,CAG,2017-05-18,37.68,37.211404792311
215,CAG,2017-05-17,37.62,37.152150963024
216,CAG,2017-05-16,37.57,37.102772771951
217,CAG,2017-05-15,37.85,37.379290641958
218,CAG,2017-05-12,37.46,36.994140751592
219,CAG,2017-05-11,37.49,37.023767666235
220,CAG,2017-05-10,37.6,37.132399686595
221,CAG,2017-05-09,37.29,36.826254901945
222,CAG,2017-05-08,37.65,37.181777877668
223,CAG,2017-05-05,37.74,37.270658621598
224,CAG,2017-05-04,37.7,37.23115606874
225,CAG,2017-05-03,37.76,37.290409898027
226,CAG,2017-05-02,37.95,37.478047024103
227,CAG,2017-05-01,38.29,37.813818723397
228,CAG,2017-04-28,38.78,38.297724995908
229,CAG,2017-04-27,38.81,38.327351910552
230,CAG,2017-04-26,39.01,38.524864674842
231,CAG,2017-04-25,39.33,38.642767856709
232,CAG,2017-04-24,40.93,40.214810281594
233,CAG,2017-04-21,40.66,39.949528122394
234,CAG,2017-04-20,40.72,40.008479713328
235,CAG,2017-04-19,40.48,39.772673349595
236,CAG,2017-04-18,40.79,40.077256569416
237,CAG,2017-04-17,40.46,39.753022819284
238,CAG,2017-04-13,40.32,39.615469107106
239,CAG,2017-04-12,40.62,39.910227061772
240,CAG,2017-04-11,40.5,39.792323879906
241,CAG,2017-04-10,40.57,39.861100735995
242,CAG,2017-04-07,40.49,39.78249861475
243,CAG,2017-04-06,40.48,39.772673349595
244,CAG,2017-04-05,40.4,39.694071228351
245,CAG,2017-04-04,40.22,39.517216455551
246,CAG,2017-04-03,40.35,39.644944902573
247,CAG,2017-03-31,40.34,39.635119637417
248,CAG,2017-03-30,40.28,39.576168046484
249,CAG,2017-03-29,40.59,39.880751266306
250,CAG,2017-03-28,40.2,39.49756592524
251,CAG,2017-03-27,40.14,39.438614334307
252,CAG,2017-03-24,40.47,39.762848084439
253,CAG,2017-03-23,40.35,39.644944902573
254,CAG,2017-03-22,40.48,39.772673349595
255,CAG,2017-03-21,40.79,40.077256569416
256,CAG,2017-03-20,40.82,40.106732364883
257,CAG,2017-03-17,41.42,40.696248274215
258,CAG,2017-03-16,41.48,40.755199865148
259,CAG,2017-03-15,41.5,40.774850395459
260,CAG,2017-03-14,41.24,40.519393501415
261,CAG,2017-03-13,41.02,40.303237667994
262,CAG,2017-03-10,40.91,40.195159751283
263,CAG,2017-03-09,40.57,39.861100735995
264,CAG,2017-03-08,40.31,39.605643841951
265,CAG,2017-03-07,40.75,40.037955508794
266,CAG,2017-03-06,41.25,40.529218766571
267,CAG,2017-03-03,41.15,40.430966115015
268,CAG,2017-03-02,41.07,40.352363993771
269,CAG,2017-03-01,41.21,40.489917705949
270,CAG,2017-02-28,41.21,40.489917705949
271,CAG,2017-02-27,40.89,40.175509220972
272,CAG,2017-02-24,41.16,40.440791380171
273,CAG,2017-02-23,40.5,39.792323879906
274,CAG,2017-02-22,40.48,39.772673349595
275,CAG,2017-02-21,40.2,39.49756592524
276,CAG,2017-02-17,39.61,38.917875281064
277,CAG,2017-02-16,39.93,39.232283766041
278,CAG,2017-02-15,39.94,39.242109031196
279,CAG,2017-02-14,39.79,39.094730053863
280,CAG,2017-02-13,39.76,39.065254258397
281,CAG,2017-02-10,39.84,39.143856379641
282,CAG,2017-02-09,39.73,39.03577846293
283,CAG,2017-02-08,39.52,38.829447894664
284,CAG,2017-02-07,39.54,38.849098424975
285,CAG,2017-02-06,39.23,38.544515205153
286,CAG,2017-02-03,39.37,38.682068917331
287,CAG,2017-02-02,39.24,38.554340470309
288,CAG,2017-02-01,38.94,38.259582515643
289,CAG,2017-01-31,39.09,38.406961492976
290,CAG,2017-01-30,39.02,38.338184636887
291,CAG,2017-01-27,38.99,38.308708841421
292,CAG,2017-01-26,38.95,38.269407780798
293,CAG,2017-01-25,39.22,38.337833286409
294,CAG,2017-01-24,39.21,38.328058214179
295,CAG,2017-01-23,38.89,38.015255902816
296,CAG,2017-01-20,39.13,38.249857636338
297,CAG,2017-01-19,38.69,37.819754458214
298,CAG,2017-01-18,38.72,37.849079674905
299,CAG,2017-01-17,38.61,37.741553880374
300,CAG,2017-01-13,38.51,37.643803158073
301,CAG,2017-01-12,38.51,37.643803158073
302,CAG,2017-01-11,38.64,37.770879097064
