None,ticker,date,close,adj_close
0,CAH,2018-03-27,61.22,61.22
1,CAH,2018-03-26,62.1,62.1
2,CAH,2018-03-23,61.71,61.71
3,CAH,2018-03-22,63.86,63.86
4,CAH,2018-03-21,65.69,65.69
5,CAH,2018-03-20,65.41,65.41
6,CAH,2018-03-19,69.99,69.99
7,CAH,2018-03-16,70.95,70.95
8,CAH,2018-03-15,70.7,70.7
9,CAH,2018-03-14,72.04,72.04
10,CAH,2018-03-13,72.27,72.27
11,CAH,2018-03-12,72.36,72.36
12,CAH,2018-03-09,71.16,71.16
13,CAH,2018-03-08,70.42,70.42
14,CAH,2018-03-07,70.04,70.04
15,CAH,2018-03-06,69.92,69.92
16,CAH,2018-03-05,70.4,70.4
17,CAH,2018-03-02,68.94,68.94
18,CAH,2018-03-01,68.28,68.28
19,CAH,2018-02-28,69.21,69.21
20,CAH,2018-02-27,70.04,70.04
21,CAH,2018-02-26,70.57,70.57
22,CAH,2018-02-23,69.31,69.31
23,CAH,2018-02-22,67.83,67.83
24,CAH,2018-02-21,68.81,68.81
25,CAH,2018-02-20,68.84,68.84
26,CAH,2018-02-16,69.34,69.34
27,CAH,2018-02-15,68.1,68.1
28,CAH,2018-02-14,67.34,67.34
29,CAH,2018-02-13,65.69,65.69
30,CAH,2018-02-12,68.03,68.03
31,CAH,2018-02-09,66.72,66.72
32,CAH,2018-02-08,66.63,66.63
33,CAH,2018-02-07,65.14,65.14
34,CAH,2018-02-06,65.44,65.44
35,CAH,2018-02-05,64.34,64.34
36,CAH,2018-02-02,67.46,67.46
37,CAH,2018-02-01,69.06,69.06
38,CAH,2018-01-31,71.79,71.79
39,CAH,2018-01-30,73.87,73.87
40,CAH,2018-01-29,75.23,75.23
41,CAH,2018-01-26,74.97,74.97
42,CAH,2018-01-25,73.99,73.99
43,CAH,2018-01-24,74.69,74.69
44,CAH,2018-01-23,73.21,73.21
45,CAH,2018-01-22,73.51,73.51
46,CAH,2018-01-19,71.91,71.91
47,CAH,2018-01-18,71.71,71.71
48,CAH,2018-01-17,72.65,72.65
49,CAH,2018-01-16,72.58,72.58
50,CAH,2018-01-12,71.49,71.49
51,CAH,2018-01-11,69.11,69.11
52,CAH,2018-01-10,68.06,68.06
53,CAH,2018-01-09,67.1,67.1
54,CAH,2018-01-08,65.22,65.22
55,CAH,2018-01-05,63.22,63.22
56,CAH,2018-01-04,63.66,63.66
57,CAH,2018-01-03,62.86,62.86
58,CAH,2018-01-02,63.23,63.23
59,CAH,2017-12-29,61.27,61.27
60,CAH,2017-12-28,62.14,62.14
61,CAH,2017-12-27,62.3,62.3
62,CAH,2017-12-26,62.67,62.67
63,CAH,2017-12-22,62.49,62.49
64,CAH,2017-12-21,62.68,62.68
65,CAH,2017-12-20,63.46,63.46
66,CAH,2017-12-19,63.01,63.01
67,CAH,2017-12-18,62.39,62.39
68,CAH,2017-12-15,63.19,63.19
69,CAH,2017-12-14,60.35,60.35
70,CAH,2017-12-13,60.57,60.57
71,CAH,2017-12-12,60.26,60.26
72,CAH,2017-12-11,60.24,60.24
73,CAH,2017-12-08,58.89,58.89
74,CAH,2017-12-07,58.5,58.5
75,CAH,2017-12-06,59.72,59.72
76,CAH,2017-12-05,60.35,60.35
77,CAH,2017-12-04,61.02,61.02
78,CAH,2017-12-01,58.9,58.9
79,CAH,2017-11-30,59.19,59.19
80,CAH,2017-11-29,59.11,59.11
81,CAH,2017-11-28,57.56,57.56
82,CAH,2017-11-27,55.89,55.89
83,CAH,2017-11-24,56.37,56.37
84,CAH,2017-11-22,56.97,56.97
85,CAH,2017-11-21,55.72,55.72
86,CAH,2017-11-20,55.0,55.0
87,CAH,2017-11-17,57.51,57.51
88,CAH,2017-11-16,57.42,57.42
89,CAH,2017-11-15,56.83,56.83
90,CAH,2017-11-14,57.07,57.07
91,CAH,2017-11-13,58.33,58.33
92,CAH,2017-11-10,58.55,58.55
93,CAH,2017-11-09,60.56,60.56
94,CAH,2017-11-07,60.27,60.27
95,CAH,2017-11-06,60.25,60.25
96,CAH,2017-11-03,61.38,61.38
97,CAH,2017-11-02,61.07,61.07
98,CAH,2017-11-01,62.18,62.18
99,CAH,2017-10-31,61.9,61.9
100,CAH,2017-10-30,61.7,61.7
101,CAH,2017-10-27,62.01,62.01
102,CAH,2017-10-26,64.75,64.75
103,CAH,2017-10-25,67.06,67.06
104,CAH,2017-10-24,66.44,66.44
105,CAH,2017-10-23,66.65,66.65
106,CAH,2017-10-20,66.71,66.71
107,CAH,2017-10-19,66.15,66.15
108,CAH,2017-10-18,64.7,64.7
109,CAH,2017-10-17,65.08,65.08
110,CAH,2017-10-16,64.63,64.63
111,CAH,2017-10-13,64.96,64.96
112,CAH,2017-10-12,66.33,66.33
113,CAH,2017-10-11,65.82,65.82
114,CAH,2017-10-10,65.78,65.78
115,CAH,2017-10-09,64.92,64.92
116,CAH,2017-10-06,65.88,65.88
117,CAH,2017-10-05,67.64,67.64
118,CAH,2017-10-04,67.52,67.52
119,CAH,2017-10-03,67.6,67.6
120,CAH,2017-10-02,68.24,68.24
121,CAH,2017-09-29,66.92,66.92
122,CAH,2017-09-28,66.97,66.510824849366
123,CAH,2017-09-27,68.14,67.67280282568
124,CAH,2017-09-26,67.82,67.354996883441
125,CAH,2017-09-25,67.34,66.878287970081
126,CAH,2017-09-22,66.66,66.202950342822
127,CAH,2017-09-21,66.77,66.312196135466
128,CAH,2017-09-20,66.71,66.252607521296
129,CAH,2017-09-19,66.26,65.805692915022
130,CAH,2017-09-18,67.07,66.610139206316
131,CAH,2017-09-15,67.5,67.037190941201
132,CAH,2017-09-14,67.46,66.997465198421
133,CAH,2017-09-13,69.29,68.814917930605
134,CAH,2017-09-12,69.44,68.963889466029
135,CAH,2017-09-11,69.73,69.251901101184
136,CAH,2017-09-08,68.36,67.89129441097
137,CAH,2017-09-07,69.06,68.58649490962
138,CAH,2017-09-06,68.61,68.139580303345
139,CAH,2017-09-05,67.52,67.057053812591
140,CAH,2017-09-01,67.82,67.354996883441
141,CAH,2017-08-31,67.46,66.997465198421
142,CAH,2017-08-30,66.49,66.034115936007
143,CAH,2017-08-29,66.4,65.944733014752
144,CAH,2017-08-28,66.39,65.934801579057
145,CAH,2017-08-25,66.08,65.626927072512
146,CAH,2017-08-24,66.1,65.646789943902
147,CAH,2017-08-23,65.63,65.180012466237
148,CAH,2017-08-22,65.42,64.971452316642
149,CAH,2017-08-21,64.36,63.918720132973
150,CAH,2017-08-18,64.38,63.938583004363
151,CAH,2017-08-17,65.16,64.713234988573
