None,ticker,date,close,adj_close
0,CBOE,2018-03-27,112.06,112.06
1,CBOE,2018-03-26,114.59,114.59
2,CBOE,2018-03-23,111.71,111.71
3,CBOE,2018-03-22,112.62,112.62
4,CBOE,2018-03-21,117.33,117.33
5,CBOE,2018-03-20,119.9,119.9
6,CBOE,2018-03-19,118.53,118.53
7,CBOE,2018-03-16,119.22,119.22
8,CBOE,2018-03-15,118.61,118.61
9,CBOE,2018-03-14,119.29,119.29
10,CBOE,2018-03-13,119.92,119.92
11,CBOE,2018-03-12,123.82,123.82
12,CBOE,2018-03-09,124.54,124.54
13,CBOE,2018-03-08,119.89,119.89
14,CBOE,2018-03-07,118.79,118.79
15,CBOE,2018-03-06,118.17,118.17
16,CBOE,2018-03-05,115.35,115.35
17,CBOE,2018-03-02,115.0,115.0
18,CBOE,2018-03-01,111.36,111.36
19,CBOE,2018-02-28,112.01,112.01
20,CBOE,2018-02-27,110.19,110.19
21,CBOE,2018-02-26,111.33,111.33
22,CBOE,2018-02-23,108.75,108.75
23,CBOE,2018-02-22,109.96,109.96
24,CBOE,2018-02-21,111.3,111.3
25,CBOE,2018-02-20,110.78,110.78
26,CBOE,2018-02-16,111.45,111.45
27,CBOE,2018-02-15,117.45,117.45
28,CBOE,2018-02-14,115.0,115.0
29,CBOE,2018-02-13,112.22,112.22
30,CBOE,2018-02-12,110.68,110.68
31,CBOE,2018-02-09,107.19,107.19
32,CBOE,2018-02-08,111.14,111.14
33,CBOE,2018-02-07,114.565,114.565
34,CBOE,2018-02-06,116.94,116.94
35,CBOE,2018-02-05,131.12,131.12
36,CBOE,2018-02-02,134.65,134.65
37,CBOE,2018-02-01,136.56,136.56
38,CBOE,2018-01-31,134.39,134.39
39,CBOE,2018-01-30,133.29,133.29
40,CBOE,2018-01-29,135.11,135.11
41,CBOE,2018-01-26,137.02,137.02
42,CBOE,2018-01-25,137.16,137.16
43,CBOE,2018-01-24,135.57,135.57
44,CBOE,2018-01-23,134.81,134.81
45,CBOE,2018-01-22,134.56,134.56
46,CBOE,2018-01-19,133.88,133.88
47,CBOE,2018-01-18,132.91,132.91
48,CBOE,2018-01-17,131.52,131.52
49,CBOE,2018-01-16,130.79,130.79
50,CBOE,2018-01-12,131.51,131.51
51,CBOE,2018-01-11,132.19,132.19
52,CBOE,2018-01-10,132.33,132.33
53,CBOE,2018-01-09,130.79,130.79
54,CBOE,2018-01-08,129.53,129.53
55,CBOE,2018-01-05,127.6,127.6
56,CBOE,2018-01-04,124.04,124.04
