None,ticker,date,close,adj_close
0,CCI,2018-03-27,110.67,110.67
1,CCI,2018-03-26,111.33,111.33
2,CCI,2018-03-23,109.66,109.66
3,CCI,2018-03-22,108.95,108.95
4,CCI,2018-03-21,107.59,107.59
5,CCI,2018-03-20,108.87,108.87
6,CCI,2018-03-19,108.19,108.19
7,CCI,2018-03-16,109.08,109.08
8,CCI,2018-03-15,109.61,109.61
9,CCI,2018-03-14,112.08,112.08
10,CCI,2018-03-13,111.66,111.66
11,CCI,2018-03-12,111.39,111.39
12,CCI,2018-03-09,110.99,110.99
13,CCI,2018-03-08,110.24,110.24
14,CCI,2018-03-07,107.6,107.6
15,CCI,2018-03-06,107.73,107.73
16,CCI,2018-03-05,107.72,107.72
17,CCI,2018-03-02,104.56,104.56
18,CCI,2018-03-01,106.07,106.07
19,CCI,2018-02-28,110.06,110.06
20,CCI,2018-02-27,110.36,110.36
21,CCI,2018-02-26,111.54,111.54
22,CCI,2018-02-23,110.44,110.44
23,CCI,2018-02-22,108.46,108.46
24,CCI,2018-02-21,106.79,106.79
25,CCI,2018-02-20,108.57,108.57
26,CCI,2018-02-16,109.12,109.12
27,CCI,2018-02-15,107.64,107.64
28,CCI,2018-02-14,105.36,105.36
29,CCI,2018-02-13,106.36,106.36
30,CCI,2018-02-12,105.11,105.11
31,CCI,2018-02-09,103.86,103.86
32,CCI,2018-02-08,103.81,103.81
33,CCI,2018-02-07,108.75,108.75
34,CCI,2018-02-06,108.55,108.55
35,CCI,2018-02-05,110.51,110.51
36,CCI,2018-02-02,112.1,112.1
37,CCI,2018-02-01,113.07,113.07
38,CCI,2018-01-31,112.77,112.77
39,CCI,2018-01-30,110.03,110.03
40,CCI,2018-01-29,109.83,109.83
41,CCI,2018-01-26,110.63,110.63
42,CCI,2018-01-25,108.61,108.61
43,CCI,2018-01-24,109.59,109.59
44,CCI,2018-01-23,110.33,110.33
45,CCI,2018-01-22,108.3,108.3
46,CCI,2018-01-19,107.35,107.35
47,CCI,2018-01-18,106.11,106.11
48,CCI,2018-01-17,106.03,106.03
49,CCI,2018-01-16,105.32,105.32
50,CCI,2018-01-12,103.57,103.57
51,CCI,2018-01-11,103.69,103.69
52,CCI,2018-01-10,104.92,104.92
53,CCI,2018-01-09,107.68,107.68
54,CCI,2018-01-08,108.35,108.35
55,CCI,2018-01-05,108.03,108.03
56,CCI,2018-01-04,107.21,107.21
57,CCI,2018-01-03,108.47,108.47
58,CCI,2018-01-02,108.93,108.93
59,CCI,2017-12-29,111.01,111.01
