None,ticker,date,close,adj_close
0,CDNS,2018-03-27,36.4,36.4
1,CDNS,2018-03-26,37.46,37.46
2,CDNS,2018-03-23,36.38,36.38
3,CDNS,2018-03-22,37.39,37.39
4,CDNS,2018-03-21,38.35,38.35
5,CDNS,2018-03-20,37.96,37.96
6,CDNS,2018-03-19,38.23,38.23
7,CDNS,2018-03-16,38.59,38.59
8,CDNS,2018-03-15,39.08,39.08
9,CDNS,2018-03-14,38.83,38.83
10,CDNS,2018-03-13,39.17,39.17
11,CDNS,2018-03-12,39.7,39.7
12,CDNS,2018-03-09,39.68,39.68
13,CDNS,2018-03-08,39.3,39.3
14,CDNS,2018-03-07,39.37,39.37
15,CDNS,2018-03-06,38.98,38.98
16,CDNS,2018-03-05,39.5,39.5
17,CDNS,2018-03-02,39.29,39.29
18,CDNS,2018-03-01,38.23,38.23
19,CDNS,2018-02-28,38.77,38.77
20,CDNS,2018-02-27,39.39,39.39
21,CDNS,2018-02-26,39.89,39.89
22,CDNS,2018-02-23,39.74,39.74
23,CDNS,2018-02-22,38.8,38.8
24,CDNS,2018-02-21,39.26,39.26
25,CDNS,2018-02-20,40.17,40.17
26,CDNS,2018-02-16,39.16,39.16
27,CDNS,2018-02-15,39.07,39.07
28,CDNS,2018-02-14,38.63,38.63
29,CDNS,2018-02-13,37.9,37.9
30,CDNS,2018-02-12,38.6,38.6
31,CDNS,2018-02-09,37.65,37.65
32,CDNS,2018-02-08,36.81,36.81
33,CDNS,2018-02-07,38.57,38.57
34,CDNS,2018-02-06,39.58,39.58
35,CDNS,2018-02-05,39.5,39.5
36,CDNS,2018-02-02,41.105,41.105
37,CDNS,2018-02-01,42.21,42.21
38,CDNS,2018-01-31,44.86,44.86
39,CDNS,2018-01-30,43.98,43.98
40,CDNS,2018-01-29,44.56,44.56
41,CDNS,2018-01-26,45.8,45.8
42,CDNS,2018-01-25,44.86,44.86
43,CDNS,2018-01-24,45.38,45.38
44,CDNS,2018-01-23,45.75,45.75
45,CDNS,2018-01-22,45.69,45.69
46,CDNS,2018-01-19,45.6,45.6
47,CDNS,2018-01-18,44.94,44.94
48,CDNS,2018-01-17,44.86,44.86
49,CDNS,2018-01-16,44.28,44.28
50,CDNS,2018-01-12,45.07,45.07
51,CDNS,2018-01-11,44.87,44.87
52,CDNS,2018-01-10,44.84,44.84
53,CDNS,2018-01-09,45.07,45.07
54,CDNS,2018-01-08,44.92,44.92
55,CDNS,2018-01-05,43.99,43.99
56,CDNS,2018-01-04,43.58,43.58
57,CDNS,2018-01-03,42.93,42.93
58,CDNS,2018-01-02,42.05,42.05
59,CDNS,2017-12-29,41.82,41.82
60,CDNS,2017-12-28,42.29,42.29
61,CDNS,2017-12-27,42.25,42.25
62,CDNS,2017-12-26,41.97,41.97
63,CDNS,2017-12-22,42.26,42.26
64,CDNS,2017-12-21,42.48,42.48
65,CDNS,2017-12-20,43.21,43.21
66,CDNS,2017-12-19,43.76,43.76
67,CDNS,2017-12-18,43.56,43.56
68,CDNS,2017-12-15,43.68,43.68
69,CDNS,2017-12-14,43.19,43.19
70,CDNS,2017-12-13,43.06,43.06
71,CDNS,2017-12-12,43.29,43.29
