None,ticker,date,close,adj_close
0,CELG,2018-03-27,85.81,85.81
1,CELG,2018-03-26,87.17,87.17
2,CELG,2018-03-23,84.98,84.98
3,CELG,2018-03-22,86.91,86.91
4,CELG,2018-03-21,88.31,88.31
5,CELG,2018-03-20,88.27,88.27
6,CELG,2018-03-19,88.53,88.53
7,CELG,2018-03-16,89.61,89.61
8,CELG,2018-03-15,89.91,89.91
9,CELG,2018-03-14,91.61,91.61
10,CELG,2018-03-13,91.56,91.56
11,CELG,2018-03-12,92.28,92.28
12,CELG,2018-03-09,92.555,92.555
13,CELG,2018-03-08,91.19,91.19
14,CELG,2018-03-07,90.22,90.22
15,CELG,2018-03-06,89.17,89.17
16,CELG,2018-03-05,89.04,89.04
17,CELG,2018-03-02,89.33,89.33
18,CELG,2018-03-01,87.19,87.19
19,CELG,2018-02-28,87.12,87.12
20,CELG,2018-02-27,95.78,95.78
21,CELG,2018-02-26,96.49,96.49
22,CELG,2018-02-23,95.61,95.61
23,CELG,2018-02-22,93.74,93.74
24,CELG,2018-02-21,93.89,93.89
25,CELG,2018-02-20,93.85,93.85
26,CELG,2018-02-16,95.26,95.26
27,CELG,2018-02-15,96.14,96.14
28,CELG,2018-02-14,94.39,94.39
29,CELG,2018-02-13,91.98,91.98
30,CELG,2018-02-12,91.51,91.51
31,CELG,2018-02-09,92.42,92.42
32,CELG,2018-02-08,91.01,91.01
33,CELG,2018-02-07,95.16,95.16
34,CELG,2018-02-06,96.25,96.25
35,CELG,2018-02-05,94.13,94.13
36,CELG,2018-02-02,99.8,99.8
37,CELG,2018-02-01,100.34,100.34
38,CELG,2018-01-31,101.2,101.2
39,CELG,2018-01-30,101.58,101.58
40,CELG,2018-01-29,103.26,103.26
41,CELG,2018-01-26,105.17,105.17
42,CELG,2018-01-25,104.39,104.39
43,CELG,2018-01-24,103.11,103.11
44,CELG,2018-01-23,104.55,104.55
45,CELG,2018-01-22,102.91,102.91
46,CELG,2018-01-19,102.65,102.65
47,CELG,2018-01-18,101.72,101.72
48,CELG,2018-01-17,102.02,102.02
49,CELG,2018-01-16,104.82,104.82
50,CELG,2018-01-12,106.0,106.0
51,CELG,2018-01-11,104.49,104.49
52,CELG,2018-01-10,105.46,105.46
53,CELG,2018-01-09,105.49,105.49
54,CELG,2018-01-08,104.18,104.18
55,CELG,2018-01-05,104.99,104.99
56,CELG,2018-01-04,106.68,106.68
57,CELG,2018-01-03,109.14,109.14
58,CELG,2018-01-02,106.16,106.16
59,CELG,2017-12-29,104.36,104.36
60,CELG,2017-12-28,104.75,104.75
61,CELG,2017-12-27,104.46,104.46
62,CELG,2017-12-26,106.97,106.97
63,CELG,2017-12-22,106.33,106.33
64,CELG,2017-12-21,107.88,107.88
65,CELG,2017-12-20,108.27,108.27
66,CELG,2017-12-19,107.06,107.06
67,CELG,2017-12-18,108.04,108.04
68,CELG,2017-12-15,109.41,109.41
69,CELG,2017-12-14,108.24,108.24
70,CELG,2017-12-13,108.2,108.2
71,CELG,2017-12-12,109.04,109.04
72,CELG,2017-12-11,108.0,108.0
73,CELG,2017-12-08,106.09,106.09
74,CELG,2017-12-07,102.73,102.73
75,CELG,2017-12-06,102.17,102.17
76,CELG,2017-12-05,102.56,102.56
77,CELG,2017-12-04,102.61,102.61
78,CELG,2017-12-01,102.14,102.14
79,CELG,2017-11-30,100.83,100.83
80,CELG,2017-11-29,103.12,103.12
81,CELG,2017-11-28,103.99,103.99
82,CELG,2017-11-27,103.33,103.33
83,CELG,2017-11-24,104.5,104.5
84,CELG,2017-11-22,105.16,105.16
85,CELG,2017-11-21,104.5,104.5
86,CELG,2017-11-20,103.15,103.15
87,CELG,2017-11-17,104.1,104.1
88,CELG,2017-11-16,103.35,103.35
89,CELG,2017-11-15,100.34,100.34
90,CELG,2017-11-14,98.86,98.86
91,CELG,2017-11-13,101.16,101.16
92,CELG,2017-11-10,102.34,102.34
93,CELG,2017-11-09,102.46,102.46
94,CELG,2017-11-07,102.33,102.33
95,CELG,2017-11-06,101.64,101.64
96,CELG,2017-11-03,100.04,100.04
97,CELG,2017-11-02,98.2,98.2
98,CELG,2017-11-01,100.53,100.53
99,CELG,2017-10-31,100.97,100.97
100,CELG,2017-10-30,100.97,100.97
101,CELG,2017-10-27,98.17,98.17
102,CELG,2017-10-26,99.99,99.99
103,CELG,2017-10-25,119.52,119.52
104,CELG,2017-10-24,120.34,120.34
105,CELG,2017-10-23,122.37,122.37
106,CELG,2017-10-20,121.33,121.33
107,CELG,2017-10-19,135.96,135.96
