None,ticker,date,close,adj_close
0,CERN,2018-03-27,57.65,57.65
1,CERN,2018-03-26,57.77,57.77
2,CERN,2018-03-23,56.51,56.51
3,CERN,2018-03-22,57.47,57.47
4,CERN,2018-03-21,59.86,59.86
5,CERN,2018-03-20,59.44,59.44
6,CERN,2018-03-19,60.39,60.39
7,CERN,2018-03-16,61.26,61.26
8,CERN,2018-03-15,61.78,61.78
9,CERN,2018-03-14,62.04,62.04
10,CERN,2018-03-13,63.05,63.05
11,CERN,2018-03-12,64.64,64.64
12,CERN,2018-03-09,64.91,64.91
13,CERN,2018-03-08,63.66,63.66
14,CERN,2018-03-07,65.04,65.04
15,CERN,2018-03-06,64.98,64.98
16,CERN,2018-03-05,64.33,64.33
17,CERN,2018-03-02,62.94,62.94
18,CERN,2018-03-01,62.37,62.37
19,CERN,2018-02-28,64.16,64.16
20,CERN,2018-02-27,63.95,63.95
21,CERN,2018-02-26,64.25,64.25
22,CERN,2018-02-23,64.53,64.53
23,CERN,2018-02-22,62.91,62.91
24,CERN,2018-02-21,63.37,63.37
25,CERN,2018-02-20,63.0,63.0
26,CERN,2018-02-16,64.22,64.22
27,CERN,2018-02-15,64.4,64.4
28,CERN,2018-02-14,62.22,62.22
29,CERN,2018-02-13,62.49,62.49
30,CERN,2018-02-12,62.49,62.49
31,CERN,2018-02-09,61.3,61.3
32,CERN,2018-02-08,61.19,61.19
33,CERN,2018-02-07,63.48,63.48
34,CERN,2018-02-06,63.99,63.99
35,CERN,2018-02-05,63.63,63.63
36,CERN,2018-02-02,66.39,66.39
37,CERN,2018-02-01,68.29,68.29
38,CERN,2018-01-31,69.13,69.13
39,CERN,2018-01-30,69.36,69.36
40,CERN,2018-01-29,68.73,68.73
41,CERN,2018-01-26,68.6,68.6
42,CERN,2018-01-25,68.05,68.05
43,CERN,2018-01-24,67.7,67.7
44,CERN,2018-01-23,69.19,69.19
45,CERN,2018-01-22,69.13,69.13
46,CERN,2018-01-19,68.91,68.91
47,CERN,2018-01-18,69.49,69.49
48,CERN,2018-01-17,70.28,70.28
49,CERN,2018-01-16,70.62,70.62
50,CERN,2018-01-12,72.96,72.96
51,CERN,2018-01-11,72.64,72.64
52,CERN,2018-01-10,72.35,72.35
53,CERN,2018-01-09,71.7,71.7
54,CERN,2018-01-08,70.59,70.59
55,CERN,2018-01-05,70.53,70.53
56,CERN,2018-01-04,69.01,69.01
57,CERN,2018-01-03,69.07,69.07
58,CERN,2018-01-02,68.57,68.57
59,CERN,2017-12-29,67.39,67.39
60,CERN,2017-12-28,67.93,67.93
61,CERN,2017-12-27,67.61,67.61
62,CERN,2017-12-26,67.68,67.68
63,CERN,2017-12-22,67.38,67.38
64,CERN,2017-12-21,67.89,67.89
65,CERN,2017-12-20,68.52,68.52
66,CERN,2017-12-19,68.63,68.63
67,CERN,2017-12-18,68.98,68.98
68,CERN,2017-12-15,69.42,69.42
69,CERN,2017-12-14,68.57,68.57
70,CERN,2017-12-13,69.66,69.66
71,CERN,2017-12-12,70.36,70.36
72,CERN,2017-12-11,70.13,70.13
73,CERN,2017-12-08,70.42,70.42
74,CERN,2017-12-07,69.94,69.94
75,CERN,2017-12-06,69.58,69.58
76,CERN,2017-12-05,70.09,70.09
77,CERN,2017-12-04,69.79,69.79
78,CERN,2017-12-01,70.17,70.17
79,CERN,2017-11-30,70.69,70.69
80,CERN,2017-11-29,69.77,69.77
81,CERN,2017-11-28,69.75,69.75
82,CERN,2017-11-27,69.52,69.52
83,CERN,2017-11-24,70.57,70.57
84,CERN,2017-11-22,70.03,70.03
85,CERN,2017-11-21,66.68,66.68
86,CERN,2017-11-20,65.73,65.73
87,CERN,2017-11-17,65.4,65.4
88,CERN,2017-11-16,65.54,65.54
89,CERN,2017-11-15,64.78,64.78
