None,ticker,date,close,adj_close
0,CHTR,2018-03-27,310.22,310.22
1,CHTR,2018-03-26,312.18,312.18
2,CHTR,2018-03-23,312.39,312.39
3,CHTR,2018-03-22,322.97,322.97
4,CHTR,2018-03-21,325.47,325.47
5,CHTR,2018-03-20,327.61,327.61
6,CHTR,2018-03-19,332.99,332.99
7,CHTR,2018-03-16,342.17,342.17
8,CHTR,2018-03-15,339.55,339.55
9,CHTR,2018-03-14,340.96,340.96
10,CHTR,2018-03-13,350.01,350.01
11,CHTR,2018-03-12,359.22,359.22
12,CHTR,2018-03-09,347.59,347.59
13,CHTR,2018-03-08,341.19,341.19
14,CHTR,2018-03-07,338.67,338.67
15,CHTR,2018-03-06,337.96,337.96
16,CHTR,2018-03-05,346.6,346.6
17,CHTR,2018-03-02,332.75,332.75
18,CHTR,2018-03-01,339.41,339.41
19,CHTR,2018-02-28,341.93,341.93
20,CHTR,2018-02-27,351.22,351.22
21,CHTR,2018-02-26,358.02,358.02
22,CHTR,2018-02-23,365.06,365.06
23,CHTR,2018-02-22,356.75,356.75
24,CHTR,2018-02-21,360.97,360.97
25,CHTR,2018-02-20,358.77,358.77
26,CHTR,2018-02-16,365.66,365.66
27,CHTR,2018-02-15,363.67,363.67
28,CHTR,2018-02-14,358.94,358.94
29,CHTR,2018-02-13,355.68,355.68
30,CHTR,2018-02-12,357.88,357.88
31,CHTR,2018-02-09,348.76,348.76
32,CHTR,2018-02-08,348.46,348.46
33,CHTR,2018-02-07,363.55,363.55
34,CHTR,2018-02-06,369.75,369.75
35,CHTR,2018-02-05,374.965,374.965
36,CHTR,2018-02-02,387.25,387.25
37,CHTR,2018-02-01,371.18,371.18
38,CHTR,2018-01-31,377.25,377.25
39,CHTR,2018-01-30,376.57,376.57
40,CHTR,2018-01-29,374.5,374.5
41,CHTR,2018-01-26,377.0,377.0
42,CHTR,2018-01-25,375.14,375.14
43,CHTR,2018-01-24,376.43,376.43
44,CHTR,2018-01-23,369.25,369.25
45,CHTR,2018-01-22,370.25,370.25
46,CHTR,2018-01-19,366.05,366.05
47,CHTR,2018-01-18,365.25,365.25
48,CHTR,2018-01-17,357.84,357.84
49,CHTR,2018-01-16,352.93,352.93
50,CHTR,2018-01-12,354.0,354.0
51,CHTR,2018-01-11,355.1,355.1
52,CHTR,2018-01-10,350.83,350.83
53,CHTR,2018-01-09,354.76,354.76
54,CHTR,2018-01-08,356.55,356.55
55,CHTR,2018-01-05,350.88,350.88
56,CHTR,2018-01-04,349.79,349.79
57,CHTR,2018-01-03,353.03,353.03
58,CHTR,2018-01-02,348.97,348.97
59,CHTR,2017-12-29,335.96,335.96
60,CHTR,2017-12-28,338.03,338.03
61,CHTR,2017-12-27,333.25,333.25
62,CHTR,2017-12-26,340.4,340.4
63,CHTR,2017-12-22,338.2,338.2
64,CHTR,2017-12-21,332.94,332.94
