None,ticker,date,close,adj_close
0,CI,2018-03-27,165.54,165.54
1,CI,2018-03-26,168.68,168.68
2,CI,2018-03-23,164.0,164.0
3,CI,2018-03-22,165.34,165.34
4,CI,2018-03-21,167.05,167.05
5,CI,2018-03-20,165.0,165.0
6,CI,2018-03-19,166.44,166.44
7,CI,2018-03-16,168.67,168.67
8,CI,2018-03-15,166.9,166.9
9,CI,2018-03-14,166.88,166.88
10,CI,2018-03-13,164.39,164.39
11,CI,2018-03-12,167.31,167.31
12,CI,2018-03-09,173.36,173.36
13,CI,2018-03-08,172.0,172.0
14,CI,2018-03-07,194.25,194.25
15,CI,2018-03-06,194.13,194.13
16,CI,2018-03-05,192.34,192.34
17,CI,2018-03-02,193.06,193.06
18,CI,2018-03-01,193.42,193.42
19,CI,2018-02-28,195.89,195.89
20,CI,2018-02-27,196.85,196.85
21,CI,2018-02-26,195.88,195.88
22,CI,2018-02-23,194.79,194.79
23,CI,2018-02-22,191.9,191.9
24,CI,2018-02-21,191.65,191.65
25,CI,2018-02-20,192.6,192.6
26,CI,2018-02-16,193.81,193.81
27,CI,2018-02-15,191.94,191.94
28,CI,2018-02-14,195.55,195.55
29,CI,2018-02-13,195.44,195.44
30,CI,2018-02-12,193.56,193.56
31,CI,2018-02-09,193.77,193.77
32,CI,2018-02-08,189.27,189.27
33,CI,2018-02-07,195.44,195.44
34,CI,2018-02-06,197.59,197.59
35,CI,2018-02-05,196.41,196.41
36,CI,2018-02-02,204.46,204.46
37,CI,2018-02-01,205.01,205.01
38,CI,2018-01-31,208.35,208.35
39,CI,2018-01-30,207.89,207.89
40,CI,2018-01-29,223.9,223.9
41,CI,2018-01-26,226.22,226.22
42,CI,2018-01-25,221.88,221.88
43,CI,2018-01-24,221.0,221.0
44,CI,2018-01-23,219.79,219.79
45,CI,2018-01-22,220.75,220.75
46,CI,2018-01-19,220.15,220.15
47,CI,2018-01-18,219.66,219.66
48,CI,2018-01-17,220.36,220.36
49,CI,2018-01-16,214.75,214.75
50,CI,2018-01-12,213.39,213.39
51,CI,2018-01-11,210.89,210.89
52,CI,2018-01-10,207.09,207.09
53,CI,2018-01-09,207.87,207.87
54,CI,2018-01-08,208.22,208.22
55,CI,2018-01-05,210.55,210.55
56,CI,2018-01-04,207.04,207.04
57,CI,2018-01-03,205.96,205.96
58,CI,2018-01-02,202.56,202.56
59,CI,2017-12-29,203.09,203.09
60,CI,2017-12-28,205.24,205.24
61,CI,2017-12-27,202.71,202.71
62,CI,2017-12-26,203.78,203.78
63,CI,2017-12-22,203.39,203.39
64,CI,2017-12-21,204.52,204.52
65,CI,2017-12-20,206.03,206.03
66,CI,2017-12-19,207.26,207.26
67,CI,2017-12-18,206.34,206.34
68,CI,2017-12-15,204.14,204.14
69,CI,2017-12-14,203.63,203.63
70,CI,2017-12-13,207.92,207.92
71,CI,2017-12-12,208.48,208.48
72,CI,2017-12-11,209.16,209.16
73,CI,2017-12-08,209.97,209.97
74,CI,2017-12-07,206.0,206.0
75,CI,2017-12-06,204.21,204.21
76,CI,2017-12-05,204.12,204.12
77,CI,2017-12-04,204.11,204.11
78,CI,2017-12-01,208.41,208.41
79,CI,2017-11-30,211.73,211.73
80,CI,2017-11-29,205.83,205.83
81,CI,2017-11-28,200.55,200.55
82,CI,2017-11-27,199.93,199.93
83,CI,2017-11-24,200.6,200.6
84,CI,2017-11-22,200.72,200.72
85,CI,2017-11-21,201.99,201.99
86,CI,2017-11-20,199.41,199.41
87,CI,2017-11-17,197.97,197.97
88,CI,2017-11-16,200.97,200.97
89,CI,2017-11-15,196.5,196.5
90,CI,2017-11-14,197.14,197.14
91,CI,2017-11-13,197.61,197.61
92,CI,2017-11-10,197.98,197.98
93,CI,2017-11-09,197.52,197.52
94,CI,2017-11-07,205.49,205.49
95,CI,2017-11-06,205.0,205.0
96,CI,2017-11-03,201.9,201.9
97,CI,2017-11-02,198.39,198.39
98,CI,2017-11-01,197.84,197.84
99,CI,2017-10-31,197.22,197.22
100,CI,2017-10-30,197.72,197.72
101,CI,2017-10-27,201.94,201.94
102,CI,2017-10-26,198.75,198.75
103,CI,2017-10-25,195.72,195.72
104,CI,2017-10-24,193.89,193.89
105,CI,2017-10-23,193.38,193.38
106,CI,2017-10-20,191.42,191.42
107,CI,2017-10-19,188.22,188.22
108,CI,2017-10-18,189.36,189.36
109,CI,2017-10-17,187.2,187.2
110,CI,2017-10-16,184.99,184.99
111,CI,2017-10-13,186.15,186.15
112,CI,2017-10-12,186.96,186.96
113,CI,2017-10-11,186.95,186.95
114,CI,2017-10-10,188.07,188.07
115,CI,2017-10-09,189.09,189.09
116,CI,2017-10-06,190.95,190.95
117,CI,2017-10-05,190.68,190.68
118,CI,2017-10-04,190.75,190.75
119,CI,2017-10-03,191.99,191.99
120,CI,2017-10-02,189.01,189.01
121,CI,2017-09-29,186.94,186.94
