None,ticker,date,close,adj_close
0,CL,2018-03-27,69.28,69.28
1,CL,2018-03-26,68.19,68.19
2,CL,2018-03-23,68.38,68.38
3,CL,2018-03-22,68.82,68.82
4,CL,2018-03-21,68.69,68.69
5,CL,2018-03-20,69.69,69.69
6,CL,2018-03-19,70.06,70.06
7,CL,2018-03-16,69.62,69.62
8,CL,2018-03-15,69.56,69.56
9,CL,2018-03-14,69.99,69.99
10,CL,2018-03-13,70.87,70.87
11,CL,2018-03-12,71.08,71.08
12,CL,2018-03-09,71.24,71.24
13,CL,2018-03-08,71.02,71.02
14,CL,2018-03-07,69.68,69.68
15,CL,2018-03-06,69.64,69.64
16,CL,2018-03-05,70.07,70.07
17,CL,2018-03-02,69.27,69.27
18,CL,2018-03-01,68.86,68.86
19,CL,2018-02-28,68.97,68.97
20,CL,2018-02-27,69.92,69.92
21,CL,2018-02-26,71.07,71.07
22,CL,2018-02-23,70.3,70.3
23,CL,2018-02-22,69.39,69.39
24,CL,2018-02-21,69.14,69.14
25,CL,2018-02-20,70.03,70.03
26,CL,2018-02-16,71.46,71.46
27,CL,2018-02-15,71.22,71.22
28,CL,2018-02-14,69.62,69.62
29,CL,2018-02-13,70.3,70.3
30,CL,2018-02-12,70.19,70.19
31,CL,2018-02-09,69.76,69.76
32,CL,2018-02-08,68.95,68.95
33,CL,2018-02-07,70.17,70.17
34,CL,2018-02-06,70.41,70.41
35,CL,2018-02-05,69.81,69.81
36,CL,2018-02-02,72.43,72.43
37,CL,2018-02-01,73.33,73.33
38,CL,2018-01-31,74.24,74.24
39,CL,2018-01-30,74.67,74.67
40,CL,2018-01-29,73.79,73.79
41,CL,2018-01-26,73.56,73.56
42,CL,2018-01-25,77.31,77.31
43,CL,2018-01-24,76.8,76.8
44,CL,2018-01-23,76.9,76.9
45,CL,2018-01-22,77.38,77.38
46,CL,2018-01-19,77.5,77.5
47,CL,2018-01-18,76.63,76.63
48,CL,2018-01-17,76.68,76.68
49,CL,2018-01-16,75.42,75.42
50,CL,2018-01-12,74.62,74.62
51,CL,2018-01-11,74.55,74.55
52,CL,2018-01-10,74.82,74.82
53,CL,2018-01-09,75.64,75.64
54,CL,2018-01-08,75.53,75.53
55,CL,2018-01-05,75.42,75.42
56,CL,2018-01-04,75.33,75.33
57,CL,2018-01-03,74.85,74.85
58,CL,2018-01-02,75.14,75.14
59,CL,2017-12-29,75.45,75.45
60,CL,2017-12-28,75.14,75.14
61,CL,2017-12-27,75.37,75.37
62,CL,2017-12-26,75.48,75.48
63,CL,2017-12-22,75.15,75.15
64,CL,2017-12-21,74.66,74.66
65,CL,2017-12-20,74.52,74.52
66,CL,2017-12-19,74.85,74.85
67,CL,2017-12-18,73.99,73.99
68,CL,2017-12-15,74.05,74.05
69,CL,2017-12-14,73.24,73.24
70,CL,2017-12-13,73.35,73.35
71,CL,2017-12-12,72.49,72.49
72,CL,2017-12-11,73.17,73.17
73,CL,2017-12-08,73.32,73.32
74,CL,2017-12-07,73.2,73.2
75,CL,2017-12-06,74.25,74.25
76,CL,2017-12-05,74.59,74.59
77,CL,2017-12-04,74.52,74.52
78,CL,2017-12-01,73.04,73.04
79,CL,2017-11-30,72.45,72.45
80,CL,2017-11-29,72.01,72.01
81,CL,2017-11-28,72.76,72.76
82,CL,2017-11-27,72.0,72.0
83,CL,2017-11-24,72.01,72.01
84,CL,2017-11-22,71.75,71.75
85,CL,2017-11-21,72.22,72.22
86,CL,2017-11-20,72.07,72.07
87,CL,2017-11-17,71.89,71.89
88,CL,2017-11-16,72.63,72.63
89,CL,2017-11-15,72.48,72.48
90,CL,2017-11-14,73.46,73.46
91,CL,2017-11-13,73.7,73.7
92,CL,2017-11-10,73.21,73.21
93,CL,2017-11-09,72.91,72.91
94,CL,2017-11-07,70.9,70.9
95,CL,2017-11-06,70.25,70.25
96,CL,2017-11-03,70.15,70.15
97,CL,2017-11-02,70.94,70.94
98,CL,2017-11-01,70.56,70.56
99,CL,2017-10-31,70.45,70.45
100,CL,2017-10-30,69.2,69.2
101,CL,2017-10-27,70.4,70.4
102,CL,2017-10-26,71.21,71.21
103,CL,2017-10-25,71.42,71.42
104,CL,2017-10-24,71.84,71.84
105,CL,2017-10-23,72.19,72.19
106,CL,2017-10-20,72.32,72.32
107,CL,2017-10-19,73.14,72.737689768977
108,CL,2017-10-18,74.44,74.030539053905
109,CL,2017-10-17,74.96,74.547678767877
110,CL,2017-10-16,75.75,75.333333333333
111,CL,2017-10-13,75.99,75.57201320132
112,CL,2017-10-12,75.16,74.746578657866
113,CL,2017-10-11,74.73,74.318943894389
114,CL,2017-10-10,72.9,72.49900990099
115,CL,2017-10-09,72.36,71.96198019802
116,CL,2017-10-06,72.72,72.32
117,CL,2017-10-05,73.21,72.807304730473
118,CL,2017-10-04,72.88,72.479119911991
119,CL,2017-10-03,72.44,72.041540154015
120,CL,2017-10-02,72.95,72.548734873487
121,CL,2017-09-29,72.85,72.449284928493
122,CL,2017-09-28,73.15,72.747634763476
123,CL,2017-09-27,73.08,72.67801980198
124,CL,2017-09-26,73.39,72.986314631463
125,CL,2017-09-25,73.0,72.598459845985
126,CL,2017-09-22,71.19,70.798415841584
127,CL,2017-09-21,71.37,70.977425742574
128,CL,2017-09-20,72.55,72.150935093509
129,CL,2017-09-19,72.81,72.409504950495
130,CL,2017-09-18,72.39,71.991815181518
131,CL,2017-09-15,72.28,71.882420242024
132,CL,2017-09-14,72.14,71.743190319032
133,CL,2017-09-13,71.65,71.255885588559
134,CL,2017-09-12,71.95,71.554235423542
135,CL,2017-09-11,72.02,71.623850385038
136,CL,2017-09-08,71.82,71.424950495049
137,CL,2017-09-07,71.56,71.166380638064
138,CL,2017-09-06,71.49,71.096765676568
139,CL,2017-09-05,71.11,70.718855885589
140,CL,2017-09-01,71.3,70.907810781078
141,CL,2017-08-31,71.64,71.245940594059
142,CL,2017-08-30,70.95,70.559735973597
143,CL,2017-08-29,71.3,70.907810781078
144,CL,2017-08-28,70.9,70.5100110011
145,CL,2017-08-25,71.15,70.758635863586
146,CL,2017-08-24,70.78,70.390671067107
147,CL,2017-08-23,71.22,70.828250825083
148,CL,2017-08-22,71.64,71.245940594059
149,CL,2017-08-21,71.61,71.216105610561
150,CL,2017-08-18,71.02,70.629350935093
151,CL,2017-08-17,71.3,70.907810781078
152,CL,2017-08-16,71.93,71.534345434543
153,CL,2017-08-15,71.8,71.405060506051
154,CL,2017-08-14,71.45,71.05698569857
155,CL,2017-08-11,71.26,70.86803080308
156,CL,2017-08-10,71.55,71.156435643564
157,CL,2017-08-09,71.57,71.176325632563
158,CL,2017-08-08,71.7,71.305610561056
159,CL,2017-08-07,71.74,71.345390539054
160,CL,2017-08-04,71.48,71.086820682068
161,CL,2017-08-03,71.6,71.206160616062
162,CL,2017-08-02,71.62,71.226050605061
163,CL,2017-08-01,71.7,71.305610561056
164,CL,2017-07-31,72.2,71.802860286029
165,CL,2017-07-28,72.54,72.14099009901
166,CL,2017-07-27,72.95,72.548734873487
167,CL,2017-07-26,73.0,72.598459845985
168,CL,2017-07-25,72.05,71.653685368537
169,CL,2017-07-24,71.85,71.454785478548
170,CL,2017-07-21,73.27,72.86697469747
171,CL,2017-07-20,72.09,71.693465346535
172,CL,2017-07-19,72.49,72.091265126513
173,CL,2017-07-18,72.52,72.121100110011
174,CL,2017-07-17,72.59,72.190715071507
175,CL,2017-07-14,72.49,72.091265126513
176,CL,2017-07-13,72.23,71.438497463136
177,CL,2017-07-12,72.28,71.487949558847
178,CL,2017-07-11,72.4,71.606634588551
179,CL,2017-07-10,73.08,72.279183090212
180,CL,2017-07-07,73.34,72.536333987906
181,CL,2017-07-06,73.45,72.645128598468
182,CL,2017-07-05,73.76,72.951731591872
183,CL,2017-07-03,73.94,73.129759136429
184,CL,2017-06-30,74.13,73.317677100129
185,CL,2017-06-29,74.12,73.307786680987
186,CL,2017-06-28,75.09,74.267157337767
187,CL,2017-06-27,75.37,74.544089073745
188,CL,2017-06-26,75.89,75.058390869132
189,CL,2017-06-23,75.92,75.088062126558
190,CL,2017-06-22,75.53,74.702335780018
191,CL,2017-06-21,75.68,74.850692067149
192,CL,2017-06-20,76.35,75.513350149667
193,CL,2017-06-19,76.9,76.057323202481
194,CL,2017-06-16,76.31,75.473788473099
195,CL,2017-06-15,76.35,75.513350149667
196,CL,2017-06-14,75.88,75.04850044999
197,CL,2017-06-13,75.69,74.860582486291
198,CL,2017-06-12,75.55,74.722116618302
199,CL,2017-06-09,75.77,74.939705839427
200,CL,2017-06-08,75.79,74.959486677712
201,CL,2017-06-07,77.16,76.314474100174
202,CL,2017-06-06,77.0,76.156227393901
203,CL,2017-06-05,77.23,76.383707034169
204,CL,2017-06-02,77.11,76.265022004464
205,CL,2017-06-01,76.69,75.849624400497
206,CL,2017-05-31,76.36,75.523240568809
207,CL,2017-05-30,76.09,75.256199251973
208,CL,2017-05-26,75.45,74.623212426881
209,CL,2017-05-25,75.37,74.544089073745
210,CL,2017-05-24,74.6,73.782526799806
211,CL,2017-05-23,73.84,73.030854945009
212,CL,2017-05-22,74.28,73.46603338726
213,CL,2017-05-19,74.82,74.000116020931
214,CL,2017-05-18,73.93,73.119868717287
215,CL,2017-05-17,75.69,74.860582486291
216,CL,2017-05-16,71.58,70.795620218902
217,CL,2017-05-15,71.65,70.864853152897
218,CL,2017-05-12,71.25,70.469236387214
219,CL,2017-05-11,71.62,70.83518189547
220,CL,2017-05-10,71.8,71.013209440028
221,CL,2017-05-09,71.5,70.716496865766
222,CL,2017-05-08,71.84,71.052771116596
223,CL,2017-05-05,71.81,71.02309985917
224,CL,2017-05-04,71.95,71.161565727159
225,CL,2017-05-03,71.08,70.301099261799
226,CL,2017-05-02,70.76,69.984605849253
227,CL,2017-05-01,71.8,71.013209440028
228,CL,2017-04-28,72.04,71.250579499437
229,CL,2017-04-27,73.3,72.496772311337
230,CL,2017-04-26,73.5,72.694580694179
231,CL,2017-04-25,74.2,73.386910034123
232,CL,2017-04-24,73.66,72.852827400452
233,CL,2017-04-21,73.02,72.219840575359
234,CL,2017-04-20,73.18,72.378087281633
235,CL,2017-04-19,73.39,72.585786083616
236,CL,2017-04-18,74.37,73.156320789247
237,CL,2017-04-17,74.07,72.861216631162
238,CL,2017-04-13,73.66,72.457907615112
239,CL,2017-04-12,74.0,72.792358994275
240,CL,2017-04-11,73.7,72.49725483619
241,CL,2017-04-10,73.73,72.526765251999
242,CL,2017-04-07,73.45,72.251334704453
243,CL,2017-04-06,73.13,71.936556935829
244,CL,2017-04-05,73.46,72.261171509722
245,CL,2017-04-04,73.62,72.418560394034
246,CL,2017-04-03,73.37,72.172640262297
247,CL,2017-03-31,73.19,71.995577767446
248,CL,2017-03-30,73.23,72.034924988524
249,CL,2017-03-29,73.56,72.359539562417
250,CL,2017-03-28,73.77,72.566112473077
251,CL,2017-03-27,73.43,72.231661093914
252,CL,2017-03-24,73.67,72.467744420382
253,CL,2017-03-23,73.92,72.713664552119
254,CL,2017-03-22,73.68,72.477581225651
255,CL,2017-03-21,73.7,72.49725483619
256,CL,2017-03-20,73.8,72.595622888885
257,CL,2017-03-17,73.96,72.753011773197
258,CL,2017-03-16,73.9,72.69399094158
259,CL,2017-03-15,73.94,72.733338162658
260,CL,2017-03-14,73.65,72.448070809843
261,CL,2017-03-13,73.9,72.69399094158
262,CL,2017-03-10,74.26,73.048115931282
263,CL,2017-03-09,73.37,72.172640262297
264,CL,2017-03-08,73.16,71.966067351638
265,CL,2017-03-07,73.72,72.516928446729
266,CL,2017-03-06,73.79,72.585786083616
267,CL,2017-03-03,73.59,72.389049978226
268,CL,2017-03-02,73.74,72.536602057268
269,CL,2017-03-01,73.46,72.261171509722
270,CL,2017-02-28,72.98,71.789004856787
271,CL,2017-02-27,72.65,71.464390282893
272,CL,2017-02-24,73.35,72.152966651758
273,CL,2017-02-23,74.44,73.225178426133
274,CL,2017-02-22,73.49,72.290681925531
275,CL,2017-02-21,73.18,71.985740962177
276,CL,2017-02-17,71.98,70.805324329837
277,CL,2017-02-16,69.0,67.873956359527
278,CL,2017-02-15,68.61,67.490320954017
279,CL,2017-02-14,67.74,66.63451889557
280,CL,2017-02-13,67.71,66.605008479762
281,CL,2017-02-10,67.72,66.614845285031
282,CL,2017-02-09,66.6,65.513123094848
283,CL,2017-02-08,66.59,65.503286289578
284,CL,2017-02-07,66.56,65.47377587377
285,CL,2017-02-06,65.49,64.421237709934
286,CL,2017-02-03,65.97,64.893404362869
287,CL,2017-02-02,65.68,64.608137010054
288,CL,2017-02-01,64.72,63.663803704182
289,CL,2017-01-31,64.58,63.526088430409
290,CL,2017-01-30,64.53,63.476904404062
291,CL,2017-01-27,64.68,63.624456483104
292,CL,2017-01-26,68.24,67.126359159045
293,CL,2017-01-25,68.43,67.313258459166
294,CL,2017-01-24,68.26,67.146032769584
295,CL,2017-01-23,67.55,66.44761959545
296,CL,2017-01-20,67.95,66.84109180623
297,CL,2017-01-19,67.04,65.945942526706
298,CL,2017-01-18,67.86,66.366478716628
299,CL,2017-01-17,67.1,65.623205450718
300,CL,2017-01-13,65.88,64.430056260705
301,CL,2017-01-12,65.85,64.400716526525
302,CL,2017-01-11,65.31,63.872601311273
303,CL,2017-01-10,65.39,63.950840602422
304,CL,2017-01-09,66.42,64.958171475957
305,CL,2017-01-06,67.36,65.877483146951
306,CL,2017-01-05,66.85,65.37870766588
307,CL,2017-01-04,66.26,64.80169289366
308,CL,2017-01-03,65.54,64.097539273325
