None,ticker,date,close,adj_close
0,CLX,2018-03-27,126.38,126.38
1,CLX,2018-03-26,124.22,124.22
2,CLX,2018-03-23,124.4,124.4
3,CLX,2018-03-22,125.51,125.51
4,CLX,2018-03-21,124.81,124.81
5,CLX,2018-03-20,128.12,128.12
6,CLX,2018-03-19,128.52,128.52
7,CLX,2018-03-16,128.49,128.49
8,CLX,2018-03-15,127.14,127.14
9,CLX,2018-03-14,128.57,128.57
10,CLX,2018-03-13,131.19,131.19
11,CLX,2018-03-12,130.37,130.37
12,CLX,2018-03-09,131.57,131.57
13,CLX,2018-03-08,132.98,132.98
14,CLX,2018-03-07,130.55,130.55
15,CLX,2018-03-06,132.33,132.33
16,CLX,2018-03-05,132.93,132.93
17,CLX,2018-03-02,130.94,130.94
18,CLX,2018-03-01,129.77,129.77
19,CLX,2018-02-28,129.08,129.08
20,CLX,2018-02-27,130.19,130.19
21,CLX,2018-02-26,131.52,131.52
22,CLX,2018-02-23,129.43,129.43
23,CLX,2018-02-22,127.3,127.3
24,CLX,2018-02-21,126.29,126.29
25,CLX,2018-02-20,128.78,128.78
26,CLX,2018-02-16,131.7,131.7
27,CLX,2018-02-15,131.03,131.03
28,CLX,2018-02-14,128.8,128.8
29,CLX,2018-02-13,128.53,128.53
30,CLX,2018-02-12,127.95,127.95
31,CLX,2018-02-09,128.8,128.8
32,CLX,2018-02-08,127.76,127.76
33,CLX,2018-02-07,127.82,127.82
34,CLX,2018-02-06,130.63,130.63
35,CLX,2018-02-05,127.0,127.0
36,CLX,2018-02-02,130.91,130.91
37,CLX,2018-02-01,140.33,140.33
38,CLX,2018-01-31,141.69,141.69
39,CLX,2018-01-30,141.76,141.76
40,CLX,2018-01-29,140.96,140.96
41,CLX,2018-01-26,142.64,142.64
42,CLX,2018-01-25,146.13,146.13
43,CLX,2018-01-24,142.25,142.25
44,CLX,2018-01-23,143.52,143.52
45,CLX,2018-01-22,144.48,144.48
46,CLX,2018-01-19,143.86,143.86
47,CLX,2018-01-18,143.14,143.14
48,CLX,2018-01-17,144.32,144.32
49,CLX,2018-01-16,142.41,142.41
50,CLX,2018-01-12,140.96,140.96
51,CLX,2018-01-11,141.99,141.99
52,CLX,2018-01-10,144.43,144.43
53,CLX,2018-01-09,146.16,146.16
54,CLX,2018-01-08,146.44,146.44
55,CLX,2018-01-05,145.73,145.73
56,CLX,2018-01-04,145.69,145.69
57,CLX,2018-01-03,143.43,143.43
58,CLX,2018-01-02,144.99,144.99
59,CLX,2017-12-29,148.74,148.74
60,CLX,2017-12-28,149.0,149.0
61,CLX,2017-12-27,149.29,149.29
62,CLX,2017-12-26,149.69,149.69
63,CLX,2017-12-22,149.52,149.52
64,CLX,2017-12-21,148.78,148.78
65,CLX,2017-12-20,148.39,148.39
66,CLX,2017-12-19,148.05,148.05
67,CLX,2017-12-18,148.1,148.1
68,CLX,2017-12-15,147.63,147.63
69,CLX,2017-12-14,146.26,146.26
70,CLX,2017-12-13,146.61,146.61
71,CLX,2017-12-12,145.15,145.15
72,CLX,2017-12-11,145.05,145.05
73,CLX,2017-12-08,145.23,145.23
74,CLX,2017-12-07,144.24,144.24
75,CLX,2017-12-06,145.05,145.05
76,CLX,2017-12-05,144.66,144.66
77,CLX,2017-12-04,142.99,142.99
78,CLX,2017-12-01,139.64,139.64
79,CLX,2017-11-30,139.29,139.29
80,CLX,2017-11-29,139.22,139.22
81,CLX,2017-11-28,136.96,136.96
82,CLX,2017-11-27,135.67,135.67
83,CLX,2017-11-24,135.39,135.39
84,CLX,2017-11-22,134.95,134.95
85,CLX,2017-11-21,135.15,135.15
86,CLX,2017-11-20,134.59,134.59
87,CLX,2017-11-17,133.51,133.51
88,CLX,2017-11-16,134.54,134.54
89,CLX,2017-11-15,132.78,132.78
90,CLX,2017-11-14,135.31,135.31
91,CLX,2017-11-13,135.08,135.08
92,CLX,2017-11-10,132.05,132.05
93,CLX,2017-11-09,130.68,130.68
94,CLX,2017-11-07,129.7,129.7
95,CLX,2017-11-06,127.73,127.73
96,CLX,2017-11-03,128.11,128.11
97,CLX,2017-11-02,129.28,129.28
98,CLX,2017-11-01,128.02,128.02
99,CLX,2017-10-31,126.53,126.53
100,CLX,2017-10-30,125.32,125.32
101,CLX,2017-10-27,127.03,127.03
102,CLX,2017-10-26,127.86,127.86
103,CLX,2017-10-25,127.12,127.12
104,CLX,2017-10-24,127.21,127.21
105,CLX,2017-10-23,128.57,127.72658883249
106,CLX,2017-10-20,127.77,126.93183678251
107,CLX,2017-10-19,130.12,129.26642092932
108,CLX,2017-10-18,130.96,130.1009105818
109,CLX,2017-10-17,131.87,131.00494103866
110,CLX,2017-10-16,131.81,130.94533463491
111,CLX,2017-10-13,131.29,130.42874580242
112,CLX,2017-10-12,130.73,129.87241936743
113,CLX,2017-10-11,130.54,129.68366575556
114,CLX,2017-10-10,129.22,128.3723248731
115,CLX,2017-10-09,127.82,126.98150878563
116,CLX,2017-10-06,129.14,128.2928496681
117,CLX,2017-10-05,128.96,128.11403045685
118,CLX,2017-10-04,131.29,130.42874580242
119,CLX,2017-10-03,129.83,128.97832331121
120,CLX,2017-10-02,129.48,128.63061928934
121,CLX,2017-09-29,131.91,131.04467864116
122,CLX,2017-09-28,130.03,129.1770113237
123,CLX,2017-09-27,129.33,128.48160327997
124,CLX,2017-09-26,131.3,130.43868020305
125,CLX,2017-09-25,130.47,129.61412495119
126,CLX,2017-09-22,129.83,128.97832331121
127,CLX,2017-09-21,131.33,130.46848340492
128,CLX,2017-09-20,135.37,134.48198125732
129,CLX,2017-09-19,137.52,136.61787739164
130,CLX,2017-09-18,136.81,135.91253494729
131,CLX,2017-09-15,136.18,135.28666770793
132,CLX,2017-09-14,134.74,133.85611401796
133,CLX,2017-09-13,134.08,133.20044357673
134,CLX,2017-09-12,135.57,134.68066926982
135,CLX,2017-09-11,135.03,134.14421163608
136,CLX,2017-09-08,134.04,133.16070597423
137,CLX,2017-09-07,136.03,135.13765169856
138,CLX,2017-09-06,136.37,135.4754213198
139,CLX,2017-09-05,138.33,137.42256384225
140,CLX,2017-09-01,137.98,137.07485982038
141,CLX,2017-08-31,138.53,137.62125185474
142,CLX,2017-08-30,137.35,136.44899258102
143,CLX,2017-08-29,137.37,136.46886138227
144,CLX,2017-08-28,137.5,136.59800859039
145,CLX,2017-08-25,137.48,136.57813978914
146,CLX,2017-08-24,136.98,136.08141975791
147,CLX,2017-08-23,138.72,137.81000546661
148,CLX,2017-08-22,139.04,138.12790628661
149,CLX,2017-08-21,138.83,137.91928387349
150,CLX,2017-08-18,137.73,136.82649980476
151,CLX,2017-08-17,137.17,136.27017336978
152,CLX,2017-08-16,136.94,136.04168215541
153,CLX,2017-08-15,136.3,135.40588051542
154,CLX,2017-08-14,135.57,134.68066926982
155,CLX,2017-08-11,134.31,133.4289347911
156,CLX,2017-08-10,133.94,133.06136196798
157,CLX,2017-08-09,134.21,133.32959078485
158,CLX,2017-08-08,134.65,133.76670441234
159,CLX,2017-08-07,135.5,134.61112846544
160,CLX,2017-08-04,134.49,133.60775400234
161,CLX,2017-08-03,134.73,133.84617961734
162,CLX,2017-08-02,131.97,131.1042850449
163,CLX,2017-08-01,133.13,132.25667551738
164,CLX,2017-07-31,133.49,132.61431393987
165,CLX,2017-07-28,132.77,131.89903709488
166,CLX,2017-07-27,134.17,133.28985318235
167,CLX,2017-07-26,133.43,132.55470753612
168,CLX,2017-07-25,132.87,131.99838110113
169,CLX,2017-07-24,131.32,130.4585490043
170,CLX,2017-07-21,132.24,131.37251386177
171,CLX,2017-07-20,130.89,130.03136977743
172,CLX,2017-07-19,130.53,129.67373135494
173,CLX,2017-07-18,131.52,130.65723701679
174,CLX,2017-07-17,131.47,130.60756501367
175,CLX,2017-07-14,131.9,130.20284049053
176,CLX,2017-07-13,130.82,129.13673686863
177,CLX,2017-07-12,131.5,129.80798729723
178,CLX,2017-07-11,131.98,130.28181112919
179,CLX,2017-07-10,133.5,131.78225326373
180,CLX,2017-07-07,134.38,132.65093028899
181,CLX,2017-07-06,133.77,132.04877916921
182,CLX,2017-07-05,134.1,132.37453305368
183,CLX,2017-07-03,133.78,132.05865049904
184,CLX,2017-06-30,133.24,131.52559868809
185,CLX,2017-06-29,133.22,131.50585602842
186,CLX,2017-06-28,136.2,134.4475123185
187,CLX,2017-06-27,136.94,135.17799072611
188,CLX,2017-06-26,139.3,137.50762456658
189,CLX,2017-06-23,138.91,137.12264270311
190,CLX,2017-06-22,139.38,137.58659520524
191,CLX,2017-06-21,139.34,137.54710988591
192,CLX,2017-06-20,140.12,138.31707361284
193,CLX,2017-06-19,141.15,139.33382058559
194,CLX,2017-06-16,139.5,137.70505116323
195,CLX,2017-06-15,140.16,138.35655893217
196,CLX,2017-06-14,139.11,137.32006929976
197,CLX,2017-06-13,137.48,135.71104253706
198,CLX,2017-06-12,137.19,135.42477397192
199,CLX,2017-06-09,137.14,135.37541732276
200,CLX,2017-06-08,136.51,134.75352354331
201,CLX,2017-06-07,137.55,135.78014184589
202,CLX,2017-06-06,137.05,135.28657535427
203,CLX,2017-06-05,136.91,135.14837673661
204,CLX,2017-06-02,136.63,134.8719795013
205,CLX,2017-06-01,135.77,134.02304513571
206,CLX,2017-05-31,135.73,133.98355981638
207,CLX,2017-05-30,134.93,133.19385342978
208,CLX,2017-05-26,134.99,133.25308140877
209,CLX,2017-05-25,135.13,133.39128002643
210,CLX,2017-05-24,132.78,131.07151751579
211,CLX,2017-05-23,131.68,129.98567123422
212,CLX,2017-05-22,132.57,130.86421958931
213,CLX,2017-05-19,132.16,130.45949506618
214,CLX,2017-05-18,130.74,129.05776622997
215,CLX,2017-05-17,131.23,129.54146139176
216,CLX,2017-05-16,130.71,129.02815224047
217,CLX,2017-05-15,132.75,131.0419035263
218,CLX,2017-05-12,132.16,130.45949506618
219,CLX,2017-05-11,132.62,130.91357623847
220,CLX,2017-05-10,133.15,131.4367567196
221,CLX,2017-05-09,132.43,130.72602097166
222,CLX,2017-05-08,131.91,130.21271182037
223,CLX,2017-05-05,132.89,131.18010214395
224,CLX,2017-05-04,132.36,130.65692166283
225,CLX,2017-05-03,131.2,129.51184740226
226,CLX,2017-05-02,130.09,128.41612979085
227,CLX,2017-05-01,133.49,131.7723819339
228,CLX,2017-04-28,133.69,131.96980853055
229,CLX,2017-04-27,134.0,132.27581975536
230,CLX,2017-04-26,133.57,131.85135257256
231,CLX,2017-04-25,136.1499,134.39805695604
232,CLX,2017-04-24,134.93,133.19385342978
233,CLX,2017-04-21,134.29,132.5620883205
234,CLX,2017-04-20,135.65,133.90458917772
235,CLX,2017-04-19,135.51,133.76639056006
