None,ticker,date,close,adj_close
0,CMCSA,2018-03-27,32.99,32.99
1,CMCSA,2018-03-26,33.54,33.54
2,CMCSA,2018-03-23,33.17,33.17
3,CMCSA,2018-03-22,33.23,33.23
4,CMCSA,2018-03-21,34.49,34.49
5,CMCSA,2018-03-20,34.57,34.57
6,CMCSA,2018-03-19,35.3,35.3
7,CMCSA,2018-03-16,35.83,35.83
8,CMCSA,2018-03-15,36.15,36.15
9,CMCSA,2018-03-14,36.02,36.02
10,CMCSA,2018-03-13,36.43,36.43
11,CMCSA,2018-03-12,36.96,36.96
12,CMCSA,2018-03-09,37.13,37.13
13,CMCSA,2018-03-08,36.88,36.88
14,CMCSA,2018-03-07,36.12,36.12
15,CMCSA,2018-03-06,36.87,36.87
16,CMCSA,2018-03-05,36.78,36.78
17,CMCSA,2018-03-02,36.49,36.49
18,CMCSA,2018-03-01,36.54,36.54
19,CMCSA,2018-02-28,36.21,36.21
20,CMCSA,2018-02-27,36.66,36.66
21,CMCSA,2018-02-26,39.58,39.58
22,CMCSA,2018-02-23,39.5,39.5
23,CMCSA,2018-02-22,38.8,38.8
24,CMCSA,2018-02-21,39.01,39.01
25,CMCSA,2018-02-20,39.47,39.47
26,CMCSA,2018-02-16,39.79,39.79
27,CMCSA,2018-02-15,40.08,40.08
28,CMCSA,2018-02-14,39.43,39.43
29,CMCSA,2018-02-13,38.96,38.96
30,CMCSA,2018-02-12,38.54,38.54
31,CMCSA,2018-02-09,38.52,38.52
32,CMCSA,2018-02-08,38.15,38.15
33,CMCSA,2018-02-07,40.15,40.15
34,CMCSA,2018-02-06,39.67,39.67
35,CMCSA,2018-02-05,39.44,39.44
36,CMCSA,2018-02-02,41.11,41.11
37,CMCSA,2018-02-01,41.89,41.89
38,CMCSA,2018-01-31,42.53,42.53
39,CMCSA,2018-01-30,42.34,42.34
40,CMCSA,2018-01-29,41.98,41.98
41,CMCSA,2018-01-26,42.8,42.8
42,CMCSA,2018-01-25,42.14,42.14
43,CMCSA,2018-01-24,42.99,42.99
