None,ticker,date,close,adj_close
0,CME,2018-03-27,159.0,159.0
1,CME,2018-03-26,161.71,161.71
2,CME,2018-03-23,158.12,158.12
3,CME,2018-03-22,160.16,160.16
4,CME,2018-03-21,164.5,164.5
5,CME,2018-03-20,164.18,164.18
6,CME,2018-03-19,163.54,163.54
7,CME,2018-03-16,165.12,165.12
8,CME,2018-03-15,165.39,165.39
9,CME,2018-03-14,162.95,162.95
10,CME,2018-03-13,164.81,164.81
11,CME,2018-03-12,169.18,169.18
12,CME,2018-03-09,171.42,171.42
13,CME,2018-03-08,168.44,168.44
14,CME,2018-03-07,168.58,167.882317607
15,CME,2018-03-06,169.59,168.888137637
16,CME,2018-03-05,168.49,167.792690079
17,CME,2018-03-02,166.26,165.57191912
18,CME,2018-03-01,162.26,161.588473454
19,CME,2018-02-28,166.16,166.16
20,CME,2018-02-27,166.69,166.69
21,CME,2018-02-26,166.9,166.9
22,CME,2018-02-23,164.02,164.02
23,CME,2018-02-22,160.53,160.53
24,CME,2018-02-21,161.78,161.78
25,CME,2018-02-20,163.35,163.35
26,CME,2018-02-16,162.38,162.38
27,CME,2018-02-15,165.11,165.11
28,CME,2018-02-14,162.15,162.15
29,CME,2018-02-13,160.16,160.16
30,CME,2018-02-12,160.13,160.13
31,CME,2018-02-09,156.8,156.8
32,CME,2018-02-08,153.01,153.01
33,CME,2018-02-07,159.93,159.93
34,CME,2018-02-06,157.65,157.65
35,CME,2018-02-05,154.86,154.86
36,CME,2018-02-02,159.11,159.11
37,CME,2018-02-01,158.91,158.91
38,CME,2018-01-31,153.48,153.48
39,CME,2018-01-30,153.33,153.33
40,CME,2018-01-29,153.45,153.45
41,CME,2018-01-26,155.16,155.16
42,CME,2018-01-25,154.17,154.17
43,CME,2018-01-24,154.99,154.99
44,CME,2018-01-23,154.25,154.25
45,CME,2018-01-22,155.45,155.45
46,CME,2018-01-19,154.28,154.28
47,CME,2018-01-18,152.21,152.21
48,CME,2018-01-17,151.45,151.45
49,CME,2018-01-16,152.2,152.2
50,CME,2018-01-12,152.73,152.73
51,CME,2018-01-11,152.81,152.81
52,CME,2018-01-10,152.9,152.9
53,CME,2018-01-09,152.63,152.63
54,CME,2018-01-08,151.73,151.73
55,CME,2018-01-05,149.65,149.65
56,CME,2018-01-04,148.68,148.68
57,CME,2018-01-03,147.11,147.11
58,CME,2018-01-02,144.79,144.79
59,CME,2017-12-29,146.05,146.05
60,CME,2017-12-28,146.31,146.31
61,CME,2017-12-27,145.95,145.95
62,CME,2017-12-26,148.94,148.94
63,CME,2017-12-22,148.98,148.98
64,CME,2017-12-21,150.88,150.88
65,CME,2017-12-20,149.44,149.44
66,CME,2017-12-19,150.16,150.16
67,CME,2017-12-18,151.28,151.28
68,CME,2017-12-15,151.07,151.07
69,CME,2017-12-14,150.42,150.42
70,CME,2017-12-13,151.61,151.61
71,CME,2017-12-12,153.03,153.03
72,CME,2017-12-11,152.71,152.71
73,CME,2017-12-08,152.82,152.82
74,CME,2017-12-07,152.07,152.07
75,CME,2017-12-06,152.75,152.75
76,CME,2017-12-05,152.11,152.11
77,CME,2017-12-04,153.41,153.41
78,CME,2017-12-01,150.79,150.79
79,CME,2017-11-30,149.54,149.54
80,CME,2017-11-29,147.83,147.83
81,CME,2017-11-28,145.12,145.12
82,CME,2017-11-27,142.07,142.07
83,CME,2017-11-24,141.86,141.86
84,CME,2017-11-22,141.87,141.87
85,CME,2017-11-21,142.58,142.58
86,CME,2017-11-20,141.9,141.9
87,CME,2017-11-17,139.49,139.49
88,CME,2017-11-16,140.09,140.09
89,CME,2017-11-15,139.67,139.67
90,CME,2017-11-14,140.2,140.2
91,CME,2017-11-13,140.15,140.15
92,CME,2017-11-10,137.88,137.88
93,CME,2017-11-09,138.04,138.04
94,CME,2017-11-07,137.55,137.55
95,CME,2017-11-06,138.16,138.16
96,CME,2017-11-03,140.06,140.06
97,CME,2017-11-02,140.3,140.3
98,CME,2017-11-01,136.14,136.14
99,CME,2017-10-31,137.17,137.17
100,CME,2017-10-30,136.11,136.11
101,CME,2017-10-27,137.55,137.55
102,CME,2017-10-26,136.6,136.6
103,CME,2017-10-25,133.85,133.85
104,CME,2017-10-24,134.07,134.07
105,CME,2017-10-23,134.61,134.61
106,CME,2017-10-20,135.13,135.13
107,CME,2017-10-19,134.95,134.95
108,CME,2017-10-18,136.37,136.37
109,CME,2017-10-17,136.19,136.19
110,CME,2017-10-16,137.52,137.52
111,CME,2017-10-13,137.31,137.31
112,CME,2017-10-12,137.71,137.71
113,CME,2017-10-11,137.19,137.19
114,CME,2017-10-10,137.23,137.23
115,CME,2017-10-09,137.99,137.99
116,CME,2017-10-06,137.2,137.2
117,CME,2017-10-05,138.02,138.02
118,CME,2017-10-04,136.88,136.88
119,CME,2017-10-03,137.33,137.33
120,CME,2017-10-02,136.4,136.4
121,CME,2017-09-29,135.68,135.68
122,CME,2017-09-28,135.86,135.86
123,CME,2017-09-27,134.53,134.53
124,CME,2017-09-26,133.09,133.09
125,CME,2017-09-25,134.3,134.3
126,CME,2017-09-22,134.17,134.17
127,CME,2017-09-21,133.8,133.8
128,CME,2017-09-20,133.8,133.8
129,CME,2017-09-19,131.81,131.81
130,CME,2017-09-18,131.3,131.3
131,CME,2017-09-15,131.3199,131.3199
132,CME,2017-09-14,132.12,132.12
133,CME,2017-09-13,130.87,130.87
134,CME,2017-09-12,130.06,130.06
135,CME,2017-09-11,128.8,128.8
136,CME,2017-09-08,128.04,128.04
137,CME,2017-09-07,125.74,125.74
138,CME,2017-09-06,128.42,127.74945253165
139,CME,2017-09-05,125.46,124.80490822785
140,CME,2017-09-01,126.25,125.59078322785
141,CME,2017-08-31,125.8,125.14313291139
142,CME,2017-08-30,126.06,125.40177531646
143,CME,2017-08-29,126.38,125.72010443038
144,CME,2017-08-28,126.93,126.26723259494
145,CME,2017-08-25,127.1,126.43634493671
146,CME,2017-08-24,125.92,125.26250632911
147,CME,2017-08-23,125.95,125.29234968354
148,CME,2017-08-22,126.37,125.71015664557
149,CME,2017-08-21,125.28,124.62584810127
150,CME,2017-08-18,125.39,124.73527373418
151,CME,2017-08-17,125.36,124.70543037975
152,CME,2017-08-16,126.22,125.56093987342
153,CME,2017-08-15,125.92,125.26250632911
154,CME,2017-08-14,124.68,124.02898101266
155,CME,2017-08-11,123.26,122.61639556962
156,CME,2017-08-10,124.19,123.54153955696
157,CME,2017-08-09,126.19,125.53109651899
158,CME,2017-08-08,124.76,124.10856329114
159,CME,2017-08-07,124.97,124.31746677215
160,CME,2017-08-04,125.83,125.17297626582
161,CME,2017-08-03,124.99,124.33736234177
162,CME,2017-08-02,124.16,123.51169620253
163,CME,2017-08-01,123.79,123.14362816456
164,CME,2017-07-31,122.62,121.97973734177
165,CME,2017-07-28,121.28,120.64673417722
166,CME,2017-07-27,121.36,120.7263164557
167,CME,2017-07-26,121.83,121.19386234177
168,CME,2017-07-25,121.89,121.25354905063
169,CME,2017-07-24,120.42,119.79122468354
170,CME,2017-07-21,121.0,120.36819620253
171,CME,2017-07-20,120.56,119.93049367089
172,CME,2017-07-19,120.17,119.54253006329
173,CME,2017-07-18,120.56,119.93049367089
174,CME,2017-07-17,120.64,120.01007594937
175,CME,2017-07-14,120.57,119.9404414557
176,CME,2017-07-13,123.39,122.74571677215
177,CME,2017-07-12,123.39,122.74571677215
178,CME,2017-07-11,123.16,122.51691772152
179,CME,2017-07-10,124.11,123.46195727848
180,CME,2017-07-07,124.83,124.17819778481
181,CME,2017-07-06,123.69,123.04415031646
182,CME,2017-07-05,125.95,125.29234968354
183,CME,2017-07-03,126.3,125.6405221519
184,CME,2017-06-30,125.24,124.58605696203
185,CME,2017-06-29,125.04,124.38710126582
186,CME,2017-06-28,126.77,126.10806803797
187,CME,2017-06-27,124.62,123.9692943038
188,CME,2017-06-26,123.65,123.00435917722
189,CME,2017-06-23,124.12,123.47190506329
190,CME,2017-06-22,124.06,123.41221835443
191,CME,2017-06-21,124.9,124.24783227848
192,CME,2017-06-20,126.07,125.41172310127
193,CME,2017-06-19,127.44,126.77456962025
194,CME,2017-06-16,126.18,125.52114873418
195,CME,2017-06-15,126.78,126.11801582278
196,CME,2017-06-14,127.32,126.65519620253
197,CME,2017-06-13,126.07,125.41172310127
198,CME,2017-06-12,125.62,124.96407278481
199,CME,2017-06-09,124.39,123.74049525316
200,CME,2017-06-08,122.3,121.66140822785
201,CME,2017-06-07,119.41,118.78649841772
202,CME,2017-06-06,117.22,115.96696380882
203,CME,2017-06-05,118.19,116.92659488624
204,CME,2017-06-02,116.93,115.68006379599
205,CME,2017-06-01,117.82,116.56055004227
206,CME,2017-05-31,117.29,116.03621553606
207,CME,2017-05-30,117.2,115.94717760104
208,CME,2017-05-26,117.98,116.71883970453
209,CME,2017-05-25,118.07,116.80787763955
210,CME,2017-05-24,117.77,116.51108452282
211,CME,2017-05-23,118.2,116.93648799013
212,CME,2017-05-22,116.91,115.66027758821
213,CME,2017-05-19,116.83,115.58113275708
214,CME,2017-05-18,115.76,114.52257064075
215,CME,2017-05-17,115.12,113.88941199174
216,CME,2017-05-16,116.7,115.4525224065
217,CME,2017-05-15,117.25,115.9966431205
218,CME,2017-05-12,116.17,114.92818790028
219,CME,2017-05-11,116.79,115.54156034151
220,CME,2017-05-10,117.05,115.79878104268
221,CME,2017-05-09,117.64,116.38247417224
222,CME,2017-05-08,117.1,115.84824656213
223,CME,2017-05-05,118.76,117.49050180802
224,CME,2017-05-04,118.64,117.37178456133
225,CME,2017-05-03,118.0,116.73862591231
226,CME,2017-05-02,117.26,116.00653622439
227,CME,2017-05-01,116.64,115.39316378315
228,CME,2017-04-28,116.25,115.00733273141
229,CME,2017-04-27,115.12,113.88941199174
230,CME,2017-04-26,120.04,118.75681910605
231,CME,2017-04-25,119.93,118.64799496325
232,CME,2017-04-24,119.76,118.4798121971
233,CME,2017-04-21,118.77,117.50039491191
234,CME,2017-04-20,119.11,117.8367604442
235,CME,2017-04-19,117.17,115.91749828937
236,CME,2017-04-18,117.1,115.84824656213
237,CME,2017-04-17,117.44,116.18461209442
238,CME,2017-04-13,115.87,114.63139478355
239,CME,2017-04-12,116.62,115.37337757537
240,CME,2017-04-11,117.07,115.81856725046
241,CME,2017-04-10,117.09,115.83835345824
242,CME,2017-04-07,117.99,116.72873280842
243,CME,2017-04-06,117.81,116.55065693838
244,CME,2017-04-05,117.55,116.29343623722
245,CME,2017-04-04,117.27,116.01642932828
246,CME,2017-04-03,117.5,116.24397071777
247,CME,2017-03-31,118.8,117.53007422358
248,CME,2017-03-30,118.85,117.57953974303
249,CME,2017-03-29,118.5,117.23328110685
250,CME,2017-03-28,118.82,117.54986043136
251,CME,2017-03-27,118.24,116.97606040569
252,CME,2017-03-24,119.88,118.59852944379
253,CME,2017-03-23,119.19,117.91590527532
254,CME,2017-03-22,119.33,118.0544087298
255,CME,2017-03-21,120.28,118.99425359943
256,CME,2017-03-20,123.93,122.6052365196
257,CME,2017-03-17,124.59,123.2581813764
258,CME,2017-03-16,124.74,123.40657793476
259,CME,2017-03-15,124.74,123.40657793476
260,CME,2017-03-14,124.45,123.11967792192
261,CME,2017-03-13,124.83,123.49561586978
262,CME,2017-03-10,123.73,122.40737444178
263,CME,2017-03-09,123.81,122.48651927291
264,CME,2017-03-08,123.2,121.88303993557
265,CME,2017-03-07,123.56,121.58782830969
266,CME,2017-03-06,124.05,122.07000729862
267,CME,2017-03-03,124.05,122.07000729862
268,CME,2017-03-02,124.24,122.25697466167
269,CME,2017-03-01,127.0,124.97292161971
270,CME,2017-02-28,121.46,119.52134692858
271,CME,2017-02-27,122.83,120.86948002007
272,CME,2017-02-24,122.62,120.66283188196
273,CME,2017-02-23,122.52,120.56442800666
274,CME,2017-02-22,122.51,120.55458761914
275,CME,2017-02-21,121.05,119.11789103988
276,CME,2017-02-17,122.62,120.66283188196
277,CME,2017-02-16,121.83,119.88544126716
278,CME,2017-02-15,122.11,120.16097211797
279,CME,2017-02-14,121.01,119.07852948977
280,CME,2017-02-13,121.38,119.44262382835
281,CME,2017-02-10,118.98,117.08093082136
282,CME,2017-02-09,118.58,116.68731532019
283,CME,2017-02-08,116.57,114.70939742684
284,CME,2017-02-07,118.73,116.83492113313
285,CME,2017-02-06,119.81,117.89768298628
286,CME,2017-02-03,119.95,118.03544841168
287,CME,2017-02-02,121.26,119.324539178
288,CME,2017-02-01,120.9,118.97028522695
289,CME,2017-01-31,121.08,119.14741220247
290,CME,2017-01-30,120.44,118.51762740061
291,CME,2017-01-27,120.31,118.38970236273
292,CME,2017-01-26,120.74,118.81283902648
293,CME,2017-01-25,120.15,118.23225616226
294,CME,2017-01-24,117.44,115.56551114188
295,CME,2017-01-23,116.24,114.38466463838
296,CME,2017-01-20,116.66,114.79796091461
297,CME,2017-01-19,116.36,114.50274928873
298,CME,2017-01-18,117.25,115.37854377882
299,CME,2017-01-17,115.69,113.84344332428
300,CME,2017-01-13,116.87,115.00460905272
301,CME,2017-01-12,116.43,114.57163200144
302,CME,2017-01-11,115.9,114.05009146239
303,CME,2017-01-10,116.3,114.44370696356
304,CME,2017-01-09,116.33,114.47322812614
305,CME,2017-01-06,117.19,115.31950145365
306,CME,2017-01-05,115.92,114.06977223745
307,CME,2017-01-04,115.52,113.67615673629
308,CME,2017-01-03,114.4,112.57403333303
