None,ticker,date,close,adj_close
0,CMG,2018-03-27,322.96,322.96
1,CMG,2018-03-26,327.86,327.86
2,CMG,2018-03-23,322.3,322.3
3,CMG,2018-03-22,336.71,336.71
4,CMG,2018-03-21,334.52,334.52
5,CMG,2018-03-20,320.17,320.17
6,CMG,2018-03-19,316.8,316.8
7,CMG,2018-03-16,320.2,320.2
8,CMG,2018-03-15,318.91,318.91
9,CMG,2018-03-14,319.66,319.66
10,CMG,2018-03-13,326.8,326.8
11,CMG,2018-03-12,323.76,323.76
12,CMG,2018-03-09,322.16,322.16
13,CMG,2018-03-08,321.86,321.86
14,CMG,2018-03-07,319.95,319.95
15,CMG,2018-03-06,318.04,318.04
16,CMG,2018-03-05,320.16,320.16
17,CMG,2018-03-02,319.99,319.99
18,CMG,2018-03-01,313.26,313.26
19,CMG,2018-02-28,318.41,318.41
20,CMG,2018-02-27,319.15,319.15
21,CMG,2018-02-26,311.89,311.89
22,CMG,2018-02-23,315.82,315.82
23,CMG,2018-02-22,313.91,313.91
24,CMG,2018-02-21,320.96,320.96
25,CMG,2018-02-20,317.57,317.57
26,CMG,2018-02-16,305.63,305.63
27,CMG,2018-02-15,286.65,286.65
28,CMG,2018-02-14,289.91,289.91
29,CMG,2018-02-13,251.33,251.33
30,CMG,2018-02-12,254.45,254.45
31,CMG,2018-02-09,255.46,255.46
32,CMG,2018-02-08,266.01,266.01
33,CMG,2018-02-07,272.21,272.21
34,CMG,2018-02-06,304.33,304.33
35,CMG,2018-02-05,300.3,300.3
36,CMG,2018-02-02,311.64,311.64
37,CMG,2018-02-01,314.72,314.72
38,CMG,2018-01-31,324.76,324.76
39,CMG,2018-01-30,322.08,322.08
40,CMG,2018-01-29,332.33,332.33
41,CMG,2018-01-26,330.23,330.23
42,CMG,2018-01-25,333.97,333.97
43,CMG,2018-01-24,329.53,329.53
44,CMG,2018-01-23,328.71,328.71
45,CMG,2018-01-22,330.0,330.0
46,CMG,2018-01-19,343.87,343.87
47,CMG,2018-01-18,337.53,337.53
48,CMG,2018-01-17,334.63,334.63
49,CMG,2018-01-16,327.37,327.37
50,CMG,2018-01-12,327.34,327.34
51,CMG,2018-01-11,325.5,325.5
52,CMG,2018-01-10,321.8,321.8
53,CMG,2018-01-09,319.37,319.37
54,CMG,2018-01-08,318.47,318.47
55,CMG,2018-01-05,313.79,313.79
56,CMG,2018-01-04,307.11,307.11
57,CMG,2018-01-03,309.0,309.0
58,CMG,2018-01-02,292.95,292.95
59,CMG,2017-12-29,289.03,289.03
60,CMG,2017-12-28,294.82,294.82
61,CMG,2017-12-27,295.42,295.42
62,CMG,2017-12-26,295.52,295.52
63,CMG,2017-12-22,295.23,295.23
64,CMG,2017-12-21,292.4,292.4
65,CMG,2017-12-20,298.67,298.67
66,CMG,2017-12-19,313.17,313.17
67,CMG,2017-12-18,313.42,313.42
68,CMG,2017-12-15,312.12,312.12
69,CMG,2017-12-14,314.02,314.02
70,CMG,2017-12-13,319.7,319.7
71,CMG,2017-12-12,318.38,318.38
72,CMG,2017-12-11,313.39,313.39
73,CMG,2017-12-08,315.9,315.9
74,CMG,2017-12-07,313.65,313.65
75,CMG,2017-12-06,310.67,310.67
76,CMG,2017-12-05,315.56,315.56
77,CMG,2017-12-04,315.6,315.6
78,CMG,2017-12-01,307.59,307.59
79,CMG,2017-11-30,304.39,304.39
80,CMG,2017-11-29,301.99,301.99
81,CMG,2017-11-28,285.86,285.86
82,CMG,2017-11-27,274.52,274.52
83,CMG,2017-11-24,279.31,279.31
84,CMG,2017-11-22,281.27,281.27
85,CMG,2017-11-21,279.51,279.51
86,CMG,2017-11-20,283.25,283.25
87,CMG,2017-11-17,289.84,289.84
88,CMG,2017-11-16,283.7,283.7
89,CMG,2017-11-15,285.45,285.45
90,CMG,2017-11-14,280.9,280.9
91,CMG,2017-11-13,277.5,277.5
92,CMG,2017-11-10,279.45,279.45
93,CMG,2017-11-09,275.0,275.0
94,CMG,2017-11-07,274.5,274.5
95,CMG,2017-11-06,275.77,275.77
96,CMG,2017-11-03,273.53,273.53
97,CMG,2017-11-02,279.46,279.46
98,CMG,2017-11-01,270.2,270.2
99,CMG,2017-10-31,271.9,271.9
100,CMG,2017-10-30,268.7,268.7
101,CMG,2017-10-27,276.12,276.12
102,CMG,2017-10-26,281.52,281.52
103,CMG,2017-10-25,277.02,277.02
104,CMG,2017-10-24,324.3,324.3
105,CMG,2017-10-23,320.45,320.45
106,CMG,2017-10-20,324.76,324.76
107,CMG,2017-10-19,325.27,325.27
108,CMG,2017-10-18,318.24,318.24
109,CMG,2017-10-17,329.3,329.3
110,CMG,2017-10-16,320.39,320.39
111,CMG,2017-10-13,326.45,326.45
112,CMG,2017-10-12,314.17,314.17
113,CMG,2017-10-11,311.49,311.49
114,CMG,2017-10-10,310.88,310.88
115,CMG,2017-10-09,303.92,303.92
116,CMG,2017-10-06,307.64,307.64
117,CMG,2017-10-05,310.35,310.35
118,CMG,2017-10-04,306.81,306.81
119,CMG,2017-10-03,302.99,302.99
120,CMG,2017-10-02,301.81,301.81
121,CMG,2017-09-29,307.83,307.83
122,CMG,2017-09-28,316.53,316.53
123,CMG,2017-09-27,313.85,313.85
124,CMG,2017-09-26,319.21,319.21
125,CMG,2017-09-25,320.83,320.83
126,CMG,2017-09-22,314.31,314.31
127,CMG,2017-09-21,313.22,313.22
128,CMG,2017-09-20,312.39,312.39
129,CMG,2017-09-19,303.41,303.41
130,CMG,2017-09-18,301.87,301.87
131,CMG,2017-09-15,313.09,313.09
132,CMG,2017-09-14,310.59,310.59
133,CMG,2017-09-13,311.6,311.6
134,CMG,2017-09-12,308.83,308.83
135,CMG,2017-09-11,305.14,305.14
136,CMG,2017-09-08,300.03,300.03
137,CMG,2017-09-07,317.25,317.25
138,CMG,2017-09-06,317.88,317.88
139,CMG,2017-09-05,308.32,308.32
140,CMG,2017-09-01,319.95,319.95
141,CMG,2017-08-31,316.71,316.71
142,CMG,2017-08-30,315.13,315.13
143,CMG,2017-08-29,310.37,310.37
144,CMG,2017-08-28,312.02,312.02
145,CMG,2017-08-25,308.79,308.79
146,CMG,2017-08-24,301.92,301.92
147,CMG,2017-08-23,297.09,297.09
148,CMG,2017-08-22,305.51,305.51
149,CMG,2017-08-21,308.59,308.59
150,CMG,2017-08-18,311.24,311.24
151,CMG,2017-08-17,317.92,317.92
152,CMG,2017-08-16,320.13,320.13
153,CMG,2017-08-15,322.78,322.78
154,CMG,2017-08-14,322.4,322.4
155,CMG,2017-08-11,326.41,326.41
156,CMG,2017-08-10,322.65,322.65
157,CMG,2017-08-09,334.61,334.61
158,CMG,2017-08-08,333.64,333.64
159,CMG,2017-08-07,339.45,339.45
160,CMG,2017-08-04,344.56,344.56
161,CMG,2017-08-03,345.36,345.36
162,CMG,2017-08-02,351.06,351.06
