None,ticker,date,close,adj_close
0,CMI,2018-03-27,158.75,158.75
1,CMI,2018-03-26,160.72,160.72
2,CMI,2018-03-23,155.42,155.42
3,CMI,2018-03-22,157.55,157.55
4,CMI,2018-03-21,161.48,161.48
5,CMI,2018-03-20,161.0,161.0
6,CMI,2018-03-19,159.61,159.61
7,CMI,2018-03-16,162.57,162.57
8,CMI,2018-03-15,160.16,160.16
9,CMI,2018-03-14,159.61,159.61
10,CMI,2018-03-13,160.35,160.35
11,CMI,2018-03-12,160.06,160.06
12,CMI,2018-03-09,162.37,162.37
13,CMI,2018-03-08,159.2,159.2
14,CMI,2018-03-07,159.25,159.25
15,CMI,2018-03-06,160.65,160.65
16,CMI,2018-03-05,160.94,160.94
17,CMI,2018-03-02,158.94,158.94
18,CMI,2018-03-01,160.89,160.89
19,CMI,2018-02-28,168.17,168.17
20,CMI,2018-02-27,170.06,170.06
21,CMI,2018-02-26,171.64,171.64
22,CMI,2018-02-23,169.53,169.53
23,CMI,2018-02-22,167.02,167.02
24,CMI,2018-02-21,166.28,166.28
25,CMI,2018-02-20,166.82,166.82
26,CMI,2018-02-16,165.6,165.6
27,CMI,2018-02-15,165.02,165.02
28,CMI,2018-02-14,166.0,166.0
29,CMI,2018-02-13,165.63,165.63
30,CMI,2018-02-12,165.77,165.77
31,CMI,2018-02-09,164.05,164.05
32,CMI,2018-02-08,165.73,165.73
33,CMI,2018-02-07,172.74,172.74
34,CMI,2018-02-06,174.83,174.83
35,CMI,2018-02-05,179.01,179.01
36,CMI,2018-02-02,184.31,184.31
37,CMI,2018-02-01,189.17,189.17
38,CMI,2018-01-31,188.0,188.0
39,CMI,2018-01-30,187.25,187.25
40,CMI,2018-01-29,190.81,190.81
41,CMI,2018-01-26,192.5,192.5
42,CMI,2018-01-25,189.4,189.4
43,CMI,2018-01-24,188.35,188.35
44,CMI,2018-01-23,188.43,188.43
45,CMI,2018-01-22,189.58,189.58
46,CMI,2018-01-19,189.08,189.08
47,CMI,2018-01-18,183.72,183.72
48,CMI,2018-01-17,183.69,183.69
49,CMI,2018-01-16,182.55,182.55
50,CMI,2018-01-12,184.18,184.18
51,CMI,2018-01-11,183.9,183.9
52,CMI,2018-01-10,180.56,180.56
53,CMI,2018-01-09,181.96,181.96
54,CMI,2018-01-08,182.12,182.12
55,CMI,2018-01-05,181.46,181.46
56,CMI,2018-01-04,181.75,181.75
57,CMI,2018-01-03,179.01,179.01
58,CMI,2018-01-02,177.06,177.06
59,CMI,2017-12-29,176.64,176.64
60,CMI,2017-12-28,177.2,177.2
61,CMI,2017-12-27,176.24,176.24
62,CMI,2017-12-26,176.14,176.14
63,CMI,2017-12-22,175.76,175.76
64,CMI,2017-12-21,174.66,174.66
65,CMI,2017-12-20,175.15,175.15
66,CMI,2017-12-19,174.0,174.0
67,CMI,2017-12-18,172.04,172.04
68,CMI,2017-12-15,169.63,169.63
69,CMI,2017-12-14,168.55,168.55
70,CMI,2017-12-13,169.58,169.58
71,CMI,2017-12-12,169.22,169.22
72,CMI,2017-12-11,170.77,170.77
73,CMI,2017-12-08,170.88,170.88
74,CMI,2017-12-07,169.3,169.3
75,CMI,2017-12-06,165.38,165.38
76,CMI,2017-12-05,164.84,164.84
77,CMI,2017-12-04,164.96,164.96
78,CMI,2017-12-01,165.01,165.01
79,CMI,2017-11-30,167.4,167.4
80,CMI,2017-11-29,164.52,164.52
81,CMI,2017-11-28,164.52,164.52
82,CMI,2017-11-27,161.16,161.16
83,CMI,2017-11-24,160.66,160.66
84,CMI,2017-11-22,163.39,163.39
