None,ticker,date,close,adj_close
0,CMS,2018-03-27,44.75,44.75
1,CMS,2018-03-26,43.82,43.82
2,CMS,2018-03-23,43.25,43.25
3,CMS,2018-03-22,43.95,43.95
4,CMS,2018-03-21,43.81,43.81
5,CMS,2018-03-20,43.99,43.99
6,CMS,2018-03-19,43.98,43.98
7,CMS,2018-03-16,44.28,44.28
8,CMS,2018-03-15,43.71,43.71
9,CMS,2018-03-14,43.32,43.32
10,CMS,2018-03-13,42.96,42.96
11,CMS,2018-03-12,43.09,43.09
12,CMS,2018-03-09,42.86,42.86
13,CMS,2018-03-08,42.56,42.56
14,CMS,2018-03-07,42.49,42.49
15,CMS,2018-03-06,42.69,42.69
16,CMS,2018-03-05,43.29,43.29
17,CMS,2018-03-02,42.59,42.59
18,CMS,2018-03-01,42.36,42.36
19,CMS,2018-02-28,42.45,42.45
20,CMS,2018-02-27,42.75,42.75
21,CMS,2018-02-26,43.77,43.77
22,CMS,2018-02-23,43.86,43.86
23,CMS,2018-02-22,43.01,43.01
24,CMS,2018-02-21,43.02,43.02
25,CMS,2018-02-20,43.36,43.36
26,CMS,2018-02-16,44.2,44.2
27,CMS,2018-02-15,43.74,43.74
28,CMS,2018-02-14,42.9,42.9
29,CMS,2018-02-13,43.05,43.05
30,CMS,2018-02-12,42.88,42.88
31,CMS,2018-02-09,42.79,42.79
32,CMS,2018-02-08,41.77,41.77
33,CMS,2018-02-07,42.16,42.16
34,CMS,2018-02-06,42.16,42.16
35,CMS,2018-02-05,42.73,42.73
36,CMS,2018-02-02,43.48,43.48
37,CMS,2018-02-01,44.16,44.16
38,CMS,2018-01-31,44.75,44.75
39,CMS,2018-01-30,44.32,44.32
40,CMS,2018-01-29,44.1,44.1
41,CMS,2018-01-26,44.79,44.79
42,CMS,2018-01-25,45.0,45.0
43,CMS,2018-01-24,44.26,44.26
44,CMS,2018-01-23,44.46,44.46
45,CMS,2018-01-22,44.16,44.16
46,CMS,2018-01-19,44.05,44.05
47,CMS,2018-01-18,44.1,44.1
48,CMS,2018-01-17,44.55,44.55
49,CMS,2018-01-16,44.26,44.26
50,CMS,2018-01-12,44.01,44.01
51,CMS,2018-01-11,44.39,44.39
52,CMS,2018-01-10,44.98,44.98
53,CMS,2018-01-09,45.71,45.71
54,CMS,2018-01-08,46.34,46.34
55,CMS,2018-01-05,45.81,45.81
56,CMS,2018-01-04,46.14,46.14
57,CMS,2018-01-03,46.66,46.66
58,CMS,2018-01-02,46.95,46.95
59,CMS,2017-12-29,47.3,47.3
60,CMS,2017-12-28,47.39,47.39
61,CMS,2017-12-27,47.21,47.21
62,CMS,2017-12-26,46.81,46.81
63,CMS,2017-12-22,47.35,47.35
64,CMS,2017-12-21,47.26,47.26
65,CMS,2017-12-20,47.16,47.16
66,CMS,2017-12-19,47.72,47.72
67,CMS,2017-12-18,48.65,48.65
68,CMS,2017-12-15,49.25,49.25
69,CMS,2017-12-14,49.07,49.07
70,CMS,2017-12-13,49.25,49.25
71,CMS,2017-12-12,49.17,49.17
72,CMS,2017-12-11,50.09,50.09
73,CMS,2017-12-08,49.87,49.87
74,CMS,2017-12-07,49.58,49.58
75,CMS,2017-12-06,49.41,49.41
76,CMS,2017-12-05,49.31,49.31
77,CMS,2017-12-04,49.76,49.76
78,CMS,2017-12-01,49.74,49.74
79,CMS,2017-11-30,49.9,49.9
80,CMS,2017-11-29,49.61,49.61
81,CMS,2017-11-28,49.7,49.7
82,CMS,2017-11-27,49.75,49.75
83,CMS,2017-11-24,49.44,49.44
84,CMS,2017-11-22,49.4,49.4
85,CMS,2017-11-21,49.48,49.48
86,CMS,2017-11-20,49.41,49.41
87,CMS,2017-11-17,49.59,49.59
88,CMS,2017-11-16,50.17,50.17
89,CMS,2017-11-15,50.22,50.22
90,CMS,2017-11-14,50.55,50.55
91,CMS,2017-11-13,49.63,49.63
92,CMS,2017-11-10,49.27,49.27
93,CMS,2017-11-09,49.28,49.28
94,CMS,2017-11-07,48.91,48.91
95,CMS,2017-11-06,48.05,48.05
96,CMS,2017-11-03,48.13,48.13
97,CMS,2017-11-02,48.12,48.12
98,CMS,2017-11-01,48.07,47.739632220915
99,CMS,2017-10-31,48.37,48.037570429076
100,CMS,2017-10-30,47.8,47.471487833571
101,CMS,2017-10-27,48.2,47.868738777785
102,CMS,2017-10-26,47.94,47.610525664046
103,CMS,2017-10-25,47.97,47.640319484862
104,CMS,2017-10-24,48.42,48.087226797102
105,CMS,2017-10-23,48.21,47.87867005139
106,CMS,2017-10-20,48.18,47.848876230574
107,CMS,2017-10-19,48.19,47.858807504179
108,CMS,2017-10-18,47.81,47.481419107176
109,CMS,2017-10-17,47.81,47.481419107176
110,CMS,2017-10-16,47.41,47.084168162962
111,CMS,2017-10-13,47.54,47.213274719832
112,CMS,2017-10-12,47.72,47.392037644728
113,CMS,2017-10-11,47.35,47.02458052133
114,CMS,2017-10-10,47.0,46.676985945143
115,CMS,2017-10-09,46.48,46.160559717665
116,CMS,2017-10-06,46.3,45.981796792768
117,CMS,2017-10-05,46.53,46.210216085691
118,CMS,2017-10-04,46.49,46.17049099127
119,CMS,2017-10-03,45.97,45.654064763792
120,CMS,2017-10-02,46.42,46.100972076032
121,CMS,2017-09-29,46.32,46.001659339979
122,CMS,2017-09-28,46.35,46.031453160795
123,CMS,2017-09-27,46.23,45.912277877531
124,CMS,2017-09-26,46.94,46.617398303511
125,CMS,2017-09-25,47.1,46.776298681196
126,CMS,2017-09-22,46.47,46.150628444059
127,CMS,2017-09-21,47.06,46.736573586775
128,CMS,2017-09-20,47.07,46.74650486038
129,CMS,2017-09-19,47.39,47.064305615751
130,CMS,2017-09-18,47.63,47.30265618228
131,CMS,2017-09-15,47.87,47.541006748808
132,CMS,2017-09-14,47.89,47.560869296019
133,CMS,2017-09-13,47.5,47.17354962541
134,CMS,2017-09-12,48.08,47.74956349452
135,CMS,2017-09-11,49.1,48.762553402266
136,CMS,2017-09-08,48.66,48.325577363631
137,CMS,2017-09-07,48.46,48.126951891524
138,CMS,2017-09-06,48.18,47.848876230574
139,CMS,2017-09-05,48.43,48.097158070708
140,CMS,2017-09-01,48.42,48.087226797102
141,CMS,2017-08-31,48.54,48.206402080367
142,CMS,2017-08-30,48.57,48.236195901183
143,CMS,2017-08-29,48.74,48.405027552474
144,CMS,2017-08-28,48.63,48.295783542815
145,CMS,2017-08-25,48.5,48.166676985945
146,CMS,2017-08-24,48.34,48.00777660826
147,CMS,2017-08-23,48.58,48.246127174788
148,CMS,2017-08-22,48.26,47.928326419417
149,CMS,2017-08-21,48.28,47.948188966627
150,CMS,2017-08-18,48.21,47.87867005139
151,CMS,2017-08-17,47.84,47.511212927992
152,CMS,2017-08-16,48.01,47.680044579283
153,CMS,2017-08-15,47.76,47.431762739149
154,CMS,2017-08-14,47.46,47.133824530989
155,CMS,2017-08-11,47.31,46.984855426909
156,CMS,2017-08-10,47.48,47.153687078199
157,CMS,2017-08-09,47.38,47.054374342146
158,CMS,2017-08-08,47.42,47.094099436567
159,CMS,2017-08-07,47.19,46.865680143644
160,CMS,2017-08-04,47.03,46.706779765959
161,CMS,2017-08-03,47.02,46.696848492353
162,CMS,2017-08-02,46.64,46.31946009535
163,CMS,2017-08-01,46.64,45.991093156646
164,CMS,2017-07-31,46.24,45.59665839544
165,CMS,2017-07-28,46.3,45.655823609621
166,CMS,2017-07-27,46.89,46.2376148824
167,CMS,2017-07-26,46.53,45.882623597314
168,CMS,2017-07-25,46.16,45.517771443198
169,CMS,2017-07-24,46.39,45.744571430892
170,CMS,2017-07-21,46.75,46.099562715978
171,CMS,2017-07-20,46.59,45.941788811495
172,CMS,2017-07-19,46.24,45.59665839544
173,CMS,2017-07-18,46.1,45.458606229018
174,CMS,2017-07-17,46.0,45.359997538716
175,CMS,2017-07-14,45.9,45.261388848414
176,CMS,2017-07-13,45.7,45.064171467811
177,CMS,2017-07-12,46.04,45.399441014837
178,CMS,2017-07-11,45.57,44.935980170419
179,CMS,2017-07-10,45.59,44.95570190848
180,CMS,2017-07-07,45.75,45.113475812962
181,CMS,2017-07-06,45.7,45.064171467811
182,CMS,2017-07-05,45.81,45.172641027143
183,CMS,2017-07-03,46.0,45.359997538716
184,CMS,2017-06-30,46.25,45.60651926447
185,CMS,2017-06-29,46.33,45.685406216711
186,CMS,2017-06-28,46.6,45.951649680525
187,CMS,2017-06-27,47.02,46.365806179792
188,CMS,2017-06-26,47.56,46.89829310742
189,CMS,2017-06-23,47.31,46.651771381666
190,CMS,2017-06-22,47.62,46.957458321601
191,CMS,2017-06-21,47.71,47.046206142873
192,CMS,2017-06-20,48.02,47.351893082807
193,CMS,2017-06-19,47.96,47.292727868626
194,CMS,2017-06-16,48.25,47.578693070501
195,CMS,2017-06-15,48.08,47.411058296988
196,CMS,2017-06-14,47.74,47.075788749963
197,CMS,2017-06-13,47.27,46.612327905546
198,CMS,2017-06-12,47.02,46.365806179792
