None,ticker,date,close,adj_close
0,CNC,2018-03-27,101.14,101.14
1,CNC,2018-03-26,101.7,101.7
2,CNC,2018-03-23,101.47,101.47
3,CNC,2018-03-22,103.84,103.84
4,CNC,2018-03-21,104.69,104.69
5,CNC,2018-03-20,103.65,103.65
6,CNC,2018-03-19,104.41,104.41
7,CNC,2018-03-16,105.61,105.61
8,CNC,2018-03-15,105.24,105.24
9,CNC,2018-03-14,103.56,103.56
10,CNC,2018-03-13,101.67,101.67
11,CNC,2018-03-12,100.3,100.3
12,CNC,2018-03-09,102.66,102.66
13,CNC,2018-03-08,100.28,100.28
14,CNC,2018-03-07,101.71,101.71
15,CNC,2018-03-06,101.03,101.03
16,CNC,2018-03-05,101.92,101.92
17,CNC,2018-03-02,100.78,100.78
18,CNC,2018-03-01,99.81,99.81
19,CNC,2018-02-28,101.42,101.42
20,CNC,2018-02-27,102.37,102.37
21,CNC,2018-02-26,102.68,102.68
22,CNC,2018-02-23,100.45,100.45
23,CNC,2018-02-22,99.49,99.49
24,CNC,2018-02-21,100.2,100.2
25,CNC,2018-02-20,100.26,100.26
26,CNC,2018-02-16,100.22,100.22
27,CNC,2018-02-15,99.76,99.76
28,CNC,2018-02-14,102.13,102.13
29,CNC,2018-02-13,103.0,103.0
30,CNC,2018-02-12,103.09,103.09
31,CNC,2018-02-09,101.66,101.66
32,CNC,2018-02-08,100.36,100.36
33,CNC,2018-02-07,104.38,104.38
34,CNC,2018-02-06,103.67,103.67
35,CNC,2018-02-05,99.38,99.38
36,CNC,2018-02-02,103.75,103.75
37,CNC,2018-02-01,106.73,106.73
38,CNC,2018-01-31,107.24,107.24
39,CNC,2018-01-30,108.69,108.69
40,CNC,2018-01-29,111.27,111.27
41,CNC,2018-01-26,110.8,110.8
42,CNC,2018-01-25,110.66,110.66
43,CNC,2018-01-24,111.02,111.02
44,CNC,2018-01-23,110.97,110.97
45,CNC,2018-01-22,111.59,111.59
46,CNC,2018-01-19,110.67,110.67
47,CNC,2018-01-18,111.0,111.0
48,CNC,2018-01-17,111.35,111.35
49,CNC,2018-01-16,109.3,109.3
50,CNC,2018-01-12,109.48,109.48
51,CNC,2018-01-11,106.78,106.78
52,CNC,2018-01-10,105.8,105.8
53,CNC,2018-01-09,105.97,105.97
54,CNC,2018-01-08,104.92,104.92
55,CNC,2018-01-05,105.49,105.49
56,CNC,2018-01-04,102.5,102.5
57,CNC,2018-01-03,104.43,104.43
58,CNC,2018-01-02,102.59,102.59
59,CNC,2017-12-29,100.88,100.88
60,CNC,2017-12-28,102.9,102.9
61,CNC,2017-12-27,103.02,103.02
62,CNC,2017-12-26,102.26,102.26
63,CNC,2017-12-22,102.16,102.16
64,CNC,2017-12-21,102.59,102.59
65,CNC,2017-12-20,102.95,102.95
