None,ticker,date,close,adj_close
0,CNP,2018-03-27,27.09,27.09
1,CNP,2018-03-26,26.84,26.84
2,CNP,2018-03-23,26.5,26.5
3,CNP,2018-03-22,26.73,26.73
4,CNP,2018-03-21,26.84,26.84
5,CNP,2018-03-20,26.81,26.81
6,CNP,2018-03-19,26.95,26.95
7,CNP,2018-03-16,27.15,27.15
8,CNP,2018-03-15,26.92,26.92
9,CNP,2018-03-14,27.05,27.05
10,CNP,2018-03-13,27.31,27.31
11,CNP,2018-03-12,27.43,27.43
12,CNP,2018-03-09,27.13,27.13
13,CNP,2018-03-08,27.09,27.09
14,CNP,2018-03-07,26.71,26.71
15,CNP,2018-03-06,26.77,26.77
16,CNP,2018-03-05,27.15,27.15
17,CNP,2018-03-02,26.69,26.69
18,CNP,2018-03-01,26.72,26.72
19,CNP,2018-02-28,27.05,27.05
20,CNP,2018-02-27,27.25,27.25
21,CNP,2018-02-26,27.79,27.79
22,CNP,2018-02-23,27.73,27.73
23,CNP,2018-02-22,27.0,27.0
24,CNP,2018-02-21,26.23,26.23
25,CNP,2018-02-20,26.73,26.73
26,CNP,2018-02-16,26.91,26.91
27,CNP,2018-02-15,26.76,26.76
28,CNP,2018-02-14,26.19,26.19
29,CNP,2018-02-13,26.77,26.77
30,CNP,2018-02-12,26.73,26.73
31,CNP,2018-02-09,26.5,26.5
32,CNP,2018-02-08,25.85,25.85
33,CNP,2018-02-07,26.36,26.36
34,CNP,2018-02-06,26.32,26.32
35,CNP,2018-02-05,26.91,26.91
36,CNP,2018-02-02,27.55,27.55
37,CNP,2018-02-01,27.72,27.72
38,CNP,2018-01-31,28.18,28.18
39,CNP,2018-01-30,27.82,27.82
40,CNP,2018-01-29,27.73,27.73
41,CNP,2018-01-26,28.46,28.46
42,CNP,2018-01-25,28.38,28.38
43,CNP,2018-01-24,28.14,28.14
44,CNP,2018-01-23,28.08,28.08
45,CNP,2018-01-22,27.79,27.79
46,CNP,2018-01-19,27.8,27.8
47,CNP,2018-01-18,27.83,27.83
48,CNP,2018-01-17,27.88,27.88
49,CNP,2018-01-16,27.52,27.52
50,CNP,2018-01-12,27.37,27.37
51,CNP,2018-01-11,27.43,27.43
52,CNP,2018-01-10,27.26,27.26
53,CNP,2018-01-09,27.76,27.76
54,CNP,2018-01-08,28.04,28.04
55,CNP,2018-01-05,27.87,27.87
56,CNP,2018-01-04,27.99,27.99
57,CNP,2018-01-03,27.96,27.96
58,CNP,2018-01-02,28.02,28.02
59,CNP,2017-12-29,28.36,28.36
60,CNP,2017-12-28,28.36,28.36
61,CNP,2017-12-27,28.15,28.15
62,CNP,2017-12-26,28.03,28.03
63,CNP,2017-12-22,28.07,28.07
64,CNP,2017-12-21,27.77,27.77
65,CNP,2017-12-20,28.02,28.02
66,CNP,2017-12-19,28.01,28.01
67,CNP,2017-12-18,28.46,28.46
68,CNP,2017-12-15,28.8,28.8
69,CNP,2017-12-14,28.62,28.62
70,CNP,2017-12-13,28.4,28.4
71,CNP,2017-12-12,28.38,28.38
72,CNP,2017-12-11,28.85,28.85
73,CNP,2017-12-08,28.91,28.91
74,CNP,2017-12-07,28.86,28.86
75,CNP,2017-12-06,29.01,29.01
76,CNP,2017-12-05,28.91,28.91
77,CNP,2017-12-04,29.36,29.36
78,CNP,2017-12-01,29.53,29.53
79,CNP,2017-11-30,30.01,30.01
80,CNP,2017-11-29,29.67,29.67
81,CNP,2017-11-28,29.58,29.58
82,CNP,2017-11-27,29.54,29.54
83,CNP,2017-11-24,29.03,29.03
84,CNP,2017-11-22,29.15,29.15
85,CNP,2017-11-21,29.09,29.09
86,CNP,2017-11-20,29.12,29.12
87,CNP,2017-11-17,29.0,29.0
88,CNP,2017-11-16,29.03,29.03
89,CNP,2017-11-15,29.35,29.35
90,CNP,2017-11-14,29.95,29.678995880883
91,CNP,2017-11-13,29.63,29.361891417381
92,CNP,2017-11-10,29.41,29.143882098724
93,CNP,2017-11-09,29.81,29.540262678101
94,CNP,2017-11-07,29.95,29.678995880883
95,CNP,2017-11-06,29.72,29.451077047741
96,CNP,2017-11-03,29.59,29.322253359444
97,CNP,2017-11-02,29.74,29.47089607671
98,CNP,2017-11-01,29.71,29.441167533257
99,CNP,2017-10-31,29.58,29.312343844959
100,CNP,2017-10-30,29.47,29.20333918563
101,CNP,2017-10-27,29.75,29.480805591195
102,CNP,2017-10-26,29.49,29.223158214599
103,CNP,2017-10-25,29.38,29.11415355527
104,CNP,2017-10-24,29.59,29.322253359444
105,CNP,2017-10-23,29.67,29.401529475319
106,CNP,2017-10-20,29.7,29.431258018772
107,CNP,2017-10-19,29.75,29.480805591195
108,CNP,2017-10-18,29.58,29.312343844959
109,CNP,2017-10-17,29.53,29.262796272537
110,CNP,2017-10-16,29.46,29.193429671146
111,CNP,2017-10-13,29.36,29.094334526302
112,CNP,2017-10-12,29.72,29.451077047741
113,CNP,2017-10-11,29.31,29.044786953879
114,CNP,2017-10-10,29.12,28.856506178675
115,CNP,2017-10-09,28.73,28.470035113782
116,CNP,2017-10-06,28.88,28.618677831049
117,CNP,2017-10-05,29.06,28.797049091769
118,CNP,2017-10-04,28.99,28.727682490377
119,CNP,2017-10-03,28.78,28.519582686204
120,CNP,2017-10-02,28.96,28.697953946924
121,CNP,2017-09-29,29.21,28.945691809035
122,CNP,2017-09-28,29.15,28.886234722128
123,CNP,2017-09-27,29.08,28.816868120737
124,CNP,2017-09-26,29.64,29.371800931866
125,CNP,2017-09-25,29.66,29.391619960835
126,CNP,2017-09-22,29.2,28.935782294551
127,CNP,2017-09-21,29.49,29.223158214599
128,CNP,2017-09-20,29.7,29.431258018772
129,CNP,2017-09-19,29.97,29.698814909852
130,CNP,2017-09-18,29.98,29.708724424337
131,CNP,2017-09-15,30.27,29.996100344385
132,CNP,2017-09-14,30.14,29.867276656088
133,CNP,2017-09-13,29.94,29.669086366399
134,CNP,2017-09-12,29.98,29.708724424337
135,CNP,2017-09-11,30.45,30.174471605105
136,CNP,2017-09-08,30.01,29.73845296779
137,CNP,2017-09-07,29.96,29.688905395368
138,CNP,2017-09-06,29.44,29.173610642177
139,CNP,2017-09-05,29.62,29.351981902897
140,CNP,2017-09-01,29.63,29.361891417381
141,CNP,2017-08-31,29.62,29.351981902897
142,CNP,2017-08-30,29.66,29.391619960835
143,CNP,2017-08-29,29.89,29.619538793977
144,CNP,2017-08-28,29.93,29.659176851914
145,CNP,2017-08-25,29.73,29.460986562226
146,CNP,2017-08-24,29.64,29.371800931866
147,CNP,2017-08-23,29.73,29.460986562226
148,CNP,2017-08-22,29.51,29.242977243568
149,CNP,2017-08-21,29.28,29.015058410426
150,CNP,2017-08-18,29.01,28.747501519346
